placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned
https://www.google.com/maps/place/Kolbe+Clinic/data=!4m7!3m6!1s0x88893f10025d2fb3:0x85d043d9d452763d!8m2!3d33.349823!4d-86.6339687!16s%2Fg%2F11n04dv764!19sChIJsy9dAhA_iYgRPXZS1NlD0IU,Kolbe Clinic,4.6,9,Addiction treatment center,"109 Foothills Pkwy Suite 113, Chelsea, AL 35043, United States","89X8+WC Chelsea, Alabama, USA",https://kolbeclinic.com/,+1 205-618-9899,Closed · Opens 9 am Tue,https://lh3.googleusercontent.com/p/AF1QipPDGTsOd9rh20nLsX5PNh4e88nhTlnUVha9Xgng=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,10 am–8 pm,12 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-12-16T00:39:48.668Z,,
https://www.google.com/maps/place/Alabama+Psychiatry+%26+Counseling/data=!4m7!3m6!1s0x8889172ab7d2bfe3:0xc5aeca331a65b5ac!8m2!3d33.4839426!4d-86.7022002!16s%2Fg%2F11b867d9kc!19sChIJ47_StyoXiYgRrLVlGjPKrsU,Alabama Psychiatry & Counseling,2.8,147,Mental health clinic,"2016 Stonegate Trail # 112, Vestavia Hills, AL 35242, United States","F7MX+H4 Vestavia Hills, Alabama, USA",http://www.alabamapsychiatry.com/,+1 205-440-6292,Closes soon · 7 pm · Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipNn2LywcaMYS6LSNX9s97DbjCk44eOuInmuvTRa=w408-h306-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-12-16T00:39:54.466Z,,
https://www.google.com/maps/place/My+Psychiatry+Clinic/data=!4m7!3m6!1s0x888923d657d7a777:0xd29d293725d9d7a7!8m2!3d33.3952099!4d-86.8039485!16s%2Fg%2F11j0vj53m7!19sChIJd6fXV9YjiYgRp9fZJTcpndI,My Psychiatry Clinic,4.4,58,Mental health clinic,"2021 Shady Crest Dr, Hoover, AL 35216, United States","95WW+3C Hoover, Alabama, USA",http://www.mypsychiatryclinic.com/,+1 205-536-6555,Closed · Opens 9 am Tue,https://lh3.googleusercontent.com/p/AF1QipMOGe_YnkbMC7VmlRIyfjGzzCSDJNEVW7DUbQ5D=w408-h544-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-12-16T00:39:59.239Z,,
https://www.google.com/maps/place/Jaria+Chowdhury/data=!4m7!3m6!1s0x88892405be455555:0xb323aa9bb15cb9dd!8m2!3d33.4163804!4d-86.6729038!16s%2Fg%2F11pkfrx7mh!19sChIJVVVFvgUkiYgR3blcsZuqI7M,Jaria Chowdhury,5.0,38,Psychiatrist,"2205 Cahaba Valley Dr, Birmingham, AL 35242, United States","C88G+HR Birmingham, Alabama, USA",https://hawkins-psychiatry.com/,+1 205-968-1227,Closed · Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dIj7H6Wz91lLsGAbDAOMPw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=255.63794&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-12-16T00:40:04.211Z,,
https://www.google.com/maps/place/Hill+Crest+Behavioral+Health+Services/data=!4m7!3m6!1s0x8889106da33b0f29:0xbe116454db9fb0e1!8m2!3d33.5486113!4d-86.7302956!16s%2Fm%2F04g3kjn!19sChIJKQ87o20QiYgR4bCf21RkEb4,Hill Crest Behavioral Health Services,2.1,219,Mental health clinic,"6869 5th Ave S, Birmingham, AL 35212, United States","G7X9+CV Birmingham, Alabama, USA",https://hillcrestbhs.com/,+1 205-833-9000,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxjNAJXk9S9SDN9dqfKSZYI43w0W2v5V8KQVBtY5twEyHib6zceOBGqo1Lx3DztgUpFaK1ddxMLHlGT3UA1XM1COT0D50bsnH9QVJF_1cQ2Nx7X9r3mXxL3GwImR-NlHN70w-U-=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-12-16T00:40:09.103Z,,
https://www.google.com/maps/place/Ellie+Mental+Health/data=!4m7!3m6!1s0x88892312c36f39b3:0xa403e2fecb7ca8b2!8m2!3d33.3716445!4d-86.8017119!16s%2Fg%2F11l6r5gft7!19sChIJszlvwxIjiYgRsqh8y_7iA6Q,Ellie Mental Health,5.0,12,Mental health service,"1 Chase Corporate Dr Ste 110, Hoover, AL 35244, United States","95CX+M8 Hoover, Alabama, USA",https://elliementalhealth.com/locations/birmingham-hoover-al/,+1 205-905-8497,Closes soon · 7 pm · Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipMTai7mQOyugo1LChA4pFQ0F1gsL48HWW9ZatQ5=w408-h544-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-12-16T00:40:13.899Z,,
https://www.google.com/maps/place/Integrated+Behavioral+Health/data=!4m7!3m6!1s0x88891141c970060b:0x5ae41fe38ca7dfc7!8m2!3d33.5047513!4d-86.6903367!16s%2Fg%2F11hzn43f9k!19sChIJCwZwyUERiYgRx9-njOMf5Fo,Integrated Behavioral Health,4.2,149,Mental health clinic,"4984 Overton Rd, Birmingham, AL 35210, United States","G835+WV Birmingham, Alabama, USA",http://www.ibhus.com/,+1 205-768-5558,Closed · Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipMXNtIX0zSB7Sdg4rA5yvee1Nl7VG3xOSw_Jjrm=w408-h342-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-12-16T00:40:19.018Z,,
https://www.google.com/maps/place/UAB+Center+For+Psychiatric+Medicine/data=!4m7!3m6!1s0x88891bea4bce36ed:0xc9ccc128bad63c1b!8m2!3d33.5048989!4d-86.8044341!16s%2Fg%2F1tfn3hw9!19sChIJ7TbOS-obiYgRGzzWuijBzMk,UAB Center For Psychiatric Medicine,2.9,29,Psychiatric hospital,"1713 6th Ave S, Birmingham, AL 35294, United States","G53W+X6 Birmingham, Alabama, USA",http://www.uabmedicine.org/,+1 205-934-6054,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LBFob0euExG4hT0rfUCQ1Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=153.09595&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-12-16T00:40:21.842Z,,
https://www.google.com/maps/place/Jarrett+Mental+Health+%26+Wellness+LLC/data=!4m7!3m6!1s0x88893fbf4cf482af:0xe4e3a414886ef58f!8m2!3d33.34634!4d-86.6315135!16s%2Fg%2F11vyfhzk1k!19sChIJr4L0TL8_iYgRj_VuiBSk4-Q,Jarrett Mental Health & Wellness LLC,,,Mental health service,"60 Chelsea Corners #3031, Chelsea, AL 35043, United States","89W9+G9 Chelsea, Alabama, USA",,+1 205-749-0338,Temporarily closed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=D6Tt4TJ85Iq4QZ_aiFInyw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=175.20966&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-12-16T00:40:26.519Z,,
https://www.google.com/maps/place/Golden+Counseling+%26+Wellness/data=!4m7!3m6!1s0x88893f02762a8aeb:0xe23417910754f138!8m2!3d33.3491188!4d-86.631378!16s%2Fg%2F11mpcmqwdg!19sChIJ64oqdgI_iYgROPFUB5EXNOI,Golden Counseling & Wellness,,,Mental health service,"16712 US-280 Suite C, Chelsea, AL 35043, United States","89X9+JC Chelsea, Alabama, USA",,,Closed · Opens 9 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yo8PiEI-9GW2UbZ7TvK-4A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=353.93405&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-12-16T00:40:31.359Z,,
