placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes
https://www.google.com/maps/place/Power+G+Electric+LLC/data=!4m7!3m6!1s0x87b20744b8e08d51:0x7971e7604240736e!8m2!3d35.4927483!4d-97.7555228!16s%2Fg%2F11twdrzz0m!19sChIJUY3guEQHsocRbnNAQmDncXk,Power G Electric LLC,5.0,121,Electrician,"1009 Kingston Dr, Yukon, OK 73099, United States","F6VV+3Q Yukon, Oklahoma, USA",,+1 405-551-7054,Open · Closes 12 am,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOcUKqNiK7PIJ3EcGsEniCgore0X_-58BlqFzGP=w408-h408-k-no,true,Open 24 hours,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2026-01-10T22:53:09.667Z,
https://www.google.com/maps/place/Generator+Supercenter+of+Oklahoma/data=!4m7!3m6!1s0x87b26b2d9ebfffff:0xd8cb03d186acc578!8m2!3d35.5769027!4d-97.4492065!16s%2Fg%2F11hd4ymmgb!19sChIJ__-_ni1rsocReMWshtEDy9g,Generator Supercenter of Oklahoma,4.8,454,Electrician,"3800 NE 104th St Suite 600, Oklahoma City, OK 73131, United States","HHG2+Q8 Northeast Oklahoma City, Oklahoma City, OK, USA",https://generatorsupercenterofoklahoma.com/?utm_source=gmb&utm_medium=yext&y_source=1_NDEwNjQ0NDYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 405-341-0341,"Closed · Opens 8 am Mon

Updated by others 8 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwxOzNY7vpG9Sj-Uy1UiBqhSG3--w0YibO1IWkO0VPfzhv_mSdctOVLLp0jzFwdeHaNemUFcm1k9vhr9BkztyjRHR_2cV8tp2PcffCl4r0xvzh-O8JZff0RvMronGD1IR9eJDh6=w408-h306-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2026-01-10T22:53:15.612Z,
https://www.google.com/maps/place/B+%26+R+Electric/data=!4m7!3m6!1s0x87b207d41286ea6f:0x551adff13acb8f68!8m2!3d35.495475!4d-97.7460917!16s%2Fg%2F1trxksnb!19sChIJb-qGEtQHsocRaI_LOvHfGlU,B & R Electric,5.0,2,Electrician,"1112 S 2nd St, Yukon, OK 73099, United States","F7W3+5H Yukon, Oklahoma, USA",http://www.bandrelectricok.com/,+1 405-354-8994,Closed · Opens 8 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JOfWsCNJsCv5gfL_-sZ67w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=271.2336&pitch=0&thumbfov=100,true,8 am–12 pm,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2026-01-10T22:53:20.496Z,
https://www.google.com/maps/place/Oklahoma+Generator/data=!4m7!3m6!1s0x87b215914f50e067:0x2e5ff2972440faf5!8m2!3d35.3608877!4d-97.4962227!16s%2Fg%2F11r_zfpcm6!19sChIJZ-BQT5EVsocR9fpAJJfyXy4,Oklahoma Generator,5.0,545,Electric generator shop,"2608 N Moore Ave, Moore, OK 73160, United States","9G63+9G Moore, Oklahoma, USA",https://okgen.com/,+1 405-321-6631,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipO7C4773hZrSQHYwU0saAdQ5JXhT5cFxaZlqjJB=w408-h544-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2026-01-10T22:53:25.485Z,· Delivery
https://www.google.com/maps/place/TMAX+Electric/data=!4m7!3m6!1s0x87b20633c4f00001:0x4123a47bfbd526c9!8m2!3d35.4749067!4d-97.6881231!16s%2Fg%2F11fm_732x2!19sChIJAQDwxDMGsocRySbV-3ukI0E,TMAX Electric,4.6,24,Electrician,"9733 NW 6th St, Oklahoma City, OK 73127, United States","F8F6+XQ Southwest Oklahoma City, Oklahoma City, OK, USA",https://tmaxelectric.com/,+1 405-354-8629,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipOD8Ghrz9Fd9uFGxeRHXun2hQZEyeAvWGT_w_ev=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2026-01-10T22:53:30.307Z,
https://www.google.com/maps/place/Bell+Electric+LLC/data=!4m7!3m6!1s0x87b2066b421a000d:0x38e7c3424f09342d!8m2!3d35.5093534!4d-97.7481652!16s%2Fg%2F11cjhk64nn!19sChIJDQAaQmsGsocRLTQJT0LD5zg,Bell Electric LLC,4.8,16,Electrician,"309 Cedar Ave, Yukon, OK 73099, United States","G752+PP Yukon, Oklahoma, USA",http://bellelectric.us/,+1 405-245-5950,Closed · Opens 7 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPFpt2Y73BZL_CzoNu-wxCUKGAq8sIPFg_Z--ft=w408-h306-k-no,true,8 am–12 pm,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2026-01-10T22:53:35.250Z,
https://www.google.com/maps/place/LandS+Electric+and+Lighting+LLC/data=!4m7!3m6!1s0x62ca4cf424118f55:0x144d364563299bc4!8m2!3d35.4037034!4d-97.7661591!16s%2Fg%2F11pyc4xn45!19sChIJVY8RJPRMymIRxJspY0U2TRQ,LandS Electric and Lighting LLC,5.0,30,Electrical installation service,"1951 W Trent Ct Way, Mustang, OK 73064, United States","C63M+FG Mustang, Oklahoma, USA",http://lselectricandlighting.com/,+1 405-723-1239,"Open 24 hours

Confirmed by this business 8 weeks ago",Identifies as veteran-owned,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz_9Zz_bWiXpNNGjBTNKOmmnTSyTR_8sxCes55LoNE-wGKqLkbcMOFFRFFf6DbAwSXoKbAXlMbUzfT3AU4X8CqF5-iK-QLW-pFdExWW7DFBaff61yAVzkV_4YGx1OX-CcXPBwxg=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2026-01-10T22:53:40.099Z,
https://www.google.com/maps/place/Dreamworks+Electric/data=!4m7!3m6!1s0x636ae0c8523211db:0x7ffdbfaa89ed673a!8m2!3d35.3587865!4d-97.5951626!16s%2Fg%2F11y5_65wsp!19sChIJ2xEyUsjgamMROmftiaq__X8,Dreamworks Electric,5.0,47,Electrician,,,https://dreamworkselectrical.com/,+1 405-990-6167,Closed · Opens 7 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwdCFzPxtI1S6Oy4btxgR4WmQ81MnlJvAuI4Xarm5iPpRcly7HH4YvKHVxWR86i4rVs9uFfUPJowudasvl5fqKiqpgDsll0vkHzO3ls5O1DDIcKZC13PTDgZK_eMWPgMtCPnPE=w408-h544-k-no,true,Closed,Closed,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2026-01-10T22:53:44.824Z,
"https://www.google.com/maps/place/Gilles+Brothers,+Inc./data=!4m7!3m6!1s0x87b207c8b27a28ef:0xaf2cdff24b58eb64!8m2!3d35.5082146!4d-97.7517816!16s%2Fg%2F1tct96sg!19sChIJ7yh6ssgHsocRZOtYS_LfLK8","Gilles Brothers, Inc.",4.5,87,Lawn mower store,"541 W Main St, Yukon, OK 73099, United States","G65X+77 Yukon, Oklahoma, USA",https://www.gillesbrothers.com/,+1 405-354-3565,Closed · Opens 9 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPX-zG3h7whjbuRLJoQrlQ_3emc7j2PHDD1gK_O=w408-h271-k-no,true,Closed,Closed,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2026-01-10T22:53:49.749Z,· In-store shopping · In-store pick-up · Delivery
https://www.google.com/maps/place/Generator+Experts+of+Oklahoma/data=!4m7!3m6!1s0x87b26b2f36dc4681:0x8d5e6d388f3237b0!8m2!3d35.25873!4d-97.469239!16s%2Fg%2F11yndctg_6!19sChIJgUbcNi9rsocRsDcyjzhtXo0,Generator Experts of Oklahoma,5.0,14,Electric generator shop,"1824 Atchison Dr ste b, Norman, OK 73069, United States","7G5J+F8 Norman, Oklahoma, USA",https://generatorinstallationnorman.com/,+1 405-267-4651,"Open 24 hours

Confirmed by this business 7 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipME2AvxyW2PTj0egmNa3hQdXD0AuQ0KY6GuVSMh=w408-h262-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2026-01-10T22:53:54.604Z,· In-store pick-up · Delivery
