placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,error
https://www.google.com/maps/place/Shoreview+Pediatrics/data=!4m7!3m6!1s0x880518c68cd37583:0xf41879bb4d0dedfd!8m2!3d43.0652043!4d-87.878432!16s%2Fg%2F1wtbvg67!19sChIJg3XTjMYYBYgR_e0NTbt5GPQ,Shoreview Pediatrics,4.7,71,Pediatric clinic,"2524 E Webster Pl # 301, Milwaukee, WI 53211, United States","348C+3J Milwaukee, Wisconsin, USA",http://www.shoreviewpediatrics.com/,+1 414-272-7009,Closed · Opens 8:15 am Wed,https://lh3.googleusercontent.com/p/AF1QipNLj6fH4uvOb6gDBQeqk3tBA9_ca1I2cLWIGilh=w408-h306-k-no,true,8:15 am–5 pm,8:15 am–5 pm,8:15 am–5 pm,8:15 am–5 pm,Closed,Closed,8:15 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Milwaukee+Milwaukee+WI/@43.0410344,-87.9096783,14z",2026-02-10T23:21:03.373Z,,
https://www.google.com/maps/place/Forest+Home+Pediatrics-Children%27s+Wisconsin/data=!4m7!3m6!1s0x8805192b1306a489:0x43b6dcd88a0e4635!8m2!3d43.0110335!4d-87.9305491!16s%2Fg%2F11s3cpnjgf!19sChIJiaQGEysZBYgRNUYOitjctkM,Forest Home Pediatrics-Children's Wisconsin,4.9,27,Pediatric clinic,"1432 W Forest Home Ave, Milwaukee, WI 53204, United States","2369+CQ Milwaukee, Wisconsin, USA",https://childrenswi.org/locations/forest-home-pediatrics?utm_source=GMB&utm_medium=business-listing&utm_campaign=listing-click,+1 414-567-5402,Closed · Opens 8:30 am Wed,https://lh3.googleusercontent.com/p/AF1QipNTJPhpTYboRxkz7eETr6CPMm9qoIHme25D0ajW=w426-h240-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Milwaukee+Milwaukee+WI/@43.0410344,-87.9096783,14z",2026-02-10T23:21:09.640Z,,
https://www.google.com/maps/place/Children%27s+Urgent+Care+at+Forest+Home+Clinic/data=!4m7!3m6!1s0x880519c97bbbc663:0xc68326ff31d592bc!8m2!3d43.0110973!4d-87.9304818!16s%2Fg%2F11t3194yr3!19sChIJY8a7e8kZBYgRvJLVMf8mg8Y,Children's Urgent Care at Forest Home Clinic,4.4,114,Urgent care center,"1432 W Forest Home Ave, Milwaukee, WI 53204, United States","2369+CR Milwaukee, Wisconsin, USA",https://childrenswi.org/locations/forest-home-urgent-care?utm_source=GMB&utm_medium=business-listing&utm_campaign=listing-click,+1 414-607-5280,Open · Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipP10-E3mvjwv-sR28HNjd2Kf9JVtMv8cX2UJmaf=w426-h240-k-no,true,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,"https://www.google.com/maps/search/pediatrician+in+Milwaukee+Milwaukee+WI/@43.0410344,-87.9096783,14z",2026-02-10T23:21:14.497Z,,
"https://www.google.com/maps/place/Kellen+C.+Bartel,+MD/data=!4m7!3m6!1s0x880518c3260d28b3:0x3d5814e5c03a08de!8m2!3d43.06083!4d-87.8837104!16s%2Fg%2F11bwd7ndy0!19sChIJsygNJsMYBYgR3gg6wOUUWD0","Kellen C. Bartel, MD",4.8,18,Pediatrician,"2311 N Prospect Ave, Milwaukee, WI 53211, United States","3468+8G Milwaukee, Wisconsin, USA",,,Open · Closes 7 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JpaAcfFEaXfO1iywGv2cHA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=304.17236&pitch=0&thumbfov=100,false,8:30 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–6 pm,8 am–12 pm,Closed,7 am–7 pm,"https://www.google.com/maps/search/pediatrician+in+Milwaukee+Milwaukee+WI/@43.0410344,-87.9096783,14z",2026-02-10T23:21:19.587Z,,
"https://www.google.com/maps/place/Theresa+S.+Cafaro,+MD/data=!4m7!3m6!1s0x880518c2dbd1c5fb:0xdfbd8d8a330e8073!8m2!3d43.06083!4d-87.8837104!16s%2Fg%2F1tfshzsk!19sChIJ-8XR28IYBYgRc4AOM4qNvd8","Theresa S. Cafaro, MD",4.4,18,Pediatrician,"2311 N Prospect Ave, Milwaukee, WI 53211, United States","3468+8G Milwaukee, Wisconsin, USA",,,Open · Closes 7 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JpaAcfFEaXfO1iywGv2cHA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=304.17236&pitch=0&thumbfov=100,false,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–6 pm,8 am–12 pm,Closed,7 am–7 pm,"https://www.google.com/maps/search/pediatrician+in+Milwaukee+Milwaukee+WI/@43.0410344,-87.9096783,14z",2026-02-10T23:21:24.367Z,,
"https://www.google.com/maps/place/Eduardo+E.+Delgado,+MD/data=!4m7!3m6!1s0x880518c32b77f09f:0xf0b8e8b74a5caf9!8m2!3d43.06083!4d-87.8837104!16s%2Fg%2F11bx1h5p75!19sChIJn_B3K8MYBYgR-cqldIuOCw8","Eduardo E. Delgado, MD",4.9,32,Pediatrician,"2311 N Prospect Ave, Milwaukee, WI 53211, United States","3468+8G Milwaukee, Wisconsin, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JpaAcfFEaXfO1iywGv2cHA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=304.17236&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Milwaukee+Milwaukee+WI/@43.0410344,-87.9096783,14z",2026-02-10T23:21:27.220Z,,
https://www.google.com/maps/place/Dr.+Rhonda+Boldt/data=!4m7!3m6!1s0x880518c68cd37583:0xb15c53f0a5bf7223!8m2!3d43.0651226!4d-87.878527!16s%2Fg%2F1tffpxwt!19sChIJg3XTjMYYBYgRI3K_pfBTXLE,Dr. Rhonda Boldt,4.8,4,Pediatrician,"2524 E Webster Pl # 301, Milwaukee, WI 53211, United States","348C+2H Milwaukee, Wisconsin, USA",http://www.shoreviewpediatrics.com/,+1 414-272-7009,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0DjNsWPlAVvEcwzSW0c-uw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=7.357482&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Milwaukee+Milwaukee+WI/@43.0410344,-87.9096783,14z",2026-02-10T23:21:29.872Z,,
https://www.google.com/maps/place/Pediatric+Associates/data=!4m7!3m6!1s0x88051c793b9e29e1:0xafbe6164ebb592ad!8m2!3d43.0822786!4d-87.9669296!16s%2Fg%2F1th57kh_!19sChIJ4SmeO3kcBYgRrZK162Rhvq8,Pediatric Associates,3.3,14,Pediatrician,"4267 W Fond du Lac Ave, Milwaukee, WI 53216, United States","32JM+W6 Milwaukee, Wisconsin, USA",https://www.pediatricassociateswi.com/services.html,+1 414-873-3440,Closed · Opens 8 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EIxkgPRpGgtGoLWGBFJO4w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=200.3994&pitch=0&thumbfov=100,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,9:30 am–12 pm,Closed,8 am–4:30 am,"https://www.google.com/maps/search/pediatrician+in+Milwaukee+Milwaukee+WI/@43.0410344,-87.9096783,14z",2026-02-10T23:21:34.528Z,,
https://www.google.com/maps/place/St+Mary%27s+Medical+Clinics-Ped/data=!4m7!3m6!1s0x880518c2dbd1c5fb:0xdc3e409feb7be3ef!8m2!3d43.0605154!4d-87.8835261!16s%2Fg%2F1th24crq!19sChIJ-8XR28IYBYgR7-N7659APtw,St Mary's Medical Clinics-Ped,5.0,1,Doctor,"2311 N Prospect Ave, Milwaukee, WI 53211, United States","3468+6H Milwaukee, Wisconsin, USA",,+1 414-291-1520,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep9INg7WF80W5sFRVn_J9pd-cyJUtJcfeKIihUOnbJyuOZfpcy0SLLf1VTtExMHyTDHuYPYrJVk1dsdhVeGTUqNY5Xhnzw--SPO30lN2jhnzniQsYLsfPPQtIEwvtm5lKrc4Cs=w408-h544-k-no,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Milwaukee+Milwaukee+WI/@43.0410344,-87.9096783,14z",2026-02-10T23:21:37.282Z,,
https://www.google.com/maps/place/St.+Francis+Pediatrics/data=!4m7!3m6!1s0x880510b358203d4f:0xeb013c61a539843b!8m2!3d42.9861882!4d-87.9345526!16s%2Fg%2F1td3s1rr!19sChIJTz0gWLMQBYgRO4Q5pWE8Aes,St. Francis Pediatrics,5.0,9,Pediatrician,"3201 S 16th St #1020, Milwaukee, WI 53215, United States","X3P8+F5 Milwaukee, Wisconsin, USA",https://stfrancispediatrics.com/,+1 414-643-7337,Closed · Opens 9 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dxbbabxO0Bw3HGddwlu2pw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=268.0879&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Milwaukee+Milwaukee+WI/@43.0410344,-87.9096783,14z",2026-02-10T23:21:42.093Z,,
