placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,isBlackOwned,attributes
https://www.google.com/maps/place/ServiceMaster+Of+Salt+Lake+Restore/data=!4m7!3m6!1s0x87528b0057a9087b:0xe5070c976f3267f0!8m2!3d40.716123!4d-111.9562082!16s%2Fg%2F1tfnz1rd!19sChIJewipVwCLUocR8Gcyb5cMB-U,ServiceMaster Of Salt Lake Restore,4.4,56,Water damage restoration service,"2550 S 2570 W, West Valley City, UT 84119, United States","P28V+CG West Valley City, Utah, USA",https://www.servicemasterrestore.com/servicemaster-of-salt-lake-city/?utm_source=GBP&utm_medium=organic,+1 801-980-7782,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepm51oUxHzVyFdxvtoI5f-gx7cXyRLeWkUJl0UC8C80vROPN0nNgK7EE1r9SpNKfbccC6mmKmFxprFWmEM6OaHByMSDMk_OUgfUW1xSjwt0RxYd07qztvx12HXMWHvWgbwdljTtrQ=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+West+Valley+City+UT/@40.6916132,-112.0010501,14z",2026-03-23T04:07:36.067Z,,,
https://www.google.com/maps/place/Guardian+Mold+Removal/data=!4m7!3m6!1s0x8838936cd6f203c9:0x126ac05bbd53ad77!8m2!3d40.6963033!4d-111.987369!16s%2Fg%2F11q21179_4!19sChIJyQPy1myTOIgRd61TvVvAahI,Guardian Mold Removal,5.0,33,Water damage restoration service,"3540 S 4000 W #260, West Valley City, UT 84120, United States","M2W7+G3 West Valley City, Utah, USA",https://guardianmoldremoval.com/,+1 385-344-4170,Closed · Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ARmd5srt4wS5FlA7YNrO2Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=220.68002&pitch=0&thumbfov=100,true,Closed,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/water+damage+restoration+in+West+Valley+City+UT/@40.6916132,-112.0010501,14z",2026-03-23T04:07:42.039Z,,,
https://www.google.com/maps/place/Rocky+Mountain+Cleaning+Co/data=!4m7!3m6!1s0x45ad9c2f10d16867:0x5d9fe48685d2b611!8m2!3d40.6728836!4d-111.9980416!16s%2Fg%2F11s78ld7w1!19sChIJZ2jREC-crUUREbbShYbkn10,Rocky Mountain Cleaning Co,5.0,48,Water damage restoration service,"4478 S 4475 W, West Valley City, UT 84120, United States","M2F2+5Q West Valley City, Utah, USA",https://rockymountaincleaningcompany.com/,+1 801-331-9989,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDS8GAayPrIG7ErqABEhy3QiF5em-ITDBnTFrtqWvNpRSFYS-1xEUd5hucZAh9ckzcSO8V5eq0OtrWBd-mTV5LSB5pt7Sp2wOh-6zTXQyeNnrvHpK5reH7jnBty5mKzqZKBNdDAA=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+West+Valley+City+UT/@40.6916132,-112.0010501,14z",2026-03-23T04:07:46.711Z,,,
https://www.google.com/maps/place/Rainbow+Restoration+of+Park+City+and+SE+Salt+Lake/data=!4m7!3m6!1s0x87528afeaa8f87c9:0x4155ea9aca506ee!8m2!3d40.7166727!4d-111.8937714!16s%2Fg%2F1tmg70nf!19sChIJyYePqv6KUocR7galrKleFQQ,Rainbow Restoration of Park City and SE Salt Lake,5.0,63,Water damage restoration service,"2481 S W Temple St, Salt Lake City, UT 84115, United States","P484+MF Salt Lake City, Utah, USA",https://rainbowrestores.com/park-city,+1 801-762-8858,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq8R5-Lkzb9POwtGqGTo-_x7WwP7CyqzKKDcSpf4oQqUk-groIhdH56Yh1PVhYdxIVspKX2H7DOXbzkrK_R12D7XWQCWn9cLz6y2nzRk8twO7yEI9ngVG1i1qdKkiCxfHRl9xn_ag=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+West+Valley+City+UT/@40.6916132,-112.0010501,14z",2026-03-23T04:07:51.603Z,,,
https://www.google.com/maps/place/24+Hour/data=!4m7!3m6!1s0x8752f386257baec3:0x7da8357e9ed36984!8m2!3d40.751314!4d-111.9703771!16s%2Fg%2F11y4c69y89!19sChIJw657JYbzUocRhGnTnn41qH0,24 Hour,4.8,149,Water damage restoration service,"825 Gladiola St, Salt Lake City, UT 84104, United States","Q22H+GR Salt Lake City, Utah, USA",https://www.24hourrestorations.com/,+1 801-252-5867,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerTe37_7mGkbzecpHxJIn9-XqaGPytuUh4bDjIc5gA2XoUt80Xc5WtVSSkfJLE5K0Djkh0jct3xXHO5BJqThNp37LL8Mw27-jmeqlfpzjAHjkLPSpPFXWIU0o30w1PhXpGG6rSj=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+West+Valley+City+UT/@40.6916132,-112.0010501,14z",2026-03-23T04:07:56.372Z,,,
https://www.google.com/maps/place/CORE+by+AHS+Disaster+Cleanup/data=!4m7!3m6!1s0x87528d7af1a58a9d:0xa42a60694c8e1f1b!8m2!3d40.7333419!4d-111.9641928!16s%2Fg%2F11f2wnkppl!19sChIJnYql8XqNUocRGx-OTGlgKqQ,CORE by AHS Disaster Cleanup,4.7,104,Water damage restoration service,"1745 Milestone Dr STE B6, Salt Lake City, UT 84104, United States","P2MP+88 Salt Lake City, Utah, USA",,+1 801-708-3206,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweppvEdQ4hWh3UMdcO1gAbyV6CGqZvpPdC3FUt54PMlgmTno7ILekbZGGo5bwlrf5w539yi7nLQpK1EnmgcBdOKaLgxaVrPdcFdFvfnS_Bd9I8M7Rx1mz2J-dQ-d6-PiPjBHTSeo=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+West+Valley+City+UT/@40.6916132,-112.0010501,14z",2026-03-23T04:08:01.223Z,Identifies as Latino-owned,,
https://www.google.com/maps/place/The+Disaster+Company/data=!4m7!3m6!1s0x87528bd78dcc1afd:0x42424af7fd692f12!8m2!3d40.7315757!4d-111.9553795!16s%2Fg%2F11n10tckxf!19sChIJ_RrMjdeLUocREi9p_fdKQkI,The Disaster Company,4.7,104,Water damage restoration service,"2492 Custer Rd, Salt Lake City, UT 84104, United States","P2JV+JR Salt Lake City, Utah, USA",https://www.disastercompany.com/,+1 801-741-0000,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqqL5uNnKxuaLgPNS7uDJOesSM-wQUS17T2hExK_3r-i9alB5U4snbocxO6vJsgJKzdMxbfUn0z2eT9KS2TlK3et8Q_uSBbAAIn1PRgbQrwS9NO0Wzbo4G8LoVx6XD9pue9NIQ6YIEGzQi=w408-h284-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+West+Valley+City+UT/@40.6916132,-112.0010501,14z",2026-03-23T04:08:06.314Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Certified+Disaster+Services+%28Formerly+Complete+Restoration+of+Salt+Lake%29/data=!4m7!3m6!1s0x87528f23c805c2a5:0x7b4bfddc00546280!8m2!3d40.5953543!4d-111.972305!16s%2Fg%2F1ptwd285x!19sChIJpcIFyCOPUocRgGJUANz9S3s,Certified Disaster Services (Formerly Complete Restoration of Salt Lake),4.8,167,Water damage restoration service,"3412 W 8600 S, West Jordan, UT 84088, United States","H2WH+43 West Jordan, Utah, USA",https://cdsoncall.com/,+1 801-676-3500,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo-xpbDfpIm512bruJFcgNi6Avq6XAzTlhYGBVxJgQRttPb82edhKEwFhUx03vymXsZhX8Fxayz-bkfD90WKeOqaXW55niLxjiKrm1WjwMUBSWjT0DMo8RUmC7zLp1O0gM9iPvZDQ=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+West+Valley+City+UT/@40.6916132,-112.0010501,14z",2026-03-23T04:08:11.017Z,,,
https://www.google.com/maps/place/Advanced+Restoration+LLC/data=!4m7!3m6!1s0x87528b5673699b81:0xf80737860c29d008!8m2!3d40.7168178!4d-111.9510444!16s%2Fg%2F1vm7bykn!19sChIJgZtpc1aLUocRCNApDIY3B_g,Advanced Restoration LLC,4.4,29,Water damage restoration service,"2500 S 2300 W #22, Salt Lake City, UT 84119, United States","P28X+PH Salt Lake City, Utah, USA",http://www.advancedrestoration.net/,+1 888-886-1740,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweptdGXguCFR7NE8r-DSwn31jQX-FEDUCPw00OkGSkXdCYHdm9Kb2jXMD6GZIbAfCe02zgfhcwDBjGSJ65FgkJCS0SUaitOVQwtHAC5qF4HPRZRK3PWG8L7aTK8uV8PydZ-gb3zBqg=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+West+Valley+City+UT/@40.6916132,-112.0010501,14z",2026-03-23T04:08:15.741Z,,,
https://www.google.com/maps/place/Black+Diamond+Water+Damage+%26+Flood+Disaster+Restoration/data=!4m7!3m6!1s0x87528b3e81bdd1e9:0xfbd2e5f83ba4ab94!8m2!3d40.679111!4d-111.910167!16s%2Fg%2F11jctpg6j5!19sChIJ6dG9gT6LUocRlKukO_jl0vs,Black Diamond Water Damage & Flood Disaster Restoration,4.6,41,Water damage restoration service,"712 Confluence Ave, Murray, UT 84123, United States","M3HQ+JW Murray, Utah, USA",http://blackdiamondrestoration.com/,+1 801-512-4194,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepVcm7gR9rrm3wDdlnla0X7Z-8Bc1Hm9FBbkAw5PHCSjNz0RhnH6bSTvBzFD9--EuTBRZVK76VbBlIkKscGjI3Y9Tt7clbOnRZkpjm-MRqiC8c8hzgo7VW4OmzDQHwGWVixr2Vc=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+West+Valley+City+UT/@40.6916132,-112.0010501,14z",2026-03-23T04:08:20.538Z,,,
