placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/Ahold+of+Mold+Environmental/data=!4m7!3m6!1s0x89d36d5d65c6c65b:0xea8830191e2bbba2!8m2!3d42.8801934!4d-78.826224!16s%2Fg%2F11bz0cdk3x!19sChIJW8bGZV1t04kRorsrHhkwiOo,Ahold of Mold Environmental,4.9,151,Water damage restoration service,,,https://aholdofmold.com/,+1 716-898-8143,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepDY1vh9o9O0hwiW9LblxvEkUSK6p_Sf7h03_g2sLKhmp147x2dWMBPH5duyjAp4n46LgWiKb6yoBvbKdu4BVFAU3JXpTLkBPLIoSxEdkvYu23dhkgSB2Htx-422pyAAKMQEYYF4Q=w408-h260-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-03-23T03:32:56.663Z,,,,
https://www.google.com/maps/place/Green+Genie+LLC/data=!4m7!3m6!1s0x89d30d2cf5a80477:0xcc9db98d2a25eee!8m2!3d42.9755191!4d-78.9098994!16s%2Fg%2F11h15xr80z!19sChIJdwSo9SwN04kR7l6i0pjbyQw,Green Genie LLC,4.9,231,Water damage restoration service,"594 Sheridan Dr, Tonawanda, NY 14150, United States","X3GR+62 Tonawanda, New York, USA",http://www.greengeniewny.com/,+1 716-466-6653,"Open 24 hours

Confirmed by this business 5 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepRWXQq-GmfQgl_OWQOuzRtSXahw5zNAj-iksNB-1HMPY5g9zWAKRwq3vx5gtPrSQwmnz6hHmZP3EVBEAAN43hOrP6jyDOTFkSfwg1QEKwgyKAOgSR69DNpAB-AYgvVOjfv-xE=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-03-23T03:33:01.444Z,,,,
https://www.google.com/maps/place/Buffalo+Environmental+%26+Construction+Group/data=!4m7!3m6!1s0x89d36d31139688ff:0x8f902fedb6a91477!8m2!3d42.9468825!4d-78.8689677!16s%2Fg%2F11c45z_wv2!19sChIJ_4iWEzFt04kRdxSptu0vkI8,Buffalo Environmental & Construction Group,4.9,49,Home inspector,"2316 Delaware Ave #250, Buffalo, NY 14216, United States","W4WJ+QC Buffalo, New York, USA",https://www.buffaloenv.com/,+1 716-262-3600,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq8vMWaFcssroyqbQXj3-JnBFOfSgURZ1kijkLLBJVtYl30xjDNjLu9vke8VI_j4UdIYEArz91Z-vEVKnW1YyUwy46OI3qZWO4zADQmwMcYnmoehzs1P6Np5m8mGBO6agj9rI1h=w705-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-03-23T03:33:06.334Z,,,,
https://www.google.com/maps/place/SERVPRO+of+Central+Buffalo/data=!4m7!3m6!1s0x89d313a9ffc08c41:0x9781d0b21079672b!8m2!3d42.9565275!4d-78.8152959!16s%2Fg%2F11pd12d4xd!19sChIJQYzA_6kT04kRK2d5ELLQgZc,SERVPRO of Central Buffalo,4.6,54,Water damage restoration service,,,https://www.servpro.com/locations/ny/servpro-of-central-buffalo?utm_medium=organic&utm_source=gbp,+1 716-412-6800,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoUJCPYoZAwcYnLGiKt6lvLu1nK2i8UZ7Q7tUCcYJb5p1cigKgOKFaCAw8UUw6GWKwUFVwKzTDaCBzMH0o7MpR6XTYxbrXcQRf_zwq_FQvESjYqRnCn098qRjj14E1nVdam1ts4lcs2Hxw=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-03-23T03:33:11.099Z,,,,
"https://www.google.com/maps/place/Small+Restore,+LLC/data=!4m7!3m6!1s0x89d3728d4f146e27:0xc719872898776f0b!8m2!3d42.9064155!4d-78.818409!16s%2Fg%2F1tmbx2r7!19sChIJJ24UT41y04kRC293mCiHGcc","Small Restore, LLC",4.9,77,Handyman/Handywoman/Handyperson,,,http://www.smallrestore.com/,+1 716-510-0780,Closed · Opens 8:30 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAweretcPusQ9KLVU0A3O_UCanvUR4O2SQxXhW2y6PMn8sxeecjQYKMwpycTmmb0Xypdc4a7WczB9GfiTOmmOo-5vTc0QgBEW08f6w1EueAwpBC2LmBzCm1bcxaqh1cXqVy3_nU-uT9DSqjgnE=w408-h315-k-no,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-03-23T03:33:15.641Z,,,,
https://www.google.com/maps/place/Paul+Davis+Restoration+of+Greater+Buffalo+NY/data=!4m7!3m6!1s0x89d36de71f305699:0x36748df5e1202ec1!8m2!3d42.9914702!4d-78.910657!16s%2Fg%2F11wv6_2qf9!19sChIJmVYwH-dt04kRwS4g4fWNdDY,Paul Davis Restoration of Greater Buffalo NY,4.9,34,Water damage restoration service,"255 Fire Tower Dr, Tonawanda, NY 14150, United States","X3RQ+HP Tonawanda, New York, USA",https://buffalo.pauldavis.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Tonawanda-NY,+1 716-377-9909,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoqu0KnN8_0kkJ5MGwb6dFcaH4L3SkWRpXIn4sIhd8jpfYoc5gtFHkqvERXXztorotSp1BzRqoMGFPw2OIZlsosj0prDrXRpg2ik2Izd3IKL0AYp5goZgQA8hiX7DiiBG3a4aSrrrj1dpE=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-03-23T03:33:20.295Z,,,,
https://www.google.com/maps/place/Water+Damage+Restoration+Experts/data=!4m7!3m6!1s0x89d30c0ee2400001:0xa68892f4cd17ed95!8m2!3d42.8726176!4d-78.7861621!16s%2Fg%2F11d_7hftfv!19sChIJAQBA4g4M04kRle0XzfSSiKY,Water Damage Restoration Experts,5.0,2,Water damage restoration service,"1085 Harlem Rd, Buffalo, NY 14227, United States","V6F7+2G Buffalo, New York, USA",,+1 716-309-7208,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoDdTWzoEbuAdADEaIk4g26ReFkvS3URFWBGQqjXBjk4z0SZjfMHy2zQZZTTp1_RpoRA0t-KMVrCAwMJ6dcqfSDc58Kn0WbOwgL_9hReWI-flhznj_DBmAoiB45HmPfEHE5DjybdtYoFfxG=w408-h272-k-no,true,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,"https://www.google.com/maps/search/water+damage+restoration+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-03-23T03:33:24.695Z,LGBTQ+ friendly,,,
"https://www.google.com/maps/place/Rapid+Dry,+Inc/data=!4m7!3m6!1s0x89d151a621a8c961:0x2472805ee8286d0b!8m2!3d43.0193031!4d-78.765464!16s%2Fg%2F11fm3v8qk5!19sChIJYcmoIaZR0YkRC20o6F6AciQ","Rapid Dry, Inc",4.8,273,Water damage restoration service,"2660 Millersport Hwy, Getzville, NY 14068, United States","269M+PR Getzville, University at Buffalo, NY, USA",https://www.rapiddryservices.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-getzville&utm_content=website,+1 716-575-3838,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweopqPzx3rF4Jm21Mrkr-bAnhXwt9f8RqAoeQIanYszKUzNV_NouYQp3MXkNzYKX8xyRz6fAQ1hZJOb983Pba8OGprkOynG6H6OpLjqrJH0VmnQfJBMQwBdfcdglPJceDXG-kxyBXg=w408-h305-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-03-23T03:33:29.429Z,,,,
https://www.google.com/maps/place/SERVPRO+of+Buffalo%2FTonawanda/data=!4m7!3m6!1s0x89d36d5b4eaae67f:0x7576a88f94655980!8m2!3d43.0108176!4d-78.8723668!16s%2Fg%2F11j4hqc_3j!19sChIJf-aqTltt04kRgFlllI-odnU,SERVPRO of Buffalo/Tonawanda,4.8,33,Water damage restoration service,"309 Delaware St, Tonawanda, NY 14150, United States","246H+83 Tonawanda, New York, USA",https://www.servpro.com/locations/ny/servpro-of-buffalo-tonawanda?utm_medium=organic&utm_source=gbp,+1 716-694-9949,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweorI1rYvjn9t4wmnnCynUKMbtuRO4kbF3Eh3sDBSdpLZ6ig7XmdOgbQScQzsDSR-JHUF6bBKtHvHUJ9JKTtnTPsiSYOVKE3-TWoQwIHatC4EoVA3AAYHKkkFmZsevB-Y0ATq1_R=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-03-23T03:33:34.161Z,,,,
https://www.google.com/maps/place/Rainbow+International+of+Buffalo/data=!4m7!3m6!1s0x89d36d3b4f4f7a75:0x31583827b76a6a1f!8m2!3d42.8958515!4d-78.7767164!16s%2Fg%2F1tkkvw4g!19sChIJdXpPTztt04kRH2pqtyc4WDE,Rainbow International of Buffalo,4.4,40,Water damage restoration service,"190 Gruner Rd, Buffalo, NY 14227, United States","V6WF+88 Buffalo, New York, USA",https://rainbowrestores.com/buffalo?cid=LSTL_RBW000202&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 716-874-4919,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqh30v46H4xxSrPIMirCPI9AwBF0fAqBk7B5YMN9dPSe1RAQStiUrIOYL7I6R4J3qAUaaa8ZGVM2k54hkwB1gvUMaedF5Py44_WLcfsgzQ7qVWJcLWH7UjmDhyA-nY2Qq0qC374AA=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-03-23T03:33:38.533Z,,,,
