placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,isBlackOwned,attributes
https://www.google.com/maps/place/Henry+Ford+Cancer+-+Detroit/data=!4m7!3m6!1s0x8824cd244a62b433:0xa8de950059387dfb!8m2!3d42.3659006!4d-83.0837265!16s%2Fg%2F11h26rfyrr!19sChIJM7RiSiTNJIgR-304WQCV3qg,Henry Ford Cancer - Detroit,4.2,81,Cancer treatment center,"2800 W Grand Blvd, Detroit, MI 48202, United States","9W88+9G Detroit, Michigan, USA",,+1 888-246-6424,Closed ⋅ Opens 7 am Mon,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPP61iR19BRQNWhiP4uIpcDRYa4Bh2cF6m9KQ8=w426-h240-k-no,true,Closed,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:02:56.300Z,,
https://www.google.com/maps/place/Karmanos+Cancer+Center:+Walworth+Garrett+MD/data=!4m7!3m6!1s0x8824d2c78bec94a3:0x4a9398c1e5da0266!8m2!3d42.3524706!4d-83.0571976!16s%2Fg%2F1tctmdsn!19sChIJo5Tsi8fSJIgRZgLa5cGYk0o,Karmanos Cancer Center: Walworth Garrett MD,4.7,13,Doctor,"4100 John R St, Detroit, MI 48201, United States","9W2V+X4 Detroit, Michigan, USA",https://www.karmanos.org/karmanos/karmanos-cancer-institute-detroit-home,+1 313-833-1146,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq6iuojREbHsPcOqSCRWysTFXuw5krz1KZYq_kzBPCGNtGgkRcW2f4iif3dP_q17dTx84LA9qOuDDI3Xj8_ftBncAxvOx1ww6n1VvNg2SF_fOgHjUP_dWZpAI76yp3fvUj99K2GQQ=w408-h306-k-no,false,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:03:00.459Z,,
https://www.google.com/maps/place/DMC+Detroit+Receiving+Hospital/data=!4m7!3m6!1s0x8824d2c6fa4d819b:0x842e4c3611c9d3f1!8m2!3d42.3535426!4d-83.0550941!16zL20vMGN6dmYz!19sChIJm4FN-sbSJIgR8dPJETZMLoQ,DMC Detroit Receiving Hospital,2.3,542,General hospital,"4201 St. Antoine St, Detroit, MI 48201, United States","9W3V+CX Detroit, Michigan, USA",https://www.dmc.org/locations/detail/dmc-detroit-receiving-hospital/?utm_campaign=gmb_listings_mgmt&utm_source=gmb-dmc-receiving-hospital&utm_medium=google-local,+1 313-745-3000,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqmmo4PynSPiu7VyStOy9QxpmdT2-sJdzjd_Lerhn06uDsfT5mMBl6pTCfRl8oi4iCqXnOutMyprhlRwOqT4Oju0_3odNe-2WXVe0WLf1Ni6QKeKJkmQCjWaIMJ7kzYrqDDSR5U=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:03:05.429Z,,
https://www.google.com/maps/place/Rehabilitation+Institute+of+Michigan+Main+Campus/data=!4m7!3m6!1s0x8824d2c865dc3ff5:0x16794649c40a7129!8m2!3d42.3496761!4d-83.0554356!16s%2Fg%2F11b8v9r_fm!19sChIJ9T_cZcjSJIgRKXEKxElGeRY,Rehabilitation Institute of Michigan Main Campus,3.9,117,Rehabilitation center,"261 Mack Ave, Detroit, MI 48201, United States","8WXV+VR Detroit, Michigan, USA",https://www.rimrehab.org/locations/detail/rehabilitation-institute-of-michigan-main-campus/?utm_campaign=gmb_listings_mgmt&utm_source=gmb-rim-rehab-main-campus&utm_medium=google-local,+1 313-745-1203,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noBMC3iQQg2CMmyjTg33WTV-M-dY4hAsu5iXEirG5qjfG4bRni0RT-ui9hIn3N9gAV6a4bbHqk2KJqOrklvttGZszNh7BLwnyyLmjTgb0IX_ujKGC2UYegltM6kDkKhIYfN29NF=w408-h306-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:03:10.479Z,,
https://www.google.com/maps/place/Henry+Ford+Center+for+Integrative+Medicine+-+Cancer+Detroit/data=!4m7!3m6!1s0x8824cd2b101ccd89:0xa1b65d0540e1b1fc!8m2!3d42.3659006!4d-83.0837265!16s%2Fg%2F11xn75nrz8!19sChIJic0cECvNJIgR_LHhQAVdtqE,Henry Ford Center for Integrative Medicine - Cancer Detroit,3.0,1,Cancer treatment center,"2800 W Grand Blvd, Detroit, MI 48202, United States","9W88+9G Detroit, Michigan, USA",https://www.henryford.com/locations/cancer-institute-detroit/integrative-medicine?utm_campaign=website-link&utm_medium=organic&utm_source=local-listing,+1 833-246-4347,"Closed ⋅ Opens 8 am Mon

Updated by this business 11 weeks ago",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Zi9VgLJ8FceU3s6IbMXhuw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=223.2122&pitch=0&thumbfov=100,true,Closed,8 am–4 pm,8 am–4 pm,10:30 am–7 pm,8 am–4 pm,9 am–3 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:03:15.338Z,,
https://www.google.com/maps/place/Wertz+Clinical+Cancer+Center/data=!4m7!3m6!1s0x8824d3437d721d6d:0x77885012c42fcaaf!8m2!3d42.3521535!4d-83.057268!16s%2Fg%2F11fmfdl49m!19sChIJbR1yfUPTJIgRr8ovxBJQiHc,Wertz Clinical Cancer Center,,,Cancer treatment center,"217 E Alexandrine St, Detroit, MI 48201, United States","9W2V+V3 Detroit, Michigan, USA",,+1 313-745-4400,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SPkDk-2b7qSIwGPkXJCcPA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=74.94699&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:03:18.026Z,,
https://www.google.com/maps/place/DMC+Outpatient+Physician+Clinic/data=!4m7!3m6!1s0x8824d344a8b10c7d:0x895fea731c233a64!8m2!3d42.3498416!4d-83.0554583!16s%2Fg%2F11jh14y7l4!19sChIJfQyxqETTJIgRZDojHHPqX4k,DMC Outpatient Physician Clinic,5.0,1,Medical Center,"261 Mack Ave Ste 520, Detroit, MI 48201, United States","8WXV+WR Detroit, Michigan, USA",https://dmcmedicalgroup.com/practice-list/dmc-outpatient-physician-clinic/,+1 313-966-7246,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9uRM75lBcFSDfg770Splng&cb_client=search.gws-prod.gps&w=408&h=240&yaw=242.64194&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:03:20.952Z,,
https://www.google.com/maps/place/Happiness+R%EF%BB%BFeha%EF%BB%BFb+Trea%EF%BB%BFtment+Center/data=!4m7!3m6!1s0x883b2dfcca5450c9:0x391ce8878b56f993!8m2!3d42.3375895!4d-83.0398509!16s%2Fg%2F11y1v1ljj1!19sChIJyVBUyvwtO4gRk_lWi4foHDk,Happiness R﻿eha﻿b Trea﻿tment Center,5.0,8,Mental health clinic,"3901 Chrysler Service Dr, Detroit, MI 48226, United States","8XQ6+23 Detroit, Michigan, USA",https://sites.google.com/birmingham.io.vn/happinessrehabtreatmentcenter/home,+1 810-256-1988,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNwmKYBwUuOTHY9h3IGqEF_-hzstUyRj9EGBuug=w408-h276-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:03:25.817Z,,
https://www.google.com/maps/place/Detroit+Community+Health+Connection/data=!4m7!3m6!1s0x8824d3679d621eef:0x9851db21fc13c13d!8m2!3d42.3575276!4d-83.0005689!16s%2Fg%2F1td0nn5x!19sChIJ7x5inWfTJIgRPcET_CHbUZg,Detroit Community Health Connection,4.5,165,Community health center,"7900 Kercheval Ave, Detroit, MI 48214, United States","9X5X+2Q Detroit, Michigan, USA",http://dchcquality.org/,+1 313-921-5500,Closed ⋅ Opens 8:30 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wsxWzWrHOgpkb1O4R1SAhA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=152.26427&pitch=0&thumbfov=100,true,Closed,8:30 am–5 pm,8:30 am–5 pm,10 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:03:30.805Z,,
"https://www.google.com/maps/place/Tolan+Park+Research+Clinic/@42.3524182,-83.0514355,17z/data=!3m1!4b1!4m6!3m5!1s0x8824d334a1d7adf9:0x1679895daa2e2db2!8m2!3d42.3524182!4d-83.0514355!16s%2Fg%2F11b6v5rlq9",Tolan Park Research Clinic,4.6,48,Medical Center,"3901 Chrysler Dr, Detroit, MI 48201, United States","9W2X+XC Detroit, Michigan, USA",,+1 313-993-3964,Closed ⋅ Opens 7:30 am Mon,,,false,Closed,7:30 am–3 pm,7:30 am–3 pm,7:30 am–3 pm,7:30 am–3 pm,7:30 am–3 pm,8 am–12 pm,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:03:37.727Z,,
https://www.google.com/maps/place/Lynne+Moseley/data=!4m7!3m6!1s0x8824d2c78c6aaaab:0xf94cdd67e5e65bac!8m2!3d42.3522105!4d-83.0571962!16s%2Fg%2F11qgb7kr5k!19sChIJq6pqjMfSJIgRrFvm5WfdTPk,Lynne Moseley,2.3,3,Medical clinic,"4100 John R St, Detroit, MI 48201, United States","9W2V+V4 Detroit, Michigan, USA",,+1 313-576-8020,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SPkDk-2b7qSIwGPkXJCcPA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=62.687542&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:03:40.647Z,,
"https://www.google.com/maps/place/Karmanos+Cancer+Center/@42.3507202,-83.0566274,17z/data=!3m1!4b1!4m6!3m5!1s0x8824d2c809fe04cf:0x469e0c5b455be0fb!8m2!3d42.3507202!4d-83.0566274!16s%2Fg%2F11tmhqtq1l",Karmanos Cancer Center,,,Cancer treatment center,"Detroit, MI 48201, United States","9W2V+78 Detroit, Michigan, USA",https://www.karmanos.org/karmanos/karmanos-home,+1 800-527-6266,Closed ⋅ Opens 7:30 am Mon,,,false,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:03:47.404Z,,
https://www.google.com/maps/place/Heart+%26+Vascular+Institute/data=!4m7!3m6!1s0x8824d2c78614e533:0x4c24872d6fcd45f7!8m2!3d42.3528098!4d-83.057475!16s%2Fg%2F11gb3r1ytb!19sChIJM-UUhsfSJIgR90XNby2HJEw,Heart & Vascular Institute,4.8,968,Medical clinic,"4160 John R St # 510, Detroit, MI 48201, United States","9W3V+42 Detroit, Michigan, USA",https://www.heartteam.com/?utm_source=gmb_auth,+1 313-993-7777,Closed ⋅ Opens 8 am Mon,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np0BhhnbFfAjHKYH2G3H1GblGI9WjjmR-BmsARamGTywwqzJe6VkXwf5964Zv9bWRPbUVnqx2PS6O3VogBNgm3dPacG6Otqgq02KO0OYeIgm2ieplpQr09Qzgf7jVZHIhOa5b0p=w408-h725-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:03:52.175Z,,
https://www.google.com/maps/place/Central+City+Health/data=!4m7!3m6!1s0x8824d2ca1aecee49:0x1408d130651093fe!8m2!3d42.3453284!4d-83.0572229!16s%2Fg%2F1tggblpp!19sChIJSe7sGsrSJIgR_pMQZTDRCBQ,Central City Health,3.7,196,Mental health clinic,"10 Peterboro St, Detroit, MI 48201, United States","8WWV+44 Detroit, Michigan, USA",http://www.centralcityhealth.com/,+1 313-831-3160,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq1qGo5Y_nYSOl0kC3D-7BDW7mnhEeg9wPzXemoNB8_WlFjEpESsNsZ0LyNtEh6PhI4_Lxjvr2IpQAxEESZpnACgXrmRtKOhmMcbFXBSvmDJlHuDB8VVJqM1zeyIFaKw8flGaj6=w426-h240-k-no,false,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–4:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:03:57.159Z,,
https://www.google.com/maps/place/Wayne+Health+Detroit+Mack+Health+Center+Internal+Medicine/data=!4m7!3m6!1s0x8824d3687c488b09:0xfd560604161fea70!8m2!3d42.3478813!4d-83.0523834!16s%2Fg%2F11m_sfysyr!19sChIJCYtIfGjTJIgRcOofFgQGVv0,Wayne Health Detroit Mack Health Center Internal Medicine,5.0,3,Medical clinic,"400 Mack Ave Suite 2, Detroit, MI 48201, United States","8WXX+52 Detroit, Michigan, USA",http://waynehealthcares.org/,+1 877-929-6342,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqa8mNt0chhGGocqoV1-b87UnOZqWYfTVsAwBknEYo7JRp6jUNh_1N66r5EgpgN4r5hHgySY3QrfD_oe5vI9m9Vdy59oMNjFleXpOXR2S1zkqbPdleDPZv0pjF5lc-EEbqnLxPk=w408-h306-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:04:02.176Z,,
https://www.google.com/maps/place/Wayne+Health+-+Detroit+Public+Health+STD+Clinic/data=!4m7!3m6!1s0x8824d2b9ae0cc439:0xfdaa9509da2c061d!8m2!3d42.3528767!4d-83.0606632!16s%2Fg%2F11c2lhc5yw!19sChIJOcQMrrnSJIgRHQYs2gmVqv0,Wayne Health - Detroit Public Health STD Clinic,2.9,54,STD testing service,"50 E Canfield St, Detroit, MI 48201, United States","9W3Q+5P Detroit, Michigan, USA",http://www.detroitstd.org/,+1 313-577-9100,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqE3gX1m8pWw1FL_DAKZ49OTYDmkyxxZQNZuax4l1YO4Uta-VOYJXy_mj6D-8QYMeusBeoTAoW-6b9N4fuTfbXMzCYD7X24XYCJfQSmjdCV6WEAPCf8Ej2GRcYdpb5-YjI-NVX5=w493-h240-k-no,true,Closed,"8 am–12 pm, 1–4 pm","8 am–12 pm, 1–4 pm","8 am–12 pm, 1–4 pm","8 am–12 pm, 1–4 pm","8 am–12 pm, 1–4 pm",8 am–12 pm,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:04:07.372Z,,
https://www.google.com/maps/place/DMC+Interventional+Pain+Management+Clinic/data=!4m7!3m6!1s0x8824d3b8147ba22d:0x410ebd420378d51a!8m2!3d42.3498416!4d-83.0554583!16s%2Fg%2F11sx__ytd0!19sChIJLaJ7FLjTJIgRGtV4A0K9DkE,DMC Interventional Pain Management Clinic,5.0,1,Medical clinic,"261 Mack Ave Ste 520, Detroit, MI 48201, United States","8WXV+WR Detroit, Michigan, USA",,+1 313-966-7246,Closed ⋅ Opens 12 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9uRM75lBcFSDfg770Splng&cb_client=search.gws-prod.gps&w=408&h=240&yaw=242.64194&pitch=0&thumbfov=100,true,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:04:12.334Z,,
https://www.google.com/maps/place/Karmanos+Cancer+Institute/data=!4m7!3m6!1s0x8824d2c78bec94a3:0x86905e4bf6847fa1!8m2!3d42.3521659!4d-83.0572912!16s%2Fm%2F04kdgfl!19sChIJo5Tsi8fSJIgRoX-E9ktekIY,Karmanos Cancer Institute,4.5,974,Cancer treatment center,"4100 John R St, Detroit, MI 48201, United States","9W2V+V3 Detroit, Michigan, USA",https://www.karmanos.org/?utm_source=loc-421&utm_medium=organic&utm_campaign=google-my-business&utm_content=gmb&y_source=1_MjI2Mjg0MzUtNzE1LWxvY2F0aW9uLndlYnNpdGU=,+1 800-527-6266,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNKBjP4exCPw61XbRZyg_y0kTMOmZJrPHYZfHwN=w420-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:04:17.200Z,,
https://www.google.com/maps/place/Revital+Drug%27s+Detox+Centers/data=!4m7!3m6!1s0x883b2d633228f11b:0x9a97deac0e9ee197!8m2!3d42.3254431!4d-83.0706652!16s%2Fg%2F11w3784vqz!19sChIJG_EoMmMtO4gRl-GeDqzel5o,Revital Drug's Detox Centers,5.0,12,Mental health clinic,"1401 Vermont St ste 220, Detroit, MI 48216, United States","8WGH+5P Detroit, Michigan, USA",http://revitaldrugsdetoxtreatments.shop/,+1 313-612-9494,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Jd5Um0vd9-1qIWDGmtMu1A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=245.14742&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:04:22.259Z,,
https://www.google.com/maps/place/Detroit+Mobile+IV/data=!4m7!3m6!1s0x646049a904d30509:0xd32f54da83e76451!8m2!3d42.3738854!4d-83.0625626!16s%2Fg%2F11q8xcxyg5!19sChIJCQXTBKlJYGQRUWTng9pUL9M,Detroit Mobile IV,5.0,289,Home health care service,"2785 E Grand Blvd #656, Detroit, MI 48211, United States","9WFP+HX Detroit, Michigan, USA",https://www.detroitmobileiv.com/,+1 612-492-1967,Closed ⋅ Opens 9 am Mon,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipODQGC5NqVHE_ia-O-odeUvKeHF505Ntu41wh-X=w408-h408-k-no,true,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:04:27.113Z,,
https://www.google.com/maps/place/Corktown+Health/data=!4m7!3m6!1s0x883b2d43109aaaab:0x64e022112c9fa843!8m2!3d42.3250303!4d-83.0665521!16s%2Fg%2F11g02vwjh4!19sChIJq6qaEEMtO4gRQ6ifLBEi4GQ,Corktown Health,4.2,104,Medical clinic,"1726 Howard St, Detroit, MI 48216, United States","8WGM+29 Detroit, Michigan, USA",http://corktownhealth.org/,+1 313-832-3300,Closed ⋅ Opens 8:30 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqDTf9dwLHJ5cs7wtQu5OuoiGlSTa2uqPc9FoX49Exus51iXKgYbdOLV-9njH5qeabQATvaMOz_053rhJZ1au85mIhHQB8J_QJCLdfyXM_QUpRBq9oOrpsVj5FV-aWgbh6IsAtI=w408-h544-k-no,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:04:32.292Z,,
https://www.google.com/maps/place/University+Health+Center/data=!4m7!3m6!1s0x8824d2c656460fd1:0xc8064b0800d5aab!8m2!3d42.3537701!4d-83.0554651!16s%2Fg%2F1tffpzgv!19sChIJ0Q9GVsbSJIgRq1oNgLBkgAw,University Health Center,2.3,28,Medical clinic,"4201 St. Antoine St, Detroit, MI 48201, United States","9W3V+GR Detroit, Michigan, USA",http://www.dmc.org/,+1 313-745-3000,Closed ⋅ Opens 8 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ID1HQSI4USp4Udc5umOI_Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=269.8061&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-28T23:04:37.385Z,,
