placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,attributes
https://www.google.com/maps/place/Andrew+%26+Co+CPA/data=!4m7!3m6!1s0x80993f152048fdf3:0x66e62233ed6b76b4!8m2!3d39.5429026!4d-119.7523477!16s%2Fg%2F11l2qxg091!19sChIJ8_1IIBU_mYARtHZr7TMi5mY,Andrew & Co CPA,5.0,10,Accountant,"715 H St, Sparks, NV 89431, United States","G6VX+53 Sparks, Nevada, USA",https://www.andrewcocpa.com/,+1 775-420-4237,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FGAv23mQ8RdvMhM85Rx8vw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=161.99345&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-10-19T15:58:47.182Z,,
https://www.google.com/maps/place/Monica%27s+Tax+Preparation+LLC/data=!4m7!3m6!1s0x809938ba2724ba3f:0x1c42f98df51e2f36!8m2!3d39.5495986!4d-119.7716751!16s%2Fg%2F1260fz7qb!19sChIJP7okJ7o4mYARNi8e9Y35Qhw,Monica's Tax Preparation LLC,4.7,23,Tax preparation service,"1855 Sullivan Ln #105, Sparks, NV 89431, United States","G6XH+R8 Sparks, Nevada, USA",,+1 775-351-2277,Opens soon ⋅ 9 am,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=r6V1xwc3bjuSIoIxSoKzYA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=278.0761&pitch=0&thumbfov=100,true,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-10-19T15:58:52.787Z,Identifies as women-owned,
https://www.google.com/maps/place/Tax+Prep+%26+Bookkeeping+Services/data=!4m7!3m6!1s0x80993f2decb67ee5:0xe3748788d163938!8m2!3d39.5540826!4d-119.7541404!16s%2Fg%2F11f8jsj5gk!19sChIJ5X627C0_mYARODkWjXhINw4,Tax Prep & Bookkeeping Services,5.0,8,Tax preparation service,"875 Roberta Ln Ste 102, Sparks, NV 89431, United States","H63W+J8 Sparks, Nevada, USA",,+1 775-746-3200,"Closed ⋅ Opens 10 am Mon

Confirmed by this business 9 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wMM6YPs-PYLDRLB7VlTEDg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=174.09476&pitch=0&thumbfov=100,false,Closed,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-10-19T15:58:57.943Z,,
https://www.google.com/maps/place/Michael+Mellberg+CPA/data=!4m7!3m6!1s0x8099472c074b4323:0x53422e442ccf1d6c!8m2!3d39.50674!4d-119.779132!16s%2Fg%2F1tfqg160!19sChIJI0NLByxHmYARbB3PLEQuQlM,Michael Mellberg CPA,4.7,12,Certified public accountant,"1755 E Plumb Ln # 216, Reno, NV 89502, United States","G64C+M8 Reno, Nevada, USA",http://mellbergcpa.com/,+1 775-323-8131,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SVUuulFyrefqFdolGt_mug&cb_client=search.gws-prod.gps&w=408&h=240&yaw=87.166245&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-10-19T15:59:02.931Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Cammarota+George+V+CPA/data=!4m7!3m6!1s0x80993f1f9889ce9d:0xff6231bc71588da6!8m2!3d39.5259502!4d-119.7449085!16s%2Fg%2F1vkxmhwg!19sChIJnc6JmB8_mYARpo1YcbwxYv8,Cammarota George V CPA,5.0,2,Accountant,"240 Freeport Blvd, Sparks, NV 89431, United States","G7G4+92 Sparks, Nevada, USA",,+1 775-329-1040,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tQQ5r3JqS-GdmRl1hfN4xg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=22.972614&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-10-19T15:59:06.008Z,,
https://www.google.com/maps/place/H%26R+Block/data=!4m7!3m6!1s0x809938b0f0d5483b:0x5f7e02ed7f251304!8m2!3d39.5451275!4d-119.774572!16s%2Fg%2F12hrlc_gj!19sChIJO0jV8LA4mYARBBMlf-0Cfl8,H&R Block,4.7,199,Tax preparation service,"2217 and 2219 Oddie Blvd, Sparks, NV 89431, United States","G6WG+35 Sparks, Nevada, USA",https://www.hrblock.com/tax-office-near-me/nevada/sparks/27619/?otppartnerid=9308&campaignid=pw_mcm_9308_9762&utm_medium=local,+1 775-331-1040,,https://lh3.googleusercontent.com/p/AF1QipNaV2jzXBqKJtdfM3pi2hgXNCumv4mVH2aNm_Q=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-10-19T15:59:08.904Z,,
https://www.google.com/maps/place/Hartmann+Professional+Services/data=!4m7!3m6!1s0x809938ccc941bbd7:0x7c1c4b1ad5d55661!8m2!3d39.5549633!4d-119.7570807!16s%2Fg%2F1vg4k0yf!19sChIJ17tBycw4mYARYVbV1RpLHHw,Hartmann Professional Services,5.0,7,Tax preparation service,"1055 Roberta Ln #100, Sparks, NV 89431, United States","H63V+X5 Sparks, Nevada, USA",http://hpsinv.com/profile/,+1 775-331-2378,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VdQM5kqc15VYYdIqjMk0HQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=184.87552&pitch=0&thumbfov=100,false,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-10-19T15:59:13.854Z,,
https://www.google.com/maps/place/H%26R+Block/data=!4m7!3m6!1s0x809938d1c67466c3:0xe5b1fc1a0c75eca1!8m2!3d39.5500232!4d-119.7530871!16s%2Fg%2F1tczkqw2!19sChIJw2Z0xtE4mYARoex1DBr8seU,H&R Block,4.8,163,Tax preparation service,"802 Holman Way, Sparks, NV 89431, United States","H62W+2Q Sparks, Nevada, USA",https://www.hrblock.com/tax-office-near-me/nevada/sparks/27611/?otppartnerid=9308&campaignid=pw_mcm_9308_9762&utm_medium=local,+1 775-359-2036,,https://lh3.googleusercontent.com/p/AF1QipPfofihAYTK4OBeq5GHrZ5dIC9tXnP6wf9d8-Zu=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-10-19T15:59:16.760Z,,
https://www.google.com/maps/place/H%26R+Block/data=!4m7!3m6!1s0x876c6d38c9343f7d:0xe3bc4b070087210d!8m2!3d39.5434946!4d-119.7173824!16s%2Fg%2F1thxlk8c!19sChIJfT80yThtbIcRDSGHAAdLvOM,H&R Block,4.9,115,Tax preparation service,"1450 E Prater Way Ste 108, Sparks, NV 89434, United States","G7VM+92 Sparks, Nevada, USA",https://www.hrblock.com/tax-office-near-me/nevada/sparks/27618/?otppartnerid=9308&campaignid=pw_mcm_9308_9762&utm_medium=local,+1 775-359-6396,,https://lh3.googleusercontent.com/p/AF1QipMgDFwmyB_dHjkw2l2R8csHh81EPV5GvVOrh6IG=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-10-19T15:59:19.673Z,,
"https://www.google.com/maps/place/Hartmann+%26+Associates/@39.545785,-119.73473,17z/data=!3m1!4b1!4m6!3m5!1s0x80993f2d6c351beb:0x41a0b2d27ee15387!8m2!3d39.545785!4d-119.73473!16s%2Fg%2F1vzv3xnt",Hartmann & Associates,4.2,5,Tax preparation service,"1311 N McCarran Blvd #105, Sparks, NV 89431, United States","G7W8+84 Sparks, Nevada, USA",https://www.hartmannandassociates.com/,+1 775-358-6649,Closed ⋅ Opens 8 am Mon,,false,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-10-19T15:59:26.489Z,,
