placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned,attributes,error
"https://www.google.com/maps/place/Bashar+A+Salame,+DC/data=!4m7!3m6!1s0x883b2d31116aaaab:0x50c1d3e75d27551!8m2!3d42.334056!4d-83.0504911!16s%2Fg%2F11tn9lkj62!19sChIJq6pqETEtO4gRUXXSdT4dDAU","Bashar A Salame, DC",5.0,8,Chiropractor,"1420 Washington Blvd, Detroit, MI 48226, United States","8WMX+JR Detroit, Michigan, USA",https://www.henryford.com/physician-directory/s/salame-bashar?utm_campaign=website-link&utm_medium=organic&utm_source=local-listing,+1 800-436-7936,Open · Closes 8 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_F1oJ1yErobGRfbuaqof2Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=86.650375&pitch=0&thumbfov=100,true,7:30 am–8 pm,7:30 am–8 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,8 am–12 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-02-23T16:17:05.585Z,,,,
https://www.google.com/maps/place/Alternative+Health+%26+Wellness+Institute/data=!4m7!3m6!1s0x8824d32afffa96d7:0xeb4a77e1149b27d!8m2!3d42.3418867!4d-83.0333733!16s%2Fg%2F1tflb8lc!19sChIJ15b6_yrTJIgRfbJJEX6ntA4,Alternative Health & Wellness Institute,,,Holistic medicine practitioner,"1575 Cherboneau Pl #54, Detroit, MI 48207, United States","8XR8+QM Detroit, Michigan, USA",http://www.althealthandwellness.net/,+1 313-567-0718,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqAzdK8P_sKwX0GlKTYutp_Qbnwgkd0D15_9tdLMfbnaTmN39IxZyopy5qtDQmlKu7Mo6_R-DTV0FREGrtr5phxkVT53p6tVvXQduE_nIiWrErVp6JyIfxkxw1yFk5OV1ZBXYz0=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–3 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-02-23T16:17:11.137Z,LGBTQ+ friendly,true,,
https://www.google.com/maps/place/Kif+Medical+Marijuana+Card+Doctors+Michigan/data=!4m7!3m6!1s0x883b2dd56f10ce95:0xc7d4eebf4dc55ad6!8m2!3d42.3346878!4d-83.0551804!16s%2Fg%2F11pd3vhx_7!19sChIJlc4Qb9UtO4gR1lrFTb_u1Mc,Kif Medical Marijuana Card Doctors Michigan,5.0,14,Alternative medicine practitioner,"1945 Grand River Ave, Detroit, MI 48226, United States","8WMV+VW Detroit, Michigan, USA",https://thekif.com/michigan/?UTM=GBP,,Open · Closes 11 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq4S_Gpyd4TABV0v0zKzBgeOjBx2EdX5Rcqc7lcMDM03RcRdclUCXJguELpbeAyoym5NPPNCjjFWLoMNTNXlTD8XE6ygRI5lklVMWzYnFaroGZuTlCFWUtRj21OXU_AsCnOChjk=w426-h240-k-no,true,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,"https://www.google.com/maps/search/functional+medicine+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-02-23T16:17:16.455Z,,,,
https://www.google.com/maps/place/Meta+Physica+Wellness+Center/data=!4m7!3m6!1s0x8824d2b828501d43:0xe433a4714428d980!8m2!3d42.3295565!4d-83.065893!16s%2Fg%2F11btv6b127!19sChIJQx1QKLjSJIgRgNkoRHGkM-Q,Meta Physica Wellness Center,4.9,228,Wellness center,"1701 Trumbull #3, Detroit, MI 48216, United States","8WHM+RJ Detroit, Michigan, USA",http://www.metaphysicamassage.com/,+1 313-303-7611,Open · Closes 9 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoZOGpgsCuLe4MXtWn343Ww9T2yBo0o9H-3hOxvvsaQfE5r27h4SIgdVbQTbszRY-x3TxovFiH-Y04laOFh6fRmvLux02Ou0GgaN5_CWQcFW9Hd6fzZmCX6nlIiIlSAuesBXbMK=w408-h255-k-no,true,10 am–9 pm,Closed,10 am–9 pm,10 am–9 pm,10 am–7 pm,10 am–7 pm,10 am–9 pm,"https://www.google.com/maps/search/functional+medicine+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-02-23T16:17:21.283Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/EWHealing/data=!4m7!3m6!1s0x8824d368ec63952b:0x23a4de5060879c29!8m2!3d42.3426308!4d-83.008482!16s%2Fg%2F11f63xschw!19sChIJK5Vj7GjTJIgRKZyHYFDepCM,EWHealing,4.0,4,Alternative medicine practitioner,"227 Iron St LOFT #133, Detroit, MI 48207, United States","8XVR+3J Detroit, Michigan, USA",https://elocin-wholistic-llc.square.site/,+1 313-778-8501,Closed · Opens 12 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer1mkzLX2kJrAAJUI4sDPvLCdj9tscViq09oTLJcAZeBXl7gQUVevXBDNtwmbxkyFOp_fRQEF4SlMq5iJjzzLp91zpgJ1SCLDTEvGEuSJz3cOx_UfXjzktH0hZf002PwEnYsCbSQw=w426-h240-k-no,true,12–5 pm,12–5 pm,12–5 pm,12:30 am–5 pm,12–5 pm,12–5 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-02-23T16:17:26.093Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Medicina+Urbana+@+Acadian+Clinic/data=!4m7!3m6!1s0x883b33da2bce1ec1:0x720f2abc6ac512c8!8m2!3d42.3102797!4d-83.1267669!16s%2Fg%2F11g0gtqmbq!19sChIJwR7OK9ozO4gRyBLFarwqD3I,Medicina Urbana @ Acadian Clinic,4.8,26,Doctor,"2117 Springwells St, Detroit, MI 48209, United States","8V6F+47 Detroit, Michigan, USA",https://medicinaurbanadetroit.com/,+1 313-281-1362,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerHgHVfpgAf5e3Klw4_Sn2Y26FBpJ3kFsqzKlTRLq8qfqz_jNlc89g27banAek0KjtpMF0go-_McO0o_o8reqK0xY-gSQu713D4VxOIak6vXj-HhuHv-nvsfDP8D8rZ7G3qkJPG=w408-h270-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-02-23T16:17:31.065Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Health+First+Chiropractic+Clinic/data=!4m7!3m6!1s0x883b2d28aaa1af59:0x3f574b4c827ffc7d!8m2!3d42.334056!4d-83.0504911!16s%2Fg%2F1tf7yd2f!19sChIJWa-hqigtO4gRffx_gkxLVz8,Health First Chiropractic Clinic,4.9,33,Chiropractor,"1420 Washington Blvd 6th fl, Detroit, MI 48226, United States","8WMX+JR Detroit, Michigan, USA",https://www.primechiro.com/,+1 313-433-1251,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoCikhtIAro5HkXNyi_b08GeGNkPlqn4ZIvYbP2uAtY2VAFTS4n_BA2XK9DXIau7BTNRsDeKluWy3loa4ezrPp3vUsopoVZNi2AhiUAv0Mv_iECanxtZAHZUtYJMKacYaxf62Q2=w408-h272-k-no,true,9 am–6 pm,Closed,8:30 am–6 pm,Closed,9 am–6 pm,9–11 am,Closed,"https://www.google.com/maps/search/functional+medicine+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-02-23T16:17:35.744Z,,,,
"https://www.google.com/maps/place/Thomas+R+Betts,+LAC/@42.3655111,-83.0758999,17z/data=!3m1!4b1!4m6!3m5!1s0x8824d34a99be4b61:0x7a46cfec40b6ad46!8m2!3d42.3655111!4d-83.0758999!16s%2Fg%2F11mz3pvl94","Thomas R Betts, LAC",,,Alternative medicine practitioner,"690 Amsterdam St, Detroit, MI 48202, United States","9W8F+6J Detroit, Michigan, USA",https://www.henryford.com/physician-directory/b/betts-thomas?utm_campaign=website-link&utm_medium=organic&utm_source=local-listing,+1 313-651-1910,"Open · Closes 7 pm

Updated by this business 5 weeks ago",,true,6:30 am–7 pm,6:30 am–7 pm,6:30 am–7 pm,6:30 am–7 pm,6:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-02-23T16:17:42.537Z,,,,
https://www.google.com/maps/place/Plum+Health+Direct+Primary+Care/data=!4m7!3m6!1s0x883b32a0f932deff:0x890ba008a9039344!8m2!3d42.3316119!4d-83.0683748!16s%2Fg%2F11ddwx4qh3!19sChIJ_94y-aAyO4gRRJMDqQigC4k,Plum Health Direct Primary Care,4.9,145,Medical clinic,"1620 Michigan Ave STE 125, Detroit, MI 48216, United States","8WJJ+JM Detroit, Michigan, USA",http://www.plumhealthdpc.com/,+1 313-444-5630,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepLgvjyarwjueoJlfBtKoMwYcICOgxiB9ZuWZjlkh73M6hUYyXeNKdPNSgIWp3hq9ESBbD-RpyGaeCnLpvu7x-nhH0LtztGRZjByau4j1_8jWHTd28eQy6Li03cNZRBBsW35ds=w408-h360-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-02-23T16:17:47.658Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/WSU+Integrative+Biosciences+Center/data=!4m7!3m6!1s0x8824d2997b3a67d9:0x1a35571cfb4fb53!8m2!3d42.365917!4d-83.07166!16s%2Fg%2F11bwnd5fy4!19sChIJ2Wc6e5nSJIgRU_u0z3FVowE,WSU Integrative Biosciences Center,4.9,15,Research institute,"6135 Woodward Ave, Detroit, MI 48202, United States","9W8H+98 Detroit, Michigan, USA",http://ibio.wayne.edu/,+1 313-577-1771,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoWKTWN6KuT1pimdyOgS7oAZzjH1RToveEc2-hDNL3xmB9YCjFJtvM8kLgzBbsCmdHkkL_RLuJkuBdhwqohed9tKzkFVudXaKm_-7aI8v3_bxz7gIRB6BoTp4rGY99WN9g89MfW6A=w408-h408-k-no,false,,,,,,,,"https://www.google.com/maps/search/functional+medicine+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-02-23T16:17:50.384Z,,,,
