placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,isBlackOwned,attributes,error
https://www.google.com/maps/place/100%25+Chiropractic+-+Chattanooga/data=!4m7!3m6!1s0x886065157e5563df:0x87844b6f802b5ba1!8m2!3d35.017481!4d-85.169687!16s%2Fg%2F11h0m1q1k9!19sChIJ32NVfhVlYIgRoVsrgG9LhIc,100% Chiropractic - Chattanooga,4.9,274,Chiropractor,"1309 Panorama Dr #107, Chattanooga, TN 37421, United States","2R8J+X4 Chattanooga, Tennessee, USA",https://100percentchiropractic.com/locations/chattanooga-tn/,+1 423-541-3771,Closed ⋅ Opens 8 am Mon,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOalggVBeZlvclcjzsjqnfID3cpb6-GCkOR2X4j=w408-h306-k-no,true,Closed,"8 am–12 pm, 2–6 pm",2–6 pm,"8 am–12 pm, 2–6 pm","8 am–12 pm, 2–6 pm",8 am–12 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-09-28T23:02:02.046Z,,,
https://www.google.com/maps/place/TwelveStone+Infusion+Center+Chattanooga/data=!4m7!3m6!1s0x886063b70b96c907:0x825c54f2802cb217!8m2!3d35.0131239!4d-85.1858808!16s%2Fg%2F11j7w4m_2p!19sChIJB8mWC7djYIgRF7IsgPJUXII,TwelveStone Infusion Center Chattanooga,4.9,123,Specialized clinic,"1206 Pointe Centre Dr #230, Chattanooga, TN 37421, United States","2R77+6J Chattanooga, Tennessee, USA",https://www.12stonehealth.com/solutions/infusion-center/,+1 423-877-2693,Closed ⋅ Opens 7 am Mon,,https://lh3.googleusercontent.com/p/AF1QipMQ4iDUUplfueAUoJ_8PGXZuqQ3gG2pfwYh1upH=w408-h267-k-no,true,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-09-28T23:02:07.047Z,,,
https://www.google.com/maps/place/IVX+Health+Infusion+Center/data=!4m7!3m6!1s0x886063fb0af849df:0x53feadb66cf17f3e!8m2!3d35.0343673!4d-85.146787!16s%2Fg%2F11qmq4fhm7!19sChIJ30n4CvtjYIgRPn_xbLat_lM,IVX Health Infusion Center,5.0,55,Medical clinic,"7443 Commons Blvd Suite 114, Chattanooga, TN 37421, United States","2VM3+P7 Chattanooga, Tennessee, USA",https://ivxhealth.com/locations/tennessee/east-tn/chattanooga?utm_source=gmb&utm_medium=yext,+1 423-558-0677,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipNrobxWC30n7_tNT4C4Fj8iVLqd1HXrAoUCXbp7=w408-h306-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-09-28T23:02:11.558Z,,,
https://www.google.com/maps/place/Erlanger+East+Infusion+Center/data=!4m7!3m6!1s0x88606534ae08c335:0x93efa72008a0d58d!8m2!3d35.0207435!4d-85.1612506!16s%2Fg%2F11ghpss9bx!19sChIJNcMIrjRlYIgRjdWgCCCn75M,Erlanger East Infusion Center,4.0,10,Acupuncture clinic,"1635 Gunbarrel Rd STE 320, Chattanooga, TN 37421, United States","2RCQ+7F Chattanooga, Tennessee, USA",https://www.erlanger.org/medical-services/cancer---oncology/cancer-services/infusion-services/erlanger-east-infusion-center,+1 423-778-8757,Closed ⋅ Opens 9 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=X3QvXZo3OtVMblGpudFEGA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=168.53656&pitch=0&thumbfov=100,false,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-09-28T23:02:16.328Z,,,
"https://www.google.com/maps/place/CHI+Memorial+Joseph+H.+and+Alice+E.+Davenport+Outpatient+Infusion+Center/@35.0423538,-85.259325,17z/data=!3m1!4b1!4m6!3m5!1s0x88606152e333c179:0x56b29d5f4ba5848c!8m2!3d35.0423538!4d-85.259325!16s%2Fg%2F11x13p6xps",CHI Memorial Joseph H. and Alice E. Davenport Outpatient Infusion Center,,,Medical clinic,"2525 Desales Ave, Chattanooga, TN 37404, United States","2PRR+W7 Chattanooga, Tennessee, USA",,+1 423-495-6087,,,,true,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-09-28T23:02:20.772Z,,,
https://www.google.com/maps/place/Amerita+Specialty+Infusion+Services+-+Chattanooga/data=!4m7!3m6!1s0x88606160b734e5a9:0x7b611fb58d14707b!8m2!3d35.0553693!4d-85.1941124!16s%2Fg%2F11xk5_krn!19sChIJqeU0t2BhYIgRe3AUjbUfYXs,Amerita Specialty Infusion Services - Chattanooga,5.0,1,Pharmacy,"5959 Shallowford Rd 107 109, Chattanooga, TN 37421, United States","3R44+49 Chattanooga, Tennessee, USA",https://www.ameritaiv.com/,+1 423-893-9335,"Closed ⋅ Opens 8 am Mon

Confirmed by this business 2 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noy8xNu8Jc79Z2lRO2E9QzP7xqoi5Tq2_HhpNrwwBs0ys3g6otzsLcWuTdCT-7E64ToktyMez9r3Ftz6-sUwr3GMYAt43rCjJufCL-kwqwu2vSuyvWlDvpHwlqqv2B9M1wjjU46KQ=w426-h240-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-09-28T23:02:25.500Z,,,
https://www.google.com/maps/place/wHydrate+-+IV+Hydration+Therapy/data=!4m7!3m6!1s0x88605f9d5411ee71:0x333d3e34f2d9ab0a!8m2!3d35.0624658!4d-85.31306!16s%2Fg%2F11jk8x459z!19sChIJce4RVJ1fYIgRCqvZ8jQ-PTM,wHydrate - IV Hydration Therapy,4.9,440,IV therapy service,"218 Manufacturers Rd, Chattanooga, TN 37405, United States","3M6P+XQ Chattanooga, Tennessee, USA",https://whydrate.com/,+1 423-760-8356,Closed ⋅ Opens 10 am Mon,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipNQr_9fffTGLntN5qRaV0RseGPJgurCnGUYPVuB=w408-h306-k-no,true,9:30 am–5 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,9:30 am–5 pm,"https://www.google.com/maps/search/Infusion+centers+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-09-28T23:02:31.188Z,,,
https://www.google.com/maps/place/Scenic+City+Neurotherapy+-+Ketamine+Infusion+Therapy+and+TMS+Clinic/data=!4m7!3m6!1s0x88606382c5a2322f:0xa5b0aed55dca386c!8m2!3d35.0407104!4d-85.1491546!16s%2Fg%2F11hyz_k7bf!19sChIJLzKixYJjYIgRbDjKXdWusKU,Scenic City Neurotherapy - Ketamine Infusion Therapy and TMS Clinic,4.9,79,Mental health clinic,"7405 Shallowford Rd STE 240, Chattanooga, TN 37421, United States","2VR2+78 Chattanooga, Tennessee, USA",https://sceniccityneurotherapy.com/,+1 423-228-0579,Closed ⋅ Opens 9 am Mon,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPu_yGjxiqkL-KdlKdYlW-xau2AGwkxCElNG1c0=w426-h240-k-no,true,9 am–5:30 pm,9 am–7:30 pm,9 am–7:30 pm,9 am–7:30 pm,9 am–7:30 pm,9 am–7:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-09-28T23:02:35.730Z,,,
https://www.google.com/maps/place/Metro+Infusion+Center/data=!4m7!3m6!1s0x88606555dbb3f9d5:0x77784b92fba2a75e!8m2!3d35.0193596!4d-85.1596882!16s%2Fg%2F11w3zzhth2!19sChIJ1fmz21VlYIgRXqei-5JLeHc,Metro Infusion Center,,,Medical Center,"7480 Ziegler Rd #140, Chattanooga, TN 37421, United States","2R9R+P4 Chattanooga, Tennessee, USA",https://metroinfusioncenter.com/,+1 877-448-3627,Closed ⋅ Opens 9 am Mon,LGBTQ+ friendly,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=C7NnoO4f2YVb6d8OuPWzDg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=111.23376&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2025-09-28T23:02:40.437Z,,,
https://www.google.com/maps/place/QuikCare%2FAwilda+Marrero+LaBonne+PLLC/data=!4m7!3m6!1s0x88605f71f31637a1:0x25e7235077513223!8m2!3d35.0649664!4d-85.3098552!16s%2Fg%2F11hd_88z04!19sChIJoTcW83FfYIgRIzJRd1Aj5yU,QuikCare/Awilda Marrero LaBonne PLLC,5.0,54,Medical clinic,"13 W Kent St UNIT 103, Chattanooga, TN 37405, United States","3M7R+X3 Chattanooga, Tennessee, USA",http://www.myquikcare.com/,+1 423-648-2273,Closed ⋅ Opens 9 am Mon,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipOGQkZiqYcR182oQjcksL4Q8YloTNha7ZRpofx4=w408-h272-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Lookout+Mountain+Chattanooga+TN/@34.9942422,-85.3494027,14z",2025-09-28T23:03:02.741Z,,,
