placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,isBlackOwned,error
https://www.google.com/maps/place/Aquarius+Pools+by+Theresa+LLC/data=!4m7!3m6!1s0x8822c0c6e41a6b05:0xa9f3ae912b02aaf9!8m2!3d42.6730598!4d-84.579099!16s%2Fg%2F1vppt3_3!19sChIJBWsa5MbAIogR-aoCK5Gu86k,Aquarius Pools by Theresa LLC,3.9,82,Swimming pool contractor,"5920 S Martin Luther King Jr Blvd, Lansing, MI 48911, United States","MCFC+69 Lansing, Michigan, USA",,+1 517-882-2620,Open ⋅ Closes 5 pm,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipOxPwXApHBVjKf_mcRj_MEL8oY1fssjxKIqXIR6=w427-h240-k-no,true,10 am–5 pm,10 am–6 pm,12–7 pm,10 am–6 pm,10 am–6 pm,10 am–2 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Lansing+MI/@42.7335993,-84.5538664,14z",2025-10-27T18:59:45.302Z,,,
https://www.google.com/maps/place/Classic+Pool+%26+Spa+Inc./data=!4m7!3m6!1s0x8822ec3f596c807b:0xe29491d01cade191!8m2!3d42.8355624!4d-84.5424238!16s%2Fg%2F1td1w1kq!19sChIJe4BsWT_sIogRkeGtHNCRlOI,Classic Pool & Spa Inc.,4.2,89,Swimming pool,"12455 Old U.S. 27, DeWitt, MI 48820, United States","RFP5+62 DeWitt, Michigan, USA",https://classicpoolmi.com/,+1 517-669-3046,Open ⋅ Closes 5:30 pm,,https://lh3.googleusercontent.com/p/AF1QipMhreYWQjhLKR77fMQ0sma2TqTRCLl9StSoOg_V=w427-h240-k-no,true,11 am–5:30 pm,Closed,11 am–5:30 pm,Closed,11 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Lansing+MI/@42.7335993,-84.5538664,14z",2025-10-27T18:59:51.941Z,,,
https://www.google.com/maps/place/Only+Outdoor+Living/data=!4m7!3m6!1s0x881773ec840c4649:0xdffbd3e0952e6e09!8m2!3d42.505224!4d-85.0405775!16s%2Fg%2F11fhngfcqh!19sChIJSUYMhOxzF4gRCW4uleDT-98,Only Outdoor Living,4.9,30,Swimming pool contractor,,,http://onlyoutdoorliving.com/,+1 517-512-3954,Open ⋅ Closes 5:30 pm,,https://lh3.googleusercontent.com/p/AF1QipOhKMsn98E9RZzcQDO8ZzcqaI5RtK4_-albyg19=w408-h273-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Lansing+MI/@42.7335993,-84.5538664,14z",2025-10-27T18:59:58.054Z,,,
https://www.google.com/maps/place/Victors+Home+Solutions/data=!4m7!3m6!1s0x8822e9f21c396a3f:0xb7f1890927669f57!8m2!3d42.733101!4d-84.5128397!16s%2Fg%2F11xgr1yp86!19sChIJP2o5HPLpIogRV59mJwmJ8bc,Victors Home Solutions,4.8,23,Roofing contractor,"2722 E Michigan Ave suite 239, Lansing, MI 48912, United States","PFMP+6V Lansing, Michigan, USA",https://victors.com/,+1 517-715-4495,Open ⋅ Closes 9 pm,,https://lh3.googleusercontent.com/p/AF1QipPckfvs28ANOTaDgPuI2gJGKuAy2d7FNFfYRYs=w408-h271-k-no,true,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Lansing+MI/@42.7335993,-84.5538664,14z",2025-10-27T19:00:03.910Z,,,
https://www.google.com/maps/place/Morehouse+Pools/data=!4m7!3m6!1s0x8822c5ff3cc197cf:0x956bb45aaa65b132!8m2!3d42.6472256!4d-84.507328!16s%2Fg%2F11lczlrycz!19sChIJz5fBPP_FIogRMrFlqlq0a5U,Morehouse Pools,5.0,5,Swimming pool contractor,"2240 Depot St, Holt, MI 48842, United States","JFWV+V3 Holt, Michigan, USA",,+1 517-803-9157,,,https://lh3.googleusercontent.com/p/AF1QipNKajlZM0lWRYIGlOHjMfJkH1dIwsTgNcFv9g0K=w408-h306-k-no,true,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Lansing+MI/@42.7335993,-84.5538664,14z",2025-10-27T19:00:06.873Z,,,
https://www.google.com/maps/place/RL+Rider+Remodeling/data=!4m7!3m6!1s0x8822ea0fcf66f81d:0xe347ee9515658064!8m2!3d42.7426638!4d-84.5347104!16s%2Fg%2F1tgkhxdf!19sChIJHfhmzw_qIogRZIBlFZXuR-M,RL Rider Remodeling,4.8,62,Contractor,"1121 May St, Lansing, MI 48906, United States","PFV8+34 Lansing, Michigan, USA",http://rlrider.com/,+1 517-487-3713,"Open ⋅ Closes 5 pm

Updated by this business 8 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipP-cCgEIIi-2z8X2p_NfRVmeA0fZcO6Eu33MHlY=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Lansing+MI/@42.7335993,-84.5538664,14z",2025-10-27T19:00:11.816Z,,,
https://www.google.com/maps/place/Sanctuary+Pool+%26+Patio/data=!4m7!3m6!1s0xaa84a8fdbec9cf51:0xa9a615a726fc404b!8m2!3d42.94373!4d-84.4216504!16s%2Fg%2F11vxzmnnyk!19sChIJUc_Jvv2ohKoRS0D8JqcVpqk,Sanctuary Pool & Patio,,,Swimming pool contractor,,,https://sanctuarypoolsmi.com/,+1 877-517-7665,Open ⋅ Closes 6 pm,,https://lh3.googleusercontent.com/p/AF1QipP4Rc9ky6YyXpif1SXmAq3dsGgBzRedY6kwGl7V=w408-h261-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Lansing+MI/@42.7335993,-84.5538664,14z",2025-10-27T19:00:16.401Z,,,
"https://www.google.com/maps/place/Nosal+Pools/@42.7211835,-84.559457,12z/data=!3m1!4b1!4m6!3m5!1s0x8822c0ebd799316f:0x228056e99663cca8!8m2!3d42.7211836!4d-84.559457!16s%2Fg%2F1wbryd7w",Nosal Pools,3.0,9,Swimming pool repair service,,,,+1 517-272-1257,,,,true,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Lansing+MI/@42.7335993,-84.5538664,14z",2025-10-27T19:00:21.118Z,,,
https://www.google.com/maps/place/TNT+Pools/data=!4m7!3m6!1s0x8822c162681807c3:0x2833b5f8f127e89d!8m2!3d42.6821954!4d-84.5231001!16s%2Fg%2F11bbrj3j20!19sChIJwwcYaGLBIogRnegn8fi1Myg,TNT Pools,4.0,81,Swimming pool supply store,"5157 N Aurelius Rd, Lansing, MI 48911, United States","MFJG+VQ Lansing, Michigan, USA",https://www.tntpools.net/,+1 517-393-4800,Temporarily closed,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwwqfk8LDZSHVYlmiXPnu_Ie0wUFnQUn7RigDBjtalnQBggKlYVcOCh56Hy23z2pxcwmtpxVqOAhcRn5Fw-o3I5hn-I1n-xMF7wq-hp2atj1AbZkj7h4GWHnOj7adfSN6Oz7ciJ=w408-h306-k-no,true,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Lansing+MI/@42.7335993,-84.5538664,14z",2025-10-27T19:00:25.997Z,"Family-owned store selling pools, hot tubs & related chemicals, plus infrared fireplaces.",,
https://www.google.com/maps/place/Pool+Service+Specialist/data=!4m7!3m6!1s0x88238210eaaaaaab:0x482b34692d47352d!8m2!3d42.670899!4d-83.3506568!16s%2Fg%2F11fy54hrkn!19sChIJq6qq6hCCI4gRLTVHLWk0K0g,Pool Service Specialist,4.3,59,Swimming pool supply store,,,https://poolservicespecialist.com/,+1 810-780-4998,,,https://lh3.googleusercontent.com/p/AF1QipOeSdigzDums7fLOrSdL9XV8ld7Z266Um0LllJ8=w408-h405-k-no,true,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Flint+MI/@43.0624305,-83.6595043,14z",2025-10-27T19:00:40.352Z,· Delivery,,
