placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,error
https://www.google.com/maps/place/NB+Electric+%26+Pumps/data=!4m7!3m6!1s0x2d43ad54269d0b7f:0x84af4b193563518b!8m2!3d40.4911815!4d-122.194407!16s%2Fg%2F11tdqzs_7y!19sChIJfwudJlStQy0Ri1FjNRlLr4Q,NB Electric & Pumps,5.0,38,Electrician,,,https://www.nbelectricandpumps.com/,+1 530-524-8543,Open 24 hours,Identifies as indigenous-owned,https://lh3.googleusercontent.com/p/AF1QipMfCuO92-KuKYkXIGtoqJw3r_s64IPOaPAgCF1w=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-01-10T23:16:59.473Z,,
"https://www.google.com/maps/place/Integrity+Heating,+Air+%26+Solar/data=!4m7!3m6!1s0x54d2c18fa7b9380b:0x77477acfca477279!8m2!3d40.4692114!4d-122.3211397!16s%2Fg%2F1twyz87y!19sChIJCzi5p4_B0lQReXJHys96R3c","Integrity Heating, Air & Solar",4.6,141,Air conditioning contractor,"5213 Industrial Way, Anderson, CA 96007, United States","FM9H+MG Anderson, California, USA",https://integritycomplete.com/,+1 530-365-9100,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzCCsEeQl3Iho82nN_b2_wtALkX2Rcbd0jtN0LAEA9MaJtHpJ_1PLd19DSLIhv-Pghys7A_ZihU4w8NIt-JqXSj24Y1meh8icAVXVz9Lrcr5_8JmyidlMuWgiyLvIzT_ObCAxGUceHzzjU=w408-h544-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-01-10T23:17:05.234Z,,
https://www.google.com/maps/place/Blue+Star+Gas+-+Redding+Co./data=!4m7!3m6!1s0x54d2c1f92cdaf0e5:0x756e19a75dad4e62!8m2!3d40.483093!4d-122.3476897!16s%2Fg%2F1w_vm_l8!19sChIJ5fDaLPnB0lQRYk6tXacZbnU,Blue Star Gas - Redding Co.,4.6,50,Propane supplier,"6775 Eastside Rd, Anderson, CA 96007, United States","FMM2+6W Anderson, California, USA",https://www.bluestargas.com/,+1 530-365-2131,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPP7dymnhUgjDsK5orciSn1R8JGTKNVIb_uUzBa=w408-h272-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-01-10T23:17:10.211Z,,
https://www.google.com/maps/place/Power+Up+Electric/data=!4m7!3m6!1s0x54d2ed1fad5ccf83:0x1171e7bb2e4b53e9!8m2!3d40.5803178!4d-122.2638421!16s%2Fg%2F1td1__fh!19sChIJg89crR_t0lQR6VNLLrvncRE,Power Up Electric,5.0,8,Electric generator shop,"10075 Rocking Horse Ln, Redding, CA 96003, United States","HPJP+4F Redding, California, USA",https://powerupgenerators.net/,+1 530-605-1089,Closed · Opens 8 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GpR1maROIMfFY1fJVBy9dw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=89.69943&pitch=0&thumbfov=100,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–2 pm,"https://www.google.com/maps/search/generator+installation+services+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-01-10T23:17:15.209Z,,
https://www.google.com/maps/place/Hufft+Solar+Inc/data=!4m7!3m6!1s0xeaf0d7f8472e645:0xfac7756238d98c43!8m2!3d40.4510563!4d-122.3012532!16s%2Fg%2F11scnv1s6w!19sChIJReZyhH8Nrw4RQ4zZOGJ1x_o,Hufft Solar Inc,5.0,83,Solar energy company,"2016 North St, Anderson, CA 96007, United States","FM2X+CF Anderson, California, USA",http://www.hufftsolar.com/,+1 530-378-5253,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPYH8jGLtmbh1Brkb6K5Gx5FFCgKT4vz5OY1iNW=w408-h306-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-01-10T23:17:20.140Z,,
https://www.google.com/maps/place/Addy+Solar+%26+Electric/data=!4m7!3m6!1s0x54d295f8796bb6a5:0x689db0caf0e8aafd!8m2!3d40.5448539!4d-122.3023293!16s%2Fg%2F11bbt9nl09!19sChIJpbZrefiV0lQR_aro8MqwnWg,Addy Solar & Electric,4.9,47,Solar energy company,"8865 Airport Rd Suite J, Redding, CA 96002, United States","GMVX+W3 Redding, California, USA",https://www.addysolar.com/,+1 530-276-0231,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipNWHTezRBDQ4oHPvf8fT4dP08ZDsPQmkXYgHjM5=w408-h306-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-01-10T23:17:25.153Z,,
https://www.google.com/maps/place/Carter+Electric/data=!4m7!3m6!1s0x54d2935786906897:0x6b4fb48cb031c0e0!8m2!3d40.5721377!4d-122.3546666!16s%2Fg%2F1tk6q1g_!19sChIJl2iQhleT0lQR4MAxsIy0T2s,Carter Electric,4.8,67,Electrician,"925 Wall St suite 1, Redding, CA 96002, United States","HJCW+V4 Redding, California, USA",http://www.carter-electric-inc.com/,+1 530-241-8200,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipOwZFJM6DT8qU5vErAfMoFG_XRORTtU8OxsdyM7=w426-h240-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-01-10T23:17:30.181Z,,
https://www.google.com/maps/place/Tim%27s+Mobile+Repair/data=!4m7!3m6!1s0x54d2eced0bc36abd:0x2f6e3b96995a98d2!8m2!3d40.46835!4d-122.3185925!16s%2Fg%2F1tdcwv1y!19sChIJvWrDC-3s0lQR0phamZY7bi8,Tim's Mobile Repair,4.5,41,Lawn mower repair service,"6200 Stainless Way #18, Anderson, CA 96007, United States","FM9J+8H Anderson, California, USA",,+1 530-246-7439,Open · Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GzGMTI-P46IzgSpFa5kAmA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=324.54428&pitch=0&thumbfov=100,true,9 am–5 pm,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-01-10T23:17:35.014Z,,
https://www.google.com/maps/place/Electric+Services+%26+Repair/data=!4m7!3m6!1s0x54d2ea2ca4350e8d:0x7b95510abad0aaa2!8m2!3d40.5007802!4d-122.3767844!16s%2Fg%2F1td9vvvj!19sChIJjQ41pCzq0lQRoqrQugpRlXs,Electric Services & Repair,4.5,11,Electrician,"7400 CA-273, Redding, CA 96001, United States","GJ2F+87 Redding, California, USA",,,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwzKtDXDKbYU7T_6bTIFpd-h0p3M3mY6IllhJmm5xIgEO8g1jknySMPw1EQz8WK1s-J8nt_z9AXovpowCK2jCKqr59EgCFa7vsPQAB1T4oIs5Z8-G29JBDwl7D4ClLRtLt_-vFBrQ=w408-h544-k-no,false,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-01-10T23:17:37.696Z,,
https://www.google.com/maps/place/Garden+Equipped/data=!4m7!3m6!1s0x54d2c1b7344eed0f:0xbf10060a697787d8!8m2!3d40.4485016!4d-122.3005661!16s%2Fg%2F11m5vjjq8y!19sChIJD-1ONLfB0lQR2Id3aQoGEL8,Garden Equipped,5.0,20,Small engine repair service,"2908 Douglas St, Anderson, CA 96007, United States","CMXX+CQ Anderson, California, USA",,+1 530-378-5000,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPPpkpVTjjmeS8YB9VUYDgEGVDGL5X3mT2jfXI=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-01-10T23:17:42.392Z,,
