placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,attributes,isBlackOwned
https://www.google.com/maps/place/Maumee+Integrated+Health/data=!4m7!3m6!1s0x883c7b6aa1306a5d:0xff2a1d8064ec0357!8m2!3d41.6120225!4d-83.6860924!16s%2Fg%2F11vb5dy_2y!19sChIJXWowoWp7PIgRVwPsZIAdKv8,Maumee Integrated Health,5.0,7,Medical clinic,"1574 Henthorne Dr C, Maumee, OH 43537, United States","J867+RH Maumee, Ohio, USA",https://maumeeintegratedhealth.com/,+1 419-517-1737,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipNUsVtjLmxHn3-Ao4Hsf0pSkbaPJqFjqVeTFbOH=w454-h240-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–3 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2026-02-23T18:35:43.697Z,,,
https://www.google.com/maps/place/Tamara+TCM+Acupuncture+and+Herbs/data=!4m7!3m6!1s0x883c77d4f7488a5b:0x68ffb98b164e722!8m2!3d41.5623796!4d-83.6549266!16s%2Fg%2F12lt870n9!19sChIJW4pI99R3PIgRIudksZj7jwY,Tamara TCM Acupuncture and Herbs,4.9,32,Acupuncture clinic,"120 W Dudley St, Maumee, OH 43537, United States","H86W+X2 Maumee, Ohio, USA",https://tamaratcm.com/,+1 419-345-4996,Open · Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipPXEiZ1mvxGx-W2zhnS4oJYnli9sYq7ZRKu9WQ7=w426-h240-k-no,true,9 am–7 pm,9 am–7 pm,1–7 pm,9 am–7 pm,9 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2026-02-23T18:35:49.784Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Functional+Medicine+Plus/data=!4m7!3m6!1s0x883c7f6e285f5f8b:0x45b5f2e2e0331254!8m2!3d41.6773977!4d-83.6452065!16s%2Fg%2F11rz9kfmbd!19sChIJi19fKG5_PIgRVBIz4OLytUU,Functional Medicine Plus,5.0,5,Health consultant,"4334 Central Ave Suite 226, Toledo, OH 43615, United States","M9G3+XW Toledo, Ohio, USA",http://www.functionalmedicineplus.com/,+1 419-574-9277,Open · Closes 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=plBwj2gtR7J6R1ySlmqMSw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=359.09158&pitch=0&thumbfov=100,true,8:30 am–4 pm,8 am–4 pm,9 am–4 pm,8 am–4 pm,8 am–3 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2026-02-23T18:35:54.427Z,Identifies as women-owned,,
https://www.google.com/maps/place/Achieve+Health+Chiropractic+%26+Clinical+Nutrition/data=!4m7!3m6!1s0x883c77944d0b9f5f:0x173de3db60095682!8m2!3d41.5675671!4d-83.6555972!16s%2Fg%2F11jft87dpy!19sChIJX58LTZR3PIgRglYJYNvjPRc,Achieve Health Chiropractic & Clinical Nutrition,5.0,2,Chiropractor,"111 E Indiana Ave, Maumee, OH 43537, United States","H89V+2Q Maumee, Ohio, USA",https://achievehealthmaumee.com/,+1 419-740-3099,Closes soon · 2 pm · Reopens 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AswLJllEL1UJ3q5ApLRGyQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=299.86197&pitch=0&thumbfov=100,true,"9 am–2 pm, 4–6 pm",Closed,"9 am–2 pm, 4–6 pm",Closed,9 am–2 pm,9 am–1 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2026-02-23T18:35:59.765Z,,,
https://www.google.com/maps/place/Your+Light+Holistic+Therapy+and+Wellness/data=!4m7!3m6!1s0x883c718d65f0d473:0xd5ba5ea6b9e1a102!8m2!3d41.5763134!4d-83.6983498!16s%2Fg%2F11vq_nlffm!19sChIJc9TwZY1xPIgRAqHhuaZeutU,Your Light Holistic Therapy and Wellness,5.0,9,Alternative medicine practitioner,"6546 Weatherfield Ct E5, Maumee, OH 43537, United States","H8G2+GM Maumee, Ohio, USA",https://yourlightllc.com/,+1 419-318-7157,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tpCsvQ9cUWG_LDBmOPSyGQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=6.2003646&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/functional+medicine+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2026-02-23T18:36:02.415Z,,,
"https://www.google.com/maps/place/Rapha+Functional+Wellness/@41.5689525,-83.0582401,8z/data=!3m1!4b1!4m6!3m5!1s0x8345ddb4cddf713:0x62767c64da6dbe60!8m2!3d41.5689525!4d-83.0582401!16s%2Fg%2F11yb1pdqqx",Rapha Functional Wellness,5.0,17,Holistic medicine practitioner,,,https://raphafunctionalwellness.com/,+1 419-540-8485,,,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,"https://www.google.com/maps/search/functional+medicine+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2026-02-23T18:36:09.138Z,,,
https://www.google.com/maps/place/Dr.+Luke+Amodeo/data=!4m7!3m6!1s0x883c7a046ba6d667:0xd0691a15f1acdff0!8m2!3d41.5937774!4d-83.6838117!16s%2Fg%2F11qgb7v6lf!19sChIJZ9amawR6PIgR8N-s8RUaadA,Dr. Luke Amodeo,5.0,2,Chiropractor,"2526 Perrysburg Holland Rd, Maumee, OH 43537, United States","H8V8+GF Maumee, Ohio, USA",https://www.heatherdownschiropractic.com/,+1 419-866-0462,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Yk7sHc-aNKIqMfQt44APLQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=239.34514&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/functional+medicine+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2026-02-23T18:36:12.008Z,,,
https://www.google.com/maps/place/Serenity+Health+%26+Wellness+Center/data=!4m7!3m6!1s0x883c7715ae7300b3:0xa06724ad3881a510!8m2!3d41.586767!4d-83.670047!16s%2Fg%2F1vb9dqyy!19sChIJswBzrhV3PIgREKWBOK0kZ6A,Serenity Health & Wellness Center,4.7,464,Wellness center,"1685 Lance Pointe Rd, Maumee, OH 43537, United States","H8PH+PX Maumee, Ohio, USA",http://www.serenitywellness1.com/,+1 419-891-2181,Open · Closes 9 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweruoUtbbwUo-7jY_wPC3cQx38VSSBjfOqZskIgjQ5zuFG2rO6hB7xUcvmTN0KpGmKlXRo5E99-gZNBdwu3MsG6LM7u8iacMi2RxidOQWeKlsbcxF3IMnUuUNn38Kwlw8Tqf5AEx0A=w408-h270-k-no,true,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,"https://www.google.com/maps/search/functional+medicine+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2026-02-23T18:36:16.742Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/SpoiledToo/data=!4m7!3m6!1s0x883c773928f8b03f:0x62a36321714ceb9!8m2!3d41.5613166!4d-83.6533857!16s%2Fg%2F11fz9y7b7h!19sChIJP7D4KDl3PIgRuc4UFzI2KgY,SpoiledToo,4.8,17,Holistic medicine practitioner,"209 Conant St, Maumee, OH 43537, United States","H86W+GJ Maumee, Ohio, USA",,+1 419-794-3422,"Closed · Opens 3 pm Tue

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCsPnJo2su7UW8XoYyt-0TmpdGPyfMIJAOvelLAUTWJE2Y6BS-uaB7QtpmbeRsT0SSzfqR6ck3gW5fMUicVVmoB3_m2hByqbFNYeyKrlqoe-CtVB2WXtxPWWEBNr3hf0MDouCPFg=w408-h466-k-no,true,Closed,3–8 pm,3–8 pm,3–8 pm,12–6 pm,12–6 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2026-02-23T18:36:21.546Z,Identifies as women-owned,,
https://www.google.com/maps/place/HMH+Wellness+Center/data=!4m7!3m6!1s0x883c77a5afb00bd1:0xf7d866512e72af4f!8m2!3d41.5591968!4d-83.6911206!16s%2Fg%2F1v7tm14w!19sChIJ0Quwr6V3PIgRT69yLlFm2Pc,HMH Wellness Center,5.0,93,Massage therapist,"4444 Keystone Dr A, Maumee, OH 43537, United States","H855+MH Maumee, Ohio, USA",http://hmhwellnesscenter.com/,+1 419-874-4640,Open · Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipNBY_psTtzQf7Zwlwq6CD0my982nRgQuaH4Wm_-=w426-h240-k-no,true,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–3 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2026-02-23T18:36:26.404Z,,,
