placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/Southeast+Restoration/data=!4m7!3m6!1s0x885ffd68d32fa799:0x648eb9eee483d8d5!8m2!3d35.085738!4d-85.2147398!16s%2Fg%2F1vfn7cqx!19sChIJmacv02j9X4gR1diD5O65jmQ,Southeast Restoration,4.7,218,Building restoration service,"4071 S Access Rd Suite 109, Chattanooga, TN 37406, United States","3QPP+74 Chattanooga, Tennessee, USA",https://www.southeastrestoration.com/tennessee/chattanooga/?utm_source=googlebusinessprofile&utm_medium=organic&utm_campaign=chattanoogagbp,+1 423-708-3900,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweru25IiiTXAKKlE65HSf271CaDjHaneyVmF4Ie6EYCl-svNIg8PrU0vYrDA0B4iMdsWBse5FF5_3YyfQPDDYghN7vk-U2z7xAIHw6XTrsP9kLd8BquQer8T8GDRhJTyME05TUMl=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-03-23T03:33:21.146Z,,,,
https://www.google.com/maps/place/Arcus+Restoration/data=!4m7!3m6!1s0x8860622b0a0e6c73:0x88b6939378aa2859!8m2!3d35.054619!4d-85.272194!16s%2Fg%2F11bv3xm8xc!19sChIJc2wOCitiYIgRWSiqeJOTtog,Arcus Restoration,4.5,77,Water damage restoration service,"1271 N Holtzclaw Ave # 104, Chattanooga, TN 37406, United States","3P3H+R4 Chattanooga, Tennessee, USA",https://arcusrestoration.com/chattanooga-tn-restoration-services/,+1 423-528-9786,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6xPMiJIoWjv4N-4Zir3CcgbsRBTwZNssqDZ2VsyHkw-qrEAY2RuFL4282xb1FVbooS0A8aREaEhUw5Pp6UqQMETDJ3H6O_v4MAZH2zLizk7kfuthXsSOwUSdEHhBxn7atu9GNig=w408-h391-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-03-23T03:33:27.175Z,,,,
https://www.google.com/maps/place/Dryve+Restoration/data=!4m7!3m6!1s0x88606137e5eb5d9d:0x9d3c13653cd79031!8m2!3d35.0708558!4d-85.2616059!16s%2Fg%2F11m682w21z!19sChIJnV3r5TdhYIgRMZDXPGUTPJ0,Dryve Restoration,4.8,12,Water damage restoration service,"1345 Appling St, Chattanooga, TN 37406, United States","3PCQ+89 Chattanooga, Tennessee, USA",https://dryverestoration.com/,+1 423-567-8985,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq6gw4mFSIl2tuUQ1TYX3pWnu0642P1RxppfrIqcZ5rXMHyRivF8TtIKvB-rWbzItDHTrWOuZnklhnhk9dC_Vlxx3dvt1Cg1Ezsl_AeqXKjuLSe1vSM5Su2uXy5-3d0LZWgLAyfFizzjtSy=w551-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-03-23T03:33:31.843Z,,,,
https://www.google.com/maps/place/AdvantaClean+of+Chattanooga/data=!4m7!3m6!1s0x8860614865aa43d3:0x605fa89ad467cfed!8m2!3d35.0516077!4d-85.2135623!16s%2Fg%2F11j2xv_tq6!19sChIJ00OqZUhhYIgR7c9n1JqoX2A,AdvantaClean of Chattanooga,4.9,41,Water damage restoration service,"4627 Shallowford Rd Suite D, Chattanooga, TN 37411, United States","3Q2P+JH Chattanooga, Tennessee, USA",https://www.advantaclean.com/chattanooga-tn/,+1 423-541-0444,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqaTYsqohxjt3oyD05UAxKMZXOWSDImJFRwrllZpPKmzt0_a207hde0tf2yBBWECQSpyXhl6tw4floiXgqrqy8PbJjmZglUX98cGsto8alTk6kRuJqgvpeyYdbezjm-NJDMBOc=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-03-23T03:33:36.715Z,,,,
https://www.google.com/maps/place/Crawlspace+Medic+of+Chattanooga/data=!4m7!3m6!1s0x886061c00c24f371:0xe84fe904b8dcecac!8m2!3d35.0492398!4d-85.2414146!16s%2Fg%2F11pw9n0lq9!19sChIJcfMkDMBhYIgRrOzcuATpT-g,Crawlspace Medic of Chattanooga,5.0,265,Waterproofing service,"3221 Wilcox Blvd, Chattanooga, TN 37411, United States","2QX5+MC Chattanooga, Tennessee, USA",https://crawlspacemedic.com/locations/chattanooga-tn/?utm_campaign=gmb,+1 423-615-8525,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqcAYrro9Go8ln_LGgwG2h93VsCwcnVF5piNrs2qfpo8KeOn4vWG6G2TGLCihmDAxzZc7L4EodfT6DmHIOpbfarLnQqVGMQyPoIy5QV4bP4-jTg1oA1bs2Ezkk0YXDjF4-rd7Sh=w408-h272-k-no,true,Closed,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-03-23T03:33:41.597Z,,,,
https://www.google.com/maps/place/BELFOR+Property+Restoration/data=!4m7!3m6!1s0x8860604687877983:0xd1237bbba67243f8!8m2!3d35.0948406!4d-85.2436953!16s%2Fg%2F11btx13_lc!19sChIJg3mHh0ZgYIgR-ENyprt7I9E,BELFOR Property Restoration,3.2,18,Fire damage restoration service,"4317 N Creek Rd, Chattanooga, TN 37406, United States","3QV4+WG Chattanooga, Tennessee, USA",https://www.belfor.com/us/en/locations/,+1 423-486-1980,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepJP-ujQPPSEw82LM6kT_FrsDSosmVK4Q6SaQRtsmLL94Ov3UP7D-jTEl50Nmx9yJfk31VMvmRwV3NyD9SQec2ErALmB8a_4mearOYK40ASrUt03Rw4jtywTQZRNHaI_j0fehoK=w408-h515-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-03-23T03:33:46.524Z,,,,
https://www.google.com/maps/place/ServiceMaster+Cleaning+and+Restoration+-+Chattanooga/data=!4m7!3m6!1s0x88606164d68cbecb:0xca09f67619f57213!8m2!3d35.210476!4d-85.335722!16s%2Fg%2F1tgm3lf5!19sChIJy76M1mRhYIgRE3L1GXb2Cco,ServiceMaster Cleaning and Restoration - Chattanooga,3.7,6,Fire damage restoration service,,,http://www.servicemasterrestore.com/servicemaster-of-cobb-county-chattanooga,+1 423-528-8518,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqyYGh_VFBEzQlKQ37w7uTDL7jyqXqjreEtFnGoH3yvlZ1I6AX8i1wY-i6-F_xuzhJpcFdZsAiFY0Low55jfDhkNV_5UVB76N1wIZfylO6FJNtpOS6nUqwzcOkxvnQ_D4RmEu-H=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-03-23T03:33:51.261Z,,,,
https://www.google.com/maps/place/Serclean/data=!4m7!3m6!1s0x8860610c3f2b5e75:0xaa69cc42959ed3d2!8m2!3d35.0703188!4d-85.2616621!16s%2Fg%2F11yf_7r6s_!19sChIJdV4rPwxhYIgR0tOelULMaao,Serclean,5.0,23,Water damage restoration service,"2511 Riverside Dr b3, Chattanooga, TN 37406, United States","3PCQ+48 Chattanooga, Tennessee, USA",https://serclean.com/?utm_source=GMB&utm_medium=local&utm_campaign=chattanooga,+1 423-225-8434,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep5vYDE3xIxCL_sW7TBYv-idi8e4GfDWExPoMnmMefr_KD-aya6Q4nKLN47GMk7v1YCco5AqGdf4fdp7NrfyQUteWnqPOYQff-xG0B5LNX8u5WDWxXNiP8QeDKOKoQA7mwmPSEGM5w-jZFS=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-03-23T03:33:55.980Z,,,,
https://www.google.com/maps/place/Chattanooga/data=!4m7!3m6!1s0x88605e088969569d:0xa667cf6cadb3a6c!8m2!3d35.0384284!4d-85.283444!16s%2Fg%2F1tr9p4c7!19sChIJnVZpiQheYIgRbDrbyvZ8Zgo,Chattanooga,4.9,8,Water damage restoration service,"1215 Duncan Ave, Chattanooga, TN 37404, United States","2PQ8+9J Chattanooga, Tennessee, USA",http://chattanoogawaterdamagerestoration.com/,+1 423-594-8492,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqsLTKEwFGJbrMfs10M3L4ijJMxeGo-hcLlf8X1Y_wP7xt2rJBAL1BVdg5HaTmTWPssqd1crdAP_fGxK_h5-bOBv5_ZHyKfyD9skI2rsCkGLDQ7x6qdXp74Z-A8PmQerYCOR0h=w408-h599-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-03-23T03:34:00.760Z,Identifies as veteran-owned,,,
https://www.google.com/maps/place/Crawlspace+Doctor+of+Chattanooga/data=!4m7!3m6!1s0x88606190c45b3b01:0x94e8385b730dad8c!8m2!3d35.0918441!4d-85.2448141!16s%2Fg%2F11gvwqrgfv!19sChIJATtbxJBhYIgRjK0Nc1s46JQ,Crawlspace Doctor of Chattanooga,4.9,67,Waterproofing service,"4156 S Creek Rd, Chattanooga, TN 37406, United States","3QR4+P3 Chattanooga, Tennessee, USA",http://chattanooga.crawlspacedoctor.com/,+1 423-313-3136,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepxuk-pWu1rZ2DLUSYO8XyUZqFU1PledUqmLAPUQ14KW7JaaBit5OKAo1znhYqB8ZJym4mbmzDDzuHfTbV9L-c06TTcjEiX5uPs6HaexAI6MASIRGooxN9_vSZnKY3sfxIAL6FQvXhOIDs=w408-h306-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-03-23T03:34:05.777Z,,,,
