placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/Care+About+You/data=!4m7!3m6!1s0x88ec89f1d77687ff:0xf141d75a007cf758!8m2!3d30.2953544!4d-84.2779772!16s%2Fg%2F11q1s6hnvp!19sChIJ_4d21_GJ7IgRWPd8AFrXQfE,Care About You,5.0,2,Home health care service,"12 Richardson Rd, Crawfordville, FL 32327, United States","7PWC+4R Crawfordville, Florida, USA",http://careaboutyouhomecare.square.site/,+1 888-408-6910,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xiScW4eP2Vq7swBddqsHEg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=281.80576&pitch=0&thumbfov=100,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-09-10T18:29:34.659Z,,,,
https://www.google.com/maps/place/NHC+HomeCare/data=!4m7!3m6!1s0x88ec83bc0b737ff7:0xd89dd9362bac6018!8m2!3d30.1659662!4d-84.378559!16s%2Fg%2F1v2ky7tk!19sChIJ939zC7yD7IgRGGCsKzbZndg,NHC HomeCare,5.0,2,Home health care service,"3295 Crawfordville Hwy Unit B, Crawfordville, FL 32327, United States","5J8C+9H Crawfordville, Florida, USA",https://nhccare.com/locations/homecare-crawfordville/,+1 850-926-7044,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UYlhp7nnh76w0ZAcGAGgBg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=124.13207&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-09-10T18:29:41.196Z,,,,
"https://www.google.com/maps/place/Assurance+%26+Quality+Companion+Care+Services,+LLC/@30.3728645,-84.2760235,17z/data=!3m1!4b1!4m6!3m5!1s0x88ec8b22e820ec07:0xddb9527ceb5167d5!8m2!3d30.3728645!4d-84.2760235!16s%2Fg%2F11p5jj8v8l","Assurance & Quality Companion Care Services, LLC",5.0,1,Home health care service,"4768 Woodville Hwy Apt 1212, Tallahassee, FL 32305, United States","9PFF+4H Tallahassee, Florida, USA",http://www.assurancequalitysvcs.com/,+1 850-296-2436,Open ⋅ Closes 5 pm,,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-09-10T18:29:48.205Z,,,,
https://www.google.com/maps/place/Velvet+Home+Care+and+Nursing+Solutions/data=!4m7!3m6!1s0x88ecf5000e0b410f:0xe86575563937323a!8m2!3d30.4282304!4d-84.2377193!16s%2Fg%2F11ld42vqt8!19sChIJD0ELDgD17IgROjI3OVZ1Zeg,Velvet Home Care and Nursing Solutions,4.8,4,Home health care service,"2700 Apalachee Pkwy Suite B, Tallahassee, FL 32301, United States","CQH6+7W Tallahassee, Florida, USA",https://www.velvethomecaresolution.com/,+1 850-825-3094,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BbIV2O48iiuN0VYFPldv-A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=26.138317&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-09-10T18:29:53.290Z,,,,
https://www.google.com/maps/place/Hopewell+In-Home+Senior+Care/data=!4m7!3m6!1s0x88ec58c1582eae63:0x5b7a95b36b2993c5!8m2!3d30.5113578!4d-84.2437008!16s%2Fg%2F1tfcc_v5!19sChIJY64uWMFY7IgRxZMpa7OVels,Hopewell In-Home Senior Care,4.7,55,Home health care service,"2121 Killarney Way suite h, Tallahassee, FL 32309, United States","GQ64+GG Tallahassee, Florida, USA",http://hopewellcare.com/,+1 850-386-5552,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMQJV7C6aY1f0v6EaFIDQIGme8XXbOVxpyfvTVp=w426-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-09-10T18:29:58.664Z,,,,
https://www.google.com/maps/place/Tallahassee+Memorial+Home+Health+Care/data=!4m7!3m6!1s0x88ec5f6f936c0e63:0xa92eeba124b856be!8m2!3d30.460949!4d-84.258574!16s%2Fg%2F1tkc7hvp!19sChIJYw5sk29f7IgRvla4JKHrLqk,Tallahassee Memorial Home Health Care,5.0,2,Home health care service,"1619 Physicians Dr, Tallahassee, FL 32308, United States","FP6R+9H Tallahassee, Florida, USA",https://www.tmh.org/services/home-health-care,+1 850-431-6800,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=K5ONgDSzG_yAi8O2FR0auw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=308.34293&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-09-10T18:30:04.058Z,,,,
https://www.google.com/maps/place/Right+at+Home/data=!4m7!3m6!1s0x88ec5f7bf68dbabf:0x4a2303a30ba622da!8m2!3d30.4547958!4d-84.2645363!16s%2Fg%2F11g7z0djlm!19sChIJv7qN9ntf7IgR2iKmC6MDI0o,Right at Home,4.8,36,Home health care service,"1204 Miccosukee Rd Suite 2, Tallahassee, FL 32308, United States","FP3P+W5 Tallahassee, Florida, USA",https://www.rightathome.net/tallahassee/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=1569,+1 850-765-4701,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipORnp_bUr7_hRgAAd9HtNRtr2okshEleIBbi0Sm=w408-h612-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-09-10T18:30:09.428Z,,,,
https://www.google.com/maps/place/YOUTHFUL+AGING+HEALTHCARE+SERVICES+LLC./data=!4m7!3m6!1s0x88ec5fb49922f127:0xcadb97472375e685!8m2!3d30.4115746!4d-84.2392032!16s%2Fg%2F11gj78qyfy!19sChIJJ_EimbRf7IgRheZ1I0eX28o,YOUTHFUL AGING HEALTHCARE SERVICES LLC.,,,Home health care service,"2307 Monday Rd, Tallahassee, FL 32301, United States","CQ66+J8 Tallahassee, Florida, USA",,+1 850-815-0660,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dbVqZT12RmNEhGofnlRk5A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=181.92258&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-09-10T18:30:15.271Z,,,,
https://www.google.com/maps/place/Heavenly+hands+family+care/data=!4m7!3m6!1s0x88ec8b174f5166c5:0xd52d421d3f6efeb8!8m2!3d30.3868374!4d-84.295414!16s%2Fg%2F11vbtts0hh!19sChIJxWZRTxeL7IgRuP5uPx1CLdU,Heavenly hands family care,,,Home health care service,"4065 Bishop Rd, Tallahassee, FL 32305, United States","9PP3+PR Tallahassee, Florida, USA",,+1 850-408-3099,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=De5KNNnD7hvKi2mNk2cPmA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=85.76356&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/Home+Health+clinics+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-09-10T18:30:18.773Z,,,,
https://www.google.com/maps/place/SYNERGY+HomeCare/data=!4m7!3m6!1s0x88ec5f992c45c1e3:0x8902d008e3da2ec9!8m2!3d30.4808078!4d-84.2391075!16s%2Fg%2F11ng6mgcyk!19sChIJ48FFLJlf7IgRyS7a4wjQAok,SYNERGY HomeCare,5.0,98,Home health care service,"2236 Capital Cir NE, Tallahassee, FL 32308, United States","FQJ6+89 Tallahassee, Florida, USA",https://www.synergyhomecare.com/fl-tallahassee-32308/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=1017,+1 850-661-0557,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNLcNUwZVRenznjcuKRSoHQvUpi3R-pMYCkOM5K=w546-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Crawfordville+Tallahassee+FL/@30.3807552,-84.2902257,14z",2025-09-10T18:30:24.818Z,Identifies as women-owned,,,
