placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,error,info
https://www.google.com/maps/place/VITAS+Healthcare/data=!4m7!3m6!1s0x88db1e155de018a1:0x77d837db59707d91!8m2!3d26.207481!4d-81.7987445!16s%2Fg%2F1td33vyl!19sChIJoRjgXRUe24gRkX1wWds32Hc,VITAS Healthcare,3.2,14,Hospice,"4980 Tamiami Trl N Suite 102, Naples, FL 34103, United States","6642+XG Naples, Florida, USA",https://www.vitas.com/locations-search/collier-county/naples-hospice-office/?utm_source=google&utm_medium=locallisting&utm_content=VHC1901&y_source=1_ODcxOTI4MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 239-649-2300,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNHm67XYQJRsIKjLInpIKE6rzFaq8ehCsWXMAFj=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2025-09-18T00:19:12.276Z,,
https://www.google.com/maps/place/Avow/data=!4m7!3m6!1s0x88db1d166f027b25:0x1d0562f65b094f62!8m2!3d26.2079693!4d-81.7441994!16s%2Fg%2F1thpxm_8!19sChIJJXsCbxYd24gRYk8JW_ZiBR0,Avow,4.4,124,Non-profit organization,"1095 Whippoorwill Ln, Naples, FL 34105, United States","6754+58 Naples, Florida, USA",http://www.avowcares.org/,+1 239-261-4404,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no6elGi715hc3VnTAD0m0ZLJIoj9uVV8cfSVRmb_YN0kzdurMSY6CQ9r0jaxDlXrxMY04mDc8ecxM0fObR_bzj_wxBlBXDcLqAqCeByNBmm5aRdS6bHh14nuULZFNNsxEMRmrJe9A=w408-h544-k-no,true,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2025-09-18T00:19:15.697Z,,
https://www.google.com/maps/place/VITAS+Healthcare+Inpatient+Hospice+Care/data=!4m7!3m6!1s0x88db1954bd9d7739:0x8c41c63fb88e69fa!8m2!3d26.2883263!4d-81.8003563!16s%2Fg%2F11j7f97vym!19sChIJOXedvVQZ24gR-mmOuD_GQYw,VITAS Healthcare Inpatient Hospice Care,2.7,12,Hospice,"900 Imperial Golf Course Blvd, Naples, FL 34110, United States","75QX+8V Naples, Florida, USA",https://www.vitas.com/locations-search/collier-county/vitas-inpatient-unit-at-solaris-healthcare-imperial?utm_source=google&utm_medium=locallisting&utm_content=IPU1902&y_source=1_MTUxMjk5MDQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 239-649-2300,"Open 24 hours

Confirmed by this business 4 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPzWVNXYTl4-b4Srknh6kMVVNiX-Qentze6S-5Q=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2025-09-18T00:19:20.635Z,,
https://www.google.com/maps/place/Palliative+Care+Outpatient+Clinic/data=!4m7!3m6!1s0x88dae1e5283b56fb:0x6aa6bfa72c2484c0!8m2!3d26.1761002!4d-81.7902304!16s%2Fg%2F11c708pyth!19sChIJ-1Y7KOXh2ogRwIQkLKe_pmo,Palliative Care Outpatient Clinic,4.0,1,Doctor,"N, 2450 Goodlette-Frank Rd Suite 101, Naples, FL 34103, United States","56G5+CW Naples, Florida, USA",,+1 239-624-8490,Closed ⋅ Opens 8 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KKi9LEQthUPhq9N14FfVvw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=132.56483&pitch=0&thumbfov=100,false,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2025-09-18T00:19:25.880Z,,
"https://www.google.com/maps/place/Hospice+Care+Facility/@26.1036691,-81.7507817,17z/data=!3m1!4b1!4m6!3m5!1s0x88dae391784c6c45:0xb41fe30a253d27b!8m2!3d26.1036691!4d-81.7507817!16s%2Fg%2F11gh09lc8w",Hospice Care Facility,,,Hospital,"5095 Andros Dr, Naples, FL 34113, United States","463X+FM Naples, Florida, USA",,,,,false,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2025-09-18T00:19:30.466Z,,
"https://www.google.com/maps/place/Rebecca+G.+Smith,+MD-+NCH+Medical+Group:+Hospice+and+Palliative+Care/data=!4m7!3m6!1s0x88db1ea902c7ee77:0x4fdee47a8aab3684!8m2!3d26.1503104!4d-81.7987657!16s%2Fg%2F1hc2051cd!19sChIJd-7HAqke24gRhDarinrk3k8","Rebecca G. Smith, MD- NCH Medical Group: Hospice and Palliative Care",5.0,3,Hospice,"350 7th St N, Naples, FL 34102, United States","5622+4F Naples, Florida, USA",,+1 239-624-8490,Closed ⋅ Opens 8 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tZS9gMKlpTsNnR0pd2OXmQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=84.58806&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2025-09-18T00:19:35.379Z,,
https://www.google.com/maps/place/Avow+Ispiri+Community+Center/data=!4m7!3m6!1s0x88db1d98673b431d:0x1b6b53cfe7864df0!8m2!3d26.2075182!4d-81.7442171!16s%2Fg%2F11f_p2mwml!19sChIJHUM7Z5gd24gR8E2G589Taxs,Avow Ispiri Community Center,5.0,1,Hospice,"1205 Whippoorwill Ln, Naples, FL 34105, United States","6754+28 Naples, Florida, USA",http://www.avowcares.org/,+1 239-261-4404,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOWxgNyvH8m_ZMBs4luUX4GgDfA4b0YcA2DrblC=w408-h313-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2025-09-18T00:19:40.238Z,,
"https://www.google.com/maps/place/Julieta+Gilson,+MD+-+NCH+Medical+Group:+Palliative+Care/data=!4m7!3m6!1s0x88dae1f328c99a55:0x5b3582231d975916!8m2!3d26.1503104!4d-81.7987657!16s%2Fg%2F11vs3qsrt0!19sChIJVZrJKPPh2ogRFlmXHSOCNVs","Julieta Gilson, MD - NCH Medical Group: Palliative Care",,,Doctor,"350 7th St N, Naples, FL 34102, United States","5622+4F Naples, Florida, USA",https://nchmd.org/services/palliative-care/,+1 239-624-8490,Closed ⋅ Opens 8 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tZS9gMKlpTsNnR0pd2OXmQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=84.58806&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2025-09-18T00:19:44.980Z,,
https://www.google.com/maps/place/Southeast+Hospice+Equipment+Co/data=!4m7!3m6!1s0x88db19653eb9c879:0x2eb2cc4cc43f2764!8m2!3d26.312665!4d-81.7880237!16s%2Fg%2F125_xw43k!19sChIJeci5PmUZ24gRZCc_xEzMsi4,Southeast Hospice Equipment Co,,,Hospice,"1470 Rail Head Blvd, Naples, FL 34110, United States","8676+3Q Naples, Florida, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Sh5-RBht3jwtLuPHoHEQ9A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=70.83539&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2025-09-18T00:19:47.798Z,,
https://www.google.com/maps/place/Visiting+Angels+Naples/data=!4m7!3m6!1s0x88db1e94be7bea7d:0x99c39e84e0e8ae6a!8m2!3d26.2513606!4d-81.7993052!16s%2Fg%2F1q64gkz8t!19sChIJfep7vpQe24gRaq7o4ISew5k,Visiting Angels Naples,4.5,14,Home health care service,"999 Vanderbilt Beach Rd Suite 200, Naples, FL 34108, United States","7622+G7 Naples, Florida, USA",https://www.visitingangels.com/naples/home?utm_source=gmb&utm_medium=organic&utm_campaign=local,+1 239-561-7600,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMS3utDgOjIA79HX13MDeBAsx_ymr0i5YWYM-Vj=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Naples+Naples+FL/@40.8517746,14.2681244,14z",2025-09-18T00:19:52.970Z,,
