placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/Dedicated+Homecare+NC/data=!4m7!3m6!1s0x88531b9941ee338d:0x4689ac4cb893b233!8m2!3d36.0194892!4d-79.9053631!16s%2Fg%2F11kqgndrlx!19sChIJjTPuQZkbU4gRM7KTuEysiUY,Dedicated Homecare NC,5.0,1,Home health care service,"5500 Adams Farm Ln Suite 208A, Greensboro, NC 27407, United States","239V+QV Greensboro, North Carolina, USA",http://www.dedicatedhomecarenc.com/,+1 336-749-7634,Closed ⋅ Opens 9 am Thu,https://lh3.googleusercontent.com/p/AF1QipPkqYFV5km8EVJ6Z-WAsBUrh0fGsoeTWnts_qPC=w408-h544-k-no,true,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2025-09-10T20:16:42.586Z,,,,
"https://www.google.com/maps/place/Affordable+Family+Care+Services/@36.0490996,-79.8445402,17z/data=!3m1!4b1!4m6!3m5!1s0x885303782e4df471:0x314e6bfb19254c7a!8m2!3d36.0490996!4d-79.8445402!16s%2Fg%2F119w2phw6",Affordable Family Care Services,5.0,3,Home health care service,"1500 Pinecroft Rd Suite 235, Greensboro, NC 27407, United States","25X4+J5 Greensboro, North Carolina, USA",http://afcsnc.com/,+1 336-285-6880,Closes soon ⋅ 4:30 pm ⋅ Opens 9 am Thu,,true,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,Closed,Closed,9 am–4:30 pm,9 am–4:30 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2025-09-10T20:16:50.801Z,,,,
https://www.google.com/maps/place/Piedmont+Home+Care/data=!4m7!3m6!1s0x88531bed4039d799:0x1d3b53ae48a07400!8m2!3d36.0516658!4d-79.8827282!16s%2Fg%2F11ghn6t02j!19sChIJmdc5QO0bU4gRAHSgSK5TOx0,Piedmont Home Care,5.0,2,Home health care service,"4900 Koger Blvd #150, Greensboro, NC 27407, United States","3428+MW Greensboro, North Carolina, USA",http://www.piedmonthomecare.com/,+1 336-645-3890,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMZBL75qD-Rm_kkOyXXBOQW2tBDX0clSlTCTn0O=w577-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2025-09-10T20:16:55.747Z,,,,
"https://www.google.com/maps/place/Home+Instead,+Home+Care+Services+of+Greensboro/data=!4m7!3m6!1s0x88531ba4ad610ddf:0x74a38403bf092efd!8m2!3d36.0654602!4d-79.8635177!16s%2Fg%2F1tzgpxw7!19sChIJ3w1hraQbU4gR_S4JvwOEo3Q","Home Instead, Home Care Services of Greensboro",4.6,31,Home health care service,"4615 Dundas Dr Suite 101, Greensboro, NC 27407, United States","348P+5H Greensboro, North Carolina, USA",https://www.homeinstead.com/home-care/usa/nc/greensboro/311/?utm_source=google&utm_medium=organic&utm_campaign=google_organic_businesslisting_y,+1 743-867-2837,"Open 24 hours

Confirmed by this business 5 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMBJS-j0GmxLaeMioKFyf06gKp7-Is9cLCE4ACY=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2025-09-10T20:17:00.928Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Contessa%27s+Home+Care+Agency+LLC./data=!4m7!3m6!1s0x8853050dbcb03b6b:0x610ac22b98b2fd2a!8m2!3d36.0675056!4d-79.8651792!16s%2Fg%2F11trx69g89!19sChIJazuwvA0FU4gRKv2ymCvCCmE,Contessa's Home Care Agency LLC.,5.0,39,Home health care service,"306 Pomona Dr Suite E, Greensboro, NC 27407, United States","349M+2W Greensboro, North Carolina, USA",http://contessashomecareagency.com/,+1 336-291-8662,Closes soon ⋅ 5 pm ⋅ Opens 10 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sihq8yqrmLu9EsTg0jSWNA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=276.78723&pitch=0&thumbfov=100,true,10 am–5 pm,10 am–5 pm,9 am–5 pm,Closed,Closed,10 am–5 pm,10 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2025-09-10T20:17:05.979Z,,,,
https://www.google.com/maps/place/FirstLight+Home+Care+of+Guilford+County/data=!4m7!3m6!1s0x88531f27446ae7b9:0x6da7e448956ee99c!8m2!3d36.0665778!4d-79.8650509!16s%2Fg%2F1tcxqcj9!19sChIJuedqRCcfU4gRnOlulUjkp20,FirstLight Home Care of Guilford County,4.8,17,Home health care service,"308 Pomona Dr STE L, Greensboro, NC 27407, United States","348M+JX Greensboro, North Carolina, USA",https://www.firstlighthomecare.com/home-healthcare-guilford/,+1 336-808-1351,"Open 24 hours

Confirmed by this business 7 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMFCn3AXlzg_vFtV5mOwlvetFDWX9dTff-PC2Pt=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2025-09-10T20:17:11.284Z,,,,
https://www.google.com/maps/place/Compassionate+Hands+Home+Care/data=!4m7!3m6!1s0x88531fc2128e36b7:0x82d5f8180d7b8f63!8m2!3d36.0608!4d-79.86182!16s%2Fg%2F11rrpkys1_!19sChIJtzaOEsIfU4gRY497DRj41YI,Compassionate Hands Home Care,5.0,8,Home health care service,"3409 W Wendover Ave F, Greensboro, NC 27407, United States","346Q+87 Greensboro, North Carolina, USA",http://www.compassionatehandshc.com/,+1 336-230-3837,Closed ⋅ Opens 9 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=07hSON66wp6rNdNzBgs_xQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=114.10946&pitch=0&thumbfov=100,true,9 am–2 pm,9 am–2 pm,Closed,Closed,Closed,9 am–2 pm,9 am–2 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2025-09-10T20:17:16.260Z,,,,
https://www.google.com/maps/place/ComForCare/data=!4m7!3m6!1s0x8853193abd163b4f:0x85495ceeb7d524a0!8m2!3d36.0709075!4d-79.8491718!16s%2Fg%2F1vbl88rb!19sChIJTzsWvToZU4gRoCTVt-5cSYU,ComForCare,4.7,26,Home health care service,"3809 W Market St, Greensboro, NC 27407, United States","35C2+98 Greensboro, North Carolina, USA",https://triadcaregiving.com/,+1 336-617-6001,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNWh_2xBzu0FHrJYH1UM3N9ossjd8TFBiViTsEV=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2025-09-10T20:17:21.288Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Caring+Hands+Home+Health+Inc/data=!4m7!3m6!1s0x88531ea1a627b415:0x87d491b4dcea5aec!8m2!3d35.9893077!4d-79.7926635!16s%2Fg%2F1tj4zdn7!19sChIJFbQnpqEeU4gR7Frq3LSR1Ic,Caring Hands Home Health Inc,4.6,180,Home health care service,"4321 S Elm-Eugene St, Greensboro, NC 27406, United States","X6Q4+PW Greensboro, North Carolina, USA",http://www.caringhandshhc.com/,+1 336-389-1297,Closes soon ⋅ 5 pm ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipP0oj9N3E_I2CH-MltfTgKLiQtLA5xYdD9VgE3n=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–6 pm,9 am–6 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2025-09-10T20:17:26.397Z,Identifies as women-owned,true,,
https://www.google.com/maps/place/MAGNOLIA+AFFORDABLE+HOME+CARE+LLC/data=!4m7!3m6!1s0x88531b2a2585517b:0xb3b1c7631395e9ab!8m2!3d36.0606473!4d-79.8617687!16s%2Fg%2F11fn005tqk!19sChIJe1GFJSobU4gRq-mVE2PHsbM,MAGNOLIA AFFORDABLE HOME CARE LLC,5.0,1,Home health care service,"3409 W Wendover Ave # D, Greensboro, NC 27407, United States","346Q+77 Greensboro, North Carolina, USA",,+1 336-365-8517,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPmJKtLZmrL2hyyTIKfAAWIdPWgdKy55ANlvh_2=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2025-09-10T20:17:31.558Z,,,,
