placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,error
https://www.google.com/maps/place/Intermountain+Health+Home+Medical+Equipment+-+Salt+Lake+Clinic/data=!4m7!3m6!1s0x8752f565e55b0e03:0x5ca326dc3f5ca7a6!8m2!3d40.761147!4d-111.8647326!16s%2Fg%2F11x6dtjfb0!19sChIJAw5b5WX1UocRpqdcP9wmo1w,Intermountain Health Home Medical Equipment - Salt Lake Clinic,4.9,19,Hospice,"389 S 900 E, Salt Lake City, UT 84102, United States","Q46P+F4 Salt Lake City, Utah, USA",https://intermountainhealthcare.org/locations/salt-lake-clinic/intermountain-health-home-medical-equipment,+1 385-282-2200,Closed ⋅ Opens 9 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3UIcHkKFje1kpOZkEtYHFQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=212.29659&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-09-18T00:02:47.891Z,,
"https://www.google.com/maps/place/Solstice+Home+Health,+Hospice+%26+Palliative+Care:+Utah%27s+Finest+In-Home+Medical+Care/data=!4m7!3m6!1s0x87528aa6547eac39:0xc50f0e8b3af10a12!8m2!3d40.6861119!4d-111.856901!16s%2Fg%2F11b5wnd5r6!19sChIJOax-VKaKUocREgrxOosOD8U","Solstice Home Health, Hospice & Palliative Care: Utah's Finest In-Home Medical Care",4.9,76,Hospice,"1250 E 3900 S #301, Salt Lake City, UT 84124, United States","M4PV+C6 Salt Lake City, Utah, USA",http://www.solsticehc.com/,+1 801-485-1035,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOFiwkXZbe-kq1yKwrMafLgYbIzMtd9KBycC-eH=w408-h430-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-09-18T00:02:54.064Z,,
https://www.google.com/maps/place/The+INN+Between/data=!4m7!3m6!1s0x8752f4f6b4f9fb67:0xfb625bfc6167da57!8m2!3d40.7414684!4d-111.8562284!16s%2Fg%2F11bw5m9g42!19sChIJZ_v5tPb0UocRV9pnYfxbYvs,The INN Between,4.3,30,Hospice,"1216 E 1300 S, Salt Lake City, UT 84105, United States","P4RV+HG Salt Lake City, Utah, USA",http://tibhospice.org/,+1 801-410-8314,Closed ⋅ Opens 9 am Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqpNoMuIOLGAjKYc6Y9uaJL4FxZV_dbYS_PIx5LN0kUMqeDfeZdEuT5DIYBSnj_huvqzBQ33BvvIWbD5-mPtEshZj8OVSFFLTDAyxA7v22H93SNLlcQHmabKVlVgH6iPyKpPuRqhA=w408-h544-k-no,false,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-09-18T00:02:59.427Z,,
https://www.google.com/maps/place/Bristol+Hospice/data=!4m7!3m6!1s0x8752f5fda51dd0c9:0xd105a86d2a0557ae!8m2!3d40.7744651!4d-111.9500938!16s%2Fg%2F11fn1y5znx!19sChIJydAdpf31UocRrlcFKm2oBdE,Bristol Hospice,4.9,7,Hospice,"206 2100 W #202, Salt Lake City, UT 84116, United States","Q2FX+QX Salt Lake City, Utah, USA",https://bristolhospice.com/,+1 801-325-0175,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SGObfmKFK-W7N9VDAw4NeA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=129.5599&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-09-18T00:03:04.457Z,,
https://www.google.com/maps/place/Hospice+for+Utah/data=!4m7!3m6!1s0x875287772e9e788f:0xc2300d929c384def!8m2!3d40.7198628!4d-111.8957363!16s%2Fg%2F1tf6bjb5!19sChIJj3ieLneHUocR7004nJINMMI,Hospice for Utah,4.9,38,Hospice,"152 W Burton Ave F, Salt Lake City, UT 84115, United States","P493+WP Salt Lake City, Utah, USA",http://www.hospice4utah.com/,+1 801-576-1455,Closed ⋅ Opens 9 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=I25Vb04TjqM5pU9dOSPIdw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=344.11407&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-09-18T00:03:09.330Z,,
https://www.google.com/maps/place/Warmth+Hospice+LLC/data=!4m7!3m6!1s0x8752f52432a811af:0xd951093c67f951ab!8m2!3d40.7643943!4d-111.891559!16s%2Fg%2F11j0bdg6h2!19sChIJrxGoMiT1UocRq1H5ZzwJUdk,Warmth Hospice LLC,,,Hospice,"222 S Main St, Salt Lake City, UT 84101, United States","Q475+Q9 Salt Lake City, Utah, USA",,+1 801-448-1035,Closed ⋅ Opens 9 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=v3Aut0OZ_syoSrbeskY4dg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=263.7971&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-09-18T00:03:14.293Z,,
https://www.google.com/maps/place/The+Bristol+Foundation/data=!4m7!3m6!1s0x8752f4766fe9016d:0xf68b152577247fb!8m2!3d40.7744651!4d-111.9500938!16s%2Fg%2F11fk0b6mc6!19sChIJbQHpb3b0UocR-0dyV1KxaA8,The Bristol Foundation,5.0,1,Hospice,"206 2100 W #202, Salt Lake City, UT 84116, United States","Q2FX+QX Salt Lake City, Utah, USA",https://bristolfoundation.org/,+1 801-325-0175,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9KayS9_cHg8WvTmaUkKkVA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=263.84692&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-09-18T00:03:19.208Z,,
https://www.google.com/maps/place/Symbii+Home+Health+%26+Hospice+-+Salt+Lake+City/data=!4m7!3m6!1s0x875287d009d467df:0xfb41e62bfd459630!8m2!3d40.6726933!4d-111.8822913!16s%2Fg%2F1tcwm0w1!19sChIJ32fUCdCHUocRMJZF_SvmQfs,Symbii Home Health & Hospice - Salt Lake City,4.5,153,Home health care service,"308 E 4500 S # 100, Salt Lake City, UT 84107, United States","M4F9+33 Salt Lake City, Utah, USA",https://www.symbiihealth.com/?utm_source=gmb&utm_medium=Yext,+1 801-433-0344,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOn5vKoOowAcQ5MLsfO_81-YLhKb9yy_NwDvKp2=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-09-18T00:03:24.460Z,,
https://www.google.com/maps/place/Rocky+Mountain+Home+Care+%26+Hospice+-+Salt+Lake+City/data=!4m7!3m6!1s0x87528bd4c1f261db:0xcfaff8dc7ac5f1e!8m2!3d40.6568334!4d-111.9058748!16s%2Fg%2F1tdfnrbr!19sChIJ22HywdSLUocRHl-sx43_-gw,Rocky Mountain Home Care & Hospice - Salt Lake City,3.2,20,Hospice,"5242 College Dr #150, Murray, UT 84107, United States","M34V+PM Murray, Utah, USA",http://www.rmcare.com/locations/utah/rocky-mountain-hospice-salt-lake-city/,+1 801-397-4900,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noZC4g8qWVVBKLZlWt73D0U8-ghMF4KwopzGqpvQmt1z8xpioX_2BYyWZ06yLcV2fyV6Vd6Jz4TY4qBuJpgTwNPio61QAoAouJudqz4fxB9DgkWIZ5m2njsj6IEY7054wCQn2rJyw=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-09-18T00:03:29.523Z,,
https://www.google.com/maps/place/Moniker+Hospice/data=!4m7!3m6!1s0x87528b153b19ea23:0x2dd8b626f885c7c1!8m2!3d40.7182398!4d-111.9406434!16s%2Fg%2F11p0wbxy63!19sChIJI-oZOxWLUocRwceF-Ca22C0,Moniker Hospice,5.0,2,Hospice,"1751 Alexander St Suite 106, West Valley City, UT 84119, United States","P395+7P West Valley City, Utah, USA",https://www.homewithmission.com/locations/salt-lake-city-hospice/,+1 801-506-1500,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iV9JPc445dZlptCXVHDgkg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=69.43668&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-09-18T00:03:34.287Z,,
