placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,isBlackOwned,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,attributes
https://www.google.com/maps/place/HSM+Property+Management+San+Francisco/data=!4m7!3m6!1s0x808580a68b84f81b:0xa776b81982b07478!8m2!3d37.7720762!4d-122.4323452!16s%2Fg%2F1tcv6jyk!19sChIJG_iEi6aAhYAReHSwghm4dqc,HSM Property Management San Francisco,5.0,238,Property management company,"600 Haight St, San Francisco, CA 94117, United States","QHC9+R3 Lower Haight, San Francisco, CA, USA",http://www.hsmsf.com/,+1 415-431-7655,Open ⋅ Closes 6 pm,Identifies as women-owned,true,https://lh3.googleusercontent.com/p/AF1QipOdDabSBeivYhjcknao48rbFpgQbZbM9pLecwVz=w408-h272-k-no,true,9 am–6 pm,9 am–6 pm,Closed,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+San+Francisco+San+Francisco+CA/@37.7749295,-122.4194155,14z",2025-09-25T19:18:05.247Z,
https://www.google.com/maps/place/Azari+Property+Management/data=!4m7!3m6!1s0x8085809c13a6e5ad:0x51c5b046a9b6d02b!8m2!3d37.7856932!4d-122.3974653!16s%2Fg%2F1tdcrry_!19sChIJreWmE5yAhYARK9C2qUawxVE,Azari Property Management,4.8,552,Property management company,"246 2nd St APT 1304, San Francisco, CA 94105, United States","QJP3+72 Yerba Buena, San Francisco, CA, USA",http://azaripm.com/,+1 415-377-4115,Open ⋅ Closes 8 pm,Identifies as women-owned,,https://lh3.googleusercontent.com/p/AF1QipMk13rJ3mGZcaA_g5-zz106zDC7b-zIgUtMiMm4=w427-h240-k-no,true,9 am–8 pm,9 am–6 pm,Closed,Closed,9 am–8 pm,9 am–8 pm,9 am–8 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+San+Francisco+San+Francisco+CA/@37.7749295,-122.4194155,14z",2025-09-25T19:18:10.861Z,
https://www.google.com/maps/place/Action+Property+Management/data=!4m7!3m6!1s0x808f7e0501d1d257:0x892ca3135577fb57!8m2!3d37.795149!4d-122.403335!16s%2Fg%2F1hhh8l9c8!19sChIJV9LRAQV-j4ARV_t3VROjLIk,Action Property Management,4.7,157,Property management company,"655 Montgomery St Suite 1190, San Francisco, CA 94111, United States","QHWW+3M Chinatown, San Francisco, CA, USA",https://www.actionlife.com/,+1 800-400-2284,Open ⋅ Closes 5 pm,,,https://lh3.googleusercontent.com/p/AF1QipO-CErNaTrTZznrflA8Wj6aJyJshkDWoADv5RzY=w408-h514-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+San+Francisco+San+Francisco+CA/@37.7749295,-122.4194155,14z",2025-09-25T19:18:16.883Z,
https://www.google.com/maps/place/CitiScape+Property+Management+Group/data=!4m7!3m6!1s0x808f7fa7ae62e69f:0xf5e2e094ac61f963!8m2!3d37.7459022!4d-122.3873648!16s%2Fg%2F1tfq9g9p!19sChIJn-Zirqd_j4ARY_lhrJTg4vU,CitiScape Property Management Group,4.2,99,Property management company,"3450 3rd St # 1A, San Francisco, CA 94124, United States","PJW7+93 Islais Creek, San Francisco, CA, USA",http://www.citiscapesf.com/,+1 415-401-2000,Open ⋅ Closes 5 pm,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrHhY1sxa-RirYx8JEUzGgtQp_P7QlU77wnSnBKot4FRDShHjjgkCSdYNnO3YlsW3wlfKNokJp5vema5cv5de-EXEyiF0pAufDhlT-UeQhJ_MY_HaVuIoqt4vgeIU5VCYVTPXCcuQ=w408-h243-k-no,true,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+San+Francisco+San+Francisco+CA/@37.7749295,-122.4194155,14z",2025-09-25T19:18:22.351Z,
"https://www.google.com/maps/place/Utopia+Property+Management+%7C+San+Francisco,+CA/data=!4m7!3m6!1s0x8085818825892475:0xa91a6e7245a418!8m2!3d37.7979182!4d-122.403371!16s%2Fg%2F11fd6fyfrk!19sChIJdSSJJYiBhYARGKRFcm4aqQA","Utopia Property Management | San Francisco, CA",4.9,100,Property management company,"18 Bartol St #1069, San Francisco, CA 94133, United States","QHXW+5M North Beach, San Francisco, CA, USA",https://utopiamanagement.com/locations/san-francisco-ca,+1 415-579-1111,Open 24 hours,,,https://lh3.googleusercontent.com/p/AF1QipP4XUeJYnt7AR1R0QXWFA0Ij-3f9ydpHAR-zFRa=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/HOA+management+businesses+in+San+Francisco+San+Francisco+CA/@37.7749295,-122.4194155,14z",2025-09-25T19:18:27.585Z,
https://www.google.com/maps/place/KeyOpp+Property+Management/data=!4m7!3m6!1s0x8085876cb818883f:0x33b5b9f828b7b61f!8m2!3d37.7810425!4d-122.4571844!16s%2Fg%2F11h4xh4w6p!19sChIJP4gYuGyHhYARH7a3KPi5tTM,KeyOpp Property Management,4.5,234,Property management company,"3557 Geary Blvd Floor 2, San Francisco, CA 94118, United States","QGJV+C4 Lone Mountain, San Francisco, CA, USA",https://www.keyopp.net/,+1 628-888-6650,"Open ⋅ Closes 4 pm

Updated by this business 2 weeks ago",,,https://lh3.googleusercontent.com/p/AF1QipPT4gp0g9a5dav4HCLKyEVL8HBjcJkNmhjsHThV=w408-h272-k-no,true,9 am–4 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+San+Francisco+San+Francisco+CA/@37.7749295,-122.4194155,14z",2025-09-25T19:18:32.698Z,
https://www.google.com/maps/place/RentWise+Property+Management/data=!4m7!3m6!1s0x8085806229ee40d7:0xb3ccb43e593c9e0b!8m2!3d37.7925559!4d-122.3990301!16s%2Fg%2F11fxy6lcxv!19sChIJ10DuKWKAhYARC548WT60zLM,RentWise Property Management,4.8,92,Property management company,"100 Pine St #1250, San Francisco, CA 94111, United States","QJV2+29 Financial District, San Francisco, CA, USA",https://www.gorentwise.com/,+1 800-943-9371,Open ⋅ Closes 11 pm,,,https://lh3.googleusercontent.com/p/AF1QipOsYXTEaflfKAKTvKjVDYEZc6lsWLWKqfPzE510=w408-h272-k-no,true,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–10 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+San+Francisco+San+Francisco+CA/@37.7749295,-122.4194155,14z",2025-09-25T19:18:37.929Z,
https://www.google.com/maps/place/Chandler+Property+Management/data=!4m7!3m6!1s0x808580c96f691f23:0x510978fd51eb8a58!8m2!3d37.7866031!4d-122.4513546!16s%2Fg%2F1tfl9wvt!19sChIJIx9pb8mAhYARWIrrUf14CVE,Chandler Property Management,4.6,170,Property management company,"3475 California St, San Francisco, CA 94118, United States","QGPX+JF Laurel Heights, San Francisco, CA, USA",http://www.chandlerproperties.com/,+1 415-921-5733,Open ⋅ Closes 5 pm,LGBTQ+ friendly,,https://lh3.googleusercontent.com/p/AF1QipPM0UG_Vp3pvKAIwmcRb2vWOatG_eTCgyFt_9Ll=w408-h273-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+San+Francisco+San+Francisco+CA/@37.7749295,-122.4194155,14z",2025-09-25T19:18:42.934Z,
https://www.google.com/maps/place/HOA+UNLIMITED/data=!4m7!3m6!1s0x295c9c4d24e4542b:0x3c95f4d967e3fac0!8m2!3d37.7919327!4d-122.4003032!16s%2Fg%2F11l2fqch5b!19sChIJK1TkJE2cXCkRwPrjZ9n0lTw,HOA UNLIMITED,4.0,5,Property management company,"50 California St #1500, San Francisco, CA 94111, United States","QHRX+QV Financial District, San Francisco, CA, USA",https://www.hoaunlimited.com/,+1 415-547-0337,Open ⋅ Closes 5 pm,,,https://lh3.googleusercontent.com/p/AF1QipODcg4RYZMaJRVTFBlsdx3VcBS045RsDEme-pg6=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+San+Francisco+San+Francisco+CA/@37.7749295,-122.4194155,14z",2025-09-25T19:18:48.339Z,
"https://www.google.com/maps/place/HOA+PROPERTIES,+LLC./data=!4m7!3m6!1s0x808f7e32e60c6855:0x6217dd15f109b100!8m2!3d37.765718!4d-122.4031623!16s%2Fg%2F11cs1s543f!19sChIJVWgM5jJ-j4ARALEJ8RXdF2I","HOA PROPERTIES, LLC.",5.0,3,Property management company,"350 Rhode Island St #240, San Francisco, CA 94103, United States","QH8W+7P Potrero Hill, San Francisco, CA, USA",http://www.hoaproperties.com/,+1 415-761-2772,Open 24 hours,,,https://lh3.googleusercontent.com/p/AF1QipP9SAjf25zn12EjQCGahCV1fUihZ0j6aNQki9uZ=w768-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/HOA+management+businesses+in+San+Francisco+San+Francisco+CA/@37.7749295,-122.4194155,14z",2025-09-25T19:18:53.099Z,
