placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,attributes,error
https://www.google.com/maps/place/Florida+Cancer+Specialists+%26+Research+Institute/data=!4m7!3m6!1s0x88de5e95536a4361:0x5f893ca8c3cae0d3!8m2!3d27.6609433!4d-80.388538!16s%2Fg%2F11c6r9_v6v!19sChIJYUNqU5Ve3ogR0-DKw6g8iV8,Florida Cancer Specialists & Research Institute,4.7,457,Cancer treatment center,"3730 7th Terrace STE 101, Vero Beach, FL 32960, United States","MJ66+9H Vero Beach, Florida, USA",https://flcancer.com/location/vero-beach-east/,+1 772-567-2332,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipP9tnr5n2UFgLObmNaD1CGWOSluwxXnH2PRL-60=w408-h408-k-no,true,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–12 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2025-09-29T00:29:13.767Z,,,
https://www.google.com/maps/place/Treasure+Coast+Ketamine+Wellness+%26+IV+Nutrition+Center/data=!4m7!3m6!1s0x88de5f6ced33e073:0x991d5643c90ae0b1!8m2!3d27.6593472!4d-80.3879797!16s%2Fg%2F11jksdls5d!19sChIJc-Az7Wxf3ogRseAKyUNWHZk,Treasure Coast Ketamine Wellness & IV Nutrition Center,5.0,18,Medical clinic,"787 37th St Suite E110, Vero Beach, FL 32960, United States","MJ56+PR Vero Beach, Florida, USA",https://treasurecoastketamine.com/,+1 772-907-5917,"Closed ⋅ Opens 10 am Mon

Updated by this business 6 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOyFkXND1ModriplRgLTOqzpN7meTAii0Oc6CtA=w493-h240-k-no,true,Closed,10 am–4 pm,Closed,10 am–4 pm,Closed,10 am–4 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2025-09-29T00:29:19.516Z,,,
https://www.google.com/maps/place/Healing+Hydration+%26+Wellness/data=!4m7!3m6!1s0x88de5fa3768ea5f3:0x8e32743a136aa595!8m2!3d27.64621!4d-80.3809469!16s%2Fg%2F11kbwv4lbn!19sChIJ86WOdqNf3ogRlaVqEzp0Mo4,Healing Hydration & Wellness,5.0,26,Health spa,"91 Royal Palm Pointe, Vero Beach, FL 32960, United States","JJW9+FJ Vero Beach, Florida, USA",https://healinghydrationandwellness.com/,+1 772-584-0278,"Closed ⋅ Opens 10 am Mon

Updated by this business 4 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=x3CCNYM8jIMhqLerQ1idkQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=166.63795&pitch=0&thumbfov=100,true,Closed,10 am–6 pm,10 am–6 pm,1–7 pm,10 am–6 pm,10 am–2:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2025-09-29T00:29:24.886Z,,,
https://www.google.com/maps/place/Infuse+One+-+Infusion+%26+Injection+Medical+Clinic+Vero+Beach/data=!4m7!3m6!1s0x88de5fa7538cf971:0xc1f12cbd9baa6685!8m2!3d27.6609433!4d-80.388538!16s%2Fg%2F11yj9_m__n!19sChIJcfmMU6df3ogRhWaqm70s8cE,Infuse One - Infusion & Injection Medical Clinic Vero Beach,,,Medical clinic,"3730 7th Terrace STE 203, Vero Beach, FL 32960, United States","MJ66+9H Vero Beach, Florida, USA",https://www.infuseone.com/,+1 321-977-3409,"Closed ⋅ Opens 9 am Mon

Updated by this business 5 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNcM0f13qNOpPB5OWXR5mxjfk9Y4DKi6vnY-yCW=w408-h272-k-no,true,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2025-09-29T00:29:29.589Z,,,
https://www.google.com/maps/place/Bibiana%27s+Medical+Concierge+and+IV+Lounge/data=!4m7!3m6!1s0x88de5f57c3139929:0xb3f52b5b9c30244d!8m2!3d27.6313242!4d-80.3994845!16s%2Fg%2F11s3df5w19!19sChIJKZkTw1df3ogRTSQwnFsr9bM,Bibiana's Medical Concierge and IV Lounge,5.0,17,Medical clinic,"1414 16th St, Vero Beach, FL 32960, United States","JJJ2+G6 Vero Beach, Florida, USA",,+1 772-584-3873,Closed ⋅ Opens 9 am Tue,https://lh3.googleusercontent.com/p/AF1QipOkjvD17WS2DHtH705D0DrMmy1p3ok2Gk-jRICV=w671-h240-k-no,true,Closed,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/Infusion+centers+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2025-09-29T00:29:34.476Z,,,
https://www.google.com/maps/place/The+Wellness+Spot/data=!4m7!3m6!1s0x88de5f15bb3cf437:0xc7534fc84f65affd!8m2!3d27.6211618!4d-80.384419!16s%2Fg%2F11xfkqng8k!19sChIJN_Q8uxVf3ogR_a9lT8hPU8c,The Wellness Spot,5.0,9,Wellness center,"1060 6th Ave, Vero Beach, FL 32960, United States","JJC8+F6 Vero Beach, Florida, USA",https://www.twsvero.com/,+1 772-481-9355,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noOnLcQCJW78RQw5juf9JpCX83GeGCrzwB3CPlYZ8bBxHndaPz7Em3OL8VKZUSJ_NEOjyL0adO5Ww8fUygrHURrn0spXqV9o7OsQMbzfLT7lKbiblbxwEBEISIsHV39uOt4EA13ww=w408-h544-k-no,true,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2025-09-29T00:29:37.425Z,,,
https://www.google.com/maps/place/Elevate+Vero+Beach/data=!4m7!3m6!1s0x88def5d684a7c4b7:0xfe1e73366301c024!8m2!3d27.5891836!4d-80.4149877!16s%2Fg%2F11hzy8swz_!19sChIJt8SnhNb13ogRJMABYzZzHv4,Elevate Vero Beach,4.9,215,Medical spa,"755 27th Ave SW Ste. 9, Vero Beach, FL 32968, United States","HHQP+M2 Vero Beach, Florida, USA",https://elevateverobeach.com/,+1 772-492-6607,Closed ⋅ Opens 10 am Mon,https://lh3.googleusercontent.com/p/AF1QipO_w-JwUKfyvfKM53wZLJlk7Ikc-VQBht3QOOxT=w408-h271-k-no,true,Closed,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–3 pm,"https://www.google.com/maps/search/Infusion+centers+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2025-09-29T00:29:42.335Z,Identifies as veteran-owned,,
"https://www.google.com/maps/place/Alita+Gonsalves+Sikora,+MD,+Sikora+Integrative+Medicine/data=!4m7!3m6!1s0x88de5eedd3397071:0xa20666a61f6bf4f3!8m2!3d27.6597655!4d-80.3976361!16s%2Fg%2F1tf_j6rs!19sChIJcXA50-1e3ogR8_RrH6ZmBqI","Alita Gonsalves Sikora, MD, Sikora Integrative Medicine",4.9,144,Pain management physician,"1255 37th St B, Vero Beach, FL 32960, United States","MJ52+WW Vero Beach, Florida, USA",https://sikoramedical.com/?utm_campaign=gmb,+1 772-258-5731,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipMTPi3FpQOQricxtkhzO5ot1W8In6x7LJnPVkC7=w408-h612-k-no,true,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–12 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2025-09-29T00:29:47.360Z,Identifies as women-owned,,
"https://www.google.com/maps/place/Raul+E.+Storey,+MD/data=!4m7!3m6!1s0x88de5ef368455477:0x3b6d8f247586a50f!8m2!3d27.6609433!4d-80.388538!16s%2Fg%2F11b6xj9c4t!19sChIJd1RFaPNe3ogRD6WGdSSPbTs","Raul E. Storey, MD",4.7,144,Oncologist,"3730 7th Terrace STE 101, Vero Beach, FL 32960, United States","MJ66+9H Vero Beach, Florida, USA",https://flcancer.com/staff/raul-e-storey-md/,+1 772-567-2332,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipP3iqj_DbZ0xwILljLKgBCa0MMi0RLZ-xxJHZ1c=w426-h240-k-no,true,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–12 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2025-09-29T00:29:52.467Z,,,
https://www.google.com/maps/place/GenesisCare/data=!4m7!3m6!1s0x88de5e94cc54b09b:0xdc2e0a7c41c37eb1!8m2!3d27.6612271!4d-80.3917887!16s%2Fg%2F1tkc2xzr!19sChIJm7BUzJRe3ogRsX7DQXwKLtw,GenesisCare,4.9,10,Cancer treatment center,"931 37th Pl, Vero Beach, FL 32960, United States","MJ65+F7 Vero Beach, Florida, USA",https://www.genesiscare.com/us,+1 772-774-4182,"Closed ⋅ Opens 8 am Mon

Confirmed by this business 9 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNrI3O91J-fvipsrC1I9hF17dZm6XReHURiIrbM=w408-h272-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Vero+Beach+Vero+Beach+FL/@27.638635,-80.3946317,14z",2025-09-29T00:29:57.333Z,,,
