placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/Mystic+Pool+%26+Spa/data=!4m7!3m6!1s0x54ae546583eb18a5:0xb202f8f8912e0a10!8m2!3d43.6304877!4d-116.3727277!16s%2Fg%2F1tjfgkpd!19sChIJpRjrg2VUrlQREAoukfj4ArI,Mystic Pool & Spa,5.0,3,Swimming pool contractor,"1725 E Cougar Creek Dr, Meridian, ID 83646, United States","JJJG+5W Meridian, Idaho, USA",http://mysticpoolandspa.com/,+1 208-870-7014,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipMonqEAb6kkLRvVJnTw_eu-q-hiT1FSnRvyrZkC=w427-h240-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,12–2 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Meridian+Boise+ID/@43.6121087,-116.3915131,14z",2025-10-27T17:38:34.475Z,,,,
https://www.google.com/maps/place/H2O+Pools+and+Design/data=!4m7!3m6!1s0x54ae517e9ee3010b:0x8bb6d1c4f274a157!8m2!3d43.5894597!4d-116.4057056!16s%2Fg%2F11gfhb6p5h!19sChIJCwHjnn5RrlQRV6F08sTRtos,H2O Pools and Design,5.0,3,Swimming pool contractor,"943 W Overland Rd #101, Meridian, ID 83642, United States","HHQV+QP Meridian, Idaho, USA",http://h2opooldesigns.com/,+1 208-982-4301,Open ⋅ Closes 5:30 pm,https://lh3.googleusercontent.com/p/AF1QipP2kF313t6f-oMYqnxS3xo-BgwnZxX9e1V7Dg38=w426-h240-k-no,true,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Meridian+Boise+ID/@43.6121087,-116.3915131,14z",2025-10-27T17:38:41.451Z,,,,
https://www.google.com/maps/place/AMERICAN+POOLS+OF+IDAHO/data=!4m7!3m6!1s0x54ae53635c558601:0xfb5e15d9b86fca9c!8m2!3d43.6019515!4d-116.4415265!16s%2Fg%2F11lp1_53ps!19sChIJAYZVXGNTrlQRnMpvuNkVXvs,AMERICAN POOLS OF IDAHO,5.0,1,Swimming pool repair service,"327 S Riggs Spg Ave, Meridian, ID 83642, United States","JH25+Q9 Meridian, Idaho, USA",https://americanpoolsofidaho.com/,+1 208-899-9137,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOuEJNAVNDq24U7xMgESec2QVEpjNbC3xU2FbKd=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pool+services+businesses+in+Meridian+Boise+ID/@43.6121087,-116.3915131,14z",2025-10-27T17:38:46.436Z,,,,
https://www.google.com/maps/place/Yby+Pool+%26+Spa/data=!4m7!3m6!1s0x54ae538aa70c318b:0xbee224cb2733111e!8m2!3d43.6191285!4d-116.3811639!16s%2Fg%2F1vxvhl4y!19sChIJizEMp4pTrlQRHhEzJ8sk4r4,Yby Pool & Spa,3.0,1,Swimming pool contractor,"1035 E Fairview Ave, Meridian, ID 83642, United States","JJ99+MG Meridian, Idaho, USA",,+1 208-888-9788,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NIUMGXydngvX35Rx3YFsUw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=115.179085&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Meridian+Boise+ID/@43.6121087,-116.3915131,14z",2025-10-27T17:38:51.632Z,,,,
https://www.google.com/maps/place/Great+White+Pool+and+Spa+LLC/data=!4m7!3m6!1s0x54aef89bb9d5d60d:0x22fe6f9a63c39c94!8m2!3d43.731975!4d-115.9999606!16s%2Fg%2F11bw3dv5_f!19sChIJDdbVuZv4rlQRlJzDY5pv_iI,Great White Pool and Spa LLC,5.0,54,Swimming pool repair service,,,https://greatwhitepools208.wixsite.com/greatwhitepoolandspa,+1 208-954-7187,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipOxz82cuC32l6GcKs-vDwXa0DwQmQWIwmaH0xpz=w421-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Meridian+Boise+ID/@43.6121087,-116.3915131,14z",2025-10-27T17:38:56.540Z,,,,
https://www.google.com/maps/place/Pro+Shotcrete/data=!4m7!3m6!1s0x54ae53a31b244b35:0x1e65e6d9cb80f6e!8m2!3d43.6206912!4d-116.4178455!16s%2Fg%2F1v3lpp0f!19sChIJNUskG6NTrlQRbg-4nG1e5gE,Pro Shotcrete,3.6,8,Swimming pool contractor,"1933 W Emerald Falls Ct, Meridian, ID 83646, United States","JHCJ+7V Meridian, Idaho, USA",,,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzYr8UsT_Fw7FL9zu8KepsLzzYLBEOB8oJqW2F6kghtOGzrtpSgD0TZvRgHfHzsNU9465hCHP4bpNqtpDHGMZoMoDXAPtDccwmXSK715nGEJpZ5jyri5K-ULIYFXvoEUHGOzn3V=w408-h306-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Meridian+Boise+ID/@43.6121087,-116.3915131,14z",2025-10-27T17:39:01.617Z,,,,
https://www.google.com/maps/place/Superior+Pools/data=!4m7!3m6!1s0x54ae572d2414eff9:0xfd72173a443fae4b!8m2!3d43.6119293!4d-116.3297027!16s%2Fg%2F11hzqh4wys!19sChIJ-e8UJC1XrlQRS64_RDoXcv0,Superior Pools,4.0,49,Swimming pool contractor,"11880 W President Dr Suite H, Boise, ID 83713, United States","JM6C+Q4 Boise, Idaho, USA",https://superiorpoolsofidaho.com/,+1 208-971-6644,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOfKesSWPcCWfEGKq_nJl7CvB6t6HPRFOhZ6k6Q=w791-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Meridian+Boise+ID/@43.6121087,-116.3915131,14z",2025-10-27T17:39:06.663Z,,,,
https://www.google.com/maps/place/Natural+Hot+Springs+Pool+and+Spa/data=!4m7!3m6!1s0x54af08cdaaaaaaab:0xbdf26928ddf566d0!8m2!3d43.5812667!4d-116.3568299!16s%2Fg%2F11hf5nfz94!19sChIJq6qqqs0Ir1QR0Gb13Shp8r0,Natural Hot Springs Pool and Spa,3.7,18,Swimming pool contractor,"2991 E Indian Creek Dr, Meridian, ID 83642, United States","HJJV+G7 Meridian, Idaho, USA",,+1 208-608-0573,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fdDrZQBkGTa7gNVZ_-Vn0A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=171.82309&pitch=0&thumbfov=100,false,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–6 pm,7 am–5 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Meridian+Boise+ID/@43.6121087,-116.3915131,14z",2025-10-27T17:39:11.690Z,,,,
"https://www.google.com/maps/place/C.H.I.+Pool+Contractors,+Inc/data=!4m7!3m6!1s0x54ae510aaf1dc6b3:0xf55e6794a1445d!8m2!3d43.5746923!4d-116.3976721!16s%2Fg%2F1tdnwmg_!19sChIJs8YdrwpRrlQRXUShlGde9QA","C.H.I. Pool Contractors, Inc",3.5,17,Swimming pool contractor,"355 W Victory Rd, Meridian, ID 83642, United States","HJF2+VW Meridian, Idaho, USA",,+1 208-288-2259,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOczmOOgXVAjOrJU8CVhREpuuhTMiu_XqT5XxLT=w426-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Meridian+Boise+ID/@43.6121087,-116.3915131,14z",2025-10-27T17:39:16.730Z,,,,
https://www.google.com/maps/place/Absolute+Pool+Care/data=!4m7!3m6!1s0x54ae55017e4d06e3:0x83fbf05651a8e132!8m2!3d43.577309!4d-116.2806936!16s%2Fg%2F11gk9hn8j5!19sChIJ4wZNfgFVrlQRMuGoUVbw-4M,Absolute Pool Care,4.7,48,Swimming pool repair service,"7953 W Mossy Cup St, Boise, ID 83709, United States","HPG9+WP Boise, Idaho, USA",http://www.absolutepoolcare.us/,+1 208-841-0388,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNvtbfsKr2yd34FO63Xlo5i7kFYWs2PwLFigvjE=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–3 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Meridian+Boise+ID/@43.6121087,-116.3915131,14z",2025-10-27T17:39:21.930Z,,,,
