placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,info,attributes,error,isBlackOwned
https://www.google.com/maps/place/Precision+Garage+Door+of+Meridian/data=!4m7!3m6!1s0x54ae53c63897ce83:0x3ff9c78da41f8d64!8m2!3d43.602864!4d-116.3790884!16s%2Fg%2F11tdp13c4q!19sChIJg86XOMZTrlQRZI0fpI3H-T8,Precision Garage Door of Meridian,4.9,615,Garage door supplier,"1260 E Kalispell St Suite 100, Meridian, ID 83642, United States","JJ3C+49 Meridian, Idaho, USA",https://www.garagedoorboise.com/?utm_source=gmb&utm_medium=location_meridian&utm_campaign=website?camp=GMBM,+1 208-510-5520,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipOFHHKA9xj-WFp8EbAKzrdh8QpbnnT1BL1ZCeno=w408-h306-k-no,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Meridian+Boise+ID/@43.6121087,-116.3915131,14z",2025-11-07T22:44:54.619Z,,,,
https://www.google.com/maps/place/Action+Garage+Door/data=!4m7!3m6!1s0x54ae569d45f756e7:0xa8327ecb140cba66!8m2!3d43.6055374!4d-116.4144887!16s%2Fg%2F1td7ytfv!19sChIJ51b3RZ1WrlQRZroMFMt-Mqg,Action Garage Door,4.7,954,Garage door supplier,"65 N Linder Rd, Meridian, ID 83642, United States","JH4P+66 Meridian, Idaho, USA",https://actiongaragedoor.net/?utm_source=google&utm_medium=gmb&utm_campaign=gbp%20meridian,+1 208-425-4668,,https://lh3.googleusercontent.com/p/AF1QipPtHESvu-zAz8MWNUOTFBXZqFFrmmC_TiaVeNpt=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Meridian+Boise+ID/@43.6121087,-116.3915131,14z",2025-11-07T22:45:02.027Z,,,,
https://www.google.com/maps/place/Garage+Door+Team/data=!4m7!3m6!1s0x54ae5555c61eb983:0x8d6de8074ef1a57d!8m2!3d43.6240163!4d-116.365371!16s%2Fg%2F11h5qklws2!19sChIJg7kexlVVrlQRfaXxTgfobY0,Garage Door Team,5.0,162,Garage door supplier,"2355 E Meadow Wood Dr, Meridian, ID 83646, United States","JJFM+JV Meridian, Idaho, USA",https://garagedoorteam.net/,+1 208-565-8548,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMtntuLaS5y23ba1gUFS906Gw8W3Jd5vARlL4Pc=w426-h240-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Meridian+Boise+ID/@43.6121087,-116.3915131,14z",2025-11-07T22:45:07.412Z,,,,
https://www.google.com/maps/place/A1+Garage+Door+Service/data=!4m7!3m6!1s0x54ae5338ea6d8213:0x3e07dd5a015c2759!8m2!3d43.6091522!4d-116.3012151!16s%2Fg%2F11mxbj04j6!19sChIJE4Jt6jhTrlQRWSdcAVrdBz4,A1 Garage Door Service,4.8,2454,Garage door supplier,"9543 W Emerald St Suite 103, Boise, ID 83704, United States","JM5X+MG Boise, Idaho, USA",https://a1garage.com/locations/idaho/boise/garage-door-repair-and-installation-83704-p.html?utm_source=google&utm_medium=organic&utm_campaign=gbpwebsite[boise],+1 208-417-2283,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMznzGixIBKMRHqMI5ejPtQIJz8orZ7jgzi3Ya3=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Meridian+Boise+ID/@43.6121087,-116.3915131,14z",2025-11-07T22:45:12.483Z,,,,
https://www.google.com/maps/place/208+Aloha+Garage+Doors+LLC/data=!4m7!3m6!1s0x54ae5301a526492f:0x896980b8accafc8a!8m2!3d43.5946332!4d-116.4050704!16s%2Fg%2F11r9p9v1v8!19sChIJL0kmpQFTrlQRivzKrLiAaYk,208 Aloha Garage Doors LLC,4.9,33,Garage door supplier,"932 W Verbena Dr, Meridian, ID 83642, United States","HHVV+VX Meridian, Idaho, USA",https://www.208alohagaragedoorsllc.com/,+1 208-794-1317,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMhj55kR72JWCoyzNcnhb9ZzQjUX804t67GTDDk=w408-h306-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Meridian+Boise+ID/@43.6121087,-116.3915131,14z",2025-11-07T22:45:17.677Z,,,,
https://www.google.com/maps/place/Sawtooth+Garage+Doors/data=!4m7!3m6!1s0x54afb13141ce86b5:0xc64a6615a874ec88!8m2!3d43.6049817!4d-116.4147086!16s%2Fg%2F11fsj7mrnm!19sChIJtYbOQTGxr1QRiOx0qBVmSsY,Sawtooth Garage Doors,5.0,93,Garage door supplier,"1680 W Franklin Rd Suite 100, Meridian, ID 83642, United States","JH3P+X4 Meridian, Idaho, USA",https://sawtoothgaragedoors.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-website,+1 208-960-2977,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPYAXgunoo9YehpPfLZAKPGIaUb-YxCY_yIV3YZ=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Meridian+Boise+ID/@43.6121087,-116.3915131,14z",2025-11-07T22:45:23.105Z,,,,
https://www.google.com/maps/place/Garage+Door+Store+Boise/data=!4m7!3m6!1s0x54aeff362b60b503:0x4d030da379371086!8m2!3d43.5945155!4d-116.2951392!16s%2Fg%2F1q5bnfrpq!19sChIJA7VgKzb_rlQRhhA3eaMNA00,Garage Door Store Boise,5.0,963,Garage door supplier,"9075 W Hackamore Dr, Boise, ID 83709, United States","HPV3+RW Boise, Idaho, USA",https://www.garagedoorstoreboise.com/,+1 208-514-2871,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipNAs5_xqshrSPyk3MwT1Z6FP6Nd-fj5FG_srxnH=w408-h306-k-no,true,7 am–8 pm,7 am–12 pm,Closed,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Meridian+Boise+ID/@43.6121087,-116.3915131,14z",2025-11-07T22:45:28.289Z,,,,
"https://www.google.com/maps/place/Hanson+Overhead+Garage+Door+Service/@43.6495405,-116.2888465,11z/data=!3m1!4b1!4m6!3m5!1s0x54ae54716f7017d5:0xc0afa7f4ec2dee99!8m2!3d43.6495406!4d-116.2888465!16s%2Fg%2F1tj45mmf",Hanson Overhead Garage Door Service,5.0,38,Garage door supplier,,,http://hansonoverheadgaragedoors.com/,+1 208-577-2340,Open ⋅ Closes 6 pm,,true,7 am–6 pm,7 am–6 pm,Closed,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,"https://www.google.com/maps/search/garage+door+services+in+Meridian+Boise+ID/@43.6121087,-116.3915131,14z",2025-11-07T22:45:35.125Z,,,,
https://www.google.com/maps/place/D%26L+Garage+Doors+-+Garage+Door+Repair+Experts!/data=!4m7!3m6!1s0x54ae575357a3d2d5:0x4b80d0968f1958a4!8m2!3d43.6266026!4d-116.2442214!16s%2Fg%2F11cs6bm8k5!19sChIJ1dKjV1NXrlQRpFgZj5bQgEs,D&L Garage Doors - Garage Door Repair Experts!,4.9,926,Garage door supplier,"3800 W Chinden Blvd, Boise, ID 83714, United States","JQG4+J8 Boise, Idaho, USA",https://garagedoorrepairinboise.com/?utm_campaign=gmb,+1 208-261-3700,,https://lh3.googleusercontent.com/p/AF1QipOmQd7B7SNZWI-ig0khbWsl7rl15S0N_a4cPtT5=w436-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Meridian+Boise+ID/@43.6121087,-116.3915131,14z",2025-11-07T22:45:41.153Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Precision+Garage+Door+of+Boise/data=!4m7!3m6!1s0x54ae57d6e2a6e523:0x1ab50c92b9db74be!8m2!3d43.609268!4d-116.2585322!16s%2Fg%2F11rsd0ggc9!19sChIJI-Wm4tZXrlQRvnTbuZIMtRo,Precision Garage Door of Boise,4.9,1055,Garage door supplier,"6144 W Clinton St, Boise, ID 83704, United States","JP5R+PH Boise, Idaho, USA",https://garagedoorboise.com/?utm_source=gmb&utm_medium=location_boise&utm_campaign=website&camp=GMB,+1 208-252-6535,Open ⋅ Closes 11 pm,https://lh3.googleusercontent.com/p/AF1QipO53FnPcbGTnRMiKcAyAoQN-DBA_Acx48oWyORe=w408-h544-k-no,true,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,"https://www.google.com/maps/search/garage+door+services+in+Meridian+Boise+ID/@43.6121087,-116.3915131,14z",2025-11-07T22:45:46.745Z,,,,
