placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/Docere+Life+Center/data=!4m7!3m6!1s0x87bae1d304823a07:0xe7cf340df8dd8f11!8m2!3d37.7241586!4d-97.4324207!16s%2Fg%2F11np0dwk87!19sChIJBzqCBNPhuocREY_d-A00z-c,Docere Life Center,5.0,78,Wellness center,"7570 W 21st St Ste 1010b, Wichita, KS 67205, United States","PHF9+M2 Wichita, Kansas, USA",https://www.docerelifecenter.com/,+1 316-531-3030,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMVzfsVIVY0nQeZ13qkQa7peQY-xKmhIA8WNdd_=w408-h272-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–12 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Delano+District+Wichita+KS/@37.6822197,-97.3601842,14z",2026-02-23T17:03:56.791Z,,,,
https://www.google.com/maps/place/Entelechy+Life/data=!4m7!3m6!1s0x87bae31c9a6a0313:0xa45d8741c63cdf46!8m2!3d37.7249311!4d-97.4440366!16s%2Fg%2F11rsh7wjfl!19sChIJEwNqmhzjuocRRt88xkGHXaQ,Entelechy Life,5.0,56,Naturopathic practitioner,"2290 N Tyler Rd suite 150, Wichita, KS 67205, United States","PHF4+X9 Wichita, Kansas, USA",https://entelechylife.com/?utm_source=google&utm_medium=local&utm_campaign=1&utm_content=primary,+1 316-413-8768,Open · Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipMP6Ud4mZrMzFdEYkMpWObMBl2GnWL33QRdOGdT=w453-h240-k-no,true,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Delano+District+Wichita+KS/@37.6822197,-97.3601842,14z",2026-02-23T17:04:02.404Z,,,,
https://www.google.com/maps/place/Prairie+Health+and+Wellness/data=!4m7!3m6!1s0x87bae395230ed53d:0xd6455b36ee28a359!8m2!3d37.722775!4d-97.1972111!16s%2Fg%2F12m935xp5!19sChIJPdUOI5XjuocRWaMo7jZbRdY,Prairie Health and Wellness,4.6,77,Medical Center,"12115 E 21st St N #107, Wichita, KS 67206, United States","PRF3+44 Wichita, Kansas, USA",http://www.prairiehealthwellness.com/,+1 316-440-7000,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOQxvIDT0ahLEiYuSGyJ5mHSHCvJvccTrn092Pz=w408-h272-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Delano+District+Wichita+KS/@37.6822197,-97.3601842,14z",2026-02-23T17:04:07.642Z,,,,
https://www.google.com/maps/place/Dr.+Patrick+Garrett+-+Family+Health+%26+Wellness/data=!4m7!3m6!1s0x87bae395144e2cdd:0xf63efe1f2ef98905!8m2!3d37.6857385!4d-97.3285003!16s%2Fg%2F11hbnclg_f!19sChIJ3SxOFJXjuocRBYn5Lh_-PvY,Dr. Patrick Garrett - Family Health & Wellness,4.9,11,Alternative medicine practitioner,"801 E Douglas Ave 2nd Floor, Wichita, KS 67202, United States","MMPC+7H Wichita, Kansas, USA",http://nourishpurifyheal.com/,+1 316-202-8182,Closed · Opens 9:30 am Tue,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepwySgrzUk3BLM2pLa95zpU6ZkMpXkxK22dz70eZxcDGHFA_vJ-XUH8sEExsCKyxne_FgnVrG9B1gwQTZscpQac7z9HFroMKKN7iMPWEAod4h7HXWSFuAXd9tE-xgCUb75n5wro4R5ipROF=w408-h544-k-no,true,Closed,9:30 am–5 pm,9:30 am–5 pm,9:30 am–5 pm,9:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Delano+District+Wichita+KS/@37.6822197,-97.3601842,14z",2026-02-23T17:04:12.404Z,,,,
https://www.google.com/maps/place/Institute+for+Restorative+Health/data=!4m7!3m6!1s0x87baf118ea4cc801:0x92da64573d0acf30!8m2!3d37.5710487!4d-97.2451858!16s%2Fg%2F11fj_0pz4s!19sChIJAchM6hjxuocRMM8KPVdk2pI,Institute for Restorative Health,4.9,87,Holistic medicine practitioner,"2307 N Rock Rd Ste 500, Derby, KS 67037, United States","HQC3+CW Derby, Kansas, USA",https://instituteforrestorativehealth.com/,+1 316-867-0874,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipM34BZEUSxPVXBks9sG3MXVpXxpjlAOjJA1Wv0=w426-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Delano+District+Wichita+KS/@37.6822197,-97.3601842,14z",2026-02-23T17:04:17.082Z,,,,
https://www.google.com/maps/place/Vis+Clinic/data=!4m7!3m6!1s0x87bae346ed44cee3:0x4732ecccb32fdb88!8m2!3d37.6852522!4d-97.2795999!16s%2Fg%2F1v_vtf1n!19sChIJ485E7UbjuocRiNsvs8zsMkc,Vis Clinic,4.0,21,Naturopathic practitioner,"4825 E Douglas Ave #100, Wichita, KS 67218, United States","MPPC+45 Wichita, Kansas, USA",http://visclinic.com/,+1 316-425-3729,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOITcoIDMnPBo38AFUycpffrqPPUSnxKArSMysb=w408-h612-k-no,true,8 am–5 pm,8 am–5 pm,"8 am–12 pm, 3–5 pm",8 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Delano+District+Wichita+KS/@37.6822197,-97.3601842,14z",2026-02-23T17:04:21.846Z,,,,
https://www.google.com/maps/place/Riordan+Clinic/data=!4m7!3m6!1s0x87bae290db197665:0x13929942f470fa97!8m2!3d37.7400779!4d-97.2927594!16s%2Fm%2F0h3qj72!19sChIJZXYZ25DiuocRl_pw9EKZkhM,Riordan Clinic,4.0,12,Naturopathic practitioner,"3100 N Hillside St, Wichita, KS 67219, United States","PPR4+2V Wichita, Kansas, USA",https://riordanclinic.org/,+1 316-682-3100,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMMqnaCcqU6iHoUDb_VVerBW49GVjbJj7QtJnzP=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Delano+District+Wichita+KS/@37.6822197,-97.3601842,14z",2026-02-23T17:04:26.619Z,,,,
https://www.google.com/maps/place/Advanced+Alternatives+For+Health/data=!4m7!3m6!1s0x87bae30acbcbff55:0xe6479396b74cbe51!8m2!3d37.6861253!4d-97.2823571!16s%2Fg%2F11hdj2hm29!19sChIJVf_LywrjuocRUb5Mt5aTR-Y,Advanced Alternatives For Health,5.0,3,Kinesiologist,"4601 E Douglas Ave #122, Wichita, KS 67218, United States","MPP9+F3 Wichita, Kansas, USA",http://advancedalternativesforhealth.com/,+1 316-652-9191,Closed · Opens 1:30 pm Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=V_I69hEkllN124IrF4BApQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=221.17183&pitch=0&thumbfov=100,true,Closed,1:30–8:30 pm,1:30–8:30 pm,1:30–8:30 pm,1:30–8:30 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Delano+District+Wichita+KS/@37.6822197,-97.3601842,14z",2026-02-23T17:04:31.531Z,,,,
https://www.google.com/maps/place/Dr.+Rachel+Sparks/data=!4m7!3m6!1s0x87bae0a2b077f0e5:0xfd9b3b6c8ecf16dc!8m2!3d37.680258!4d-97.4279923!16s%2Fg%2F11tg6hv_7m!19sChIJ5fB3sKLguocR3BbPjmw7m_0,Dr. Rachel Sparks,,,Holistic medicine practitioner,"7330 W Maple St #120, Wichita, KS 67209, United States","MHJC+4R Wichita, Kansas, USA",https://www.ictmjc.com/dr-rachel-sparks,+1 316-854-3525,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipP5jZNasjeHhZtgOUpi9mGysNgTrcMTv7vw0oHh=w408-h272-k-no,true,8 am–6 pm,2–7 pm,8 am–6 pm,2–7 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Delano+District+Wichita+KS/@37.6822197,-97.3601842,14z",2026-02-23T17:04:36.133Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Wichita+Health+%26+Hormone+Clinic/data=!4m7!3m6!1s0x87bae195dd3a3d01:0x3df4227d7c304269!8m2!3d37.7236415!4d-97.4304654!16s%2Fg%2F11q_68c2bl!19sChIJAT063ZXhuocRaUIwfH0i9D0,Wichita Health & Hormone Clinic,4.0,4,Women's health clinic,"7570 W 21st St Building 1026 Ste C113, Wichita, KS 67205, United States","PHF9+FR Wichita, Kansas, USA",https://wichitahhc.com/,+1 316-201-6774,"Open · Closes 4 pm

Updated by others 2 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mjwslIDI3joF5knTJF0_WA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=242.45576&pitch=0&thumbfov=100,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Delano+District+Wichita+KS/@37.6822197,-97.3601842,14z",2026-02-23T17:04:40.865Z,,,,
