placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned
https://www.google.com/maps/place/Neace+Tire/data=!4m7!3m6!1s0x884083b0239aa8f1:0xe5dfca988ab689db!8m2!3d39.7840984!4d-84.1546066!16s%2Fg%2F1trprgwh!19sChIJ8aiaI7CDQIgR24m2ipjK3-U,Neace Tire,4.8,1136,Tire shop,· In-store shopping · In-store pick-up · Delivery,"1605 Valley St, Dayton, OH 45404, United States","QRMW+J5 Dayton, Ohio, USA",http://www.neacetire.com/,+1 937-222-8473,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqUWMDYWm5uybAQbk8zmAwFC6mG5DkWuSQ8ffsar5pdq68qHUv5oZ1ISTiErIrstLuXNEuHx_Am-yA2tTPfrti4LKZR35Tbo2BYAVe_jfboLwKtm-ykDeUoxAhCRiYhemFjDCSg=w408-h306-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–3:30 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2026-03-23T14:49:49.434Z,,
https://www.google.com/maps/place/Wayne+Tire+%26+Auto/data=!4m7!3m6!1s0x884085598c32555d:0x5301b48995d60a4a!8m2!3d39.7487025!4d-84.1729976!16s%2Fg%2F11b6mg2cp1!19sChIJXVUyjFmFQIgRSgrWlYm0AVM,Wayne Tire & Auto,4.4,219,Auto repair shop,,"1400 Wayne Ave, Dayton, OH 45410, United States","PRXG+FR Dayton, Ohio, USA",,+1 937-222-7006,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqhBdqWUT3AW83Yo7qrEVRYYb2sNoa3nMMS9nVmT60KRoMSp7NCfSXlIbzQyJ0puKf5-mCkHa3KaaVgST7-jPTAL0gfZ0x6ckLL0db0h6dqI9IPgQ6dfhmkzXRPC4MXVxNYg85M=w408-h429-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2026-03-23T14:49:54.871Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Grismer+Tire+%26+Auto+Service+Center/data=!4m7!3m6!1s0x884086aeb42b96d1:0x4ec06dd4922981e0!8m2!3d39.7474149!4d-84.1908548!16s%2Fg%2F1thghqbm!19sChIJ0ZYrtK6GQIgR4IEpktRtwE4,Grismer Tire & Auto Service Center,4.6,1090,Tire shop,· In-store pick-up,"815 S Patterson Blvd, Dayton, OH 45402, United States","PRW5+XM Dayton, Ohio, USA",http://www.grismertire.com/,+1 937-223-3244,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep30XIRjDsS8hvBqGsnNEH-vuXAIWOKdcI9GWrmiYZOJImp8mHu8E6M--KoKNVM-H4xecDfS92NLISyvjIsoMWBGc1sEuEYugNx-zNX708dcwNUt50lMIFOvRcF81hUw5Ta4Tjw=w408-h408-k-no,true,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,7:30 am–4 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2026-03-23T14:50:00.013Z,,
https://www.google.com/maps/place/Henry+Tire+%26+Auto/data=!4m7!3m6!1s0x8840839100c6184f:0x475d8148348a13ed!8m2!3d39.7648673!4d-84.1567981!16s%2Fg%2F1tlbpv2f!19sChIJTxjGAJGDQIgR7ROKNEiBXUc,Henry Tire & Auto,4.0,288,Tire shop,· In-store shopping · Kerbside pickup · Delivery,"2602 E 3rd St, Dayton, OH 45403, United States","QR7V+W7 Dayton, Ohio, USA",,+1 937-258-3000,"Open · Closes 6 pm

Updated by this business 5 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweo0tjlx8QiH6u6kjCLBmmtUb0PwRFse_Nj3bn5eZZ9ouYh5ivN-jcjMPg4i2T8qJbXtlrGwCNq-dVITQnlfUlmyiX4tPQycZOdDauSyzUfye3ovYahIDUlT_zUCGclQTFFVO-w=w426-h240-k-no,true,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,9 am–6 pm,9 am–5:30 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2026-03-23T14:50:05.257Z,,
https://www.google.com/maps/place/Joe%27s+Tire+Shop/data=!4m7!3m6!1s0x884081d9d1aff951:0xb700318c79adb7fe!8m2!3d39.7817505!4d-84.2086382!16s%2Fg%2F11h32zj2_0!19sChIJUfmv0dmBQIgR_reteYwxALc,Joe's Tire Shop,4.1,125,Tire shop,· In-store pick-up,"1947 N Main St, Dayton, OH 45405, United States","QQJR+PG Dayton, Ohio, USA",https://jojoyusef73.wixsite.com/tireshop,+1 937-496-5985,Open · Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqQIlcfWmk0thngC7pzamc8d9wKYpm1ncj8b95jxdu0QVCuw52tT1nv2HlhcfOjJmJOqu0PjJtFKtWpQ7DCPhoy3sK0ZiGpXfiKC7Cb6jZQpYLaUSFQH_lwkoI4gQyGzDGhuuJM=w408-h306-k-no,true,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–6 pm,"https://www.google.com/maps/search/tire+service+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2026-03-23T14:50:10.483Z,,
https://www.google.com/maps/place/Grismer+Tire+Commercial+Division/data=!4m7!3m6!1s0x884086aeb42b96d1:0x2c5707f8badbe84f!8m2!3d39.7477505!4d-84.19115!16s%2Fg%2F11b5pj3s6b!19sChIJ0ZYrtK6GQIgRT-jbuvgHVyw,Grismer Tire Commercial Division,4.7,30,Tire shop,,"900 S Perry St, Dayton, OH 45402, United States","PRX5+4G Dayton, Ohio, USA",http://www.grismertire.com/,+1 937-224-9815,Open · Closes 4:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep8eFghIAV4d7K1J8Z95RRSPOgBLg_VN7ZlN_q3FEKvGvTi5_Vs3cCfD-Gc2fBZ0D_X-jacmOudwDs4JFa2-51y6dXG-sbIveAABO8wrLYGKLih_piPF1kofbwORksIFT8zGv_ZCw=w426-h240-k-no,false,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2026-03-23T14:50:15.338Z,,
https://www.google.com/maps/place/Wayne+Tire+Center/data=!4m7!3m6!1s0x88408408983b5f41:0xa0180cdfabd7a16d!8m2!3d39.7494264!4d-84.1745382!16s%2Fg%2F11g6l_b4kj!19sChIJQV87mAiEQIgRbaHXq98MGKA,Wayne Tire Center,4.3,352,Tire shop,,"1247 Wayne Ave, Dayton, OH 45410, United States","PRXG+Q5 Dayton, Ohio, USA",,+1 937-567-0987,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweool9jdM4ODvM8GtqZNGhxYEYYdpuBDvawsbfizLYeYp7arXSug2tOJVi3XKELECYuaN0VznQDmUXAGWmdyKCVh9w14cVIOBL-SXhd1UwFy0S9PHLHqcvhuiGxWBLUn9mwKRnfC=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2026-03-23T14:50:20.382Z,LGBTQ+ friendly,
https://www.google.com/maps/place/MAIN+TIRE+AND+AUTO/data=!4m7!3m6!1s0x88408142e9681545:0xff15e1d1cfe5a76b!8m2!3d39.7737123!4d-84.1980567!16s%2Fg%2F1hc5f7n4r!19sChIJRRVo6UKBQIgRa6flz9HhFf8,MAIN TIRE AND AUTO,4.2,138,Auto repair shop,,"934 N Main St, Dayton, OH 45405, United States","QRF2+FQ Dayton, Ohio, USA",,+1 937-222-2830,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepSZ3lYI5bSX5rMVgAenP-dOlNxq-tvc7Nr5To5IwYnKIcEW0ACbkFYGzmfBo--OuSLXDao0bqFz9d_1-xv9g5-DURwQauPBxrD6XkgvTqdGVQQ8URgsZrLaNZvXk_ZGXk6tShhUA=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–3:30 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2026-03-23T14:50:25.414Z,,
https://www.google.com/maps/place/King+Tire+%26+Mechanic/data=!4m7!3m6!1s0x884085faff8ac1b5:0xbf17a12d583d83e5!8m2!3d39.7488308!4d-84.1439695!16s%2Fg%2F11lts4b2tt!19sChIJtcGK__qFQIgR5YM9WC2hF78,King Tire & Mechanic,4.8,187,Tire shop,,"2701 Linden Ave, Dayton, OH 45410, United States","PVX4+GC Dayton, Ohio, USA",,+1 937-999-4014,"Open · Closes 6 pm

Confirmed by phone call 7 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweoU-u3ozHoparDaedMT2AcLIPKxsEUOO2I-UrT-SE1e9iL3_Tx4-4OgGzuuTgWFAJGMpJBBKXvOnTMPad0k9HmiVlKnUMQtgY4qgGeAfIZtqbEnayuuFMlR_cfzvCJFPjWE2BzzUg=w408-h546-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/tire+service+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2026-03-23T14:50:30.613Z,,
https://www.google.com/maps/place/Carroll-Wuertz+Tire+Company+-+Goodyear+Authorized+Dealer/data=!4m7!3m6!1s0x884086abe1ba18a3:0x457aa96b43783633!8m2!3d39.7488681!4d-84.189884!16s%2Fg%2F1vknq1l8!19sChIJoxi64auGQIgRMzZ4Q2upekU,Carroll-Wuertz Tire Company - Goodyear Authorized Dealer,4.4,163,Tire shop,· In-store shopping,"730 S Patterson Blvd, Dayton, OH 45402, United States","PRX6+G2 Dayton, Ohio, USA",http://c-wtire.com/,+1 937-461-5441,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoO4grfRnK0PAaTwDPtpl00LPj6zUR-ZIuZpntD6wcE5oboLk2l8ezpJrNtQeirLxVLhiUXmmndH-WNCfkUqWsccioUViIBsxawdoWG8if-FQuYexPjQVSs9bj4eBpgZmwlhZCk=w408-h306-k-no,true,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2026-03-23T14:50:35.759Z,LGBTQ+ friendly,
