placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,thursday,friday,saturday,sunday,monday,tuesday,wednesday,info,attributes,error
https://www.google.com/maps/place/Dhl+Property+Management+Group/data=!4m7!3m6!1s0x87014e542a7a3405:0xdfbb7666a1cab4d!8m2!3d35.2066378!4d-101.8467338!16s%2Fg%2F11fll6gn5_!19sChIJBTR6KlROAYcRTascama3-w0,Dhl Property Management Group,2.5,16,Property management company,"811 SW 8th Ave, Amarillo, TX 79101, United States","6543+M8 Amarillo, Texas, USA",,+1 806-640-3524,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=09Jd3Y0bbubivSgs3pvwpg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=207.91103&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-25T17:00:36.011Z,,,,,,,,,,
https://www.google.com/maps/place/Amarillo+Property+Management/data=!4m7!3m6!1s0x87014fab1ece22fd:0xa3d165c10e4e0ae1!8m2!3d35.1888644!4d-101.8387074!16s%2Fg%2F1tdrxryw!19sChIJ_SLOHqtPAYcR4QpODsFl0aM,Amarillo Property Management,3.1,7,Property management company,"2208 Canyon Dr, Amarillo, TX 79109, United States","55Q6+GG Amarillo, Texas, USA",,+1 806-372-4075,Closed ⋅ Opens 1 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrSMez2q4LMToqnMnJBGrBj7p_TBkM_tyoL-3_z-dab976LhIaQ7uYTcls0N8Nigs0d3OmcWFhfAru8foceoCW_44sz6Mix4NuTgmmc8U3ZMBmuegShjwXv7cb4AXJn-ISbiGAzuw=w408-h306-k-no,true,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-25T17:00:41.693Z,"8 am–12 pm, 1–4 pm","8 am–12 pm, 1–4 pm",Closed,Closed,"8 am–12 pm, 1–4 pm","8 am–12 pm, 1–4 pm","8 am–12 pm, 1–4 pm",,,
https://www.google.com/maps/place/GDH+Amarillo+Property+Management+Inc./data=!4m7!3m6!1s0x87014f08d9df344b:0xfb586b35b3fa48a9!8m2!3d35.1884567!4d-101.8385415!16s%2Fg%2F11g6pxgcn5!19sChIJSzTf2QhPAYcRqUj6szVrWPs,GDH Amarillo Property Management Inc.,3.2,6,Property management company,"2206 Canyon Dr, Amarillo, TX 79109, United States","55Q6+9H Amarillo, Texas, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LXb2FjepufjFjEknvHuYwQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=283.50458&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-25T17:00:45.028Z,,,,,,,,,,
https://www.google.com/maps/place/Sutter+Home+Properties/data=!4m7!3m6!1s0x4d2c3aa9d708e8ff:0xd394350ceadf6f83!8m2!3d35.2064689!4d-101.8384082!16s%2Fg%2F11rv5xdq9k!19sChIJ_-gI16k6LE0Rg2_f6gw1lNM,Sutter Home Properties,4.9,16,Property investment company,"600 S Tyler St suite 2100, Amarillo, TX 79101, United States","6546+HJ Amarillo, Texas, USA",https://www.sutterhomeproperties.com/,+1 806-414-5983,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipN_kEgPI8ZR6cWNXd6YpM746_z4wUdVcV3qdp56=w408-h306-k-no,true,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-25T17:00:50.085Z,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,,,
https://www.google.com/maps/place/MacInnis+Properties/data=!4m7!3m6!1s0x87014fcd62fbf477:0xfc7a9166dfa64b21!8m2!3d35.1926801!4d-101.8552285!16s%2Fg%2F11fvw93r6g!19sChIJd_T7Ys1PAYcRIUum32aRevw,MacInnis Properties,3.1,8,Property management company,"1511 Wolflin Ave, Amarillo, TX 79109, United States","54VV+3W Amarillo, Texas, USA",https://macinnisproperties.com/,+1 806-567-4311,"Open ⋅ Closes 3 pm

Updated by this business 3 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMd9AOzF_aHnF-KJukSPL3cC81Mi1thC2IjYek0=w408-h306-k-no,true,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-25T17:00:55.127Z,8:30 am–3 pm,8:30 am–3 pm,Closed,Closed,8:30 am–3 pm,8:30 am–3 pm,8:30 am–3 pm,,,
https://www.google.com/maps/place/Miles+Rental/data=!4m7!3m6!1s0x87014e6f7a602e7b:0x2ce0c91e3141015e!8m2!3d35.229669!4d-101.8555838!16s%2Fg%2F1262x6k2b!19sChIJey5gem9OAYcRXgFBMR7J4Cw,Miles Rental,3.9,14,Property management company,"1509 N Bonham St, Amarillo, TX 79107, United States","64HV+VQ Amarillo, Texas, USA",,+1 806-374-0827,Open ⋅ Closes 6 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d94gnPpZ1II1aIxgBDr3dA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=249.00546&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-25T17:01:00.276Z,9 am–6 pm,9 am–6 pm,9 am–1 pm,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,,,
https://www.google.com/maps/place/Real+Property+Management+of+the+High+Plains/data=!4m7!3m6!1s0x8701516fcc7e560f:0xc1d75a4fdad6d890!8m2!3d35.1682858!4d-101.9018881!16s%2Fg%2F11s54lvb8s!19sChIJD1Z-zG9RAYcRkNjW2k9a18E,Real Property Management of the High Plains,4.9,51,Property management company,"3915 Bell St, Amarillo, TX 79109, United States","539X+86 Amarillo, Texas, USA",http://www.rpmhighplains.com/?cid=LSTL_RPM000203&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 806-553-7914,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipOe3cyfW1sYFGmGBZ1I-hsp8bCS6Zfd6cRgu9ry=w408-h306-k-no,true,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-25T17:01:05.573Z,9 am–6 pm,9 am–1 pm,Closed,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,,,
https://www.google.com/maps/place/Bogue+Property+Management/data=!4m7!3m6!1s0x870151d7257b5541:0xabf23cfa9d208710!8m2!3d35.2052169!4d-101.8941413!16s%2Fg%2F1tjwj5_1!19sChIJQVV7JddRAYcREIcgnfo88qs,Bogue Property Management,5.0,1,Property management company,"909 Alta Vista St, Amarillo, TX 79106, United States","6444+38 Amarillo, Texas, USA",http://www.boguepropertymanagement.com/,+1 806-331-4114,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QArgZe_dBth3TOHku2tS7A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=96.46605&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-25T17:01:10.918Z,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,,,
https://www.google.com/maps/place/N+L+Investments+Inc.+%2F+Shapiro+Family+LP/data=!4m7!3m6!1s0x87014e91e1852351:0xb12025f268815da1!8m2!3d35.2310393!4d-101.8319716!16s%2Fg%2F1td1qb70!19sChIJUSOF4ZFOAYcRoV2BaPIlILE,N L Investments Inc. / Shapiro Family LP,3.5,10,Property management company,"1623 Dumas Dr, Amarillo, TX 79107, United States","65J9+C6 Amarillo, Texas, USA",,+1 806-383-1985,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TuuOAWRQq1uD_BP99q3hNQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=263.50916&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-25T17:01:15.945Z,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,,,
https://www.google.com/maps/place/Gaut+Whitteburg+Emerson+Property+Management/data=!4m7!3m6!1s0x87014fa198c9d007:0x8fa7a63ac2234e49!8m2!3d35.2076395!4d-101.8388846!16s%2Fg%2F11rrbmsdgd!19sChIJB9DJmKFPAYcRSU4jwjqmp48,Gaut Whitteburg Emerson Property Management,,,Property management company,"600 S Tyler St #2201, Amarillo, TX 79101, United States","6556+3C Amarillo, Texas, USA",https://www.gwamarillo.com/property_management.html,+1 806-373-3111,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kQHVq1aSwV-7v9s8XQ8EYQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=148.78925&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-25T17:01:21.051Z,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,,,
