placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,isBlackOwned,attributes
https://www.google.com/maps/place/Rescue+Plumbing/data=!4m7!3m6!1s0x880fd393d427a591:0x8cba02d713a995ed!8m2!3d41.9214708!4d-87.6574208!16s%2Fg%2F11hzfpv2st!19sChIJkaUn1JPTD4gR7ZWpE9cCuow,Rescue Plumbing,4.9,1441,Plumber,"1137 W Webster Ave, Chicago, IL 60614, United States","W8CV+H2 Chicago, Illinois, USA",https://www.myrescueplumbing.com/,+1 773-219-6071,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipN3CUVdZi2BLesnDJtZ6FQWvNerjU9CNTIuALBg=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2025-11-11T03:11:11.929Z,,
https://www.google.com/maps/place/Goode+Plumbing/data=!4m7!3m6!1s0x880fcd9aaaaaaaab:0x971363901ecf6ab1!8m2!3d41.964403!4d-87.7350452!16s%2Fg%2F1tf0r6f7!19sChIJq6qqqprND4gRsWrPHpBjE5c,Goode Plumbing,4.8,2242,Plumber,"4594 N Elston Ave, Chicago, IL 60630, United States","X777+QX Chicago, Illinois, USA",https://goodeplumbing.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Chicago-IL,+1 773-280-8496,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipOiiY3Q-nDFYeYc4Uw8jP39tx35l0pI5YrUbszk=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2025-11-11T03:11:17.088Z,,
https://www.google.com/maps/place/Gold+Coast+Plumbing+Experts/data=!4m7!3m6!1s0x6b910e018f4517c5:0x85ae01ac1432b0d7!8m2!3d-27.9819556!4d153.3702567!16s%2Fg%2F11csrz2835!19sChIJxRdFjwEOkWsR17AyFKwBroU,Gold Coast Plumbing Experts,4.9,1127,Plumber,,,https://goldcoastplumbingexperts.com.au/?utm_source=google&utm_medium=business_profile&utm_campaign=tradius&utm_content=website_button,,,,https://lh3.googleusercontent.com/p/AF1QipNYvUuuTmDSUCQjkn8QajLywaV9zVwk881nqSxN=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2025-11-11T03:11:21.525Z,,
https://www.google.com/maps/place/Narwhal+Plumbing+Specialists+in+Tankless+Water+Heater+Installations+and+Plumbing+Services/data=!4m7!3m6!1s0x880fd3cc388c9001:0x276d5088da16ee9d!8m2!3d41.9106506!4d-87.6526806!16s%2Fg%2F11x8xjv7yl!19sChIJAZCMOMzTD4gRne4W2ohQbSc,Narwhal Plumbing Specialists in Tankless Water Heater Installations and Plumbing Services,5.0,9,Plumber,"939 W North Ave Suit 750, Chicago, IL 60642, United States","W86W+7W Chicago, Illinois, USA",https://www.narwhal-plumbing.com/,+1 224-769-3882,Open 24 hours,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipNZaFlW5Zer7qmYS6oplkgd2tEqDubQz-56axQL=w408-h510-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,7 am–3 pm,7 am–3 pm,"https://www.google.com/maps/search/plumbing++services+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2025-11-11T03:11:26.034Z,,
https://www.google.com/maps/place/Rescue+Plumbing/data=!4m7!3m6!1s0x880fd3689b631dbb:0x612fd6bc7f13056d!8m2!3d41.9436335!4d-87.6709675!16s%2Fg%2F11j8lnn0wn!19sChIJux1jm2jTD4gRbQUTf7zWL2E,Rescue Plumbing,4.8,85,Plumber,"3409 N Paulina St, Chicago, IL 60657, United States","W8VH+FJ Chicago, Illinois, USA",https://myrescueplumbing.com/plumber-near-me/roscoe-village-chicago-il/,+1 773-219-3964,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMNWUjG5M9Q-Wa-HSRwMjsvok_XZLky5nEC1VZL=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2025-11-11T03:11:30.439Z,,
https://www.google.com/maps/place/Avantel+Plumber+of+Chicago+IL/data=!4m7!3m6!1s0x880e2d9ea7a8fe19:0xb12ed8728d28bdb4!8m2!3d41.8744706!4d-87.6519201!16s%2Fg%2F11m9shj_y7!19sChIJGf6op54tDogRtL0ojXLYLrE,Avantel Plumber of Chicago IL,4.9,42,Plumber,"1000 W Harrison St, Chicago, IL 60607, United States","V8FX+Q6 Chicago, Illinois, USA",https://chicagoplumber.avantel.net/,+1 312-265-2745,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPaxT5nQEMvRoKON3MsFRd01i_U5K6gksEGUmva=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2025-11-11T03:11:34.754Z,,
https://www.google.com/maps/place/Kavana%27s+Plumbing+and+Heating/data=!4m7!3m6!1s0x880e3359eccbffff:0x5f3ee9de0cefd3!8m2!3d41.8869792!4d-87.7722269!16s%2Fg%2F11gh36n8g_!19sChIJ___L7FkzDogR0-8M3uk-XwA,Kavana's Plumbing and Heating,4.9,189,Plumber,"5901 W Corcoran Pl, Chicago, IL 60644, United States","V6PH+Q4 Chicago, Illinois, USA",http://kavanasplumbing.com/,+1 773-908-5454,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMyRnxNnQ8Ba69ooCwy9pT1WBAMPwcRBdHJL0cj=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2025-11-11T03:11:39.206Z,,
https://www.google.com/maps/place/Sinks-N-Sumps/data=!4m7!3m6!1s0x880fd3035b744d6d:0xb98b3ff4d61075d6!8m2!3d41.9231919!4d-87.645947!16s%2Fg%2F11b6lk05jt!19sChIJbU10WwPTD4gR1nUQ1vQ_i7k,Sinks-N-Sumps,5.0,40,Plumber,,,http://www.sinksnsumps.com/,+1 866-580-2600,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipONfdnhZlhbQZ7PKhaH8p7B6Bc2_uZEpusaABsr=w598-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2025-11-11T03:11:43.482Z,,
https://www.google.com/maps/place/Roto-Rooter+Plumbing+%26+Water+Cleanup/data=!4m7!3m6!1s0x880e2cac6e03efd5:0x4a0f97b68c3969b6!8m2!3d41.8834498!4d-87.6330688!16s%2Fg%2F1w2y_0k8!19sChIJ1e8DbqwsDogRtmk5jLaXD0o,Roto-Rooter Plumbing & Water Cleanup,4.7,8153,Plumber,"166 W Washington St Ste 375, Chicago, IL 60602, United States","V9M8+9Q Chicago, Illinois, USA",https://www.rotorooter.com/chicago/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,+1 312-379-2926,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOEBrxmOt0OQ9JUK5n0iyUHYDzwQ4HseTWQ5d4k=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2025-11-11T03:11:48.013Z,,
https://www.google.com/maps/place/Andres+Plumbing+and+Repair/data=!4m7!3m6!1s0xa228b7c7fd783441:0xf081c801e051e5c7!8m2!3d41.8337105!4d-87.731879!16s%2Fg%2F11vyzxzyf1!19sChIJQTR4_ce3KKIRx-VR4AHIgfA,Andres Plumbing and Repair,5.0,18,Plumber,,,http://andresplumbingandrepair.com/,+1 773-668-8893,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPw6wXf2QbhmXR3VHQ-Gp6-eBcQzUa65OoUYtzz=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/plumbing++services+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2025-11-11T03:11:52.269Z,,
