placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,isBlackOwned,error,attributes
https://www.google.com/maps/place/Salem+Pediatric+Clinic/data=!4m7!3m6!1s0x54bfff51f48ddc2b:0x9549ed05886570ce!8m2!3d44.9172198!4d-123.0288932!16s%2Fg%2F1tczq2k9!19sChIJK9yN9FH_v1QRznBliAXtSZU,Salem Pediatric Clinic,3.3,138,Pediatrician,"2478 13th St SE, Salem, OR 97302, United States","WX8C+VC Salem, Oregon, USA",http://salempediatricclinic.com/,+1 503-362-2481,Open · Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepnJ61eJ4_WRSYO5h0j6lBuD1uC_6SbHJFbxaupR_smLa1LREzc4qxU2_Pig0oDHIwxw3g2WiRuJzFEdMRa3H4xZISXzRjKegfASiAZx0m8uk7mm9TZD6XNcF23cxqzlwPk-fxePA=w408-h306-k-no,true,"8 am–12 pm, 1–7 pm","8 am–12 pm, 1–7 pm","8 am–12 pm, 1–7 pm","8 am–12 pm, 1–7 pm",8 am–12 pm,8 am–12 pm,"8 am–12 pm, 1–7 pm","https://www.google.com/maps/search/pediatrician+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-02-10T23:21:40.798Z,,,,
https://www.google.com/maps/place/Childhood+Health+Associates+of+Salem/data=!4m7!3m6!1s0x54bffee1d9176b57:0x9997878dd43cc382!8m2!3d44.943032!4d-123.0070424!16s%2Fg%2F1tdrf2km!19sChIJV2sX2eH-v1QRgsM81I2Hl5k,Childhood Health Associates of Salem,3.7,96,Child health care center,"891 23rd St NE, Salem, OR 97301, United States","WXVV+65 Salem, Oregon, USA",http://www.childhoodhealth.com/,+1 503-364-2181,Open · Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipOscK8Caye1LQ7uC1Qe6_k0kH0CZmNFqCSmgzhL=w408-h272-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,9 am–12 pm,Closed,8 am–8 pm,"https://www.google.com/maps/search/pediatrician+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-02-10T23:21:52.528Z,,,,
"https://www.google.com/maps/place/OHSU+Doernbecher+Specialty+Pediatrics+Clinic,+Salem/data=!4m7!3m6!1s0x54bfff1b842c827b:0x33ead4ef56c26e12!8m2!3d44.9335453!4d-123.0339482!16s%2Fg%2F11fhrgl8kz!19sChIJe4IshBv_v1QREm7CVu_U6jM","OHSU Doernbecher Specialty Pediatrics Clinic, Salem",3.0,2,Pediatric clinic,"Health Hospital, 875 Oak St SE Suite 3040, Salem, OR 97301, United States","WXM8+CC Salem, Oregon, USA",https://www.ohsu.edu/doernbecher/ohsu-doernbecher-specialty-pediatrics-clinic-salem?utm_source=gmb&utm_medium=organic&utm_content=b8718923-4066-593e-b19f-ea4b967deb1f,+1 503-346-0640,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Eq0hFx5B2e8yqxBM2bOjFQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=344.59485&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-02-10T23:21:57.550Z,,,,
"https://www.google.com/maps/place/Dr.+Jennifer+E.+Wirsig,+MD/@44.9171545,-123.0288886,17z/data=!3m1!4b1!4m6!3m5!1s0x54bfff51f40ff883:0xbcf7d8e1f79b5099!8m2!3d44.9171545!4d-123.0288886!16s%2Fg%2F1tftf0_8","Dr. Jennifer E. Wirsig, MD",5.0,2,Pediatrician,"2478 13th St SE, Salem, OR 97302, United States","WX8C+VC Salem, Oregon, USA",https://salempediatricclinic.com/provider/jennifer-wirsig-md/,+1 503-362-2481,Open · Closes 5 pm,,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-02-10T23:22:04.223Z,,,,
"https://www.google.com/maps/place/Andrea+Stout/@44.9171228,-123.0289276,17z/data=!3m1!4b1!4m6!3m5!1s0x54bfff51f4955555:0x7299ce48a0091901!8m2!3d44.9171228!4d-123.0289276!16s%2Fg%2F11p07b67jd",Andrea Stout,5.0,1,Pediatrician,"2478 13th St SE, Salem, OR 97302, United States","WX8C+RC Salem, Oregon, USA",https://salempediatricclinic.com/provider/andrea-stout-md/,+1 503-362-2481,,,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-02-10T23:22:09.086Z,,,,
"https://www.google.com/maps/place/Elizabeth+King,+MD+%7C+Salem+Pediatric+Clinic/data=!4m7!3m6!1s0x54bfff0ad895b8dd:0xff6d922213fa0a89!8m2!3d44.9171228!4d-123.0289276!16s%2Fg%2F11q2z066tg!19sChIJ3biV2Ar_v1QRiQr6EyKSbf8","Elizabeth King, MD | Salem Pediatric Clinic",,,Pediatrician,"2478 13th St SE, Salem, OR 97302, United States","WX8C+RC Salem, Oregon, USA",https://salempediatricclinic.com/,+1 503-362-2481,Open · Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipNH6VzfWcGOLPOw-bnEkDYLbveFrPQoLZGsmwXO=w408-h272-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–12 pm,8 am–12 pm,8 am–7 pm,"https://www.google.com/maps/search/pediatrician+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-02-10T23:22:14.078Z,,,,
https://www.google.com/maps/place/Childhood+Health+Associates-Salem:+Temple+Brian+W+MD/data=!4m7!3m6!1s0x54bfff1e273735eb:0x4bc26ace5d38d65d!8m2!3d44.9430629!4d-123.0069844!16s%2Fg%2F1tk67dr1!19sChIJ6zU3Jx7_v1QRXdY4Xc5qwks,Childhood Health Associates-Salem: Temple Brian W MD,4.0,4,Pediatrician,"891 23rd St NE, Salem, OR 97301, United States","WXVV+66 Salem, Oregon, USA",https://www.childhoodhealth.com/,+1 503-364-2181,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VTUVtkA5grV0OgdvsxEBPQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=181.14331&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-02-10T23:22:16.694Z,,,,
https://www.google.com/maps/place/Lace+James+Dr/data=!4m7!3m6!1s0x54bfff1f6b89326f:0x1e9aeb4e1da4cb69!8m2!3d44.9430527!4d-123.0069023!16s%2Fg%2F1td_4xp9!19sChIJbzKJax__v1QRacukHU7rmh4,Lace James Dr,3.5,2,Pediatrician,"891 23rd St NE, Salem, OR 97301, United States","WXVV+66 Salem, Oregon, USA",http://www.childhoodhealth.com/,+1 503-364-2181,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VTUVtkA5grV0OgdvsxEBPQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=174.86357&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-02-10T23:22:19.411Z,,,,
https://www.google.com/maps/place/Sprout+Pediatrics/data=!4m7!3m6!1s0x54c007517f17e4e7:0x2e7d36081492eaba!8m2!3d44.8917139!4d-123.0344171!16s%2Fg%2F11c2kv_z9q!19sChIJ5-QXf1EHwFQRuuqSFAg2fS4,Sprout Pediatrics,4.0,34,Pediatrician,"4350 Commercial St SE, Salem, OR 97302, United States","VXR8+M6 Salem, Oregon, USA",http://www.sproutpediatrics.org/,+1 503-877-4485,Closes soon · 4 pm · Opens 1 pm Thu,https://lh3.googleusercontent.com/p/AF1QipPxB7I4i-dQrBHf_Ou5J46ktbGyCtWL-tDVaYlW=w408-h305-k-no,true,9 am–4 pm,Closed,1–7 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,"https://www.google.com/maps/search/pediatrician+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-02-10T23:22:24.402Z,LGBTQ+ friendly,,,
"https://www.google.com/maps/place/Karissa+Carstensen/@44.9171228,-123.0289276,17z/data=!3m1!4b1!4m6!3m5!1s0x54bfff51f4955555:0x3f6f07a6cf6ec8be!8m2!3d44.9171228!4d-123.0289276!16s%2Fg%2F11qgb7zfdt",Karissa Carstensen,5.0,1,Pediatrician,"2478 13th St SE, Salem, OR 97302, United States","WX8C+RC Salem, Oregon, USA",https://salempediatricclinic.com/provider/kari-carstensen-md/,+1 503-362-2481,,,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Downtown+Salem+Salem+OR/@44.9406998,-123.0381062,14z",2026-02-10T23:22:29.107Z,,,,
