placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,isBlackOwned,attributes,error
https://www.google.com/maps/place/Home+Instead/data=!4m7!3m6!1s0x8875477e6440e1a5:0x2c0791dbd00e32d5!8m2!3d39.7694167!4d-89.6919774!16s%2Fg%2F11b61rbb26!19sChIJpeFAZH5HdYgR1TIO0NuRByw,Home Instead,4.8,85,Home health care service,"2040 W Iles Ave Suite A, Springfield, IL 62704, United States","Q895+Q6 Springfield, Illinois, USA",https://www.homeinstead.com/home-care/usa/il/springfield/762/?utm_source=google&utm_medium=organic&utm_campaign=google_organic_businesslisting_y,+1 447-910-0536,"Open 24 hours

Confirmed by this business 4 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOuk1kFN1YrEfeGYyNlGlUlsRbl-GtsiHoE7Knv=w408-h485-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-09-10T20:28:12.259Z,,,
https://www.google.com/maps/place/BrightStar+Care/data=!4m7!3m6!1s0x887539c72522b559:0x166406fa5c82a9f1!8m2!3d39.7940352!4d-89.6684329!16s%2Fg%2F11bwm46y16!19sChIJWbUiJcc5dYgR8amCXPoGZBY,BrightStar Care,4.7,28,Home health care service,"801 S MacArthur Blvd, Springfield, IL 62704, United States","Q8VJ+JJ Springfield, Illinois, USA",https://www.brightstarcare.com/locations/springfield-bloomington/,+1 217-318-3396,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOk0N6DTFMBWMrjORO1Sx-0_nT8tHPZLy236zXi=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-09-10T20:28:18.282Z,true,,
https://www.google.com/maps/place/SYNERGY+HomeCare/data=!4m7!3m6!1s0x8875476e6a7dbe53:0xc572782c2fcae264!8m2!3d39.7718314!4d-89.717032!16s%2Fg%2F11j3hccf5w!19sChIJU759am5HdYgRZOLKLyx4csU,SYNERGY HomeCare,5.0,260,Home health care service,"3259 W Iles Ave, Springfield, IL 62711, United States","Q7CM+P5 Springfield, Illinois, USA",https://synergyhomecare.com/il-springfield-62711/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=1409522,+1 217-303-8555,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPReYb1LFG22D1J3DhQOaPaJ0XBl4rrsOJfmR4=w546-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-09-10T20:28:24.111Z,,,
https://www.google.com/maps/place/Visiting+Angels/data=!4m7!3m6!1s0x8875388578c00001:0x8fa179777c19f104!8m2!3d39.7690233!4d-89.6687296!16s%2Fg%2F11gg_v8gym!19sChIJAQDAeIU4dYgRBPEZfHd5oY8,Visiting Angels,4.8,54,Home health care service,"2731 S MacArthur Blvd #201, Springfield, IL 62704, United States","Q89J+JG Springfield, Illinois, USA",https://www.visitingangels.com/springfieldil/home?utm_source=gmb&utm_medium=organic&utm_campaign=local,+1 217-568-6308,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipMLVBkCEbVKFKu2XKSMxWywoMq8WC45qm6Xob2c=w408-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-09-10T20:28:29.127Z,,,
https://www.google.com/maps/place/Heart+%26+Hands+Care+Services/data=!4m7!3m6!1s0x88753763652421e7:0x89ba42ab676a154f!8m2!3d39.7834781!4d-89.6480524!16s%2Fg%2F1tfxhfr8!19sChIJ5yEkZWM3dYgRTxVqZ6tCuok,Heart & Hands Care Services,4.7,3,Home health care service,"1724 S 6th St, Springfield, IL 62703, United States","Q9M2+9Q Springfield, Illinois, USA",https://heartandhandscare.com/,+1 217-492-1500,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Hk325ovLbbdsSgG_NOj7Tw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=85.68916&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/Home+Health+clinics+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-09-10T20:28:32.096Z,,,
https://www.google.com/maps/place/Help+at+Home/data=!4m7!3m6!1s0x8875374930a1f07b:0x2e05f3d5a37f4b27!8m2!3d39.8036314!4d-89.6624436!16s%2Fg%2F1tddyj7r!19sChIJe_ChMEk3dYgRJ0t_o9XzBS4,Help at Home,2.8,33,Home health care service,"605 W Jefferson St Suite B, Springfield, IL 62702, United States","R83Q+F2 Springfield, Illinois, USA",https://www.helpathome.com/?utm_source=Google&utm_medium=Yext&y_source=1_MTU1Mzg4OTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 217-753-0211,Open ⋅ Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LsNkUVI6u9GB2m8-rO8Ezg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=11.63642&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-09-10T20:28:37.184Z,,,
https://www.google.com/maps/place/Abcor+Home+Health+Inc/data=!4m7!3m6!1s0x88754756d4e0c2e1:0x9168c0f7878930a6!8m2!3d39.775132!4d-89.709681!16s%2Fg%2F11y823rsq3!19sChIJ4cLg1FZHdYgRpjCJh_fAaJE,Abcor Home Health Inc,4.9,37,Home health care service,"2121 W White Oaks Dr B, Springfield, IL 62704, United States","Q7GR+34 Springfield, Illinois, USA",https://www.abcor.com/,+1 217-800-6886,Open ⋅ Closes 5:30 pm,,https://lh3.googleusercontent.com/p/AF1QipMmgO2HYV4JuvDpwOD1K0h8jl5YcnYJugnysp7r=w408-h544-k-no,true,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,Closed,Closed,8:30 am–5:30 pm,8:30 am–5:30 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-09-10T20:28:42.340Z,,,
https://www.google.com/maps/place/ACCESS+HOMECARE+SERVICES+LLC/data=!4m7!3m6!1s0x887539fc2edd2b77:0x51d7f2158e0e6e18!8m2!3d39.7713962!4d-89.6876806!16s%2Fg%2F11wy414tvx!19sChIJdyvdLvw5dYgRGG4OjhXy11E,ACCESS HOMECARE SERVICES LLC,5.0,1,Home health care service,"2501 Chatham Rd Suite R, Springfield, IL 62704, United States","Q8C6+HW Springfield, Illinois, USA",https://eddiefreedomsoft.wixsite.com/mysite?rc=test-site,+1 872-352-0360,Open ⋅ Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=km_wVa_x5OBJ_aHV0Ljt2A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=276.71753&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-09-10T20:28:47.543Z,,,
https://www.google.com/maps/place/Memorial+Home+Medical+Supply/data=!4m7!3m6!1s0x887539da874a36bb:0x8011cfba034c9644!8m2!3d39.8085229!4d-89.6527232!16s%2Fg%2F1tfv5wnc!19sChIJuzZKh9o5dYgRRJZMA7rPEYA,Memorial Home Medical Supply,2.6,59,Medical supply store,"644 N 2nd St, Springfield, IL 62702, United States","R85W+CW Springfield, Illinois, USA",https://memorial.health/medical-services/memorial-home-care/medical-home-supply?y_source=1_MTU0MzQ4NzctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 217-788-4663,Open ⋅ Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5L6xHKcgLPcGU-JoE2ayVg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=69.85313&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-09-10T20:28:52.899Z,,· Kerbside pickup · Delivery,
https://www.google.com/maps/place/Advanced+Healthcare+Services+LLC/data=!4m7!3m6!1s0x8875474f1b26ea0d:0xb5a349ca9356ae86!8m2!3d39.7430653!4d-89.7124824!16s%2Fg%2F1tkl41sh!19sChIJDeomG09HdYgRhq5Wk8pJo7U,Advanced Healthcare Services LLC,5.0,1,Home health care service,"3900 Pintail Dr, Springfield, IL 62711, United States","P7VQ+62 Springfield, Illinois, USA",https://ahsllc.org/,+1 217-726-6956,Closes soon ⋅ 4 pm ⋅ Opens 8:30 am Thu,,https://lh3.googleusercontent.com/p/AF1QipO3em0k-uCbHNBd-YlyzvtQDyYzyFq8WuuQ4pIU=w459-h240-k-no,true,8:30 am–4 pm,8:30 am–4 pm,8:30 am–4 pm,Closed,Closed,8:30 am–4 pm,8:30 am–4 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-09-10T20:28:57.998Z,,,
