placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,info,isBlackOwned,error
"https://www.google.com/maps/place/Cover+Care,+LLC/data=!4m7!3m6!1s0x5490153457d8f6f5:0x494fe7f5c62f0d82!8m2!3d47.6140386!4d-122.3371639!16s%2Fg%2F11t7pl8gpb!19sChIJ9fbYVzQVkFQRgg0vxvXnT0k","Cover Care, LLC",4.9,38,Swimming pool repair service,"600 Stewart St, Seattle, WA 98101, United States","JM77+J4 Seattle, Washington, USA",http://covercare.com/,+1 206-926-1670,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwPczMMXTPu9u9Hw73EkZzzrHwm25S5GiqFrtTiuj35ImhFaB8MaYEeBrHmfiE7SqzKKFJBg56DguhU2coHfH2XRyp0h1IBe-rxrKHPm_4TENmBHaSPA9MumgGi6f4MLHwhlEDJ=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-10-27T18:15:35.929Z,,,,
https://www.google.com/maps/place/Aqua+Quip+-+Seattle/data=!4m7!3m6!1s0x5490402ce63527e9:0x9649249d0068a0a3!8m2!3d47.5723583!4d-122.3295323!16s%2Fg%2F1tdqnc3z!19sChIJ6Sc15ixAkFQRo6BoAJ0kSZY,Aqua Quip - Seattle,3.9,133,Fireplace store,"3447 4th Ave S, Seattle, WA 98134, United States","HMCC+W5 Seattle, Washington, USA",http://www.aquaquip.com/,+1 206-624-4394,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwqKRP29Ar7jk5apuOTTUG6t__mak2y46OT4m9R2K-lbLipw_je5PrZfwoC90BDLJ9Ku0S-4J4PIu4ERil68nofoJPAp3Ci5xzcDwGJlMaIN01P3cz0eCgUf25KbTotv4IaNUkO=w408-h544-k-no,true,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–5 pm,11 am–5 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-10-27T18:15:42.456Z,"Established local chain for below- & above- ground pools & hot tubs, plus barbecues & fireplaces. · Delivery",,,
https://www.google.com/maps/place/Aquaviva+Pool+Cleaning/data=!4m7!3m6!1s0x5490112d775b7b6f:0x2debb70de1252f1f!8m2!3d47.762501!4d-122.3468079!16s%2Fg%2F11j37lvq0l!19sChIJb3tbdy0RkFQRHy8l4Q236y0,Aquaviva Pool Cleaning,5.0,1,Cleaning service,"18405 Aurora Ave N, Seattle, WA 98133, United States","QM73+27 Seattle, Washington, USA",,+1 206-546-0236,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2T_F-nmjaz49YRVAaT05IQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=221.52853&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-10-27T18:15:44.762Z,,,,
https://www.google.com/maps/place/ASA+Pools+%26+Spas/data=!4m7!3m6!1s0x4466912018567bc7:0x8a9b24304cf5c566!8m2!3d47.6014618!4d-122.1777975!16s%2Fg%2F11ygrrxv0d!19sChIJx3tWGCCRZkQRZsX1TDAkm4o,ASA Pools & Spas,5.0,4,Pool cleaning service,,,https://asapoolservice.com/,+1 206-593-6351,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipM0c3m-1DUW3VMphoaCwbAXlSbfNuJ1bFbWLmI=w408-h612-k-no,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-10-27T18:15:49.084Z,,,,
https://www.google.com/maps/place/KrisCo+Aquatech+Pools+%26+Spas/data=!4m7!3m6!1s0x54900e81ce9030ef:0xd0443fca21207517!8m2!3d47.755445!4d-122.1636469!16s%2Fg%2F1tglmlpn!19sChIJ7zCQzoEOkFQRF3UgIco_RNA,KrisCo Aquatech Pools & Spas,4.7,137,Swimming pool contractor,"17537 132nd Ave NE, Woodinville, WA 98072, United States","QR4P+5G Woodinville, Washington, USA",https://kriscoaquatechpools.com/,+1 425-487-6400,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipMBtifQPE8fbieqH6TRS2DrKtsD0JKffUDroyio=w408-h527-k-no,true,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,10 am–4 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-10-27T18:15:54.163Z,,,,
"https://www.google.com/maps/place/Castle+Pools+and+Spa,+LLC/data=!4m7!3m6!1s0x674a304c6310f6d5:0xa73e8299b5e63301!8m2!3d47.8618919!4d-121.972889!16s%2Fg%2F11rq8gf218!19sChIJ1fYQY0wwSmcRATPmtZmCPqc","Castle Pools and Spa, LLC",4.6,18,Swimming pool contractor,,,https://castlepoolsandspa.com/,+1 206-990-1195,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSygre0Wz8rtw2Q6TcWFhcav877NWNqmQibdpEMwToOig7iguoHfRt7lVxVyeLpE8dIMbTVHANuS_XTDxzc74YuhRaXQNeBgXPzwQEsHQPWZPKIJJR_YFrOYXcVWAtKvzoKM5Tjucf-YHBTN=w408-h544-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-10-27T18:15:58.724Z,,,,
https://www.google.com/maps/place/Pool+Cleaning+Services/data=!4m7!3m6!1s0x54906b75156e74e7:0x916899c27d1ba0ac!8m2!3d47.6036996!4d-122.3346008!16s%2Fg%2F11gnp6ch1m!19sChIJ53RuFXVrkFQRrKAbfcKZaJE,Pool Cleaning Services,,,Pool cleaning service,"801 2nd Ave, Seattle, WA 98104, United States","JM38+F5 Seattle, Washington, USA",,+1 260-300-0855,Temporarily closed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7SjDMov9iCyKNljiyqhx-Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=76.190895&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-10-27T18:16:03.354Z,,,,
https://www.google.com/maps/place/Washington+Athletic+Club/data=!4m7!3m6!1s0x54906ab469628b59:0x8dfb7b567121b498!8m2!3d47.6096207!4d-122.3335738!16s%2Fm%2F0dln4dh!19sChIJWYtiabRqkFQRmLQhcVZ7-40,Washington Athletic Club,4.5,280,Athletic club,"1325 6th Ave, Seattle, WA 98101, United States","JM58+RH Seattle, Washington, USA",https://www.wac.net/,+1 206-622-7900,Open ⋅ Closes 10 pm,https://lh3.googleusercontent.com/p/AF1QipNQn8yIDJTmSsZADh8TP7idKGWqVSEDZm54NLvZ=w525-h240-k-no,true,4 am–10 pm,4 am–10 pm,4 am–10 pm,4 am–10 pm,4 am–10 pm,5:30 am–7:30 pm,5:30 am–7:30 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-10-27T18:16:08.154Z,,LGBTQ+ friendly,,
https://www.google.com/maps/place/Northwest+Pool+Covers/data=!4m7!3m6!1s0x54906ab1423b4421:0x3f069f891c9a663e!8m2!3d47.6069606!4d-122.3341029!16s%2Fg%2F1hf5x3xgf!19sChIJIUQ7QrFqkFQRPmaaHImfBj8,Northwest Pool Covers,3.8,8,Swimming pool contractor,"Bellevue, WA 98008, United States","JM48+Q9 Bellevue, Washington, USA",http://www.nwpoolcovers.com/,+1 800-274-3021,,https://lh3.googleusercontent.com/p/AF1QipM73JzhJNBR55HHEQaCmIe8sjwU6eZiEAsydwIO=w408-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-10-27T18:16:10.806Z,,,,
https://www.google.com/maps/place/Seattle+Marriott+Waterfront/data=!4m10!3m9!1s0x5490155299c208e9:0xb122e8d8133186ea!5m2!4m1!1i2!8m2!3d47.6107019!4d-122.3466414!16s%2Fm%2F0mvnshc!19sChIJ6QjCmVIVkFQR6oYxE9joIrE,Seattle Marriott Waterfront,4.3,3451,,"2100 Alaskan Wy, Seattle, WA 98121, United States","JM63+78 Seattle, Washington, USA",https://www.marriott.com/en-us/hotels/seawf-seattle-marriott-waterfront/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+1 206-443-5000,,https://lh3.googleusercontent.com/p/AF1QipPTLUwx_BtfvtabCQy8tIdnfsH5AINjHn0aFkc7=w408-h272-k-no,true,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-10-27T18:16:13.545Z,,,,
