placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,attributes,isBlackOwned,error
https://www.google.com/maps/place/Superior+Garage+Door+Repair+-+Rochester/data=!4m7!3m6!1s0x87f9e13a279d5cb5:0x33f5944bf7ae6339!8m2!3d44.038208!4d-92.4603295!16s%2Fg%2F11vkc6jlkd!19sChIJtVydJzrh-YcROWOu90uU9TM,Superior Garage Door Repair - Rochester,4.8,61,Garage door supplier,"1500 1st Ave NE #225a, Rochester, MN 55906, United States","2GQQ+7V Rochester, Minnesota, USA",https://247superiorgaragedoor.com/rochester-garage-door-repair/,+1 585-488-4898,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMAFpIHbv-buYu-PxGBVZ3ATQuC4pB2Z6_ONdqN=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-11-07T23:24:03.043Z,,,
https://www.google.com/maps/place/Rise+%26+Shine+Garage+Doors/data=!4m7!3m6!1s0xac0fb98dd380f741:0x186c0c0822785a4b!8m2!3d44.068474!4d-92.507401!16s%2Fg%2F11tg6ybbhm!19sChIJQfeA0425D6wRS1p4IggMbBg,Rise & Shine Garage Doors,4.9,318,Garage door supplier,"2973 43rd St NW Suite 140, Rochester, MN 55901, United States","3F9V+92 Rochester, Minnesota, USA",https://callriseandshine.com/service-area/rochester-mn/,+1 507-203-2466,Open ⋅ Closes 10 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipM1r3tNBBEyW4H7p0Reqzq8Se7KHQMMQUEqsiFw=w408-h271-k-no,true,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,"https://www.google.com/maps/search/garage+door+services+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-11-07T23:24:08.793Z,,,
https://www.google.com/maps/place/Rochester+Overhead+Door+Company/data=!4m7!3m6!1s0x87f75f83bdbdfbf9:0x1bcac2b4aec2a27b!8m2!3d44.0383205!4d-92.4971713!16s%2Fg%2F11jx6w8hsb!19sChIJ-fu9vYNf94cRe6LCrrTCyhs,Rochester Overhead Door Company,4.7,37,Garage door supplier,"2321 7th St NW, Rochester, MN 55901, United States","2GQ3+84 Rochester, Minnesota, USA",https://rochesteroverheaddoor.com/,+1 507-282-4666,Closed ⋅ Opens 7:30 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSydmOvcgty92LMrniNIItdFuIMeppmbTzNmK37vxyMAC6womVgMhdr6p0rRIRKPMupLiDXt-fK0nLODkNNhs-dxUzeMK2zFiPPUDqZWNe-tQryOvJuU7_lpDZbtbuDSE7KbtJwRUg=w408-h306-k-no,true,7:30 am–3 pm,Closed,Closed,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,"https://www.google.com/maps/search/garage+door+services+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-11-07T23:24:14.200Z,,,
https://www.google.com/maps/place/Quality+Overhead+Door/data=!4m7!3m6!1s0x87f9e2759084a383:0x548d671593fe2e3f!8m2!3d43.971574!4d-92.459719!16s%2Fg%2F1vq75f21!19sChIJg6OEkHXi-YcRPy7-kxVnjVQ,Quality Overhead Door,4.8,175,Garage door supplier,"128 35th St SE, Rochester, MN 55904, United States","XGCR+J4 Rochester, Minnesota, USA",https://qualityohd.com/?utm_source=google&utm_medium=organic&utm_campaign=local&utm_content=gbp_mn_rochester,+1 507-281-2772,Closed ⋅ Opens 7 am Mon,,https://lh3.googleusercontent.com/p/AF1QipM9tw1myrRjJg78Bkpmar4lHmpX-W4JkoZ5GVvw=w426-h240-k-no,true,7 am–4:30 pm,Closed,Closed,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-11-07T23:24:19.088Z,,,
https://www.google.com/maps/place/Thompson%27s+Garage+Door+and+Openers/data=!4m7!3m6!1s0x87f760f2a64e99d5:0x60f37f53eabfffbc!8m2!3d44.1560611!4d-92.5341896!16s%2Fg%2F113hr8fyc!19sChIJ1ZlOpvJg94cRvP-_6lN_82A,Thompson's Garage Door and Openers,4.9,284,Garage door supplier,"815 S Minnesota Ave, Oronoco, MN 55960, United States","5F48+C8 Oronoco, Minnesota, USA",http://www.thompsongaragedoor.com/,+1 507-281-1349,Closed ⋅ Opens 7:30 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPSg_s-lZ1507c_rZd6rUs1pHauyB3HbBJLrTtg=w408-h408-k-no,true,7:30 am–3:30 pm,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-11-07T23:24:24.060Z,,,
https://www.google.com/maps/place/Overhead+Door+Company+of+Olmsted+County/data=!4m7!3m6!1s0x87f9e01cc26697b7:0x2a2ad1d1228080fd!8m2!3d44.0590759!4d-92.4571813!16s%2Fg%2F1ptx77d_7!19sChIJt5dmwhzg-YcR_YCAItHRKio,Overhead Door Company of Olmsted County,4.9,345,Garage door supplier,"406 37th St NE, Rochester, MN 55906, United States","3G5V+J4 Rochester, Minnesota, USA",https://odcolmstedcounty.com/,+1 507-283-6444,Closed ⋅ Opens 7:30 am Mon,,https://lh3.googleusercontent.com/p/AF1QipOpQmUjsC_nA0L_dwLJ-klktMXPqaO301RXy51O=w408-h408-k-no,true,7:30 am–4 pm,Closed,Closed,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-11-07T23:24:29.150Z,,,
https://www.google.com/maps/place/Knauss+Garage+Doors/data=!4m7!3m6!1s0x4eb1400dee9dd837:0x750ba89b9e23776c!8m2!3d43.996339!4d-92.481139!16s%2Fg%2F11kk43qwzt!19sChIJN9id7g1AsU4RbHcjnpuoC3U,Knauss Garage Doors,5.0,3,Garage door supplier,,,http://knaussgaragedoors.com/,+1 507-282-8589,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipNPsWEcGdTmY69Mq02kWKP5vKFT_Zes9GqB_GVK=w408-h342-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–8 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-11-07T23:24:33.777Z,,,
https://www.google.com/maps/place/Olsons+Garage+Door+Service+LLC/data=!4m7!3m6!1s0x87f729794e59304f:0x4e91247cab87d907!8m2!3d43.8641363!4d-93.0492732!16s%2Fg%2F11wxx76vd0!19sChIJTzBZTnkp94cRB9mHq3wkkU4,Olsons Garage Door Service LLC,4.9,10,Garage door supplier,"316 Hwy Ave S, Blooming Prairie, MN 55917, United States","VX72+M7 Blooming Prairie, Minnesota, USA",http://www.olsonsgaragedoorservice.com/,+1 507-301-5664,Closed ⋅ Opens 8 am Sat,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wWhFSdIh4p-F4l794TDRVA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=263.68243&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–12 pm,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-11-07T23:24:38.697Z,,,
https://www.google.com/maps/place/Precision+Garage+Door+Service/data=!4m7!3m6!1s0x87f75fa7ff282bf3:0x694fb4a8e1858f98!8m2!3d44.0324024!4d-92.5069304!16s%2Fg%2F11xyn799lz!19sChIJ8yso_6df94cRmI-F4ai0T2k,Precision Garage Door Service,4.9,55,Garage door supplier,"2986 US-14, Rochester, MN 55901, United States","2FJV+X6 Rochester, Minnesota, USA",https://precisiondoormn.com/?utm_source=gmb&utm_medium=location_rochester&utm_campaign=website,+1 507-205-9998,Open ⋅ Closes 10 pm,,https://lh3.googleusercontent.com/p/AF1QipN3GGFsWHCBn8OOmPIfgE3bzgJpKkn-s-O2AkTo=w408-h408-k-no,true,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,"https://www.google.com/maps/search/garage+door+services+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-11-07T23:24:43.806Z,,,
https://www.google.com/maps/place/Performance+Pro+Garage+Door+Co/data=!4m7!3m6!1s0x87f76752ab3528ed:0xb9373f7ada354df2!8m2!3d26.8549714!4d-81.326442!16s%2Fg%2F11fsjtmtfy!19sChIJ7Sg1q1Jn94cR8k012no_N7k,Performance Pro Garage Door Co,4.3,6,Garage door supplier,,,http://performanceprogaragedoorco.com/,+1 941-280-7927,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipOq03KrOwsEe_2PXMuZbZQZOAb9TDnp42FIQPdw=w533-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-11-07T23:24:50.029Z,,,
