placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp
https://www.google.com/maps/place/Nationwide+Children%27s+Hospital+-+Toledo+Maumee+Pediatric+Associates/data=!4m7!3m6!1s0x883c7be009c104bf:0x3692ad049417db34!8m2!3d41.5784369!4d-83.6812557!16s%2Fg%2F11j5q054g0!19sChIJvwTBCeB7PIgRNNsXlAStkjY,Nationwide Children's Hospital - Toledo Maumee Pediatric Associates,4.8,10,Pediatrician,"500 The Blvd Suite 504, Maumee, OH 43537, United States","H8H9+9F Maumee, Ohio, USA",https://www.nationwidechildrens.org/locations/toledo/primary-care/maumee,+1 419-389-1444,Closed · Opens 8 am Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNjZeiE9V_e9y043iTZ6NhO_UFuBy5pFxgHVnvo=w408-h272-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–2 pm,Closed,Closed,8 am–4:30 pm,"https://www.google.com/maps/search/pediatrician+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2026-02-10T23:56:22.533Z
https://www.google.com/maps/place/ProMedica+Physicians+Arrowhead+Pediatrics+-+Maumee/data=!4m7!3m6!1s0x883c70b003b97021:0xb7dfec7617269b8f!8m2!3d41.5770835!4d-83.6878967!16s%2Fg%2F1260gqdsy!19sChIJIXC5A7BwPIgRj5smF3bs37c,ProMedica Physicians Arrowhead Pediatrics - Maumee,4.2,39,Pediatrician,"660 Beaver Creek Cir #100, Maumee, OH 43537, United States","H8G6+RR Maumee, Ohio, USA",https://www.promedica.org/locations-and-doctors/location/ppg/promedica-physicians-arrowhead-pediatrics,+1 419-891-6221,,,https://lh3.googleusercontent.com/p/AF1QipPJMd5k6V2zuFsIxIFTpaivz9jmqGRxzLRBU2kl=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2026-02-10T23:56:25.264Z
https://www.google.com/maps/place/Monclova+Road+Pediatrics/data=!4m7!3m6!1s0x883c70d2a153c885:0x2d71b74f9d15446d!8m2!3d41.5580973!4d-83.6785206!16s%2Fg%2F1tl1p3dv!19sChIJhchTodJwPIgRbUQVnU-3cS0,Monclova Road Pediatrics,4.6,173,Medical clinic,"5757 Monclova Rd # 10, Maumee, OH 43537, United States","H85C+6H Maumee, Ohio, USA",https://mrpcare.com/,+1 419-887-0803,Closed · Opens 8:30 am Wed,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipOaNe3aZhmM467K4t810OmngHzLMptKO3FNGm2E=w408-h272-k-no,true,"8:30 am–12 pm, 1–4:30 pm","8:30 am–12 pm, 1–4:30 pm","8:30 am–12 pm, 1–4:30 pm","8:30 am–12 pm, 1–3:30 pm",Closed,Closed,"8:30 am–12 pm, 1–4:30 pm","https://www.google.com/maps/search/pediatrician+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2026-02-10T23:56:29.580Z
"https://www.google.com/maps/place/Rebecca+Clark,+MD/data=!4m7!3m6!1s0x883c70b003941775:0x39c67ffaa932b249!8m2!3d41.5770786!4d-83.6882482!16s%2Fg%2F1tklr6rr!19sChIJdReUA7BwPIgRSbIyqfp_xjk","Rebecca Clark, MD",5.0,24,Pediatrician,"660 Beaver Creek Cir #100, Maumee, OH 43537, United States","H8G6+RP Maumee, Ohio, USA",https://www.promedica.org/our-doctors/RebeccaClarkMD/WP-24ZalRuTSHMRRgRLuXkbK0pg-3D-3D-24-2BYnOpWJlUhivX5pS-2BMgwXQySOxMa7YLGS1e2EcpyUmc-3D,+1 419-891-6221,,,https://lh3.googleusercontent.com/p/AF1QipMtw4njBX0g-s3OI-TkGqfOapnfVSxpZ202iCz3=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2026-02-10T23:56:31.834Z
"https://www.google.com/maps/place/Erica+DeVries,+MD/data=!4m7!3m6!1s0x883c71542014f02b:0x3889164cd4115d82!8m2!3d41.5770786!4d-83.6882482!16s%2Fg%2F11gtgbp6cl!19sChIJK_AUIFRxPIgRgl0R1EwWiTg","Erica DeVries, MD",5.0,12,Pediatrician,"660 Beaver Creek Cir #100, Maumee, OH 43537, United States","H8G6+RP Maumee, Ohio, USA",https://www.promedica.org/our-doctors/EricaDevriesMD/WP-24ffpbITGIW1Io2I3GQSODkg-3D-3D-24TZjBb6RyKJGVNyRcm7LVALlFIrHxDOTP-2BxGbLwt3tf4-3D,+1 419-891-6221,,,https://lh3.googleusercontent.com/p/AF1QipOa3vkDk7UoQcAdHytcSqvaNfbvMiBUtLLJcrCV=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2026-02-10T23:56:34.445Z
https://www.google.com/maps/place/ProMedica+Physicians+Arrowhead+Pediatrics+-+Golden+Gate/data=!4m7!3m6!1s0x883c7141ec608ecf:0x1ed7038de82f4ae2!8m2!3d41.5664768!4d-83.6531863!16s%2Fg%2F11vkn782wf!19sChIJz45g7EFxPIgR4kov6I0D1x4,ProMedica Physicians Arrowhead Pediatrics - Golden Gate,4.3,6,Pediatrician,"217 Golden Gate Plaza, Maumee, OH 43537, United States","H88W+HP Maumee, Ohio, USA",https://www.promedica.org/locations-and-doctors/location/ppg/promedica-physicians-arrowhead-pediatrics-golden-gate,+1 419-891-6221,Closed · Opens 8:30 am Wed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rpAMH2_K9VkIYL_5FB7_FQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=354.24298&pitch=0&thumbfov=100,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–4:30 pm,Closed,Closed,8:30 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2026-02-10T23:56:38.736Z
https://www.google.com/maps/place/Maumee+Bay+Pediatrics+-+The+Toledo+Clinic/data=!4m7!3m6!1s0x883b84413cf5b70b:0x8b82802c4cb84402!8m2!3d41.6344433!4d-83.4724439!16s%2Fg%2F1tfvtm3f!19sChIJC7f1PEGEO4gRAkS4TCyAgos,Maumee Bay Pediatrics - The Toledo Clinic,4.9,268,Medical clinic,"3156 Dustin Rd #301, Oregon, OH 43616, United States","JGMH+Q2 Oregon, Ohio, USA",https://www.maumeebaypediatrics.com/,+1 419-698-7722,Closed · Opens 8:30 am Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoJ78w4HCsozu-L5WLXm8vzEZEtxpcWrW_9rgsIlkstEFPFfubcKylrelz8rW0fpiMiQB8zBGS5WVm2-JRGDsdZZMrrN4uO4x57QzAEJk3uDJrCsgGGNrsBJ6EoP43m0XAPm-TB=w408-h725-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–7 pm,8:30 am–5 pm,Closed,Closed,8:30 am–7 pm,"https://www.google.com/maps/search/pediatrician+in+Maumee+Toledo+OH/@41.5628294,-83.6538244,14z",2026-02-10T23:56:43.138Z
"https://www.google.com/maps/place/The+Pediatric+Center,+Inc/data=!4m7!3m6!1s0x883c7fe2c95fbfc3:0x9a54b93df27ac1f9!8m2!3d41.6893099!4d-83.6313064!16s%2Fg%2F11wfx8rlzr!19sChIJw79fyeJ_PIgR-cF68j25VJo","The Pediatric Center, Inc",5.0,69,Pediatrician,"3900 Sunforest Ct # 223, Toledo, OH 43623, United States","M9Q9+PF Toledo, Ohio, USA",https://www.thepediatriccenterinc.com/,+1 419-473-6670,Closed · Opens 9 am Wed,,https://lh3.googleusercontent.com/p/AF1QipOPKx6NTUE_FkStrXirdvjzpuxpMA1CZxeDJKvZ=w408-h544-k-no,true,"9 am–12:30 pm, 1:30–5 pm","9 am–12:30 pm, 1:30–5 pm","9 am–12:30 pm, 1:30–5 pm","9 am–12:30 pm, 1:30–5 pm",Closed,Closed,"9 am–12:30 pm, 1:30–5 pm","https://www.google.com/maps/search/pediatrician+in+Ottowa+Hills+Toledo+OH/@41.6642169,-83.6432694,14z",2026-02-10T23:57:00.795Z
"https://www.google.com/maps/place/Ziad+Jaara,+MD/data=!4m7!3m6!1s0x883c7f5ec424cf51:0x18ba4a2a7a1c2a2!8m2!3d41.678248!4d-83.5965572!16s%2Fg%2F1tjwjf08!19sChIJUc8kxF5_PIgRosKhp6KkiwE","Ziad Jaara, MD",4.9,42,Pediatrician,"2150 Central Ave, Toledo, OH 43606, United States","MCH3+79 Toledo, Ohio, USA",https://www.promedica.org/our-doctors/ZiadJaaraMD/WP-24mU2C8SgHJeSHECCT15mqmw-3D-3D-24Typc-2FsMNmN7g3ZguzHaCCrfOsCLbOUhIzAcK2so0GFw-3D,+1 419-291-5599,,,https://lh3.googleusercontent.com/p/AF1QipNQw_JMmaVFVtVO5k8DlxIZqCFyfVczbBKMjVGk=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Ottowa+Hills+Toledo+OH/@41.6642169,-83.6432694,14z",2026-02-10T23:57:03.018Z
"https://www.google.com/maps/place/Amanda+Sherratt,+MD/data=!4m7!3m6!1s0x883c7f5ec424cf51:0x4f0ffd391ef5e230!8m2!3d41.678248!4d-83.5965572!16s%2Fg%2F1td6h4gn!19sChIJUc8kxF5_PIgRMOL1Hjn9D08","Amanda Sherratt, MD",4.9,18,Pediatrician,"2150 Central Ave, Toledo, OH 43606, United States","MCH3+79 Toledo, Ohio, USA",https://www.promedica.org/our-doctors/AmandaSherrattMD/WP-246ZXFoSj7voBbsqM0noxxQQ-3D-3D-24LladbW7s5gyUXNoN-2FUHmvkz4-2FpIuqEQhaWVcEcXI0-2Fs-3D,+1 419-291-5599,,,https://lh3.googleusercontent.com/p/AF1QipPnVaOJlV2wAVaJr_hyuYx-rJ7b2hkQCwxs2YUV=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Ottowa+Hills+Toledo+OH/@41.6642169,-83.6432694,14z",2026-02-10T23:57:05.218Z
