placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,isBlackOwned,error,attributes
"https://www.google.com/maps/place/Precision+Care+Co+Inc/@39.0911161,-94.4155068,14z/data=!4m6!3m5!1s0x87c0fceb16b3b539:0x29c615a5db5c12ff!8m2!3d39.0936893!4d-94.4577147!16s%2Fg%2F1thkxsrl",Precision Care Co Inc,3.0,2,Line marking service,"1308 S Maywood Ave, Independence, MO 64052, United States","3GVR+FW Independence, Missouri, USA",http://precisioncareco.com/,+1 816-252-7989,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNqz6QYgyMtaGAJC48d59gDUl0D_taB_41qE8Nr=w408-h291-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Independence+MO/@39.0911161,-94.4155068,14z",2025-10-28T18:52:12.714Z,,,,
https://www.google.com/maps/place/Public+Parking+Garage/data=!4m7!3m6!1s0x87c11f1de425dd15:0x1a9331ccbaca9133!8m2!3d38.9141344!4d-94.3760339!16s%2Fg%2F11sgmrn9k2!19sChIJFd0l5B0fwYcRM5HKuswxkxo,Public Parking Garage,,,Parking lot,"200 SE Green St, Lee's Summit, MO 64063, United States","WJ7F+MH Lee's Summit, Missouri, USA",,+1 816-969-1000,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=woBuVy772t2bf92FnfUi5Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=36.40076&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Lee's+Summit+MO/@38.9108408,-94.3821724,14z",2025-10-28T18:52:27.630Z,,,,
https://www.google.com/maps/place/Public+Parking/data=!4m7!3m6!1s0x87c11f40942905cf:0xbdc08d33f39a48d9!8m2!3d38.9121512!4d-94.3800105!16s%2Fg%2F11sknmgm00!19sChIJzwUplEAfwYcR2Uia8zONwL0,Public Parking,,,Public parking space,"204 SW Market St, Lee's Summit, MO 64063, United States","WJ69+VX Lee's Summit, Missouri, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MNEIg8wDv0P_LvZI2TLUIQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=257.40253&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Lee's+Summit+MO/@38.9108408,-94.3821724,14z",2025-10-28T18:52:31.716Z,,,,
https://www.google.com/maps/place/City+of+Lee%27s+Summit/data=!4m7!3m6!1s0x87c11f74fb430f85:0x9b70310350fb1562!8m2!3d38.9141344!4d-94.3760339!16s%2Fg%2F11rkc30bxt!19sChIJhQ9D-3QfwYcRYhX7UAMxcJs,City of Lee's Summit,,,Parking garage,"200 SE Green St, Lee's Summit, MO 64063, United States","WJ7F+MH Lee's Summit, Missouri, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6K4x1x2tD6NTQyWJVwmyMA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=73.05721&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Lee's+Summit+MO/@38.9108408,-94.3821724,14z",2025-10-28T18:52:34.467Z,,,,
https://www.google.com/maps/place/City+Parking+Garage/data=!4m7!3m6!1s0x87c01b93ac1ae727:0x626318dd15732eb8!8m2!3d39.7671323!4d-94.8542645!16s%2Fg%2F11gh5w5nmb!19sChIJJ-carJMbwIcRuC5zFd0YY2I,City Parking Garage,4.4,5,Parking garage,"St Joseph, MO 64501, United States","Q48W+V7 St Joseph, Missouri, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6AJZK2uf7sfRnv_UAr4drA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=287.8366&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+St.+Joseph+MO/@39.7674578,-94.846681,14z",2025-10-28T18:52:45.879Z,,,,
https://www.google.com/maps/place/St+Joseph+Code+Enforcement/data=!4m7!3m6!1s0x87c01ba60f7db8a3:0x83fee9b235d2cd8d!8m2!3d39.7684818!4d-94.8469418!16s%2Fg%2F1tcwx78_!19sChIJo7h9D6YbwIcRjc3SNbLp_oM,St Joseph Code Enforcement,3.0,2,City government office,"1100 Frederick Ave # 405, St Joseph, MO 64501, United States","Q593+96 St Joseph, Missouri, USA",https://www.stjosephmo.gov/287/Property-Maintenance,+1 816-271-5342,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzaFJxNels4fkYP-7djTkzwPZ-0ca49XwIBPW8aceS0VJbJtTJmSY2bLFjzB9zS-qwMR4mQsHChTWFyhOvJTFnfAsGbtCV-dCTtHMfKR6LlmRLltdn9buLoru--piCPeVeEqU9CQQ=w408-h266-k-no,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+St.+Joseph+MO/@39.7674578,-94.846681,14z",2025-10-28T18:52:48.775Z,,,,
"https://www.google.com/maps/place/Streets+of+St.+Charles+Parking/@38.7833145,-90.4815802,14z/data=!4m6!3m5!1s0x87df2f2a5f625613:0x62a8dad8270976b4!8m2!3d38.765544!4d-90.4932193!16s%2Fg%2F11jdnbyx13",Streets of St. Charles Parking,,,Parking garage,"1650 Beale St, St Charles, MO 63303, United States","QG84+6P St Charles, Missouri, USA",https://www.thestreetsofstcharles.com/services/,+1 636-486-0194,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzyZ9Rjsh_sjgsimwXCNAegmsCDPlbOpjTdRe1EdPJyJfRupSn8C58FbW013A9UIKhTzDdM15kXmsUgpNnsN4IjS9FNNEcD2_4xntHCEUDfbtfnCMlYh-VYhLifPqlTCG5bFlJj=w426-h240-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+St.+Charles+MO/@38.7833145,-90.4815802,14z",2025-10-28T18:52:57.764Z,,,,
"https://www.google.com/maps/place/Parking+Company+of+America/@39.001208,-94.2644437,14z/data=!4m6!3m5!1s0x87c05dd0c098a323:0xfcc72190d6e2cd09!8m2!3d39.0992057!4d-94.5816277!16s%2Fg%2F11sy1mcgm3",Parking Company of America,,,Transportation service,"1201 Walnut St Suite 2125, Kansas City, MO 64106, United States","3CX9+M8 Kansas City, Missouri, USA",https://parkwithpca.com/,+1 877-727-5722,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipPP83IOJYvbiOSJWbxtX3KFU0UytuygDFFiRbfl=w408-h408-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,8 am–6 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Blue+Springs+MO/@39.001208,-94.2644437,14z",2025-10-28T18:53:06.611Z,,,,
https://www.google.com/maps/place/Municipal+Parking+Garage/data=!4m7!3m6!1s0x87db5e441f5283e5:0x72ed09bf5b9d047f!8m2!3d38.5764015!4d-92.1697368!16s%2Fg%2F11r9hflmt!19sChIJ5YNSH0Re24cRfwSdW78J7XI,Municipal Parking Garage,4.2,21,Parking garage,"201 Madison St, Jefferson City, MO 65101, United States","HRGJ+H4 Jefferson City, Missouri, USA",https://www.jeffersoncitymo.gov/government/parking.php,+1 573-634-6473,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxnEweqpvTs8-bIOLBTR5AWDAR1Un7XhFMRwaCGsw8ZDvGNp2pIXy6h45xup9pzqoii-abr-v1Bx69J3-LUsiRiOdv0IGLFWwaB7pJAxN30g02MJ7eVrGwdos-gggba6Cgt41YT=w459-h240-k-no,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Jefferson+City+MO/@38.5767017,-92.1735164,14z",2025-10-28T18:53:18.040Z,,,,
https://www.google.com/maps/place/Jefferson+City+Parking+Division/data=!4m7!3m6!1s0x87db5e4425cebed7:0xdec9c5871ccb0433!8m2!3d38.5764015!4d-92.1697368!16s%2Fg%2F1ts_74fw!19sChIJ177OJURe24cRMwTLHIfFyd4,Jefferson City Parking Division,2.0,2,City government office,"201 Madison St, Jefferson City, MO 65101, United States","HRGJ+H4 Jefferson City, Missouri, USA",https://www.jeffersoncitymo.gov/government/parking.php,+1 573-634-6473,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rCi8CPqjoQ1x9SCOUZ1Cag&cb_client=search.gws-prod.gps&w=408&h=240&yaw=253.10567&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Jefferson+City+MO/@38.5767017,-92.1735164,14z",2025-10-28T18:53:20.844Z,,,,
