placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/Natural+Health+%26+Healing+LLC+-+Dr.+Deanna+M.+Cherrone/data=!4m7!3m6!1s0x89e7a939201ec9bf:0xfb1a24cbf491f1d0!8m2!3d41.7528973!4d-72.7424573!16s%2Fg%2F1tn4z5pv!19sChIJv8keIDmp54kR0PGR9MskGvs,Natural Health & Healing LLC - Dr. Deanna M. Cherrone,4.9,28,Medical clinic,"639 Park Rd #304, West Hartford, CT 06107, United States","Q735+52 West Hartford, Connecticut, USA",http://naturalhealthandhealing.net/,+1 860-677-4600,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOfCZ5pDjAN1qEJgivFu5xb6FGsmi0IOUlE3hnW=w408-h544-k-no,true,7:45 am–5 pm,7:45 am–5 pm,7:45 am–5 pm,7:45 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Avon+Hartford+CT/@41.7658043,-72.6733723,14z",2026-02-23T17:52:40.604Z,,,,
"https://www.google.com/maps/place/Connecticut+Natural+Medical+Center/@41.8083187,-72.8253761,17z/data=!3m1!4b1!4m6!3m5!1s0x89e7b38ff13fc7fd:0xf5cab0a1ebd05638!8m2!3d41.8083187!4d-72.8253761!16s%2Fg%2F11s30jxb1c",Connecticut Natural Medical Center,5.0,1,Alternative medicine practitioner,"60 E Main St, Avon, CT 06001, United States","R55F+8R Avon, Connecticut, USA",https://ctnaturalmed.com/contact,+1 860-919-9501,,,false,,,,,,,,"https://www.google.com/maps/search/functional+medicine+in+Avon+Hartford+CT/@41.7658043,-72.6733723,14z",2026-02-23T17:52:46.271Z,,,,
"https://www.google.com/maps/place/Ceylon+M.+Cicero,+ND+-+Natural+Practices+LLC/data=!4m7!3m6!1s0x89e7ab2da2a43ae9:0x88f7820c1ca64339!8m2!3d41.7865733!4d-72.7454517!16s%2Fg%2F1tdc67v0!19sChIJ6Tqkoi2r54kROUOmHAyC94g","Ceylon M. Cicero, ND - Natural Practices LLC",5.0,15,Doctor,"10 Crossroads Plaza, West Hartford, CT 06117, United States","Q7P3+JR West Hartford, Connecticut, USA",http://drcicerond.com/,+1 860-951-8308,Open · Closes 3 pm,https://lh3.googleusercontent.com/p/AF1QipMF5-ItqjbaVxja-8OSBujHDBXqTre8l6iRGlkU=w408-h544-k-no,true,9 am–3 pm,9 am–6 pm,Closed,9 am–6 pm,9 am–2 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Avon+Hartford+CT/@41.7658043,-72.6733723,14z",2026-02-23T17:52:50.949Z,Identifies as women-owned,true,,
https://www.google.com/maps/place/IMT+Wellness+Center/data=!4m7!3m6!1s0x89e7aceccfe96645:0xd29092df1b05ba8c!8m2!3d41.7628849!4d-72.7414254!16s%2Fg%2F11ghr13nzv!19sChIJRWbpz-ys54kRjLoFG9-SkNI,IMT Wellness Center,5.0,7,Alternative medicine practitioner,"12 N Main St #30, West Hartford, CT 06107, United States","Q775+5C West Hartford, Connecticut, USA",https://imtwellnesscenter.com/,+1 860-561-2286,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer0jTk28kk125dyHcJDfWobQPUMz7gJStNhp6E8EcleV10xXK0zb6o3HxPVVKu6JNsOM1MqyKONsTITEZJVH_IZB-uE9DTDfcmJwQTQnHMTU3N4xT9SQpEGpreb0e0XYZiLUGYn=w408-h544-k-no,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Avon+Hartford+CT/@41.7658043,-72.6733723,14z",2026-02-23T17:52:55.744Z,,,,
"https://www.google.com/maps/place/Dr.+Matthew+Castanho,+ND+-+Naturopathic+Physician/data=!4m7!3m6!1s0x89e6556c9d639fc3:0xcfdecb6bd457e01c!8m2!3d41.781713!4d-72.6344226!16s%2Fg%2F11g4ht6nzc!19sChIJw59jnWxV5okRHOBX1GvL3s8","Dr. Matthew Castanho, ND - Naturopathic Physician",5.0,98,Naturopathic practitioner,"1622 Main St, East Hartford, CT 06108, United States","Q9J8+M6 East Hartford, Connecticut, USA",http://www.drcastanho.com/?utm_source=google&utm_medium=organic&utm_campaign=business-profile,+1 860-470-6791,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMuBO_8MKxUW4RWhAomEkOGrvnSy4TDqCHxWbFR=w408-h612-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–1 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Avon+Hartford+CT/@41.7658043,-72.6733723,14z",2026-02-23T17:53:00.464Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Bloom+Natural+Health/data=!4m7!3m6!1s0x89e7acb93f49b4d7:0x40faa7b7ead2be5d!8m2!3d41.7551403!4d-72.7448224!16s%2Fg%2F11gf9fq01z!19sChIJ17RJP7ms54kRXb7S6ren-kA,Bloom Natural Health,5.0,4,Naturopathic practitioner,"95 S Main St, West Hartford, CT 06107, United States","Q744+33 West Hartford, Connecticut, USA",http://www.bloomnaturaldoctors.com/,+1 860-310-5559,Closed · Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipN5YzItjyN1C-H8Oi9bzRxTholIcUlOPPYrIHC5=w408-h272-k-no,true,Closed,8 am–7 pm,9 am–5 pm,8 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Avon+Hartford+CT/@41.7658043,-72.6733723,14z",2026-02-23T17:53:05.169Z,,,,
"https://www.google.com/maps/place/Sharon+Hunter,+ND/data=!4m7!3m6!1s0x89e7acb946d00633:0x8b4a70ecde053324!8m2!3d41.7556435!4d-72.7443871!16s%2Fg%2F1tf495bc!19sChIJMwbQRrms54kRJDMF3uxwSos","Sharon Hunter, ND",5.0,1,Alternative medicine practitioner,"95 S Main St, West Hartford, CT 06107, United States","Q744+76 West Hartford, Connecticut, USA",http://bloomnaturaldoctors.com/,+1 860-310-5559,Open · Closes 3 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UnWVOjU99FLdXtWeDIb4nA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=76.516335&pitch=0&thumbfov=100,true,11 am–3 pm,8 am–7 pm,10 am–2 pm,8 am–5 pm,10 am–2 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Avon+Hartford+CT/@41.7658043,-72.6733723,14z",2026-02-23T17:53:10.064Z,,,,
"https://www.google.com/maps/place/Dr.+Nancy+White,+ND/data=!4m7!3m6!1s0x89e7ac82a2a97947:0x415c2cf26d689c62!8m2!3d41.7588459!4d-72.7435973!16s%2Fg%2F1td1fftc!19sChIJR3mpooKs54kRYpxobfIsXEE","Dr. Nancy White, ND",5.0,7,Alternative medicine practitioner,"45 S Main St #307, West Hartford, CT 06107, United States","Q754+GH West Hartford, Connecticut, USA",http://www.crossroadswellnesscenter.com/,+1 860-236-2166,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMFoLiFPIslwQm1ir79kvOnyp13eWb4cYfF1w2p=w408-h571-k-no,false,9:30 am–5 pm,Closed,9:30 am–5 pm,9:30 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Avon+Hartford+CT/@41.7658043,-72.6733723,14z",2026-02-23T17:53:15.237Z,,,,
https://www.google.com/maps/place/Beyond+Wellness+Healthcare/data=!4m7!3m6!1s0xa29af953ae15274b:0x3386c9836dc0b48b!8m2!3d41.7628852!4d-72.7371876!16s%2Fg%2F11txcmr1w0!19sChIJSycVrlP5mqIRi7TAbYPJhjM,Beyond Wellness Healthcare,5.0,84,Medical office,"901 Farmington Ave # 3, West Hartford, CT 06119, United States","Q777+54 West Hartford, Connecticut, USA",http://beyondwellnesshealthcare.com/,+1 860-986-7643,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep1jJzA_f2vltjoy7YMC4gCdSp1qcmRRwXIllfsTxyTticpizp2qMYfiKYk0B5CkeslLHqPqcQrGDtra9e3my59HJiSukyLGYHWHKXT5hS3SUVy8zOx2ZpL981u_-T5VdxBpbU=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Avon+Hartford+CT/@41.7658043,-72.6733723,14z",2026-02-23T17:53:20.054Z,Identifies as women-owned,true,,
https://www.google.com/maps/place/Holistic+Health+Code:+Holistic+Health+%2B+Functional+Medicine+Clinic/data=!4m7!3m6!1s0xa95508c7784982fd:0x276e88910ba393ad!8m2!3d41.7341311!4d-72.8382539!16s%2Fg%2F11s0zvjp71!19sChIJ_YJJeMcIVakRrZOjC5GIbic,Holistic Health Code: Holistic Health + Functional Medicine Clinic,5.0,63,Holistic medicine practitioner,"1051 Farmington Ave Unit C, Farmington, CT 06032, United States","P5M6+MM Farmington, Connecticut, USA",https://www.holistichealthcode.com/,+1 860-940-0900,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipODJnxmRjXjWWoT1SR4UkcQjrcka6PBds_s9Jc=w408-h272-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–7 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Avon+Hartford+CT/@41.7658043,-72.6733723,14z",2026-02-23T17:53:25.075Z,LGBTQ+ friendly,,,
