placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,isBlackOwned,attributes,error
https://www.google.com/maps/place/PuroClean+Of+Lancaster/data=!4m7!3m6!1s0x89c62519f98d614f:0x667873018fb27a0f!8m2!3d40.0508703!4d-76.2869459!16s%2Fg%2F11vbr2hgjs!19sChIJT2GN-RklxokRD3qyjwFzeGY,PuroClean Of Lancaster,4.9,43,Water damage restoration service,"800 New Holland Ave Suite # 216, Lancaster, PA 17602, United States","3P27+86 Lancaster, Pennsylvania, USA",https://www.puroclean.com/lancaster-pa-puroclean-lancaster/,+1 717-690-0435,Open 24 hours,Identifies as veteran-owned,https://lh3.googleusercontent.com/gps-cs-s/AHVAwept32pFohGIif603zlIYS8hy7fWJbt2wllxb4vluPOyccxvrmRvwoSrtpsCdz-sLbIjt5M3yMsrhz1gHqgmXjvdowHK5TnJIeyzUSoVSNllu9_NpbdQ_pPoXWzGLjsUk8Ghqo2dRnOaya5X=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lancaster+Lancaster+PA/@40.0403279,-76.3041833,14z",2026-03-23T04:45:04.908Z,,,
https://www.google.com/maps/place/BluSky+Restoration+Contractors/data=!4m7!3m6!1s0x89c623860cb13f8b:0xf29b01363941eb56!8m2!3d40.0696088!4d-76.3276463!16s%2Fg%2F1yg6nr9hf!19sChIJiz-xDIYjxokRVutBOTYBm_I,BluSky Restoration Contractors,4.6,112,Building restoration service,"501 Service Rd #4, Lancaster, PA 17601, United States","3M9C+RW Lancaster, Pennsylvania, USA",https://goblusky.com/locations/lancaster-pa/,+1 800-266-5677,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepPFn6WrWRzSUtSAWRZh8lWo4RUQxM_aVJYYFrB6ISLbgamt-WIUmLSMsWh1cIeRQbXKIVypTcg6s4CJnuq-0pGeC4hftazJjOUV9-jpptZV2bFOHbkWkChnp1iao72Og3ME6hiXbrrwcGS=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lancaster+Lancaster+PA/@40.0403279,-76.3041833,14z",2026-03-23T04:45:10.500Z,,,
https://www.google.com/maps/place/Paul+Davis+of+Central+PA/data=!4m7!3m6!1s0x89c63b5d6685049b:0xbaf5f3ff2dd22f45!8m2!3d40.050346!4d-76.247278!16s%2Fg%2F12jmmkz3c!19sChIJmwSFZl07xokRRS_SLf_z9bo,Paul Davis of Central PA,4.5,263,Building restoration service,"1816 Olde Homestead Ln, Lancaster, PA 17601, United States","3Q23+43 Lancaster, Pennsylvania, USA",https://central-pennsylvania.pauldavis.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Lancaster-PA,+1 717-823-5596,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweql28t73GD5i71J3WYixXo-KccooWNRqU8633TaRgBtkdoUdRZ6qewJ-C5WcIzULZYyp-lbs1qHiGW1h7NsPQKE3yo99NUGXsupJ480LcsTE9y6xJ4nK5eAJgAsxVEavKhjTadusOKAwBJY=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lancaster+Lancaster+PA/@40.0403279,-76.3041833,14z",2026-03-23T04:45:15.943Z,,,
https://www.google.com/maps/place/RestoPros+of+Lancaster/data=!4m7!3m6!1s0x643cdc73e343d489:0xcfc76a6202f77987!8m2!3d40.2505864!4d-76.694341!16s%2Fg%2F11w1ls9m2y!19sChIJidRD43PcPGQRh3n3AmJqx88,RestoPros of Lancaster,4.6,27,Water damage restoration service,,,https://www.restopros.co/pa-lancaster-central/,+1 717-925-0727,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweogejJtf695Jx9Nn3XJpyXjtqzCa-GCsYAMwXlfrkabItNv3QktMakZrcZ0S_J6xvoWKinuda91a1izH8Xv4V6PmM5EnObvBJlUgFy8--ak2oDLfGN5qQiX4ZSi4ZThQWhtO9Pe=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lancaster+Lancaster+PA/@40.0403279,-76.3041833,14z",2026-03-23T04:45:20.679Z,,,
https://www.google.com/maps/place/Ageless+Waterproofing+Systems/data=!4m7!3m6!1s0x89c6245985f9be3f:0x184dc247a3da8731!8m2!3d40.0359089!4d-76.3229119!16s%2Fg%2F11bbrm981z!19sChIJP775hVkkxokRMYfao0fCTRg,Ageless Waterproofing Systems,4.7,14,Waterproofing service,"833 2nd St Suite C, Lancaster, PA 17603, United States","2MPG+9R Lancaster, Pennsylvania, USA",http://agelesswaterproofingsystems.godaddysites.com/,+1 717-380-5281,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo8POceRNbF19f74yeABIyH0qEA-BwspEiF8zp_HQPd9fb576aiK0avpzqoUMZSlBTJ_Ps_I3xj7-MCpJU4LJNHXftlxhAs6zdK3YJBhMWWPbf-q_aJHxktTd8jt491HHn770p72A=w408-h906-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lancaster+Lancaster+PA/@40.0403279,-76.3041833,14z",2026-03-23T04:45:25.379Z,,,
https://www.google.com/maps/place/Rainbow+Restoration+of+Lancaster/data=!4m7!3m6!1s0xd93231b6da4b457:0xe7b52c8d66acad99!8m2!3d40.031754!4d-76.3152649!16s%2Fg%2F11vql5j2fd!19sChIJV7SkbRsjkw0Rma2sZo0stec,Rainbow Restoration of Lancaster,5.0,50,Water damage restoration service,,,https://rainbowrestores.com/lancaster-pa?cid=LSTL_RBW000202&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 717-200-1233,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerwzEDLCVLMDupgK51oaCjKBO-CFavC645usER3MlxK-tCk28V8FkNXJbX-ZYkfKGqxgjuW-Vp8zkI8HFGCdrqL_grzkETwvxK6UWgthyhwChvj-Fv6JW2Vp_AHv0kMrwNhBAU-zA=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lancaster+Lancaster+PA/@40.0403279,-76.3041833,14z",2026-03-23T04:45:30.128Z,,,
https://www.google.com/maps/place/SERVPRO+of+Lancaster+East+and+Southern+Lancaster+County/data=!4m7!3m6!1s0x89c622f1ad9bbfd7:0x4dd3fa05fc4a16b3!8m2!3d40.1152525!4d-76.3081101!16s%2Fg%2F1hm54zdf3!19sChIJ17-brfEixokRsxZK_AX6000,SERVPRO of Lancaster East and Southern Lancaster County,4.6,75,Water damage restoration service,"3 Falcon Ln, Lititz, PA 17543, United States","4M8R+4Q Lititz, Pennsylvania, USA",https://www.servpro.com/locations/pa/servpro-of-lancaster-east-and-southern-lancaster-county?utm_medium=organic&utm_source=gbp,+1 717-519-0767,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqeE5-v4GKn1oZu0zEbJIdRvKrBySR-0hxxqUaReoYfK-bbrzRD8I_UlsCT8nopG4RY0gwNuI9a30X16YSkJLeMYHCHrR3pBD_GSYUuCvvU9hTGNR6CrAdwnKSCn-BK8j0wfBVOL5WgmK7e=w425-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lancaster+Lancaster+PA/@40.0403279,-76.3041833,14z",2026-03-23T04:45:34.934Z,,,
https://www.google.com/maps/place/Basement+Gurus+LLC/data=!4m7!3m6!1s0x89c6373d72f881f5:0x1aa0614924d7189c!8m2!3d40.0711284!4d-76.3633367!16s%2Fg%2F11q27dzrrj!19sChIJ9YH4cj03xokRnBjXJElhoBo,Basement Gurus LLC,4.8,189,Waterproofing service,"2348 Harrisburg Pike, Lancaster, PA 17601, United States","3JCP+FM Lancaster, Pennsylvania, USA",https://basementwaterproofinggurus.com/lancaster-pa/,+1 800-834-6584,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerWOPpxLBZJHI7F5NIik63yN3ziXk3ectfSqgjqKZQ-RGGKROxbTRdP7v7L06ngsoszOLHv0JAlBf_Ej2NX3c4P7qMuTCln-aEzphj161xLmV7dzRMO_JIxcoF4b41I0lEiSuk9HA=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Lancaster+Lancaster+PA/@40.0403279,-76.3041833,14z",2026-03-23T04:45:39.863Z,,,
https://www.google.com/maps/place/Roto-Rooter+Plumbing+%26+Water+Cleanup/data=!4m7!3m6!1s0x89c625b453498169:0x6bcd545cfd980a83!8m2!3d40.0521019!4d-76.3141626!16s%2Fg%2F11qm0bhnsp!19sChIJaYFJU7QlxokRgwqY_VxUzWs,Roto-Rooter Plumbing & Water Cleanup,4.8,258,Plumber,"313 W Liberty St Ste 255, Lancaster, PA 17603, United States","3M2P+R8 Lancaster, Pennsylvania, USA",https://www.rotorooter.com/lancasterpa/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,+1 717-207-8576,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAweouvzeaIZwaidviE3-cHeilprcuMLdVTyPbzff5mkeQOuCJ4zQbeBya9vaOjQl5Ep7qzsdv56cX7m5AV7H2puBdV8q2rFoOgBoBmFP9iqd0RPBdy_jOSUNvyA8K6GcauHIBPVll=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Lancaster+Lancaster+PA/@40.0403279,-76.3041833,14z",2026-03-23T04:45:44.730Z,,,
https://www.google.com/maps/place/Core+Value+Duct+Cleaning+%26+Restoration/data=!4m7!3m6!1s0x883cb1df13577801:0xca968321dc265fc!8m2!3d40.0524458!4d-76.2977345!16s%2Fg%2F11gv0z9nh5!19sChIJAXhXE9-xPIgR_GXCHTJoqQw,Core Value Duct Cleaning & Restoration,5.0,70,Air duct cleaning service,"451 E Ross St, Lancaster, PA 17602, United States","3P22+XW Lancaster, Pennsylvania, USA",https://corevalueco.com/,+1 800-605-8007,Closed · Opens 8 am,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAweraEQ2-mIS1kf_AESsgptLwnhrxiHbKBvPBdtOUcZHmang5T7CjvNpQ7U7c_FfQ70HsHVUl0FnltCEvt9cpcEtjcxlEqAGHgU9hc8F6DbaMNRM4cQ3WFyt9s2Hxgd7uZH_DdyjYpKzQxscC=w408-h543-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Lancaster+Lancaster+PA/@40.0403279,-76.3041833,14z",2026-03-23T04:45:49.418Z,,,
