placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,info,isBlackOwned,attributes
"https://www.google.com/maps/place/Onpoint+Real+Estate+Services,+LLC/data=!4m7!3m6!1s0x54906aa54e525afd:0x52c54f8c6a5b3961!8m2!3d47.6078065!4d-122.3400448!16s%2Fg%2F1hm1rdjsj!19sChIJ_VpSTqVqkFQRYTlbaoxPxVI","Onpoint Real Estate Services, LLC",4.2,49,Real estate agency,"1409 Post Alley, Seattle, WA 98101, United States","JM55+4X Seattle, Washington, USA",http://onpoint-properties.com/,+1 206-623-1844,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npSt93tmI5hVI3moAwQPRK-WDfsxayluNw2B9kOXlmTaLV8dxe3QMvGFBYYRBe8vvXiMb0qWWYXUc3Ugx1ecp4YyiGG97a-BxwyasQ_QmhgfuBd1cpR_fo3uoMjXOWrvJSZCAuG=w408-h509-k-no,true,8:30 am–6 pm,8:30 am–6 pm,Closed,Closed,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-09-25T17:38:37.963Z,,,
"https://www.google.com/maps/place/Utopia+Property+Management+%7C+Seattle,+WA/data=!4m7!3m6!1s0x549015b74ba73d41:0xf930e76714165feb!8m2!3d47.610708!4d-122.3348819!16s%2Fg%2F11rsrcz79t!19sChIJQT2nS7cVkFQR618WFGfnMPk","Utopia Property Management | Seattle, WA",4.6,113,Property management company,"1420 5th Ave #2200, Seattle, WA 98101, United States","JM68+72 Seattle, Washington, USA",https://utopiamanagement.com/locations/seattle-wa,+1 206-905-4444,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOxg3bY0Pz80EQpwVsBqLnH_sOCF84c0ZMPVmuX=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/HOA+management+businesses+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-09-25T17:38:44.245Z,,,
"https://www.google.com/maps/place/CondoManagements,+Inc/data=!4m7!3m6!1s0x549040727b27d0fb:0xb2e6a74a569e71d7!8m2!3d47.5883706!4d-122.3805222!16s%2Fg%2F1tks602k!19sChIJ-9Ane3JAkFQR13GeVkqn5rI","CondoManagements, Inc",3.8,29,Property management company,"1661 Harbor Ave SW STE 100, Seattle, WA 98126, United States","HJQ9+8Q Seattle, Washington, USA",http://www.condomanagements.com/,+1 206-937-4856,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq_AzEMyXisEVCCtrz-zy_8qONUUzmpzL_YeexMW4GHm0Q_3UVBTrUHm5f91inqWAH0tFNqFFifIH_YohuWPUawRN7D7Q1eRonq2mSdvJ7JPzMb_pH_vZdbm_pahJol4ZmzrpI=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-09-25T17:38:49.600Z,,,
https://www.google.com/maps/place/RealManage+Washington/data=!4m7!3m6!1s0x54906c8be1bca15d:0x6743c41e7b65e926!8m2!3d47.6234305!4d-122.3300972!16s%2Fg%2F11bbygq073!19sChIJXaG84YtskFQRJullex7EQ2c,RealManage Washington,4.1,45,Property management company,"500 Yale Ave N Suite 100, Seattle, WA 98109, United States","JMF9+9X Seattle, Washington, USA",https://www.realmanage.com/,+1 866-473-2573,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2lKKrd9bqFTp3o2ya2iung&cb_client=search.gws-prod.gps&w=408&h=240&yaw=256.11023&pitch=0&thumbfov=100,true,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-09-25T17:38:55.173Z,,,
https://www.google.com/maps/place/RBI+Property+Management/data=!4m7!3m6!1s0x54906acc31dc0001:0x1edc52e9cb5d8acf!8m2!3d47.613715!4d-122.317726!16s%2Fg%2F11ggt0vpvb!19sChIJAQDcMcxqkFQRz4pdy-lS3B4,RBI Property Management,4.1,9,Property management company,"1424 11th Ave Ste 400, Seattle, WA 98122, United States","JM7J+FW Seattle, Washington, USA",https://rbipropertymanagement.com/,+1 206-755-7858,Open ⋅ Closes 9 pm,https://lh3.googleusercontent.com/p/AF1QipMgBxT8tkI4ypooZxMCRiLbcCYLBNxZ1IvTs2OU=w408-h270-k-no,true,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-09-25T17:39:00.958Z,,,
https://www.google.com/maps/place/Prime+HOA+Management+WA/data=!4m7!3m6!1s0x5490154b5dfb2cc7:0x30658538242e4f53!8m2!3d47.6327115!4d-122.3573141!16s%2Fg%2F11w7nr4jkx!19sChIJxyz7XUsVkFQRU08uJDiFZTA,Prime HOA Management WA,3.8,6,Property management company,"1507 Queen Anne Ave N Suite 202A, Seattle, WA 98109, United States","JJMV+33 Seattle, Washington, USA",https://www.primehoawa.com/,+1 509-300-0200,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gxCb0Fct_YS96EbdAuK-YA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=259.6005&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-09-25T17:39:06.591Z,,,
https://www.google.com/maps/place/Seattle+Rental+Group/data=!4m7!3m6!1s0x5490150734610e53:0x3485b2a64c03efd8!8m2!3d47.6111362!4d-122.3454486!16s%2Fg%2F1vfwck68!19sChIJUw5hNAcVkFQR2O8DTKayhTQ,Seattle Rental Group,4.1,50,Property management company,"2107 Elliott Ave # 206, Seattle, WA 98121, United States","JM63+FR Seattle, Washington, USA",http://www.seattlerentalgroup.com/,+1 206-315-4628,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=F-eOobsOE4JLxGjAlhD0OQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=175.67293&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-09-25T17:39:09.965Z,,,
https://www.google.com/maps/place/JMW+Group+%7C+Windermere+Property+Management/data=!4m7!3m6!1s0x54901530691854e1:0x839273c3547f1d60!8m2!3d47.6200661!4d-122.3250777!16s%2Fg%2F1wb8td4y!19sChIJ4VQYaTAVkFQRYB1_VMNzkoM,JMW Group | Windermere Property Management,2.5,37,Property management company,"210 Summit Ave E, Seattle, WA 98102, United States","JMCF+2X Seattle, Washington, USA",https://windermere-pm.com/,+1 206-621-2037,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipMVCICo8g6G6fyHRfNiw9TW0GyT2KeC9EkRyUxQ=w480-h240-k-no,true,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-09-25T17:39:15.538Z,Identifies as veteran-owned,,
https://www.google.com/maps/place/North+Pacific+Property+Management/data=!4m7!3m6!1s0x5490150d8a43a825:0xa88ca8554a88f6df!8m2!3d47.6390837!4d-122.3566904!16s%2Fg%2F1tfw2qzh!19sChIJJahDig0VkFQR3_aISlWojKg,North Pacific Property Management,4.3,157,Property management company,"2220 Queen Anne Ave N, Seattle, WA 98109, United States","JJQV+J8 Seattle, Washington, USA",http://northpacificproperties.com/,+1 206-781-0186,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPEVfCAatLS7hR6lX8SA1Ex-JhK_ad68ij5fTQx=w408-h408-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-09-25T17:39:21.245Z,,,
https://www.google.com/maps/place/Seattle+Rental+Management/data=!4m7!3m6!1s0x549040f983fa6a27:0x3936fc101d2a4b0b!8m2!3d47.6336584!4d-122.3428437!16s%2Fg%2F11cs4fqkd1!19sChIJJ2r6g_lAkFQRC0sqHRD8Njk,Seattle Rental Management,4.5,97,Property management company,"1607 Dexter Ave N # 2A, Seattle, WA 98109, United States","JMM4+FV Seattle, Washington, USA",https://www.seattlerentalmanagement.com/,+1 206-274-9141,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPWLOCweEzEt3o_kyPAGLgiOF2KfclAw5USbczn=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-09-25T17:39:26.947Z,,,
