placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,attributes,isBlackOwned,error
"https://www.google.com/maps/place/Dr.+Michael+M.+Jadali,+DO/data=!4m7!3m6!1s0x808e35f1c34a9e03:0xc1732f4632a2c1d5!8m2!3d37.31637!4d-121.949701!16s%2Fg%2F1vc820v3!19sChIJA55Kw_E1joAR1cGiMkYvc8E","Dr. Michael M. Jadali, DO",4.9,45,Pain management physician,"3097 Moorpark Ave Suite 200, San Jose, CA 95128, United States","8382+G4 San Jose, California, USA",https://www.doctorjadali.com/,+1 408-244-7246,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EQ2dJcVse_oRI0KDFY9FwQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=323.73343&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,Closed,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-28T19:19:50.496Z,,,,
https://www.google.com/maps/place/center+for+pain+%26+rehabilitation+medicine/data=!4m7!3m6!1s0x808fcad8d30d7401:0xc1e5ef449bac3584!8m2!3d37.3163636!4d-121.9497281!16s%2Fg%2F11d_790khp!19sChIJAXQN09jKj4ARhDWsm0Tv5cE,center for pain & rehabilitation medicine,4.6,9,Pain management physician,"3097 Moorpark Ave, San Jose, CA 95128, United States","8382+G4 San Jose, California, USA",https://doctorjadali.com/,+1 408-244-7246,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepYQuJZ6j0RnghFMLS_j3cocmCQ9YnbC9FHvvm6C4wJpsJXen9EH-MbD7JUajJSkjUg_V6MeYkxnIFTu9Q2Y-Ocf1lnI1YwXfkR61yTqSlcJbIcE_Q3XusDC87Rw2Ehv7KAsZ-h=w408-h323-k-no,true,9 am–5 pm,9 am–5 pm,9 am–12 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-28T19:19:56.135Z,,,,
https://www.google.com/maps/place/Wellness+and+Pain+Management+Center/data=!4m7!3m6!1s0x808fb500ccef3947:0x61e834508def74dd!8m2!3d37.3139575!4d-122.032824!16s%2Fg%2F11r999s7d!19sChIJRznvzAC1j4AR3XTvjVA06GE,Wellness and Pain Management Center,,,Pain management physician,"10601 S De Anza Blvd, Cupertino, CA 95014, United States","8X78+HV Cupertino, California, USA",,+1 408-663-9840,Open · Closes 6 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TfEA_Jira1-PZATpFXn66Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=34.42718&pitch=0&thumbfov=100,false,11 am–6 pm,11 am–6 pm,11 am–6 pm,11 am–6 pm,Closed,11 am–12 am,"12–6 am, 11 am–6 pm","https://www.google.com/maps/search/pain+management+physician+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-28T19:20:01.237Z,,,,
"https://www.google.com/maps/place/Mikiko+Murakami,+DO/data=!4m7!3m6!1s0x808e35a3a146c479:0x9907d2779e35060e!8m2!3d37.293384!4d-121.9589092!16s%2Fg%2F11h0zfc85p!19sChIJecRGoaM1joARDgY1nnfSB5k","Mikiko Murakami, DO",4.9,79,Sports medicine physician,"429 Llewellyn Ave Suite 207, Campbell, CA 95008, United States","72VR+9C Campbell, California, USA",http://www.mikikomurakami.com/,+1 877-933-7133,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipPOMmpLonX4EutX6BDIPR9BJ1vhKrrMwTGnspwE=w426-h240-k-no,true,8 am–6 pm,8 am–6 pm,Closed,Closed,Closed,Closed,Closed,"https://www.google.com/maps/search/pain+management+physician+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-28T19:20:05.971Z,,,,
https://www.google.com/maps/place/Loving+Heart+Clinic/data=!4m7!3m6!1s0x808fb504139f4fa9:0xdd38287d785e0532!8m2!3d37.3161208!4d-122.0336083!16s%2Fg%2F11t7fv0nsx!19sChIJqU-fEwS1j4ARMgVeeH0oON0,Loving Heart Clinic,5.0,8,Pain management physician,"10475 S De Anza Blvd, Cupertino, CA 95014, United States","8X88+CH Cupertino, California, USA",http://lovingheartclinic.net/,+1 408-816-8861,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipPcln7Zk7rSbvmtthhYEWbDNXeqMKn7L_All_Yt=w408-h411-k-no,true,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,Closed,"https://www.google.com/maps/search/pain+management+physician+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-28T19:20:10.811Z,,,,
https://www.google.com/maps/place/Pain+Control+%26+Sports+Medicine/data=!4m7!3m6!1s0x808fcbf18f6b0cf1:0x1f362f283cb3ebdd!8m2!3d37.3155958!4d-121.9736358!16s%2Fg%2F11vbvl3yyx!19sChIJ8Qxrj_HLj4AR3euzPCgvNh8,Pain Control & Sports Medicine,5.0,217,Acupuncture clinic,"4040 Moorpark Ave # 104, San Jose, CA 95117, United States","828G+6G San Jose, California, USA",http://avatcm.com/,+1 408-320-2881,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipOxhevt0n_wvVzN8T9TwIldpHYwF0TRR_A1B2zS=w408-h271-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/pain+management+physician+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-28T19:20:15.955Z,,,,
"https://www.google.com/maps/place/Abhishek+Gowda,+MD+--+Spine+%26+Sports+Medical+Group/data=!4m7!3m6!1s0x808e35e4d9cfc593:0x45656272cfe54712!8m2!3d37.293384!4d-121.9589092!16s%2Fg%2F11hdq5h6n6!19sChIJk8XP2eQ1joAREkflz3JiZUU","Abhishek Gowda, MD -- Spine & Sports Medical Group",5.0,82,Pain management physician,"429 Llewellyn Ave Suite 207, Campbell, CA 95008, United States","72VR+9C Campbell, California, USA",https://www.ssmedgroup.com/,+1 408-364-1616,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOVlAj4i2cS6hrqg_P8Zq1F5sjt7HnfaIOCPLbm=w486-h240-k-no,true,8:30 am–5 pm,8:30 am–5 pm,9 am–12 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-28T19:20:20.899Z,,,,
https://www.google.com/maps/place/Pain+Free+with+Oscar/data=!4m7!3m6!1s0x808fcad42d0740f7:0x6625bd13dae55507!8m2!3d37.3065617!4d-121.9505952!16s%2Fg%2F1ptzknzls!19sChIJ90AHLdTKj4ARB1Xl2hO9JWY,Pain Free with Oscar,4.3,3,Pain control clinic,"1101 S Winchester Blvd F 165, San Jose, CA 95128, United States","824X+JQ San Jose, California, USA",http://www.painfreewithoscar.com/,+1 408-612-1222,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOjQuYKJg8ytiAwAWfrVCndIsaX9qbLG7dk1Ug7=w427-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-28T19:20:25.934Z,,,,
https://www.google.com/maps/place/Spine+%26+Sports+Medical+Group/data=!4m7!3m6!1s0x808e3531e081083f:0x965387fa4f301e57!8m2!3d37.2934663!4d-121.9588307!16s%2Fg%2F1tdy98_w!19sChIJPwiB4DE1joARVx4wT_qHU5Y,Spine & Sports Medical Group,4.6,111,Pain control clinic,"429 Llewellyn Ave Suite 207, Campbell, CA 95008, United States","72VR+9F Campbell, California, USA",https://www.ssmedgroup.com/,+1 408-364-1616,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMbeJKgTWBooP7GVUvWnB2UjpuV3zyzhRikGuIa=w426-h240-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–12 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-28T19:20:30.774Z,,,,
https://www.google.com/maps/place/Oriental+Medicine+Doctor+%E7%97%9B%E7%97%87%E6%B2%BB%E7%96%97%E4%B8%AD%E9%86%AB%E9%A4%8A%E7%94%9F/data=!4m7!3m6!1s0x808fb583dfc693fb:0x8971b45915a502a2!8m2!3d37.3247042!4d-122.0337469!16s%2Fg%2F11rjby6b4z!19sChIJ-5PG34O1j4ARogKlFVm0cYk,Oriental Medicine Doctor 痛症治疗中醫養生,5.0,10,Acupuncture clinic,"10118 Bandley Dr # C, Cupertino, CA 95014, United States","8XF8+VG Cupertino, California, USA",https://www.lovenaturalhealing.com/,+1 408-872-2166,"Closes soon · 12 pm · Reopens 1:30 pm

Updated by this business 7 weeks ago",https://lh3.googleusercontent.com/p/AF1QipM45pEtE05puk9e4NL7btBykTL_PC11Fn_Ik-Av=w408-h306-k-no,true,"10 am–12 pm, 1:30–6:30 pm","10 am–12 pm, 1:30–6:30 pm","10 am–12 pm, 1:30–6:30 pm","10 am–12 pm, 1:30–6:30 pm","10 am–12 pm, 1:30–6:30 pm",Closed,"10 am–12 pm, 1:30–6:30 pm","https://www.google.com/maps/search/pain+management+physician+in+Cupertino+San+Jose+CA/@37.3229978,-122.0321823,14z",2026-01-28T19:20:35.517Z,,,,
