placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,info
https://www.google.com/maps/place/Menos+Tire+Shop/data=!4m7!3m6!1s0x872273883e3aee49:0x45804b6c360db5b5!8m2!3d35.1580528!4d-106.6303003!16s%2Fg%2F1262t55yw!19sChIJSe46PohzIocRtbUNNmxLgEU,Menos Tire Shop,4.5,160,Tire shop,"6910 2nd St NW, Albuquerque, NM 87107, United States","5959+6V Albuquerque, New Mexico, USA",http://2ndstreet-tires-shop.com/,+1 505-341-9172,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo1P0SsPBCDq2if_dByBfCbFdXNLXvfoo0aB3lT3YWDMwtLr8__7gtNSXpVUc-_2U7odEGf0XngbkZyiC_ZP4_o13adLy5kg-6RzBYSMRxrXrRmMxW-e32J4OkSELld_enHkWZITA=w426-h240-k-no,false,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–4 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2026-03-23T14:48:08.698Z,,
https://www.google.com/maps/place/La+Esperanza+Tire+Shop/data=!4m7!3m6!1s0x8722736f99f08c57:0xb42087cd78eabfdb!8m2!3d35.1322161!4d-106.6421053!16s%2Fg%2F11c5_298gc!19sChIJV4zwmW9zIocR27_qeM2HILQ,La Esperanza Tire Shop,4.7,159,Tire shop,"4908 4th St NW, Albuquerque, NM 87107, United States","49J5+V5 Albuquerque, New Mexico, USA",,+1 505-489-9515,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqp5WO0ZHc7Dn6_77Bv5K1zOq9V2NrLTO4Q_Kcxu4XH2BfGfi6n8ruQOA9Zjk1T5j6C8z4szWd4WJf3Yop15krazNfIm4lyuXQrA9w3r3Mxu12kMXNfICs3UmpOKY6yn5wfX-7I=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2026-03-23T14:48:13.845Z,· In-store pick-up,
https://www.google.com/maps/place/Christian%27s+Automotive+and+Tire/data=!4m7!3m6!1s0x872274051aab4b99:0x199e3fbd5401ca33!8m2!3d35.1816131!4d-106.6193509!16s%2Fg%2F1tg_ghzv!19sChIJmUurGgV0IocRM8oBVL0_nhk,Christian's Automotive and Tire,4.7,291,Auto repair shop,"8811 2nd St NW, Albuquerque, NM 87114, United States","59JJ+J7 Albuquerque, New Mexico, USA",https://christiansautomotive.com/,+1 505-899-2400,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep9LoHk--whD5m7zFVyf49rCHMYPC8oHNa2Hf0XpWJ-O4FeCdDjnzdmRi5Jb3QszgG14IqWQkROfurTS0Bhe1PlBzDFf3dpkoflYIHTydwt9Q766GagP2mpkzU2bJaaZ4Oagyh_J5ZygPYI=w426-h240-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2026-03-23T14:48:18.227Z,,
https://www.google.com/maps/place/Gills+Point+S+Tire+%26+Auto+Service/data=!4m7!3m6!1s0x872273777c4a703f:0xd283f2d6ab1652a3!8m2!3d35.1414891!4d-106.6411427!16s%2Fg%2F11bzync97q!19sChIJP3BKfHdzIocRo1IWq9byg9I,Gills Point S Tire & Auto Service,4.7,191,Tire shop,"5801 4th St NW, Albuquerque, NM 87107, United States","49R5+HG Albuquerque, New Mexico, USA",https://gillspointstire.com/locations/5801-4th-st-nw-tire-store-5120?utm_source=gmb&utm_medium=Yext,+1 505-345-2558,"Open · Closes 6 pm

Confirmed by this business 5 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqUGsVs2uFn4E1PkiTNbJbXhr9JLm06XLba-2O8mWgA-pAxycdJ8q0kP8fPBLNa9BqZmaAmjdP9C6SFpJNQXqgGunCTRyXyhruk7XTYcDpRUHXax6YGpylc6Vw5K9LYpD_Sm2Zch0orZPA=w408-h307-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–3 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2026-03-23T14:48:22.697Z,· In-store shopping · In-store pick-up,
https://www.google.com/maps/place/Purcell+Tire+and+Service+Centers/data=!4m7!3m6!1s0x872274ec20cf8589:0x14ed0f0d98fc5dba!8m2!3d35.1397743!4d-106.6142959!16s%2Fg%2F1tcx1_0q!19sChIJiYXPIOx0IocRul38mA0P7RQ,Purcell Tire and Service Centers,4.6,100,Tire shop,"1400 Mission Ave NE, Albuquerque, NM 87107, United States","49QP+W7 Albuquerque, New Mexico, USA",http://www.purcelltire.com/,+1 505-884-1957,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweplEBDcp461bXoFBfChiUiyEDicwx3nGeS3UkuCSdxKQ2wlBmQAtQeHthK7Brl9xARCZzYMK2inkdYUnG8ln9CCeRXH5s0gEsSmz3-h5ybfa5B4uabS7lF7M6S9HS3Fas3qewdl=w408-h306-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2026-03-23T14:48:27.097Z,· In-store shopping · In-store pick-up · Delivery,LGBTQ+ friendly
https://www.google.com/maps/place/J%26J+Tire+Shop+%232/data=!4m7!3m6!1s0x8722730ee1c3ab9b:0x87093c97c511a002!8m2!3d35.1521607!4d-106.6318199!16s%2Fg%2F11qmc1zpjb!19sChIJm6vD4Q5zIocRAqARxZc8CYc,J&J Tire Shop #2,4.8,63,Used tire shop,"6530 2nd St NW #87107, Albuquerque, NM 87107, United States","5929+V7 Albuquerque, New Mexico, USA",,+1 505-345-3228,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoU-uXrjCpG7LOzMGk8D4F2FeSf25Aw0wxoqZw6DJhY92vUsYQEU1To7cxS8vJHYpckGUrC75ShF2r1HE7gCKY7lbFMGK9gn4SwEde4GUENLLiVIMoZdjb6nDXMclhlIhW9L2W8eg=w426-h240-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,9 am–4:30 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2026-03-23T14:48:31.437Z,· In-store shopping · Kerbside pickup,Identifies as Latino-owned
https://www.google.com/maps/place/G+%26+T+Auto+Service/data=!4m7!3m6!1s0x8722738eef621b9f:0xe772d241e016f54!8m2!3d35.159029!4d-106.636983!16s%2Fg%2F1tl4dh8c!19sChIJnxti745zIocRVG8BHiQtdw4,G & T Auto Service,4.9,102,Auto repair shop,"6798 4th St NW, Los Ranchos De Albuquerque, NM 87107, United States","5957+J6 Los Ranchos De Albuquerque, New Mexico, USA",http://gandtautoservice.com/,+1 505-344-1545,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo9TP1Dei2bUEGihoPBraJa7CvypuENonH5XvTtBgz8q1gkHizQZCozPeaDh3Uu4Jo95fFRzeWk007gSRKmdUGstAVP1evjk0yvGUHCJ07Xq0HXGm9npVWHLxE_qcFkZizffAgZkg=w408-h544-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–1 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2026-03-23T14:48:36.060Z,,
https://www.google.com/maps/place/Alameda+Tire/data=!4m7!3m6!1s0x872274039d65c7ad:0x4f545b3f024611e0!8m2!3d35.1856055!4d-106.6203264!16s%2Fg%2F11bz_24m6n!19sChIJrcdlnQN0IocR4BFGAj9bVE8,Alameda Tire,4.2,82,Tire shop,"9200 4th St NW, Albuquerque, NM 87114, United States","59PH+6V Albuquerque, New Mexico, USA",,+1 505-252-0209,Opens soon · 9 am,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerZpXYH5a15GywvLfqem1_qiXf0vysbr2ygyrvARi5MfkES2Ndwzrnf7B-MUbE1uFWntqdT_xZVaGkTJ3K7CH7xzxuP6lZKAaXTilhHvem6072ESARcxpYffMUs9hDNUKse7B7b4g=w460-h240-k-no,false,9 am–3 pm,9 am–3 pm,9 am–3 pm,9 am–3 pm,9 am–3 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2026-03-23T14:48:40.622Z,,
https://www.google.com/maps/place/Mango+Automotive/data=!4m7!3m6!1s0x872271471b1b4a51:0x574cbabbe0bb4cf7!8m2!3d35.1890307!4d-106.6634116!16s%2Fg%2F11pkffyhzf!19sChIJUUobG0dxIocR90y74Lu6TFc,Mango Automotive,4.6,671,Auto repair shop,"9620 Eagle Ranch Rd NW, Albuquerque, NM 87114, United States","58QP+JJ Albuquerque, New Mexico, USA",https://mangoautomotive.com/auto-repair-shop-cottonwood/?utm_source=google&utm_medium=organic&utm_campaign=gbp,+1 505-633-1001,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoYtH4vVobfJu9NliZkkrKNq9bakGAZSUzwx5hOFdkaryROyNECc4dhrHljCThup2LDa0ZNWgGm1EtL6cdJY-A9F5IBTA85HwhSdD5trR9hMQ9ACnl4b5I_NC3XfW4-PseQS_en=w408-h272-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2026-03-23T14:48:44.997Z,,LGBTQ+ friendly
https://www.google.com/maps/place/Cox+Tire+and+Automotive/data=!4m7!3m6!1s0x8722745dde6c7de9:0x2e1f160ce5f3f88d!8m2!3d35.1552505!4d-106.6038589!16s%2Fg%2F1tph25ss!19sChIJ6X1s3l10IocRjfjz5QwWHy4,Cox Tire and Automotive,4.2,46,Tire shop,"3605 Osuna Rd NE, Albuquerque, NM 87109, United States","594W+4F Albuquerque, New Mexico, USA",https://coxtireandautomotive.com/,+1 505-344-7855,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqURwfZrwIo4s-lBSGVTzoATsRayTo9Q0IRV6qEruukRfI3Kv33kh48KJlILTc4E0T9tDdWOPE1YjxINr_Nk4hH2DPrvNSSg_3VFhZX32FKvapH_Kezg_lz6XeSnG1kQazliasCRg=w408-h272-k-no,true,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Los+Ranchos+de+Albuquerque+Albuquerque+NM/@35.1619885,-106.6428038,14z",2026-03-23T14:48:49.308Z,,
