placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,isBlackOwned,info,attributes
https://www.google.com/maps/place/Acorn+%2B+Oak+Property+Management/data=!4m7!3m6!1s0x89ace470538be067:0xa9e4d251ca040324!8m2!3d35.9984692!4d-78.8975141!16s%2Fg%2F124srf098!19sChIJZ-CLU3DkrIkRJAMEylHS5Kk,Acorn + Oak Property Management,4.5,1036,Property management company,"506 N Mangum St #105, Durham, NC 27701, United States","X4X2+9X Durham, North Carolina, USA",http://www.acorn-oak.com/,+1 919-675-1444,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMiQuYhuEZ9EmdLFBB3VJfq_KANhrusGSkQDqlI=w408-h408-k-no,true,10 am–5 pm,10 am–5 pm,Closed,Closed,10 am–5 pm,10 am–5 pm,10 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-09-25T17:02:36.329Z,,,
https://www.google.com/maps/place/Rick+Soles+Property+Management/data=!4m7!3m6!1s0x89ace3e5a13ec3c7:0xe440631e51661003!8m2!3d36.0223568!4d-78.919157!16s%2Fg%2F1th0ns81!19sChIJx8M-oeXjrIkRAxBmUR5jQOQ,Rick Soles Property Management,2.7,102,Property management company,"1423 Broad St, Durham, NC 27705, United States","23CJ+W8 Durham, North Carolina, USA",,+1 919-286-2040,Open ⋅ Closes 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sHpJH5jOGCJRjODbwDk5iA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=273.31567&pitch=0&thumbfov=100,true,8:30 am–4 pm,8:30 am–1 pm,Closed,Closed,8:30 am–4 pm,8:30 am–4 pm,8:30 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-09-25T17:02:42.682Z,,,
https://www.google.com/maps/place/Durham+Centre/data=!4m7!3m6!1s0x89ace5899fc3966f:0x8938b28f3aa568bb!8m2!3d35.998589!4d-78.9024864!16s%2Fg%2F11v0t2lbq0!19sChIJb5bDn4nlrIkRu2ilOo-yOIk,Durham Centre,5.0,1,Property management company,"300 W Morgan St Suite 100, Durham, NC 27701, United States","X3XX+C2 Durham, North Carolina, USA",https://www.capitalassociates.com/properties/durham-centre/,+1 919-688-2277,Open ⋅ Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4norHv8SUsZjiC3RxANODw93w3SMLPOvWNZ2msiTfQDDQGnQ-JN03VTKLGeJPcrIniCtP4ngzGmQKV_B5VTn5iEIRYp7qI0z4qcUcFpEk_A0ZngnGuLokv-HheG7iBG27YcVbBV6=w425-h240-k-no,true,8:30 am–5:30 pm,8:30 am–5:30 pm,Closed,Closed,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-09-25T17:02:47.642Z,,,
https://www.google.com/maps/place/West+%26+Woodall+Property+Management/data=!4m7!3m6!1s0x89ace13869eb53bf:0x7a95f8293c364132!8m2!3d36.0334664!4d-78.9364454!16s%2Fg%2F11c1s3n5qm!19sChIJv1PraTjhrIkRMkE2PCn4lXo,West & Woodall Property Management,4.2,38,Property management company,"1901 Hillandale Rd Suite 100, Durham, NC 27705, United States","23M7+9C Durham, North Carolina, USA",https://westandwoodallpm.com/,+1 919-419-1200,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOxDSe0jwppHINFMv-FG1lfaU6mCF4M2vJSVmTO=w408-h271-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-09-25T17:02:52.931Z,,,
"https://www.google.com/maps/place/Property+Management+Company+in+Durham,+NC/data=!4m7!3m6!1s0x89ace41b22ef750d:0xb42430ff45f6d2e9!8m2!3d35.9968945!4d-78.9209372!16s%2Fg%2F11c1vjnv0f!19sChIJDXXvIhvkrIkR6dL2Rf8wJLQ","Property Management Company in Durham, NC",4.0,1,Property management company,"1410 W Chapel Hill St, Durham, NC 27701, United States","X3WH+QJ Durham, North Carolina, USA",http://www.realpropertymgmt-nc.com/contact-us.html,+1 919-297-8975,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=huOYVV0k-jZkk4a_xjRdMg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=9.678094&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-09-25T17:02:55.854Z,,,
https://www.google.com/maps/place/Lovett+Square/data=!4m7!3m6!1s0x89ace467494bd199:0xeb18a85a74aa64cb!8m2!3d35.985897!4d-78.8893661!16s%2Fg%2F1thmg7_1!19sChIJmdFLSWfkrIkRy2SqdFqoGOs,Lovett Square,3.7,29,Property management company,"211 Stokes St, Durham, NC 27701, United States","X4P6+97 Durham, North Carolina, USA",https://www.lovettsquareapts.com/,+1 919-683-2648,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNsDoMK9hvExBYepL55oOTPqovL3k0526e8g8gK=w524-h240-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/HOA+management+businesses+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-09-25T17:03:01.194Z,,,
https://www.google.com/maps/place/Edgewood+Properties+LLC/data=!4m7!3m6!1s0x89ace41f2567ce73:0xf0b0520b8b805508!8m2!3d35.9898098!4d-78.9240725!16s%2Fg%2F1tf6y6mz!19sChIJc85nJR_krIkRCFWAiwtSsPA,Edgewood Properties LLC,2.1,14,Property management company,"1811 Chapel Hill Rd, Durham, NC 27707, United States","X3QG+W9 Durham, North Carolina, USA",,+1 919-403-0774,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bTlL4UKGhgDb40KyPaFZLg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=119.32686&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-09-25T17:03:07.046Z,,,
https://www.google.com/maps/place/Cherry+Realty/data=!4m7!3m6!1s0x89ace162762f6e65:0x62835f7918034600!8m2!3d36.0375829!4d-78.9282834!16s%2Fg%2F1tdg429b!19sChIJZW4vdmLhrIkRAEYDGHlfg2I,Cherry Realty,3.7,32,Property management company,"2611 W Carver St, Durham, NC 27705, United States","23QC+2M Durham, North Carolina, USA",http://cherryrealtync.com/,+1 919-477-9659,Open ⋅ Closes 3:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_3_sqom6SO4eXd3H3U1Fuw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=182.00934&pitch=0&thumbfov=100,true,9 am–3:30 pm,9 am–3:30 pm,Closed,Closed,9 am–3:30 pm,9 am–3:30 pm,9 am–3:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-09-25T17:03:12.767Z,,,
https://www.google.com/maps/place/Phoenix+Square+Associates/data=!4m7!3m6!1s0x89ace4427b68f7e5:0x7cf02158347e4bf0!8m2!3d35.9850722!4d-78.8986985!16s%2Fg%2F1tvymnc9!19sChIJ5fdoe0LkrIkR8Et-NFgh8Hw,Phoenix Square Associates,4.0,31,Property management company,"908 Fayetteville St Suite 110, Durham, NC 27701, United States","X4P2+2G Durham, North Carolina, USA",http://phoenixfestdurham.com/,+1 919-682-3622,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no8C9UEx99Z8-hWUOlxRFkFZymc6zufxTrk57rt6w5pqwNYi8GQmSjrQ0ShvhvYaXne852p3-MU2ENMEiUcZYTGarVk2TXC7ycJTaQj93U9lo5CeagjVdd1uv0ygouS0WHmsA1I=w426-h240-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/HOA+management+businesses+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-09-25T17:03:17.972Z,,,
https://www.google.com/maps/place/American+Tobacco+Property+Management/data=!4m7!3m6!1s0x89ace46d08250cc1:0xb5e0cdfc8cc892c9!8m2!3d35.9945972!4d-78.9033977!16s%2Fg%2F11c3k5224g!19sChIJwQwlCG3krIkRyZLIjPzN4LU,American Tobacco Property Management,3.7,3,Property management company,"300 Blackwell St #104, Durham, NC 27701, United States","X3VW+RJ Durham, North Carolina, USA",https://americantobaccocampus.com/,+1 919-433-4277,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Nh844WO-VEgM37JftSKEXQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=310.2442&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-09-25T17:03:20.898Z,,,
