placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned,error
"https://www.google.com/maps/place/North+American+Mental+Health+Services,+Monterey/data=!4m7!3m6!1s0x808de54406fe24e9:0x227e2788555f2908!8m2!3d36.5914519!4d-121.896507!16s%2Fg%2F11sc3vs2j7!19sChIJ6ST-BkTljYARCClfVYgnfiI","North American Mental Health Services, Monterey",4.5,91,Mental health clinic,"1035 Cass St, Monterey, CA 93940, United States","H4R3+H9 Monterey, California, USA",https://namhs.com/?utm_source=GMBSocialClimb&utm_medium=NorthAmericanMentalHealthServices%2CMonterey,+1 831-886-0002,Closed · Opens 7:30 am Tue,https://lh3.googleusercontent.com/p/AF1QipMtm0E4GmkW7VAUrWdG1j-hlymPHogqCw6k47tf=w408-h258-k-no,true,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,7:30 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Monterey+Monterey+CA/@36.5972925,-121.8977688,14z",2025-12-16T02:19:31.415Z,,,
"https://www.google.com/maps/place/Harmony+Place+Monterey+%7C+Mental+Health,+Eating+Disorder,+and+Chemical+Dependency+Treatment+Center/data=!4m7!3m6!1s0x808de40329eb9c55:0x2765f1caa2552d0c!8m2!3d36.5972196!4d-121.8896999!16s%2Fg%2F11btxctgml!19sChIJVZzrKQPkjYARDC1VosrxZSc","Harmony Place Monterey | Mental Health, Eating Disorder, and Chemical Dependency Treatment Center",4.9,54,Mental health clinic,"574 Cortes St, Monterey, CA 93940, United States","H4W6+V4 Monterey, California, USA",https://harmonyplacemonterey.com/,+1 831-747-1727,Closed · Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipNbUtw9VbLr8Y9ur22X3soXD6Ncd55pSABy4mdH=w408-h258-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Monterey+Monterey+CA/@36.5972925,-121.8977688,14z",2025-12-16T02:19:36.579Z,,,
https://www.google.com/maps/place/Outpatient+Behavioral+Health+Services/data=!4m7!3m6!1s0x808de687e280bfed:0x4b6583693c6bc039!8m2!3d36.5952364!4d-121.8959268!16s%2Fg%2F1tj96nc4!19sChIJ7b-A4ofmjYAROcBrPGmDZUs,Outpatient Behavioral Health Services,3.6,15,Mental health service,"576 Hartnell St, Monterey, CA 93940, United States","H4W3+3J Monterey, California, USA",https://www.montagehealth.org/locations/profile/behavioral-services,+1 831-625-4600,Open · Closes 8:30 pm,https://lh3.googleusercontent.com/p/AF1QipO42uZzdtqyTVFrfK0h2CtXoj3GE7nzcdwjf1NX=w426-h240-k-no,true,7:45 am–8:30 pm,7:45 am–9 pm,7:45 am–9 pm,7:45 am–9 pm,7:45 am–8:30 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Monterey+Monterey+CA/@36.5972925,-121.8977688,14z",2025-12-16T02:19:41.632Z,,,
https://www.google.com/maps/place/CHOMP+Outpatient+Mental+Health+Clinic/data=!4m7!3m6!1s0x808de4267ffa6cf3:0xf8858acdf40d00ff!8m2!3d36.5953012!4d-121.896027!16s%2Fg%2F12hwcsl1t!19sChIJ82z6fybkjYAR_wAN9M2Khfg,CHOMP Outpatient Mental Health Clinic,3.7,3,Mental health clinic,"576 Hartnell St, Monterey, CA 93940, United States","H4W3+4H Monterey, California, USA",,+1 831-373-0924,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HsWy3Q_kK8AwRMr4GCnXSQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=242.5609&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Monterey+Monterey+CA/@36.5972925,-121.8977688,14z",2025-12-16T02:19:44.357Z,,,
"https://www.google.com/maps/place/Dr.+Marshal+A.+Blatt,+MD/data=!4m7!3m6!1s0x808de687e280bfed:0x4fabed9bad5f6f6b!8m2!3d36.5786566!4d-121.9134873!16s%2Fg%2F1v_s62_g!19sChIJ7b-A4ofmjYARa29frZvtq08","Dr. Marshal A. Blatt, MD",4.5,21,Psychiatrist,"23625 Holman Hwy, Monterey, CA 93940, United States","H3HP+FJ Monterey, California, USA",http://www.chomp.org/,+1 831-624-5311,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5IZZffl7Ab0AehUhiAO37Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=163.12828&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Monterey+Monterey+CA/@36.5972925,-121.8977688,14z",2025-12-16T02:19:47.033Z,,,
https://www.google.com/maps/place/Acacia+Clinics+-+Monterey/data=!4m7!3m6!1s0x808de5833c285ed9:0xe6a3051d18d342ef!8m2!3d36.5944146!4d-121.8968383!16s%2Fg%2F11my4kscz6!19sChIJ2V4oPIPljYAR70LTGB0Fo-Y,Acacia Clinics - Monterey,,,Mental health clinic,"40 Dormody Ct, Monterey, CA 93940, United States","H4V3+Q7 Monterey, California, USA",https://www.acaciaclinics.com/,+1 650-993-9996,Closed · Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zviso1DEScSx5riE5uDDiQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=265.82617&pitch=0&thumbfov=100,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Monterey+Monterey+CA/@36.5972925,-121.8977688,14z",2025-12-16T02:19:51.990Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Integrative+Mental+Health/data=!4m7!3m6!1s0x808de428b58a1b37:0x566bba61ee83920d!8m2!3d36.5916372!4d-121.8964159!16s%2Fg%2F1td0gr41!19sChIJNxuKtSjkjYARDZKD7mG6a1Y,Integrative Mental Health,,,Medical clinic,"1015 Cass St # 8, Monterey, CA 93940, United States","H4R3+MC Monterey, California, USA",,+1 831-644-9125,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EQ1RJXQdaKMnfnOJeYdXVg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=115.55458&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Monterey+Monterey+CA/@36.5972925,-121.8977688,14z",2025-12-16T02:19:54.652Z,,,
"https://www.google.com/maps/place/Interim,+Inc./data=!4m7!3m6!1s0x808de43b1f9482a9:0x694624c48d007347!8m2!3d36.5975896!4d-121.8890082!16s%2Fg%2F1tf31mhm!19sChIJqYKUHzvkjYARR3MAjcQkRmk","Interim, Inc.",3.7,6,Mental health service,"604 Pearl St, Monterey, CA 93940, United States","H4X6+29 Monterey, California, USA",https://www.interiminc.org/,+1 831-649-4522,Closed · Opens 8:30 am Tue,https://lh3.googleusercontent.com/p/AF1QipP9jkltfflQMYK0fm3x5t_-B4R1jw77TVqbigAd=w426-h240-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Monterey+Monterey+CA/@36.5972925,-121.8977688,14z",2025-12-16T02:19:59.594Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Myra+Fernando/data=!4m7!3m6!1s0x808de4242a5e66d7:0xec53aa26aa8167a2!8m2!3d36.5955312!4d-121.8960061!16s%2Fg%2F11sc_ywp05!19sChIJ12ZeKiTkjYARomeBqiaqU-w,Myra Fernando,5.0,1,Psychiatrist,"576 Hartnell St #300, Monterey, CA 939402887, United States","H4W3+6H Monterey, California, USA",https://www.montagehealth.org/doctors/profile/myra-fernando/,+1 831-625-4600,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OCBf1tyfnNKYdOKCM_o92g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=212.08649&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Monterey+Monterey+CA/@36.5972925,-121.8977688,14z",2025-12-16T02:20:02.575Z,,,
https://www.google.com/maps/place/Mindpath+Health+Psychiatrists+%26+Therapists+-+Monterey/data=!4m7!3m6!1s0x808de559f8f9247b:0xb927751f37de3367!8m2!3d36.5758992!4d-121.8212972!16s%2Fg%2F11rvlqwqc9!19sChIJeyT5-FnljYARZzPeNx91J7k,Mindpath Health Psychiatrists & Therapists - Monterey,4.6,15,Mental health service,"4 Lower Ragsdale Dr Suite 130, Monterey, CA 93940, United States","H5GH+9F Monterey, California, USA",https://www.mindpath.com/locations/monterey/?pk_source=gmb&pk_medium=organic,+1 831-201-5411,Closed · Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipNdXmjh7NVx301AkH1e2UVax1VfqfOBiRNYgeZm=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Monterey+Monterey+CA/@36.5972925,-121.8977688,14z",2025-12-16T02:20:07.565Z,,,
