placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,isBlackOwned,attributes,error
https://www.google.com/maps/place/QuickFix+Garage+Door+Service+-+Charlotte+NC/data=!4m7!3m6!1s0x8854213ac0e6a86b:0xbd0730c4adb46c99!8m2!3d34.9862805!4d-80.7717534!16s%2Fg%2F11g061fv7h!19sChIJa6jmwDohVIgRmWy0rcQwB70,QuickFix Garage Door Service - Charlotte NC,5.0,1821,Garage door supplier,,,http://quickfixgaragedoorservice.com/,+1 704-569-4111,Open ⋅ Closes 10 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipO9j2j6GvttKHbHzTe7iNwx3zH74lhYf-xmkZk4=w408-h306-k-no,true,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,"https://www.google.com/maps/search/garage+door+services+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2025-11-07T22:45:10.779Z,,,
https://www.google.com/maps/place/Shield+Garage+Door/data=!4m7!3m6!1s0x2123dfde7ed88d71:0x96b2b2ff0db645e4!8m2!3d35.2295364!4d-80.8368086!16s%2Fg%2F11vysg_fy8!19sChIJcY3Yft7fIyER5EW2Df-yspY,Shield Garage Door,5.0,78,Garage door supplier,"512 N College St #1807, Charlotte, NC 28202, United States","65H7+R7 Charlotte, North Carolina, USA",https://www.shieldgaragedoor.com/,+1 704-885-2041,Open 24 hours,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipPtMCse4vSXYQAy7QlqJDS2VyXrSoyyNo_wyVwa=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2025-11-07T22:45:16.961Z,,,
https://www.google.com/maps/place/Overhead+Door+Company+of+Charlotte/data=!4m7!3m6!1s0x8856a7b733986335:0x414a51c6f26a73ea!8m2!3d35.1972522!4d-80.9289443!16s%2Fg%2F11ts03th0q!19sChIJNWOYM7enVogR6nNq8sZRSkE,Overhead Door Company of Charlotte,4.9,497,Garage door supplier,"3035 Horseshoe Ln Suite R, Charlotte, NC 28208, United States","53WC+WC Charlotte, North Carolina, USA",https://overheaddoorofcharlotte.com/,+1 704-887-3667,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPJ6B0w2D8VCnzpSSDPtr-71UmTmR7YqZQNAwE3=w408-h397-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2025-11-07T22:45:22.247Z,,,
https://www.google.com/maps/place/Momentum+Overhead+Garage+Doors+-+Charlotte/data=!4m7!3m6!1s0x885699b7f2876307:0x5d45aaa7f2050aef!8m2!3d35.1717198!4d-80.9006091!16s%2Fg%2F11gmc4_qvf!19sChIJB2OH8reZVogR7woF8qeqRV0,Momentum Overhead Garage Doors - Charlotte,4.8,121,Garage door supplier,"634 Knight Ct, Charlotte, NC 28217, United States","53CX+MQ Charlotte, North Carolina, USA",http://momentumdoors.com/,+1 704-614-4455,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNZy61RmVg79ohGscAIb_U9C2WXscSYTWXH_H5q=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2025-11-07T22:45:27.591Z,,,
https://www.google.com/maps/place/1st+Select+Garage+Doors+LLC/data=!4m7!3m6!1s0x8854294fca9b0819:0xf8db62b89944033c!8m2!3d35.6188235!4d-80.6742795!16s%2Fg%2F11l2ztvqrk!19sChIJGQibyk8pVIgRPANEmbhi2_g,1st Select Garage Doors LLC,4.9,63,Garage door supplier,,,https://1stselectgaragedoors.com/,+1 704-450-8100,Open 24 hours,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipPY45kplzkz35qi1RbMebzp5EqQU2hbpBxHI_NJ=w408-h272-k-no,true,Open 24 hours,Open 24 hours,1 am–11:30 pm,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2025-11-07T22:45:32.427Z,,,
https://www.google.com/maps/place/Precision+Garage+Door/data=!4m7!3m6!1s0x88541f322f87f855:0x56d7d9106f5cc998!8m2!3d35.2289516!4d-80.7299015!16s%2Fg%2F11t5jcjgcd!19sChIJVfiHLzIfVIgRmMlcbxDZ11Y,Precision Garage Door,4.9,960,Garage door supplier,"6626 E W.T. Harris Blvd, Charlotte, NC 28215, United States","67HC+H2 Charlotte, North Carolina, USA",https://www.garagedoorscharlottenc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=charlotte,+1 704-228-4090,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipMCTTuCWcoOtp53xh6NY-wS7AReG7_reWb2n5Yv=w478-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2025-11-07T22:45:37.584Z,,,
https://www.google.com/maps/place/A1+Garage+Door+Service/data=!4m7!3m6!1s0x88569b08af050029:0x2bbf35df72b5894e!8m2!3d35.121362!4d-80.955664!16s%2Fg%2F11lrd20vqk!19sChIJKQAFrwibVogRTom1ct81vys,A1 Garage Door Service,4.9,1309,Garage door supplier,"10721 John Price Rd, Charlotte, NC 28273, United States","42CV+GP Charlotte, North Carolina, USA",https://a1garage.com/locations/north-carolina/?utm_source=google&utm_medium=organic&utm_campaign=charlotte-nc-john-price,+1 704-980-8196,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNi5CgmYnIOsQU3kJLxrOaEVNKrfngS_EnRffOg=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2025-11-07T22:45:42.649Z,,,
https://www.google.com/maps/place/American+Garage+Door+Systems/data=!4m7!3m6!1s0x88569ff0fdafe6a3:0x980606f9755e28f1!8m2!3d35.1749391!4d-80.851438!16s%2Fg%2F11s8zjjt1q!19sChIJo-av_fCfVogR8ShedfkGBpg,American Garage Door Systems,5.0,41,Garage door supplier,"4108 Park Rd UNIT 211, Charlotte, NC 28209, United States","54FX+XC Charlotte, North Carolina, USA",https://www.americangds.com/,+1 980-375-2059,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxbyyJEICbLMozaoIUZesumWxms-L23wz4d4Hb2wf3gwoct57RT5QA3YDYX1oMOtWFCThW5pWZav7acGduFtxUre4fOjsx9LbWRDezXenRV_-hgB-3QxZO3SvssQFHgi9osOEHk=w408-h303-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2025-11-07T22:45:47.606Z,,,
https://www.google.com/maps/place/Garage+Door+Doctor/data=!4m7!3m6!1s0x8854212106055547:0x7741f14e0bd90b9d!8m2!3d35.1528345!4d-80.7468236!16s%2Fg%2F11lpbt7rfn!19sChIJR1UFBiEhVIgRnQvZC07xQXc,Garage Door Doctor,4.9,1724,Garage door supplier,"8536 Monroe Rd, Charlotte, NC 28212, United States","5733+47 Charlotte, North Carolina, USA",http://www.garagedoordoctor.com/?utm_source=GMB,+1 704-705-8444,Closes soon ⋅ 6 pm ⋅ Opens 8 am Sat,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPeqEpe42iTT6_xkPSe5xOyKSNMJ1V48C-XudtZ=w408-h306-k-no,true,7:15 am–6 pm,8 am–5 pm,11 am–7 pm,7:15 am–8 pm,7:15 am–8 pm,7:15 am–8 pm,7:15 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2025-11-07T22:45:52.650Z,,,
https://www.google.com/maps/place/A-1+Door+Services/data=!4m7!3m6!1s0x88541f8cf65394cb:0x807e714ca8cb8747!8m2!3d35.2217771!4d-80.7853004!16s%2Fg%2F1v4k76j_!19sChIJy5RT9owfVIgRR4fLqExxfoA,A-1 Door Services,4.2,5,Garage door supplier,"2332 Arnold Dr, Charlotte, NC 28205, United States","66C7+PV Charlotte, North Carolina, USA",http://geniecompany.com/,+1 704-536-0913,Closed ⋅ Opens 7 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwFdtDe0eO4DMauzcXHMLHQwwnej_JvddRtNITyIYa61zZaAbjIqpXyZiVhsHPyVfc2nFzkLPwCDC1ITrAfzyEv_2JvRr7Xp6oZQIoaVr_PBXaOjadvCFHpnKNM3G8nFHankwNF=w408-h544-k-no,true,7 am–5 pm,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2025-11-07T22:45:57.675Z,,,
