placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/Weatherford+Wholehealth/data=!4m7!3m6!1s0x864e0330cf5615ed:0xa27e713dae33fb53!8m2!3d32.7385186!4d-97.7682761!16s%2Fg%2F11xdqc_p5d!19sChIJ7RVWzzADToYRU_szrj1xfqI,Weatherford Wholehealth,5.0,15,Medical office,"1880 Santa Fe Dr #400, Weatherford, TX 76087, United States","P6QJ+CM Weatherford, Texas, USA",http://www.weatherfordwholehealth.com/,+1 817-757-7094,,https://lh3.googleusercontent.com/p/AF1QipO6NXTkUtusMGXKRC3wvBKFax15exA5CAWosqi-=w408-h373-k-no,true,1–2 pm,1–2 pm,1–2 pm,1–2 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2026-02-23T19:13:18.105Z,,,,
https://www.google.com/maps/place/Alpha+Care+Wellness+Center/data=!4m7!3m6!1s0x864e020227348b3b:0x2e1d1d935a69e12d!8m2!3d32.7452227!4d-97.7805117!16s%2Fg%2F1ptw28jw0!19sChIJO4s0JwICToYRLeFpWpMdHS4,Alpha Care Wellness Center,4.8,75,Wellness center,"1200 Clear Lake Rd, Weatherford, TX 76086, United States","P6W9+3Q Weatherford, Texas, USA",http://www.alphacarewellnesscenter.com/?y_source=1_MjM5OTQ4NzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 817-550-6332,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMvFS81YgCKWz4TY0beSAvuYeDMIbWeUCFPw2-i=w408-h544-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–1 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2026-02-23T19:13:22.921Z,Identifies as women-owned,true,,
"https://www.google.com/maps/place/Dr.+Catherine+Oseni,+Pharm.D.,+FAAMFM,+ABAAHP/data=!4m7!3m6!1s0x864e0309a5c3ec87:0x46a53620265e3568!8m2!3d32.7452227!4d-97.7805117!16s%2Fg%2F11khc_crk6!19sChIJh-zDpQkDToYRaDVeJiA2pUY","Dr. Catherine Oseni, Pharm.D., FAAMFM, ABAAHP",5.0,3,General practitioner,"1200 Clear Lake Rd, Weatherford, TX 76086, United States","P6W9+3Q Weatherford, Texas, USA",http://www.drcatherineoseni.com/?y_source=1_NjM0OTk5MTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 817-550-6332,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WysRjYC1dKK4Ja1Vv_J0jw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=184.61404&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–2 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2026-02-23T19:13:27.907Z,,,,
https://www.google.com/maps/place/The+Resurge+Clinic/data=!4m7!3m6!1s0x864e02017759a903:0x4f22d133885e38a!8m2!3d32.7372823!4d-97.7601332!16s%2Fg%2F1tfc7031!19sChIJA6lZdwECToYRiuOFOBMt8gQ,The Resurge Clinic,4.8,62,Alternative medicine practitioner,"2105 Clear Lake Rd, Weatherford, TX 76087, United States","P6PQ+WW Weatherford, Texas, USA",http://www.theresurgeclinic.com/,+1 817-599-9902,,https://lh3.googleusercontent.com/p/AF1QipMI5fb4x9WfcVpyIYUdTbuOII9hYiUMHFk0FpE=w408-h272-k-no,true,12–1 pm,12–1 pm,12–1 pm,12–1 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2026-02-23T19:13:32.474Z,,,,
https://www.google.com/maps/place/Apex+One+Wellness/data=!4m7!3m6!1s0x864e0183466f83d1:0x3fd8d84ee28dd642!8m2!3d32.7561362!4d-97.751559!16s%2Fg%2F11tp1872xd!19sChIJ0YNvRoMBToYRQtaN4k7Y2D8,Apex One Wellness,4.9,254,Medical clinic,"1910 Fort Worth Hwy, Weatherford, TX 76086, United States","Q64X+F9 Weatherford, Texas, USA",https://www.apexonewellness.com/,+1 817-210-6580,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweowkFmAbALl8T7cstr8aYdXvq7EWgAsHdpcv2ELPXDGxj0Y0wZCYGf2x6m-Lf0uCo2IBs8Ao6SfZgOEWzVb2VSX58le3k08uCybNBd0NNLL2I9bRqrHFCyuvJBZXpKXz-pg06Pv8A=w408-h306-k-no,true,9 am–5 pm,9 am–6 pm,9 am–5 pm,9 am–6 pm,9 am–12 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2026-02-23T19:13:36.868Z,,,,
https://www.google.com/maps/place/Complete+Wellness+Clinic/data=!4m7!3m6!1s0x8651fdfb17b294f7:0x40e537ab7f60a2dd!8m2!3d32.7395165!4d-97.794694!16s%2Fg%2F1tzgk16w!19sChIJ95SyF_v9UYYR3aJgf6s35UA,Complete Wellness Clinic,4.5,8,Chiropractor,"161 College Park Dr, Weatherford, TX 76086, United States","P6Q4+R4 Weatherford, Texas, USA",http://cw-clinic.com/,+1 817-599-0061,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipN2dyZAjcH-fxRWp14EsRrzYxr6LmReV8ankhyO=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2026-02-23T19:13:41.806Z,,,,
https://www.google.com/maps/place/Wholistic+Body+Solutions/data=!4m7!3m6!1s0x8651fe06d4b6c129:0x9b734b137f424ba9!8m2!3d32.7579025!4d-97.7985628!16s%2Fg%2F1ptzsjdwg!19sChIJKcG21Ab-UYYRqUtCfxNLc5s,Wholistic Body Solutions,4.9,123,Massage therapist,"131 W Church St #400, Weatherford, TX 76086, United States","Q652+5H Weatherford, Texas, USA",https://wholisticbodysolutions.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13099522172318022062,+1 817-901-8786,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipNRaysXYrhOmYK1NDNGN4SuAPX7jt0o0uMpd255=w408-h272-k-no,true,10 am–6 pm,10 am–8 pm,10 am–8 pm,10 am–8 pm,10 am–8 pm,10 am–6 pm,10 am–4 pm,"https://www.google.com/maps/search/functional+medicine+in+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2026-02-23T19:13:46.248Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Freedom+Wellness+%2B+Hydration+LLC/data=!4m7!3m6!1s0x6c1146bfc3c9ec61:0xe282a0d736202390!8m2!3d32.7507797!4d-97.7986238!16s%2Fg%2F11l1mpvs2t!19sChIJYezJw79GEWwRkCMgNtegguI,Freedom Wellness + Hydration LLC,5.0,18,Alternative medicine practitioner,"111 W Akard St, Weatherford, TX 76086, United States","Q622+8H Weatherford, Texas, USA",http://freedomwh.com/,+1 682-262-8745,"Open · Closes 8 pm

Updated by this business 5 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOPOqpwR-bY40lzJopR_oXEduE10LqLERhf5A5x=w408-h725-k-no,true,9 am–8 pm,9 am–8 pm,8 am–3 pm,8 am–3 pm,8 am–8 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2026-02-23T19:13:50.806Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/The+Joint+Chiropractic/data=!4m7!3m6!1s0x8651fd432b02ea2f:0x10c55c42ef4df7b4!8m2!3d32.7287971!4d-97.785465!16s%2Fg%2F11tmx0_rh_!19sChIJL-oCK0P9UYYRtPdN70JcxRA,The Joint Chiropractic,4.9,386,Chiropractor,"126 I-20 Suite 120, Weatherford, TX 76087, United States","P6H7+GR Weatherford, Texas, USA",https://www.thejoint.com/texas/weatherford/weatherford-28152,+1 817-803-5450,Closes soon · 2 pm · Reopens 2:45 pm,https://lh3.googleusercontent.com/p/AF1QipMJMfxEnzW5Vo7E1lgyo6M4xw_l2FEr8h0vCcGm=w408-h374-k-no,true,"10 am–2 pm, 2:45–7 pm","10 am–2 pm, 2:45–7 pm","10 am–2 pm, 2:45–7 pm","10 am–2 pm, 2:45–7 pm","10 am–2 pm, 2:45–7 pm",10 am–5 pm,10 am–5 pm,"https://www.google.com/maps/search/functional+medicine+in+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2026-02-23T19:13:55.261Z,,,,
https://www.google.com/maps/place/Premier+IV+and+Wellness/data=!4m7!3m6!1s0x864e0182429f587d:0xeba4bf0579ce5c13!8m2!3d32.7487706!4d-97.7816191!16s%2Fg%2F11smbx674x!19sChIJfVifQoIBToYRE1zOeQW_pOs,Premier IV and Wellness,4.9,152,Medical spa,"925 Santa Fe Dr #111, Weatherford, TX 76086, United States","P6X9+G9 Weatherford, Texas, USA",https://www.premieriv.com/service-area/weatherford-texas,+1 817-612-6346,Open · Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipNcyKvgkUujVrHr3C4lYjnbdyLWmD3UCFFKfmH9=w408-h408-k-no,true,10 am–4 pm,10 am–6 pm,10 am–4 pm,10 am–6 pm,10 am–4 pm,10 am–4 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2026-02-23T19:13:59.690Z,,,,
"https://www.google.com/maps/place/Remedy+Oils,+LLC/data=!4m7!3m6!1s0x8651fe6abe354c87:0x7f5ced659c463ecd!8m2!3d32.766939!4d-97.8087351!16s%2Fg%2F11cn0tmhr8!19sChIJh0w1vmr-UYYRzT5GnGXtXH8","Remedy Oils, LLC",5.0,4,Homeopath,"718 North St, Weatherford, TX 76086, United States","Q58R+QG Weatherford, Texas, USA",http://remedyoilsonline.com/,+1 817-523-9736,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMmJ0VQoZvtZOefxphNr9mWy_uIlpViPpUZllM=w408-h271-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2026-02-23T19:14:04.023Z,,,,
https://www.google.com/maps/place/Better+Health+Market/data=!4m7!3m6!1s0x864e021afd59d9d7:0x9b0e369555f18ba1!8m2!3d32.7393158!4d-97.7721963!16s%2Fg%2F1tjhy1nn!19sChIJ19lZ_RoCToYRoYvxVZU2Dps,Better Health Market,4.8,50,Vitamin & supplements store,"1716 Santa Fe Dr, Weatherford, TX 76086, United States","P6QH+P4 Weatherford, Texas, USA",http://betterhealthtx.com/?UTM_source=GMB_listing&UTM_medium=organic,+1 817-596-8818,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqI7aRH37HP994Ppegj97hpC-Uvo84sT8rcXgDF4CX3G0imJsXTiDyc_4pzn-1JmcpwdwSDHTGHBrbMSroFHNB1dFChd9tz7q38q62ha01YmS0pJXwkGIKj_7pItlsu1F_3dLvzbw=w408-h306-k-no,true,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–3 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2026-02-23T19:14:08.529Z,Identifies as women-owned,,· In-store shopping · Kerbside pickup,
https://www.google.com/maps/place/Rx4Change+Health+and+Wellness/data=!4m7!3m6!1s0x8651ff43b8ea6e21:0xb3cdd4cf4e5720e0!8m2!3d32.7484552!4d-97.7979442!16s%2Fg%2F11vd671dhr!19sChIJIW7quEP_UYYR4CBXTs_UzbM,Rx4Change Health and Wellness,5.0,27,Medical clinic,"104 W Russell St, Weatherford, TX 76086, United States","P6X2+9R Weatherford, Texas, USA",https://www.rx4change.com/?utm_source=GBP,+1 817-458-9998,Closed · Opens 10 am Tue,https://lh3.googleusercontent.com/p/AF1QipMXwd35YnvTzT2ALy5-N2b5wKUlYF-uGD5td0Pj=w1024-h240-k-no,true,Closed,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,9 am–2 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+Weatherford+Weatherford+TX/@32.7592955,-97.7972544,14z",2026-02-23T19:14:13.154Z,LGBTQ+ friendly,,,
