placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,attributes
https://www.google.com/maps/place/Ira+Hansen+and+Sons+Plumbing/data=!4m7!3m6!1s0x80993ee1c584da75:0x318cadd4bb4a500e!8m2!3d39.524875!4d-119.741667!16s%2Fg%2F1thzv12t!19sChIJddqExeE-mYARDlBKu9StjDE,Ira Hansen and Sons Plumbing,4.9,1601,Plumber,"58 Hardy Dr, Sparks, NV 89431, United States","G7F5+X8 Sparks, Nevada, USA",https://www.ihsplumbing.com/?utm_source=cumulus&utm_medium=onlinepresence&utm_campaign=gbp,+1 775-626-7777,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPQCOZOYDwsLiiEaLfn9Hazn--6DQqxZO1e1dRG=w408-h247-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-11-11T04:50:34.264Z,,
https://www.google.com/maps/place/Silver+State+Plumbing+-+Reno/data=!4m7!3m6!1s0x80993f5c884241a7:0xe79b08d2ca1390bc!8m2!3d39.5219074!4d-119.7226052!16s%2Fg%2F11f6y93kd8!19sChIJp0FCiFw_mYARvJATytIIm-c,Silver State Plumbing - Reno,4.7,178,Plumber,"1455 Deming Way, Sparks, NV 89431, United States","G7CG+QX Sparks, Nevada, USA",https://silverstate.com/service-areas/reno-nv/,+1 775-393-1999,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzzb9mf2ssX8ZG6GntIuSxBRKTp4wulMFgzusl8PA-P9WaA63kRWyqgYb1wVOBlRC6fN7c7ZNHb6okH_hnHDVyMQiPAC5d9Ns4GCBuyUKI9_YH4Djt_PlDmwags9ihCqomzGR0P4A=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-11-11T04:50:40.468Z,LGBTQ+ friendly,
"https://www.google.com/maps/place/Jet+Plumbing,+Heating+%26+Drain+Services/data=!4m7!3m6!1s0x80993f383bb327b9:0x2f4d8f8093ad6aca!8m2!3d39.5302215!4d-119.7637974!16s%2Fg%2F1tl4d8lt!19sChIJuSezOzg_mYARymqtk4CPTS8","Jet Plumbing, Heating & Drain Services",4.0,210,Plumber,"1553 Hymer Ave, Sparks, NV 89431, United States","G6JP+3F Sparks, Nevada, USA",https://jetplumbing.com/?utm_source=google&utm_medium=gmb,+1 775-331-3933,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMGZG1BKNN5CJMq6OzEZZujm3SlTScaBbYhKXfW=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-11-11T04:50:45.364Z,,
https://www.google.com/maps/place/Hoffman+Plumbing/data=!4m7!3m6!1s0x809939c280df822f:0x695c30ab3fb2767f!8m2!3d39.5495722!4d-119.7717825!16s%2Fg%2F11tw_8_tks!19sChIJL4LfgMI5mYARf3ayP6swXGk,Hoffman Plumbing,4.9,394,Plumber,"1855 Sullivan Ln Ste 270, Sparks, NV 89431, United States","G6XH+R7 Sparks, Nevada, USA",https://hoffmanplumbing.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*372*hoffman-plumbing-sparks,+1 775-210-8550,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPVP23Jaa2WXkPzvCEb4m5kogZo_XjKWUQ4AaDz=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-11-11T04:50:50.431Z,Identifies as veteran-owned,
"https://www.google.com/maps/place/DeHart+Plumbing,+Heating,+and+Air+Inc./data=!4m7!3m6!1s0x80993f48f6feb9d5:0x6c55896b35dbf74c!8m2!3d39.5312666!4d-119.7688678!16s%2Fg%2F1tddy05q!19sChIJ1bn-9kg_mYARTPfbNWuJVWw","DeHart Plumbing, Heating, and Air Inc.",4.9,1252,HVAC contractor,"1842 Hymer Ave, Sparks, NV 89431, United States","G6JJ+GF Sparks, Nevada, USA",https://www.dehartnv.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-profile,+1 775-358-6188,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipM1wUYwJk-F4M_PIa-I4qhWe0PxWkzxcW-JCwVd=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-11-11T04:50:55.386Z,,
https://www.google.com/maps/place/Roto-Rooter+Plumbing+%26+Water+Cleanup/data=!4m7!3m6!1s0x80993f1da6b4a797:0x9f0e35838ef53a21!8m2!3d39.5485109!4d-119.7516887!16s%2Fg%2F1tfl0g3x!19sChIJl6e0ph0_mYARITr1joM1Dp8,Roto-Rooter Plumbing & Water Cleanup,4.3,303,Plumber,"680 Greenbrae Dr Ste 232, Sparks, NV 89431, United States","G6XX+C8 Sparks, Nevada, USA",https://www.rotorooter.com/sparksnv/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,+1 775-737-2911,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNielc4AaxUfkMcjsIQ_lSDGij2jUOCmvN29i0S=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-11-11T04:51:00.634Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Mr.+Rooter+Plumbing+of+Greater+Reno/data=!4m7!3m6!1s0x80993f0af03f361d:0xb89f9bb7f9c0358e!8m2!3d39.5192727!4d-119.7547204!16s%2Fg%2F1vhq3z2h!19sChIJHTY_8Ao_mYARjjXA-bebn7g,Mr. Rooter Plumbing of Greater Reno,4.4,202,Plumber,"1655 Marietta Way, Sparks, NV 89431, United States","G69W+P4 Sparks, Nevada, USA",https://mrrooter.com/reno/?cid=LSTL_MRR000199&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 775-432-0538,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMhNoXJ-mOz9pnE9eh4wQ9QA5STanboQNEZo4qy=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-11-11T04:51:05.559Z,,
"https://www.google.com/maps/place/Master+Service+Plumbing,+Inc/data=!4m7!3m6!1s0x80993f57e60ee651:0xd23e649a44d4ed80!8m2!3d39.5252127!4d-119.7881506!16s%2Fg%2F1td6mxhf!19sChIJUeYO5lc_mYARgO3URJpkPtI","Master Service Plumbing, Inc",4.7,212,Plumber,"325 Sunshine Ln, Reno, NV 89502, United States","G6G6+3P Reno, Nevada, USA",http://www.masterserviceplumbing.com/,+1 775-851-1444,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNb9jkE0rc0qmalbot07paBW8x9I8a9KECDszw4=w408-h278-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-11-11T04:51:10.493Z,,
https://www.google.com/maps/place/Dirty+Plumber+Reno/data=!4m7!3m6!1s0x809947261d5f429f:0xdf0ea3f3d6d5378b!8m2!3d39.47466!4d-119.7935435!16s%2Fg%2F11b5pjd3b4!19sChIJn0JfHSZHmYARizfV1vOjDt8,Dirty Plumber Reno,4.7,165,Plumber,,,https://dirtyplumberreno.com/?utm_source=google&utm_medium=gmb&utm_campaign=seo,+1 775-333-9880,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMoJFqGUFA3oh0NXeQsnbh_gPYsQjifqx2dY4bR=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,"https://www.google.com/maps/search/plumbing++services+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-11-11T04:51:15.404Z,,
https://www.google.com/maps/place/Pro+Plumbing+%26+Drain/data=!4m7!3m6!1s0x80993fce4e20577f:0xc1b837a09a30229f!8m2!3d39.5202311!4d-119.744343!16s%2Fg%2F11m6lv29n3!19sChIJf1cgTs4_mYARnyIwmqA3uME,Pro Plumbing & Drain,4.9,44,Plumber,"200 Coney Island Dr, Sparks, NV 89431, United States","G7C4+37 Sparks, Nevada, USA",https://www.proplumbinganddrain.com/,+1 775-800-1171,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPzoFDxucxQkYRDTitqgy3C_0gsjInPKVPuOuXP=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Sparks+Reno+NV/@39.5349112,-119.7526886,14z",2025-11-11T04:51:20.227Z,,
