placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,attributes,info,isBlackOwned,error
https://www.google.com/maps/place/Coast+Garage+Door+Co/data=!4m7!3m6!1s0x889c3b5cf0b4e375:0xad5bc8717a45d313!8m2!3d30.3603661!4d-89.1780488!16s%2Fg%2F11byhjvq5p!19sChIJdeO08Fw7nIgRE9NFenHIW60,Coast Garage Door Co,4.6,9,Garage door supplier,"5086 Mitchell Rd, Long Beach, MS 39560, United States","9R6C+4Q Long Beach, Mississippi, USA",,+1 228-864-0189,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNOpX0rFqI7nQIa42eqb7u8YL_dTlPqzxlV608=w960-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2025-11-07T23:02:13.534Z,,,,
"https://www.google.com/maps/place/Doorways,+Inc./data=!4m7!3m6!1s0x889c14349c062af7:0x9c7037756eb97724!8m2!3d30.450042!4d-89.0545539!16s%2Fg%2F1tdp5tvr!19sChIJ9yoGnDQUnIgRJHe5bnU3cJw","Doorways, Inc.",4.9,86,Garage door supplier,"13052 Dedeaux Rd, Gulfport, MS 39503, United States","FW2W+25 Gulfport, Mississippi, USA",http://msdoorways.com/?utm_campaign=google&utm_medium=local&utm_source=google_business_profile,+1 228-832-8857,Closed ⋅ Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipOgA4L02uW6S5OyHGf_Y2rc3qBB6MUwTN_WBX4r=w408-h306-k-no,true,7:30 am–12:30 pm,Closed,Closed,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2025-11-07T23:02:18.320Z,,,,
"https://www.google.com/maps/place/Apex+Garage+Gate+and+Electrical+LLC/@30.4371637,-89.1155287,17z/data=!3m1!4b1!4m6!3m5!1s0x73687678d0697ed:0xebe6e72057f20be2!8m2!3d30.4371637!4d-89.1155287!16s%2Fg%2F11wr4ws5t9",Apex Garage Gate and Electrical LLC,5.0,77,Garage door supplier,"16389 Lancaster Cove, Gulfport, MS 39503, United States","CVPM+VQ Gulfport, Mississippi, USA",https://apexgaragegatesandelectrical.com/,+1 228-234-9154,Open 24 hours,,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2025-11-07T23:02:24.645Z,,,,
https://www.google.com/maps/place/Coastal+Garage+Works/data=!4m7!3m6!1s0x4aa8be2b9dcc562b:0x84e24ca0a155fdcc!8m2!3d30.3445059!4d-89.154373!16s%2Fg%2F11y3qfvcmk!19sChIJK1bMnSu-qEoRzP1VoaBM4oQ,Coastal Garage Works,5.0,10,Garage door supplier,"225 Winters Ln B4, Long Beach, MS 39560, United States","8RVW+R7 Long Beach, Mississippi, USA",https://coastalgarageworks.com/,+1 228-332-7842,Closed ⋅ Opens 7 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nUkrmo5QpW0oUcIA0XqXmg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=247.16829&pitch=0&thumbfov=100,true,7 am–1 pm,Closed,Closed,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2025-11-07T23:02:29.763Z,,,,
https://www.google.com/maps/place/Precision+Garage+Door+Service+of+Gulfport-Biloxi/data=!4m7!3m6!1s0x889c0b41906aa181:0xd47de083aa9e28f7!8m2!3d30.4531164!4d-88.8493718!16s%2Fg%2F11wm_89sh7!19sChIJgaFqkEELnIgR9yieqoPgfdQ,Precision Garage Door Service of Gulfport-Biloxi,5.0,158,Garage door supplier,"14313 Stenum St Suite C, Biloxi, MS 39532, United States","F532+67 Biloxi, Mississippi, USA",https://precisiondoorgulfport.com//?utm_source=gmb&utm_medium=location_Biloxi&utm_campaign=website,+1 228-641-9875,Open ⋅ Closes 10 pm,https://lh3.googleusercontent.com/p/AF1QipNqTW5ACerQDL43pzkH58U0cGnzJ_uuH6mE65mk=w408-h271-k-no,true,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,"https://www.google.com/maps/search/garage+door+services+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2025-11-07T23:02:34.216Z,,,,
https://www.google.com/maps/place/Overhead+Door+Company+of+The+MS+Gulf+Coast/data=!4m7!3m6!1s0x889c0c2852529bdf:0x5d132bdb464cda21!8m2!3d30.4411175!4d-88.8928108!16s%2Fg%2F11bbwmxkkz!19sChIJ35tSUigMnIgRIdpMRtsrE10,Overhead Door Company of The MS Gulf Coast,4.9,499,Garage door supplier,"3301 B Warrior Dr, D'Iberville, MS 39540, United States","C4R4+CV D'Iberville, Mississippi, USA",https://vergedoors.com/?utm_source=gmb&utm_medium=social&utm_campaign=1seo_gmb_profile&utm_term=gulfcoast,+1 228-596-5156,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipOr0C4qpM05stWEeAn0qMuhgB4v_pmSxF8iJoBh=w425-h240-k-no,true,7 am–5 pm,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2025-11-07T23:02:38.811Z,,,,
https://www.google.com/maps/place/Core+Dock+%26+Door/data=!4m7!3m6!1s0x889c16559966aaab:0x4ad86fe74db942a8!8m2!3d30.3896303!4d-89.0570618!16s%2Fg%2F11hy9p99l7!19sChIJq6pmmVUWnIgRqEK5Tedv2Eo,Core Dock & Door,5.0,1,Material handling equipment supplier,"3215 D Ave, Gulfport, MS 39507, United States","9WQV+V5 Gulfport, Mississippi, USA",http://www.coredockanddoor.com/,+1 228-216-6848,Closed ⋅ Opens 12 am Sat,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSytcGAVICJNud7hfQLhKeCDHC9dA7jz0YLgt7UWIkGgupXCNa5yPuJsFy2g5E0GRPd7OVWRY2fqGfi0lpMfdjxIwiTQ61qtOBPK3SFoTbd-VKJY6oOm2spbKpWQu8mUNV1GVaTufA=w426-h240-k-no,true,6:30 am–3 pm,Open 24 hours,Closed,6:30 am–3 pm,6:30 am–3 pm,6:30 am–3 pm,6:30 am–3 pm,"https://www.google.com/maps/search/garage+door+services+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2025-11-07T23:02:43.180Z,,,,
https://www.google.com/maps/place/The+Door+Man/data=!4m7!3m6!1s0x889c3306c61bb0cd:0x6208a307b4fe2da7!8m2!3d30.377805!4d-89.373502!16s%2Fg%2F1tfd35h_!19sChIJzbAbxgYznIgRpy3-tAejCGI,The Door Man,5.0,13,Garage door supplier,,,,+1 228-466-0347,Closes soon ⋅ 6 pm ⋅ Opens 10 am Sat,https://lh3.googleusercontent.com/p/AF1QipMrVNL6zvepe_gJIvCKnQPQpi2EEvqUrAmfq4Ru=w408-h306-k-no,true,10 am–6 pm,10 am–2 pm,Closed,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,"https://www.google.com/maps/search/garage+door+services+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2025-11-07T23:02:47.499Z,,,,
https://www.google.com/maps/place/J+M+Doors/data=!4m7!3m6!1s0x889c099cb7ff5ec3:0xb08f259f161f26ca!8m2!3d30.4379465!4d-88.8630915!16s%2Fg%2F1tfkrk6z!19sChIJw17_t5wJnIgRyiYfFp8lj7A,J M Doors,5.0,103,Garage door supplier,,,,+1 228-238-9305,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipOsGkViMT-tXkwfuvrViYM8HmuNTAQsubcY-MTO=w408-h306-k-no,true,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2025-11-07T23:02:52.176Z,,,,
https://www.google.com/maps/place/Top+Hat+Fireplace+Store/data=!4m7!3m6!1s0x889c15f183591f31:0xae85cddcb86d9e0!8m2!3d30.4492642!4d-89.0867859!16s%2Fg%2F1tf6bv0j!19sChIJMR9Zg_EVnIgR4NmGy91c6Ao,Top Hat Fireplace Store,3.3,35,Fireplace store,"15005 Dedeaux Rd, Gulfport, MS 39503, United States","CWX7+P7 Gulfport, Mississippi, USA",https://www.tophatfireplaces.com/,+1 228-832-7648,,https://lh3.googleusercontent.com/p/AF1QipP7WEaD3RdCDAxDE4t7HtLLNlGUJmH0v2B_29UL=w408-h273-k-no,true,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2025-11-07T23:02:56.821Z,· In-store pick-up · Delivery,,,
