placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned,error,attributes
https://www.google.com/maps/place/Psychiatric+Wellness+Center/data=!4m7!3m6!1s0x80ea43cb87038e4f:0xc17d4789619e90f3!8m2!3d35.3666045!4d-119.0958966!16s%2Fg%2F11b6nmm2yq!19sChIJT44Dh8tD6oAR85CeYYlHfcE,Psychiatric Wellness Center,4.3,427,Mental health clinic,"8329 Brimhall Rd #804, Bakersfield, CA 93312, United States","9W83+JJ Bakersfield, California, USA",https://www.psychwellnesscenter.com/,+1 661-431-1555,Closes soon · 5:30 pm · Opens 8:30 am Tue,https://lh3.googleusercontent.com/p/AF1QipOC9Wxcd3KxffoI7OkrvF1KRwXeMFNrFSBxEd5V=w408-h271-k-no,true,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-12-16T00:39:31.086Z,,,,
https://www.google.com/maps/place/Mindpath+Health+Psychiatrists+%26+Therapists+-+Bakersfield/data=!4m7!3m6!1s0x80ea43ab34ff6043:0xc3aafa549124e18!8m2!3d35.3617337!4d-119.0602502!16s%2Fg%2F11tc2hmtvw!19sChIJQ2D_NKtD6oARGE4SSaWvOgw,Mindpath Health Psychiatrists & Therapists - Bakersfield,4.6,31,Mental health service,"5080 California Ave Suite 460, Bakersfield, CA 93309, United States","9W6Q+MV Bakersfield, California, USA",https://www.mindpath.com/locations/bakersfield/?pk_source=gmb&pk_medium=organic,+1 661-591-5005,Closes soon · 5 pm · Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipNoQwf6D6hEz4jS7zrq6a1o16J7WA2JxtonnREg=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-12-16T00:39:35.570Z,,,,
https://www.google.com/maps/place/Dr.+Ashhar+Bhurgri/data=!4m7!3m6!1s0x80ea43cb8704e393:0x6c4ea30529e8c84c!8m2!3d35.3667521!4d-119.0959514!16s%2Fg%2F11qgb7tp5r!19sChIJk-MEh8tD6oARTMjoKQWjTmw,Dr. Ashhar Bhurgri,5.0,59,Psychiatrist,"8329 Brimhall Rd #804, Bakersfield, CA 93312, United States","9W83+PJ Bakersfield, California, USA",https://psychwellnesscenter.com/psychiatry/,+1 661-431-1555,"Open · Closes 7 pm

Updated by others 8 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PLsQlyqSiA7nPdT8yCDOGQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=303.36063&pitch=0&thumbfov=100,false,8:30 am–7 pm,8:30 am–7 pm,8:30 am–7 pm,8:30 am–7 pm,8:30 am–7 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-12-16T00:39:40.386Z,,,,
https://www.google.com/maps/place/Ascension+Center/data=!4m7!3m6!1s0x80ea6a15905e648b:0xe5fad04cf4684815!8m2!3d35.3380255!4d-119.0635843!16s%2Fg%2F11b73qb4m4!19sChIJi2RekBVq6oARFUho9EzQ-uU,Ascension Center,4.9,262,Mental health service,"5500 Ming Ave Suite 485, Bakersfield, CA 93309, United States","8WQP+6H Bakersfield, California, USA",,+1 661-869-1074,Open · Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz_cEFqtSdfc9XuEm5TB4pVrL31aTov6QBU3Y6mcx8sItqTLHOTJUaKZmDpwPotEH2jBIzQqAh24o7VBpe5xxQ-MNgfmQ_cIZ2cTTTgw0myR4nG_dL_ypzD31dRTWwa-jW6DykG=w408-h543-k-no,true,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–2 pm,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-12-16T00:39:45.063Z,,,,
https://www.google.com/maps/place/Aspire+Behavioral+Health/data=!4m7!3m6!1s0x80ea69449e407bf1:0xffc222e536b879e8!8m2!3d35.3665315!4d-119.0948078!16s%2Fg%2F11fd_m60tp!19sChIJ8XtAnkRp6oAR6Hm4NuUiwv8,Aspire Behavioral Health,4.5,28,Mental health service,"8307 Brimhall Rd Ste 1705, Bakersfield, CA 93312, United States","9W84+J3 Bakersfield, California, USA",https://www.aspirecounselingservice.com/behavioral-health-services/,+1 888-585-7373,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipP_UpK5kJzh5KAGKyokbICSmcZxHksH0fePV8Z0=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-12-16T00:39:49.419Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Mary+K+Shell+Mental+Health+Center/data=!4m7!3m6!1s0x80ea6be25b9c4cad:0x7e9736cd3bd6d8ef!8m2!3d35.3825507!4d-118.9682269!16s%2Fg%2F11c1p7ls96!19sChIJrUycW-Jr6oAR79jWO802l34,Mary K Shell Mental Health Center,2.4,82,Mental health service,"2151 College Ave, Bakersfield, CA 93305, United States","92MJ+2P Bakersfield, California, USA",https://www.kernbhrs.org/,+1 661-868-8080,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e8fIV8TacpXuiZXymcmScA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=258.70728&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-12-16T00:39:53.969Z,,,,
https://www.google.com/maps/place/Arise+Psychiatric+Medical+Group/data=!4m7!3m6!1s0x80ea41c540678d2d:0x912b6aa75496ef08!8m2!3d35.341761!4d-119.1008307!16s%2Fg%2F11rg_4trrp!19sChIJLY1nQMVB6oARCO-WVKdqK5E,Arise Psychiatric Medical Group,3.2,25,Psychiatrist,"1500 Haggin Oaks Blvd #202, Bakersfield, CA 93311, United States","8VRX+PM Bakersfield, California, USA",https://www.arisepsychiatricmedicalgroup.com/,+1 661-735-3887,Open · Closes 6 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KgLhNW5_S82fVVsyFp7_eA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=40.582912&pitch=0&thumbfov=100,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-12-16T00:39:58.305Z,,,,
https://www.google.com/maps/place/Sunshine+Behavioral+Health+Services/data=!4m7!3m6!1s0x80ea69434216ecf5:0x248c2ef1fb4d16b5!8m2!3d35.3409239!4d-119.0545864!16s%2Fg%2F11p0wnfx7r!19sChIJ9ewWQkNp6oARtRZN-_EujCQ,Sunshine Behavioral Health Services,4.0,25,Mental health clinic,"4664 American Ave Suite B, Bakersfield, CA 93309, United States","8WRW+95 Bakersfield, California, USA",http://www.sunshinebhs.com/,+1 661-800-9155,Closes soon · 5 pm · Opens 9 am Tue,https://lh3.googleusercontent.com/p/AF1QipOIc-Vl7TKFvhHXxsVpHpok7-k5Ux2ik3c8HXUz=w408-h537-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-12-16T00:40:02.822Z,,,,
https://www.google.com/maps/place/Kern+County+Mental+Health+Services/data=!4m7!3m6!1s0x80ea6eabba40ef93:0xeb5d2d3947da7a76!8m2!3d35.3932598!4d-118.9487417!16s%2Fg%2F1tdg_ly6!19sChIJk-9Auqtu6oARdnraRzktXes,Kern County Mental Health Services,2.6,5,Public health department,"2621 Oswell St Ste 119, Bakersfield, CA 93306, United States","93V2+8G Bakersfield, California, USA",https://www.kernbhrs.org/,+1 661-868-6750,Closes soon · 5 pm · Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=phx5LtSYlsVMT-fjWOkWdA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=111.995735&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-12-16T00:40:07.265Z,,,,
https://www.google.com/maps/place/Kern+County+Mental+Health/data=!4m7!3m6!1s0x80ea6be251d27995:0xcae3a5f0dd2a8b99!8m2!3d35.3825985!4d-118.9681283!16s%2Fg%2F1tfd78v0!19sChIJlXnSUeJr6oARmYsq3fCl48o,Kern County Mental Health,2.9,13,Mental health clinic,"2151 College Ave, Bakersfield, CA 93305, United States","92MJ+2P Bakersfield, California, USA",https://www.kernbhrs.org/,+1 661-868-8080,Closes soon · 5 pm · Opens 8 am Tue,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzHQyECp_L-yUT-QT_cpSnPD-ZUt97V65X_EpsmvN5EXIZ2s27O1q5mLACB8M0hQovykfiHW_uhZgs7yRZLY-7vKxy9aMV92L_BJrrymPJ5ckPiiFC4txF7h-XiEmMSKLlx8Ii_uw=w408-h680-k-no,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Psychiatry+clinics+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-12-16T00:40:11.701Z,,,,
