placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,info
https://www.google.com/maps/place/Generator+Supercenter+of+Waco/data=!4m7!3m6!1s0x864f81470c461eeb:0xd527ef0b776a4491!8m2!3d31.5042954!4d-97.1458886!16s%2Fg%2F11vh_b9tbc!19sChIJ6x5GDEeBT4YRkURqdwvvJ9U,Generator Supercenter of Waco,4.9,41,Electric generator shop,"2424 Creekview Dr. Suite 120, Waco, TX 76711, United States","GV33+PJ Waco, Texas, USA",https://generatorsupercenterofwaco.com/,+1 254-343-7500,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxkC78SDH4gzxozN1UUqzi92Vm3g8SECZ1s45gJ8Xq5w0spCucp_JF24WIFxrZ-XkVgtUIl4_7n5Lw0dTAOU6vQxg538DBAQazyf9RWw-WRFbQ3wyrWMuLWkCX-dzmEBBTKYURQEg=w408-h377-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2026-01-10T22:39:37.771Z,,
https://www.google.com/maps/place/Right+Now+Electric/data=!4m7!3m6!1s0x864f66af720c7f27:0x99c84289818d1b01!8m2!3d31.5479252!4d-97.1404612!16s%2Fg%2F11cpmw3kyq!19sChIJJ38Mcq9mT4YRARuNgYlCyJk,Right Now Electric,4.8,96,Electrician,"1507 Franklin Ave, Waco, TX 76701, United States","GVX5+5R Waco, Texas, USA",https://rightnow-electric.com/,+1 254-327-6477,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipNEUZd8tOA2H_TbAgxTQruHRsobo9-fMhncNbGt=w408-h544-k-no,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2026-01-10T22:39:43.647Z,,
https://www.google.com/maps/place/Lochridge+Priest+Home+Services/data=!4m7!3m6!1s0x864f83e99cbac5e7:0x4e73752a0cb086c0!8m2!3d31.5475426!4d-97.1361883!16s%2Fg%2F11w3s79fl7!19sChIJ58W6nOmDT4YRwIawDCp1c04,Lochridge Priest Home Services,4.9,2329,HVAC contractor,"401 S 13th St, Waco, TX 76706, United States","GVX7+2G Waco, Texas, USA",https://lochridgepriesthome.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*263*lochridge-waco,+1 254-545-2688,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOxftshAiymPW61xE9oFSwM2sZNHli91tj3J469=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2026-01-10T22:39:48.653Z,,
https://www.google.com/maps/place/Nemmer+Electric+and+Datacom/data=!4m7!3m6!1s0x864f83c9df1a212d:0x559093a02243b4b7!8m2!3d31.5430144!4d-97.1431501!16s%2Fg%2F1tdzx3wh!19sChIJLSEa38mDT4YRt7RDIqCTkFU,Nemmer Electric and Datacom,4.7,17,Electrician,"300 S 20th St, Waco, TX 76701, United States","GVV4+6P Waco, Texas, USA",http://www.neitx.com/,+1 254-756-2135,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNIBF4WjbvnKALPPHkAvqJDSrBlvU623fr8wAmB=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2026-01-10T22:39:53.714Z,,
https://www.google.com/maps/place/Lochridge-Priest/data=!4m7!3m6!1s0x864f82c8d2c81e5b:0xe616fbb5a8684378!8m2!3d31.6056941!4d-97.1171857!16s%2Fg%2F12642byvd!19sChIJWx7I0siCT4YReENoqLX7FuY,Lochridge-Priest,4.8,1401,HVAC contractor,"2901 Industrial Blvd E, Waco, TX 76705, United States","JV4M+74 Waco, Texas, USA",https://lochridgepriest.com/,+1 800-460-1562,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMrbOx_VGR-Va1aE-zeVqtnSlaSN_lmIq6iQUA0=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2026-01-10T22:39:59.078Z,,
https://www.google.com/maps/place/Diesel+Power+Supply+Company/data=!4m7!3m6!1s0x864f820db15bf089:0xf71958a072476022!8m2!3d31.540808!4d-97.1012581!16s%2Fg%2F1td00xd7!19sChIJifBbsQ2CT4YRImBHcqBYGfc,Diesel Power Supply Company,4.5,35,Diesel engine repair service,"2525 S University Parks Dr, Waco, TX 76706, United States","GVRX+8F Waco, Texas, USA",http://www.dieselpowersupply.com/,+1 254-753-1587,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipN-m-P78txpI9kxLSh0gx_-V0hFv55ZNfMjHdtP=w408-h307-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2026-01-10T22:40:04.124Z,,
https://www.google.com/maps/place/Mr.+Electric+of+Waco/data=!4m7!3m6!1s0x86457df631ec1c05:0x34738762e36b1f47!8m2!3d31.4257815!4d-97.1929111!16s%2Fg%2F1tf2sm9f!19sChIJBRzsMfZ9RYYRRx9r42KHczQ,Mr. Electric of Waco,4.9,341,Electrician,"927 Enterprise Blvd, Hewitt, TX 76643, United States","CRG4+8R Hewitt, Texas, USA",https://mrelectric.com/waco?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 254-304-7893,"Open 24 hours

Confirmed by this business 10 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNWblTyor5XXRTw3phILG5-Sk1K24jSMhcir98w=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2026-01-10T22:40:08.940Z,,
https://www.google.com/maps/place/Integrated+Power+Services+%28IPS%29+-+Waco/data=!4m7!3m6!1s0x864f815600c404e5:0xd4d52d2979879764!8m2!3d31.5178832!4d-97.1735322!16s%2Fg%2F1wh4g854!19sChIJ5QTEAFaBT4YRZJeHeSkt1dQ,Integrated Power Services (IPS) - Waco,4.4,12,Electric motor repair shop,"201 S Industrial Dr, Waco, TX 76710, United States","GR9G+5H Waco, Texas, USA",https://ips.us/location/waco-service-center/,+1 254-772-4710,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipMVPxVepewEib6u2-Z_jrl0ag_08GSIxQLrYzMy=w489-h240-k-no,true,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2026-01-10T22:40:13.842Z,,
https://www.google.com/maps/place/Bellmead+Starter+%26+Generator/data=!4m7!3m6!1s0x864f8297f02234c7:0xfd15002004ef5716!8m2!3d31.5896699!4d-97.1042722!16s%2Fg%2F1thvhbqk!19sChIJxzQi8JeCT4YRFlfvBCAAFf0,Bellmead Starter & Generator,4.9,7,Electrician,"915 Hogan Ln, Waco, TX 76705, United States","HVQW+V7 Waco, Texas, USA",,+1 254-799-5165,Closed · Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-v-bH5cKizFTWpTOcxRiqQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=32.34268&pitch=0&thumbfov=100,false,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2026-01-10T22:40:19.074Z,,
https://www.google.com/maps/place/Hensel+Electric+Inc/data=!4m7!3m6!1s0x864f83f8a22e26d1:0x488a70c3ca044959!8m2!3d31.5251175!4d-97.1786789!16s%2Fg%2F1tyt5s0v!19sChIJ0SYuoviDT4YRWUkEysNwikg,Hensel Electric Inc,4.5,23,Electrical installation service,"501 Towne Oaks Dr, Waco, TX 76710, United States","GRGC+2G Waco, Texas, USA",http://www.henselelectric.com/,,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw0sHveZBGNUTduT0XZirqyutxBQXV1jCh-YhW-MPYU6MGTKgnuo9A7unxMmcmh4flVYzoHE8YFe8Fdd9wimd6kZpun71b6IH_uuSvtRErtMWMNh9-JjLxkvZzqznj7VQXLKOs=w408-h544-k-no,true,Closed,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2026-01-10T22:40:24.080Z,,
