placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,isBlackOwned,error
https://www.google.com/maps/place/Elite+Restoration+Solutions/data=!4m7!3m6!1s0x662944a7ba0f428f:0xc1f56c8761369a39!8m2!3d39.454284!4d-87.4143853!16s%2Fg%2F11y91sp0p8!19sChIJj0IPuqdEKWYROZo2YYds9cE,Elite Restoration Solutions,5.0,12,Water damage restoration service,"255 Cruft St, Terre Haute, IN 47802, United States","FH3P+P6 Terre Haute, Indiana, USA",https://www.ersth.com/,+1 812-919-6500,Open 24 hours,Identifies as veteran-owned,https://lh3.googleusercontent.com/gps-cs-s/AHVAweocnFnj_cCpUQvhnRp0Fy4I5h67B_zEeDoAdtia_LUxRsF1mSWeF4Ysnbt7fncregygy6BsqKiItFXKN35EiY5f0hkiYSRgRj7Fe8ypdxFCVPIygRAS0lMmigE3BaIdAscE1-ID=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2026-03-23T04:06:17.904Z,,,
https://www.google.com/maps/place/PuroClean+of+Terre+Haute/data=!4m7!3m6!1s0x886d7b120e0cb7e5:0xd90819944012e652!8m2!3d39.4308071!4d-87.4258175!16s%2Fg%2F11j972fhpq!19sChIJ5bcMDhJ7bYgRUuYSQJQZCNk,PuroClean of Terre Haute,4.9,62,Water damage restoration service,"494 Honey Creek Dr, Terre Haute, IN 47802, United States","CHJF+8M Terre Haute, Indiana, USA",https://www.puroclean.com/terre-haute-in-puroclean-terre-haute,+1 812-514-8555,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerOT4P0G0So4-ilF-2mA9AkZQNYEV0VNp16HQaz-tnU-FQGdxdDacHGlpoPOyVAbIxo-l5WX_ZaX3zUQa-NjTaFWvlHomocyDS8td8GlFEreHkTlnVJtxyN-gP8gq8mD381itqhVA=w425-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2026-03-23T04:06:23.460Z,,,
https://www.google.com/maps/place/Jim+Davis+Steam+Carpet+Cleaning/data=!4m7!3m6!1s0x886d6f8a2e263e17:0x2ad32bfee2358b9f!8m2!3d39.4823871!4d-87.3793016!16s%2Fg%2F1tdl29gv!19sChIJFz4mLopvbYgRn4s14v4r0yo,Jim Davis Steam Carpet Cleaning,3.6,30,Carpet cleaning service,"1420 N 25th St, Terre Haute, IN 47803, United States","FJJC+X7 Terre Haute, Indiana, USA",,,"Open 24 hours

Confirmed by this business 6 weeks ago",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PveM0ORMPHa8PT-fglxkQw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=30.754148&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2026-03-23T04:06:28.772Z,,,
"https://www.google.com/maps/place/SERVPRO+of+Vigo+County+and+SERVPRO+of+Clay,+Parke,+Sullivan,+Vermillion+Counties/data=!4m7!3m6!1s0x886d6fbd75a8ffab:0x575fae9f05d5f6ff!8m2!3d39.4935021!4d-87.2707854!16s%2Fg%2F1v8j15jz!19sChIJq_-odb1vbYgR__bVBZ-uX1c","SERVPRO of Vigo County and SERVPRO of Clay, Parke, Sullivan, Vermillion Counties",4.9,120,Water damage restoration service,"9430 US-40, Terre Haute, IN 47803, United States","FPVH+CM Terre Haute, Indiana, USA",https://www.servpro.com/locations/in/servpro-of-vigo-county-and-servpro-of-clay-parke-sullivan-vermillion-counties?utm_medium=organic&utm_source=gbp,+1 812-242-9611,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq-R7fEHDSo5yaJUU4gJoUcvimTC6aHqoywQ-ij914mAGP-PGC8Q8_dtbqAyiwEOJ5w4nyW9rH0FA7OWGpF0bc_ShdzyWAvf3-47T1vFOSWrhPTB3GUXwFFOJm1IRbcCQo0IdQfvDNJJelL=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2026-03-23T04:06:33.622Z,,,
https://www.google.com/maps/place/Amerestore+Team/data=!4m7!3m6!1s0x886d6febc21c3703:0x5122414d37b02e5d!8m2!3d39.4129625!4d-87.3943719!16s%2Fg%2F11b5pjthy9!19sChIJAzccwutvbYgRXS6wN01BIlE,Amerestore Team,4.6,10,Water damage restoration service,"1430 E Springhill Dr, Terre Haute, IN 47802, United States","CJ74+57 Terre Haute, Indiana, USA",https://www.amerestore.com/,+1 800-672-1992,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepzsSQp3fYedp0CsU5snkeagoXtaEsXUWr_7h0xf8rfntgFli3-QUiKIhNNftjBbUp7wNnzzC-YhZPMJGESRehB06lCOcQmt6aDXdmYTNEwFkA2ysouC9afwQVF7nEr_uLmo-5l=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2026-03-23T04:06:38.517Z,,,
https://www.google.com/maps/place/Stanley+Steemer/data=!4m7!3m6!1s0x886d6547c4e036b9:0xb22fe9f6d9858ede!8m2!3d39.4683516!4d-87.3990738!16s%2Fg%2F1wf22ls4!19sChIJuTbgxEdlbYgR3o6F2fbpL7I,Stanley Steemer,3.3,62,Carpet cleaning service,"1203 Mulberry St, Terre Haute, IN 47807, United States","FJ92+89 Terre Haute, Indiana, USA",https://www.stanleysteemer.com/locations/IN/Terre-Haute/527,+1 812-232-5585,Closed · Opens 8 am,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerKop-Y1U44Sp_QMRfpykG1a3WgdFkq5cPRAx8Drj3a-YhnrwVeiUZi2IPjao5g3r9-ofpeNnV0HVfLgskQp65jmP3XfyjrdEuKJxdQIH3uHsma0HoOspK6U1SQ4k0mu2F1gKA=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2026-03-23T04:06:43.205Z,,,
https://www.google.com/maps/place/Real+Pro+Services/data=!4m7!3m6!1s0x886d75f194ac1425:0x806c3301e4d4b8f6!8m2!3d39.385261!4d-87.359852!16s%2Fg%2F11h72n3vz2!19sChIJJRSslPF1bYgR9rjU5AEzbIA,Real Pro Services,3.9,42,Painter,,,https://realproservices.co/,+1 812-249-2746,Closed · Opens 8 am,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoIfTGy-ivpzlze_YPk6U2FQCBhOoTGkbK7scgSc5UtpYC4Whsn2Qi4j1y2eT_eS43wnXjTuLhN2fqfaZgWXdJDlGi_xh0wqAExkaag3QeO3mvOh6iK7DT25dycZdGSrwF37v-t9A=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2026-03-23T04:06:47.940Z,,,
https://www.google.com/maps/place/ELROD+CONSTRUCTION+LLC/data=!4m7!3m6!1s0x886d7db4b3b3ebcb:0x892cf2cca79da73b!8m2!3d39.4528763!4d-87.4743619!16s%2Fg%2F11hz00bw0b!19sChIJy-uzs7R9bYgRO6edp8zyLIk,ELROD CONSTRUCTION LLC,5.0,4,Roofing contractor,"1125 S Fremont Pl, West Terre Haute, IN 47885, United States","FG3G+57 West Terre Haute, Indiana, USA",,+1 812-553-4189,Closed · Opens 6:30 am,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqMK9in35K9OdDbubw77iDo5_2skZkQnblD872RW-w9paqVAPqIWL7OaafnFUMPja7lRK4DCeo7qFX7yWS-9WDc1ibYULRAJpQZgOVNIi7nw0ml7be0dB4Ag1A73ZhuA0xzpR9C=w408-h544-k-no,true,6:30 am–4:30 pm,6:30 am–4:30 pm,6:30 am–6:30 pm,6:30 am–4:30 pm,7:30 am–3:30 pm,7:30 am–7:30 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2026-03-23T04:06:52.735Z,,,
https://www.google.com/maps/place/Rogers+Home+Improvement/data=!4m7!3m6!1s0x886d65a9aa684a65:0xe61c5687e0c56473!8m2!3d39.5142551!4d-87.398514!16s%2Fg%2F1td265jl!19sChIJZUpoqqllbYgRc2TF4IdWHOY,Rogers Home Improvement,4.4,101,Roofing contractor,"4200 N 13th St, Terre Haute, IN 47805, United States","GJ72+PH Terre Haute, Indiana, USA",https://www.rogershomeimprovements.com/,+1 812-238-0154,Closed · Opens 7:30 am,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepGjtNv0Qoz19vE89apu5twC-h6cv_4aNEUgSQDjOiJQm4pwggrkVmhXwGMCTMlu4wWsSZ-zC52CEHFoIbWSFUzQgbymCIN68AW-kgAjfFgQcLMKMcmTZedPNu4Rz_InwoVUVVr2zoBFEHh=w408-h544-k-no,true,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2026-03-23T04:06:57.710Z,,,
https://www.google.com/maps/place/FYP+Carpet+Cleaning+and+Air+Ducts/data=!4m7!3m6!1s0x886d7923a3c07ad1:0x8b109ef9c7da1892!8m2!3d39.462219!4d-87.4003353!16s%2Fg%2F11jxp19f18!19sChIJ0XrAoyN5bYgRkhjax_meEIs,FYP Carpet Cleaning and Air Ducts,5.0,428,Carpet cleaning service,"428 S 11th St Suite B, Terre Haute, IN 47807, United States","FH6X+VV Terre Haute, Indiana, USA",https://www.fypclean.com/,+1 812-230-9298,"Closed · Opens 8:30 am

Updated by this business 12 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer5SJBvdp1FlRtgr7E1GlHMNBj0_uA2heHwnmvIL5ZRhePGnFGOOE6os-rjqQVZ_NlA6Zdj6VGqLUfurT_Mlu8iLmH18K4gP_vzPjXtCxJhRwW9c8elEMeglgX72FroUNC8oyEBfg=w563-h240-k-no,true,8:30 am–7 pm,8:30 am–7 pm,8:30 am–7 pm,8:30 am–7 pm,8:30 am–7 pm,9 am–4 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Crawfordsville+Terra+Haute+IN/@39.4654441,-87.4139427,14z",2026-03-23T04:07:02.497Z,,,
