placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,isBlackOwned,error,attributes
https://www.google.com/maps/place/Anne+%26+Donald+McGraw+Center+for+Caring+of+Community+Hospice/data=!4m7!3m6!1s0x88e44a0cfc46f90d:0x3ed2ba6c91b1dabb!8m2!3d30.2567255!4d-81.4473852!16s%2Fg%2F1vxf__1p!19sChIJDflG_AxK5IgRu9qxkWy60j4,Anne & Donald McGraw Center for Caring of Community Hospice,3.9,35,Hospice,"4715 Worrall Wy, Jacksonville, FL 32224, United States","7H43+M2 Southside, Jacksonville, FL, USA",http://www.communityhospice.com/,+1 904-268-5200,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npqkfUEEVe4jsZnxGp6J468Mv64FMSwMjZT-AdyL_MAfWixCX7GP3_0S3n1SncSul9bomWFsA-z9iVmaxP3-DSEXVbcDRTx7mK9QzknuW3I_gBJaQShz75JowR3rbEl5qUKGFe3=w437-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-09-18T00:04:03.066Z,,,,
https://www.google.com/maps/place/Community+Hospice+Center+for+Caring+at+Baptist+Medical+Center+South/data=!4m7!3m6!1s0x88e5cdafd800b51b:0xd646e52896eccb1c!8m2!3d30.1382906!4d-81.5350556!16s%2Fg%2F11ll5xpg16!19sChIJG7UA2K_N5YgRHMvslijlRtY,Community Hospice Center for Caring at Baptist Medical Center South,4.2,5,Hospice,"14550 Old St Augustine Rd 7th Floor, Jacksonville, FL 32258, United States","4FQ7+8X Southside, Jacksonville, FL, USA",https://www.communityhospice.com/,+1 866-253-6681,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOI0kqWogWt8rr7pjdvTsHOEqPR6pePcqVKELVs=w408-h363-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-09-18T00:04:08.673Z,,,,
"https://www.google.com/maps/place/Haven+-+Jacksonville,+Florida/data=!4m7!3m6!1s0x88e5cbb03e074c0d:0x271bd10b895eea60!8m2!3d30.20076!4d-81.5717713!16s%2Fg%2F11fz9l49xk!19sChIJDUwHPrDL5YgRYOpeiQvRGyc","Haven - Jacksonville, Florida",1.8,5,Hospice,"9143 Philips Hwy Suite 480, Jacksonville, FL 32256, United States","6C2H+87 Baymeadows Center, Jacksonville, FL, USA",https://beyourhaven.org/,+1 904-733-9818,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNMQK4gYQcTotiM0Y9KWExIpA7wLidj_Mn_ElT9=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-09-18T00:04:14.106Z,,,,
https://www.google.com/maps/place/Hospice+of+Florida/data=!4m7!3m6!1s0x88e5b7daa5ab4337:0xc009049da436ef2c!8m2!3d30.3204993!4d-81.6742446!16s%2Fg%2F11y4p24sfy!19sChIJN0Orpdq35YgRLO82pJ0ECcA,Hospice of Florida,5.0,5,Hospice,"501 Riverside Ave #904, Jacksonville, FL 32202, United States","88CG+58 Downtown, Jacksonville, FL, USA",https://www.hospicefl.org/,+1 904-740-2310,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMw7HlJ6et-AtVR5U-Tn5a3MdLHiNztnE-Hg7ZN=w408-h280-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-09-18T00:04:19.176Z,,,,
https://www.google.com/maps/place/Community+Hospice+Earl+B.+Hadlow+Center+for+Caring/data=!4m7!3m6!1s0x88e5c97da5ecc8d7:0x4758412c6dd12127!8m2!3d30.2047552!4d-81.6052988!16s%2Fg%2F1ptxrxwt_!19sChIJ18jspX3J5YgRJyHRbSxBWEc,Community Hospice Earl B. Hadlow Center for Caring,4.2,12,Hospice,"4266 Sunbeam Rd, Jacksonville, FL 32257, United States","693V+WV Sunbeam, Jacksonville, FL, USA",http://www.communityhospice.com/,+1 904-268-5200,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNVjAZXgfKl7_HIbSRxWSswlEWOWzHKvY2BFiDc=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-09-18T00:04:24.274Z,,,,
https://www.google.com/maps/place/Community+Hospice+%26+Palliative+Care/data=!4m7!3m6!1s0x88e5c9e346d1cf57:0x5784889ab27d9656!8m2!3d30.2044635!4d-81.60543!16s%2Fg%2F11cm7x2961!19sChIJV8_RRuPJ5YgRVpZ9spqIhFc,Community Hospice & Palliative Care,3.8,23,Hospice,"4266 Sunbeam Rd, Jacksonville, FL 32257, United States","693V+QR Sunbeam, Jacksonville, FL, USA",https://www.communityhospice.com/,+1 904-268-5200,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPSkBYd3fj6hFh-EiZbX5R8iO-PUSRn_r2X43D5=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-09-18T00:04:29.275Z,,,,
https://www.google.com/maps/place/VITAS+Healthcare/data=!4m7!3m6!1s0x88e5cb0d368a14f7:0x1800a965cb58a4c2!8m2!3d30.1873089!4d-81.5508412!16s%2Fg%2F1262nx6p5!19sChIJ9xSKNg3L5YgRwqRYy2WpABg,VITAS Healthcare,3.2,18,Hospice,"7406 Fullerton St Ste 105, Jacksonville, FL 32256, United States","5CPX+WM Deercreek, Jacksonville, FL, USA",https://www.vitas.com/locations-search/jacksonville/jacksonville-hospice-office/?utm_source=google&utm_medium=locallisting&utm_content=VHC2001&y_source=1_ODcxOTMwMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 904-802-6800,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipM6RwS8P8FlKuawH20wct2LwkiMwovmgI5kb7XI=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-09-18T00:04:34.272Z,,,,
https://www.google.com/maps/place/Community+Hospice+Alice+and+T.+O%27Neal+Douglas+Center+for+Caring/data=!4m7!3m6!1s0x88e5b7f9283660eb:0xfb18c59d90844782!8m2!3d30.315687!4d-81.6637016!16s%2Fg%2F11fr169rhj!19sChIJ62A2KPm35YgRgkeEkJ3FGPs,Community Hospice Alice and T. O'Neal Douglas Center for Caring,4.3,6,Hospice,"800 Prudential Dr Fifth Floor, Jacksonville, FL 32207, United States","888P+7G Downtown, Jacksonville, FL, USA",https://www.communityhospice.com/,+1 904-268-5200,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipM1ewIZaBT2-6nmqkZU8jzULvYZkBS509v2Dexy=w408-h337-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-09-18T00:04:39.172Z,,,,
https://www.google.com/maps/place/Community+Palliative+Consultants/data=!4m7!3m6!1s0x88e5c98d45508ab5:0xc62af11c8b5da2d8!8m2!3d30.2054207!4d-81.6089756!16s%2Fg%2F11q310tq97!19sChIJtYpQRY3J5YgR2KJdixzxKsY,Community Palliative Consultants,3.0,1,Hospice,"4114 Sunbeam Rd STE 400, Jacksonville, FL 32257, United States","694R+5C Sunbeam, Jacksonville, FL, USA",https://www.communityhospice.com/services/palliative-care/,+1 904-268-5200,Closed ⋅ Opens 8:30 am Thu,https://lh3.googleusercontent.com/p/AF1QipNUyyuKzqPS2zAZA2sdAO1eRp3A-8sWlR0V4w8=w408-h306-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-09-18T00:04:44.121Z,,,,
https://www.google.com/maps/place/The+Foundation+of+Community+Hospice+%26+Palliative+Care/data=!4m7!3m6!1s0x88e5c97da5ecc8d7:0xa6dfc200021ae245!8m2!3d30.2042369!4d-81.6051559!16s%2Fg%2F1tnctqgn!19sChIJ18jspX3J5YgRReIaAgDC36Y,The Foundation of Community Hospice & Palliative Care,4.7,113,Foundation,"4266 Sunbeam Rd, Jacksonville, FL 32257, United States","693V+MW Sunbeam, Jacksonville, FL, USA",http://communityhospice.com/,+1 904-886-3883,Closed ⋅ Opens 8:30 am Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npVOqEIgozYLnIdgAGQCUvI8ed5MY84SZeUKbywUgFNH-Ss93v2ai2V77xLEw0PseAE1TZUJ2I1GipVfai4GZwlur0E_XG3KjVy2BsPb_ttHjCW4RpTztD_IVfCSSVKdtq3_aw7=w426-h240-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-09-18T00:04:49.216Z,,,,
