placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/Specialty+Infusion+Centers+-+Albany/data=!4m7!3m6!1s0x89de0b4d29dbe2b3:0xa85fe9213f78d939!8m2!3d42.6860862!4d-73.8122087!16s%2Fg%2F11kj02nskh!19sChIJs-LbKU0L3okROdl4PyHpX6g,Specialty Infusion Centers - Albany,4.6,5,Medical clinic,"1365 Washington Ave #102a, Albany, NY 12206, United States","M5PQ+C4 Albany, New York, USA",https://vivoinfusion.com/,+1 518-801-9075,"Closed ⋅ Opens 9 am Thu

Updated by this business 3 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UYePoiZBnSkBs2SxAp3sYA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=38.58883&pitch=0&thumbfov=100,true,Closed,Closed,Closed,Closed,9 am–6 pm,9 am–6 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-09-28T23:01:00.579Z,,,,
"https://www.google.com/maps/place/Capital+District+Advanced+Infusions/@42.7696008,-73.822387,17z/data=!3m1!4b1!4m6!3m5!1s0x89de0dacfd3c69d7:0x1390c718b805cc9b!8m2!3d42.7696008!4d-73.822387!16s%2Fg%2F11r67gdtr7",Capital District Advanced Infusions,4.6,11,Medical clinic,"1182 Troy-Schenectady Rd Suite 201, Latham, NY 12110, United States","Q59H+R2 Latham, New York, USA",https://www.capitaldistrictinfusions.com/,+1 518-649-8082,Closed ⋅ Opens 8 am Mon,,true,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-09-28T23:01:07.249Z,,,,
https://www.google.com/maps/place/Albany+Ketamine+Infusions/data=!4m7!3m6!1s0x89de0a5451456667:0xa354afb18c5cca99!8m2!3d42.7411209!4d-73.8442547!16s%2Fg%2F11gmxyjg9q!19sChIJZ2ZFUVQK3okRmcpcjLGvVKM,Albany Ketamine Infusions,4.6,95,Pain control clinic,"7 Wembley Ct, Albany, NY 12205, United States","P5R4+C7 Albany, New York, USA",https://albanyketamine.com/,+1 518-249-5700,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipOqs-9lfmZjbDLfIPnZW4BAC5C3uiUebsdHbjI=w426-h240-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-09-28T23:01:12.045Z,,,,
"https://www.google.com/maps/place/Northeast+Infusion+Therapy/@42.7581774,-73.7807176,17z/data=!3m1!4b1!4m6!3m5!1s0x89de0d201cbc41c1:0xac376277a18f546e!8m2!3d42.7581774!4d-73.7807176!16s%2Fg%2F11tjpgkbdb",Northeast Infusion Therapy,5.0,1,Medical Center,"767 Troy-Schenectady Rd Ste 3, Latham, NY 12110, United States","Q659+7P Latham, New York, USA",http://www.northeastinfusiontherapy.com/,+1 518-805-1108,Closed ⋅ Opens 7:30 am Mon,,true,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-09-28T23:01:19.879Z,,,,
https://www.google.com/maps/place/New+York+Oncology+Hematology+-+Albany+Cancer+Center+Suite+1/data=!4m7!3m6!1s0x89de0b0ef6d4a293:0x817e26253223806!8m2!3d42.6837497!4d-73.8031237!16s%2Fg%2F1tfv_4b6!19sChIJk6LU9g4L3okRBjgiU2LiFwg,New York Oncology Hematology - Albany Cancer Center Suite 1,4.5,277,Cancer treatment center,"400 Patroon Creek Blvd Suite 1, Albany, NY 12206, United States","M5MW+FQ Albany, New York, USA",https://newyorkoncology.com/locations-directions/nyoh-albany-cancer-center/?utm_campaign=business&utm_source=local-listings&utm_medium=google,+1 518-489-0044,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipO3UFhchYOU-OrmPlLFMOGfLh1yGPGUQOIzNLJr=w427-h240-k-no,true,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-09-28T23:01:24.397Z,,,,
"https://www.google.com/maps/place/KabaFusion+(formerly+Anthem+Health+Services)/@42.7160559,-73.8418436,17z/data=!3m1!4b1!4m6!3m5!1s0x89de73455a426c85:0x5294cb6f83b2cf06!8m2!3d42.7160559!4d-73.8418436!16s%2Fg%2F1txnqg58",KabaFusion (formerly Anthem Health Services),3.2,18,Home health care service,"12 Jupiter Ln Unit 6, Colonie, NY 12205, United States","P585+C7 Colonie, New York, USA",https://kabafusion.com/,+1 800-238-2247,Closed ⋅ Opens 8:30 am Mon,,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-09-28T23:01:32.815Z,,,,
https://www.google.com/maps/place/Albany+Regional+Cancer+Center/data=!4m7!3m6!1s0x89de0af23bea884d:0x2713840e31a991c1!8m2!3d42.6561817!4d-73.8034456!16s%2Fg%2F12645qr9m!19sChIJTYjqO_IK3okRwZGpMQ6EEyc,Albany Regional Cancer Center,5.0,1,Cancer treatment center,"317 S Manning Blvd # 330, Albany, NY 12208, United States","M54W+FJ Albany, New York, USA",,+1 518-489-2607,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qiB2H8MGaS3A0XQxTD3Nqw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=0.65261346&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-09-28T23:01:35.318Z,,,,
https://www.google.com/maps/place/Ascend+Wellness+MD/data=!4m7!3m6!1s0x89de0df996042493:0xa94fef3f574a7c9f!8m2!3d42.6514047!4d-73.7508532!16s%2Fg%2F11h0y9029l!19sChIJkyQElvkN3okRn3xKVz_vT6k,Ascend Wellness MD,4.9,35,Wellness center,"59 N Pearl St Suite #2, Albany, NY 12207, United States","M62X+HM Albany, New York, USA",https://www.ascendwellnessmd.com/,+1 518-286-6698,Closed ⋅ Opens 10 am Mon,https://lh3.googleusercontent.com/p/AF1QipMzydmtdMejuE4waF09ZufqbMAc21oqSotiKnsZ=w408-h272-k-no,true,Closed,10 am–3 pm,9:30 am–2:30 pm,11 am–7 pm,9:30 am–4:30 pm,9:30 am–2:30 pm,10 am–1 pm,"https://www.google.com/maps/search/Infusion+centers+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-09-28T23:01:39.960Z,Identifies as women-owned,,,
https://www.google.com/maps/place/Schweiger+Dermatology+Group+-+Altamont/data=!4m7!3m6!1s0x89de75541b9f8dd3:0x66c6a0dea6debdb1!8m2!3d42.7104022!4d-73.9261993!16s%2Fg%2F11ptwdcv1x!19sChIJ042fG1R13okRsb3ept6gxmY,Schweiger Dermatology Group - Altamont,4.9,664,Dermatologist,"2508, 2500 Western Ave and, Altamont, NY 12009, United States","P36F+5G Altamont, New York, USA",https://www.schweigerderm.com/location/new-york/altamont/,+1 518-690-0177,"Closed ⋅ Opens 7 am Mon

Updated by this business 2 weeks ago",https://lh3.googleusercontent.com/p/AF1QipM75pw5D6oHPTfBZl1tXTBnVUd-L7LBQN3HQhi5=w408-h251-k-no,true,Closed,7 am–7 pm,7 am–5:30 pm,7 am–7 pm,7 am–4:30 pm,7 am–4:30 pm,8 am–1 pm,"https://www.google.com/maps/search/Infusion+centers+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-09-28T23:01:44.627Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Rehabilitation+Support+Services+Inc/data=!4m7!3m6!1s0x89de76a652070e99:0xee24b76b16172bd!8m2!3d42.717513!4d-73.9387868!16s%2Fg%2F1tyzz_73!19sChIJmQ4HUqZ23okRvXJhsXZL4g4,Rehabilitation Support Services Inc,,,Mental health service,"5172 Western Ave, Altamont, NY 12009, United States","P396+2F Altamont, New York, USA",https://rehab.org/,+1 518-462-1094,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gpBbtj9iHhuoEm49KNJVSg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=195.347&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-09-28T23:01:47.194Z,,,,
