placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,sunday,monday,tuesday,wednesday,thursday,friday,saturday,info,isBlackOwned,error
https://www.google.com/maps/place/Family+Tax+Services/data=!4m7!3m6!1s0x89de790029314dc5:0x3c77ad4abf65587d!8m2!3d42.7017625!4d-74.0326837!16s%2Fg%2F11vq6sr9ct!19sChIJxU0xKQB53okRfVhlv0qtdzw,Family Tax Services,5.0,1,Tax preparation,"104 Maple Ave, Altamont, NY 12009, United States","PX28+PW Altamont, New York, USA",,+1 518-595-5134,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqm29K7DGNUR5Mdpl6p1zZATOJvj2Lj19h5YWpNfE0LUy2oELv-GkvhQe3d5Uuy4gj5yhUD2upp5giuWicypL6pFuCoJQM5B2uSqUVu-4eyU9tNkb8EAFKAz9SmMu-6-qdptg4=w408-h306-k-no,false,"https://www.google.com/maps/search/certified+public+accountant+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-10-19T15:14:21.488Z,,,,,,,,,,
"https://www.google.com/maps/place/Staff+Ciampino+%26+Company,+P.C.+%7C+CPAs+and+Advisors/data=!4m7!3m6!1s0x89de0b0707966ebb:0x5615de185ce88b72!8m2!3d42.6773765!4d-73.797319!16s%2Fg%2F1tjz4cf5!19sChIJu26WBwcL3okRcovoXBjeFVY","Staff Ciampino & Company, P.C. | CPAs and Advisors",4.8,20,Accountant,"10 Colvin Ave, Albany, NY 12206, United States","M6G3+X3 Albany, New York, USA",http://www.staffciampino.com/,+1 518-459-9205,Closed ⋅ Opens 8:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipMHIYaT-XMNz8ROBmCeifLxZBRMZFePz1lXBMFP=w408-h306-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-10-19T15:14:27.699Z,Closed,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,,,
"https://www.google.com/maps/place/Teal,+Becker+%26+Chiaramonte,+CPAs+P.C./data=!4m7!3m6!1s0x89de749883cc32c1:0x18085b06ece13544!8m2!3d42.7113385!4d-73.8657419!16s%2Fg%2F1v1vf5r8!19sChIJwTLMg5h03okRRDXh7AZbCBg","Teal, Becker & Chiaramonte, CPAs P.C.",4.4,5,Accounting firm,"Teal, Becker & Chiaramonte, 7 Washington Square, Albany, NY 12205, United States","P46M+GP Albany, New York, USA",http://www.tbccpa.com/,+1 518-456-6663,Closed ⋅ Opens 8:30 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nouXdYG7HX7mPDEUOdivYbe2iA--2S2vYgTl_nxiUb-i9W3-GTPa9SMzLKzDCt1AOMAovkWa-LmxCd1y4saX6cvX4Nx9W-DafVlYmQSvYV4Elrs-GrNr52KUJu8mxsnD5jihxEy=w408-h544-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-10-19T15:14:32.607Z,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,,,
"https://www.google.com/maps/place/Eric+Johnson,+CPA/data=!4m7!3m6!1s0x89de7334fbb1569f:0xcfad41bcbb472d76!8m2!3d42.7368193!4d-73.8446617!16s%2Fg%2F11b64f1h2v!19sChIJn1ax-zRz3okRdi1Hu7xBrc8","Eric Johnson, CPA",5.0,2,Certified public accountant,"421 New Karner Rd, Albany, NY 12205, United States","P5P4+P4 Albany, New York, USA",,+1 518-456-7412,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=B_6hooRhVFYd1kf43yw89Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=205.53362&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/certified+public+accountant+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-10-19T15:14:35.531Z,,,,,,,,,,
https://www.google.com/maps/place/T+M+Byxbee+Company+CPAs+NY+PC/data=!4m7!3m6!1s0x89de0c9953c8356d:0x5e42577159b9edbb!8m2!3d42.7155624!4d-73.8044893!16s%2Fg%2F1tdh4w88!19sChIJbTXIU5kM3okRu-25WXFXQl4,T M Byxbee Company CPAs NY PC,4.4,7,Certified public accountant,"18 Computer Dr E #101, Albany, NY 12205, United States","P58W+66 Albany, New York, USA",http://tmbyxbee.com/,+1 518-458-2213,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FF5rCOzbOY4l6c2LNlAqdg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=71.1425&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-10-19T15:14:40.491Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–1:30 pm,Closed,,,
https://www.google.com/maps/place/Clark+Tax+%26+Accounting+LLC/data=!4m7!3m6!1s0x89de6f9d80d4ace1:0x56a355e5bcda5ca!8m2!3d42.7700043!4d-73.757784!16s%2Fg%2F11p9tt2dy6!19sChIJ4azUgJ1v3okRyqXNW141agU,Clark Tax & Accounting LLC,4.9,236,Tax preparation service,"22 Century Hill Dr # 101, Latham, NY 12110, United States","Q6CR+2V Latham, New York, USA",https://clarktaxaccounting.com/,+1 518-288-8293,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ulpf667M_mjpvlzYfJB8Ow&cb_client=search.gws-prod.gps&w=408&h=240&yaw=288.9016&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-10-19T15:14:43.302Z,,,,,,,,Identifies as veteran-owned,true,
https://www.google.com/maps/place/CTC+Tax+Services+LLC/data=!4m7!3m6!1s0x89de0dffaf4f13d3:0x436ee1b32b760450!8m2!3d42.7169531!4d-73.8076135!16s%2Fg%2F11frljg2kz!19sChIJ0xNPr_8N3okRUAR2K7PhbkM,CTC Tax Services LLC,5.0,30,Tax preparation service,"125 Wolf Rd Suite 503-9, Colonie, NY 12205, United States","P58R+QX Colonie, New York, USA",http://ctctaxservices.com/,+1 518-301-1650,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqMIz4vCkxelqoYH4Sp70F8NqM9JtJTisQVo1BmL3ggZ6j3s3uWPw5XYIoIv09_nC9yTC2edld6CFOBjTSkbrmnM7G3XKeZnahx8i0fhZchZzcLFURwDS1TkpY6CxQgN5yA2j1y=w408-h256-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-10-19T15:14:46.521Z,,,,,,,,LGBTQ+ friendly,,
https://www.google.com/maps/place/Sommers+%26+Magilton+Inc.+Tax+Services/data=!4m7!3m6!1s0x89de74f194469de5:0x74a49af1452b34d9!8m2!3d42.6952174!4d-73.8788523!16s%2Fg%2F1tfzhs3k!19sChIJ5Z1GlPF03okR2TQrRfGapHQ,Sommers & Magilton Inc. Tax Services,5.0,3,Tax preparation service,"1971 Western Ave, Albany, NY 12203, United States","M4WC+3F Albany, New York, USA",http://smtaxes.com/,+1 518-869-2112,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noZlfdXWYuuQ1e-ULQSBQgsEX4ycURy6eRpeRepQLA7ssaMSwUGCAGXiyEYW1fJ0YFH8p2ZEtgEGJ1LePboO9iUNzyJ_ejdFzygPvtnNNGtYP9MZHZli2WION8MbkrGRuUgtbzN=w408-h306-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-10-19T15:14:51.477Z,Closed,9 am–5 pm,9 am–5 pm,9 am–6 pm,9 am–5 pm,9 am–5 pm,10 am–2 pm,,,
https://www.google.com/maps/place/TL+Roe+CPA/data=!4m7!3m6!1s0x89dde00ab6475ff5:0x247903d8abfdfb1f!8m2!3d42.619714!4d-73.8404432!16s%2Fg%2F1pycwn6vd!19sChIJ9V9Htgrg3YkRH_v9q9gDeSQ,TL Roe CPA,5.0,1,Certified public accountant,"449 Delaware Ave, Delmar, NY 12054, United States","J595+VR Delmar, Bethlehem, NY, USA",,+1 518-439-1517,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kmwj_dCr5ZM4TaFhhls_4A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=330.3843&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-10-19T15:14:54.458Z,,,,,,,,LGBTQ+ friendly,,
https://www.google.com/maps/place/QuickTaxnBooks.Com+-+Affordable+Individual+%26+Business+Bookkeeping+Accounting+Payroll+Tax+Preparation+Services/data=!4m7!3m6!1s0x89dde18d31239ab9:0x18d39fb36f383d5d!8m2!3d42.7067218!4d-73.8625812!16s%2Fg%2F11rklc_c7_!19sChIJuZojMY3h3YkRXT04b7Of0xg,QuickTaxnBooks.Com - Affordable Individual & Business Bookkeeping Accounting Payroll Tax Preparation Services,4.8,24,Tax preparation service,"292 Washington Ave Ext Suite #110, Albany, NY 12203, United States","P44P+MX Albany, New York, USA",https://quicktaxnbooks.com/,+1 518-250-9662,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOJ0p9ysrjHV5T-zYCGovM1cvIiXiQtcRMbCJJi=w426-h240-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2025-10-19T15:14:59.622Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,LGBTQ+ friendly,,
