placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,error,info,isBlackOwned
https://www.google.com/maps/place/Varicosity+Vein+Center/data=!4m7!3m6!1s0x88626ccc33cbb177:0x305ade4ed7cab173!8m2!3d34.6957207!4d-86.584818!16s%2Fg%2F11gg717vsy!19sChIJd7HLM8xsYogRc7HK107eWjA,Varicosity Vein Center,5.0,314,Vascular surgeon,"2010 Southpoint Park Circle #170, Huntsville, AL 35801, United States","MCW8+73 Huntsville, Alabama, USA",https://varicosityveincenter.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=huntsville,+1 256-258-9940,Closes soon · 5 pm · Opens 7 am Wed,https://lh3.googleusercontent.com/p/AF1QipP6N0AlPKiBa_Jem2PMPUJZVvpLOkH2wyKXuhYC=w408-h408-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,8 am–12 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-12-16T22:14:17.113Z,,,
https://www.google.com/maps/place/Crestwood+Vein+Center+-+Huntsville/data=!4m7!3m6!1s0x8862132fc72c7b07:0xdf6486b4b12a879d!8m2!3d34.6945046!4d-86.570197!16s%2Fg%2F11b6xgmm57!19sChIJB3ssxy8TYogRnYcqsbSGZN8,Crestwood Vein Center - Huntsville,2.0,6,Medical clinic,"185 Whitesport Dr SW STE 2, Huntsville, AL 35801, United States","MCVH+RW Huntsville, Alabama, USA",https://www.crestwoodmedcenter.com/vein-care-center?utm_source=gmb&utm_medium=homepage&utm_campaign=biz-listings,+1 256-429-5346,Closes soon · 4:30 pm · Opens 7 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwyxUysUyHXtjU4IA0WWMfqkU866RCUtg_KgTzeTzZfMjNDqk58tSwrBIDQnhvs1tOk9-NfhWsdkU83rl3Frk8Jdc7rKhtfkSi-NDkUah9VT4Dgsen29JbzoXqcQufMPBpw_OJriQ=w408-h306-k-no,true,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,Closed,Closed,7 am–4:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-12-16T22:14:22.530Z,,,
https://www.google.com/maps/place/Madison+Hospital+Vein+Center/data=!4m7!3m6!1s0x8862666c87231cc7:0xf61f52bca255f966!8m2!3d34.7488907!4d-86.763493!16s%2Fg%2F12hl5zrlg!19sChIJxxwjh2xmYogRZvlVorxSH_Y,Madison Hospital Vein Center,4.7,53,Specialized clinic,"8371 Hwy 72 W Suite 100, Madison, AL 35758, United States","P6XP+HJ Madison, Alabama, USA",http://www.madisonalhospital.org/services/vein-center,+1 256-817-8346,Closes soon · 4:30 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipOPhaOMAUe0YFJTsRTgM_x7xXv2Yy0ZgiJ9Ebc=w426-h240-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-12-16T22:14:28.022Z,,,
"https://www.google.com/maps/place/Huntsville+Hospital+Iliac+Vein+Compression+Services/@34.7207705,-86.5784764,17z/data=!3m1!4b1!4m6!3m5!1s0x8862138374cd6ea3:0xc1572ccb05d96c96!8m2!3d34.7207705!4d-86.5784764!16s%2Fg%2F11sqqclqjr",Huntsville Hospital Iliac Vein Compression Services,,,Specialized clinic,"930 Franklin St SE, Huntsville, AL 35801, United States","PCCC+8J Huntsville, Alabama, USA",https://www.theheartcenter.md/services/vein,+1 256-801-6911,Closes soon · 4:30 pm · Opens 7:30 am Wed,,true,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,Closed,Closed,7:30 am–4:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-12-16T22:14:34.606Z,,,
https://www.google.com/maps/place/Valley+Vein+%26+Cosmetics/data=!4m7!3m6!1s0x88621333270177c1:0x6e07b9d3ec221887!8m2!3d34.6960329!4d-86.5796388!16s%2Fg%2F1tqclyvb!19sChIJwXcBJzMTYogRhxgi7NO5B24,Valley Vein & Cosmetics,,,Surgical center,"Saint Fennell Building, 4000 Balmoral Dr SW UNIT 101, Huntsville, AL 35801, United States","MCWC+C4 Huntsville, Alabama, USA",,+1 256-881-0020,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UgJamxGjQD5PJkcn0PWWSw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=137.83258&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-12-16T22:14:37.753Z,,,
https://www.google.com/maps/place/Varicosity+Vein+Center/data=!4m7!3m6!1s0x886267e5164f7189:0x45f38ea54ecd256!8m2!3d34.7457549!4d-86.7668671!16s%2Fg%2F11ldlj93t8!19sChIJiXFPFuVnYogRVtLsVOo4XwQ,Varicosity Vein Center,4.9,118,Vascular surgeon,"1041 Balch Rd Suite 375, Madison, AL 35758, United States","P6WM+87 Madison, Alabama, USA",https://varicosityveincenter.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=madison,+1 256-258-9940,Closes soon · 5 pm · Opens 7 am Wed,https://lh3.googleusercontent.com/p/AF1QipN9md6hWS06KRHZbmhW22fAG7loMBLssn_f6maO=w408-h272-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,Closed,7 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-12-16T22:14:42.952Z,,,
https://www.google.com/maps/place/Knott+Andrew+W+MD/data=!4m7!3m6!1s0x8862132fdf0b0883:0xaca0333854403184!8m2!3d34.720781!4d-86.5820624!16s%2Fg%2F1tm0tw_z!19sChIJgwgL3y8TYogRhDFAVDgzoKw,Knott Andrew W MD,4.5,19,Vascular surgeon,"201 Sivley Rd SW #530, Huntsville, AL 35801, United States","PCC9+85 Huntsville, Alabama, USA",,+1 256-265-7480,"Closes soon · 5 pm · Opens 7 am Wed

Updated by others 9 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZGFmHM5B2LVHeaDcpTzpjQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=136.49216&pitch=0&thumbfov=100,false,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–4 pm,Closed,Closed,7 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-12-16T22:14:48.743Z,,,
"https://www.google.com/maps/place/United+Vascular+of+Huntsville/@34.6958357,-86.5691806,17z/data=!3m1!4b1!4m6!3m5!1s0x886213f8a364911f:0x9751f7b95e9c8fdc!8m2!3d34.6958357!4d-86.5691806!16s%2Fg%2F11s7shdxgh",United Vascular of Huntsville,5.0,1,Surgical center,"4700 Whitesburg Dr, Huntsville, AL 35802, United States","MCWJ+88 Huntsville, Alabama, USA",https://www.unitedvascularhuntsville.com/?utm_source=gmb&utm_medium=homepage&utm_campaign=biz-listings,+1 256-692-5100,Closed · Opens 7 am Wed,,true,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,Closed,Closed,7 am–4 pm,"https://www.google.com/maps/search/vein+clinics+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-12-16T22:14:56.104Z,,,
"https://www.google.com/maps/place/Valley+Vascular+Consultants,+P.C./data=!4m7!3m6!1s0x88626cac9e56accb:0xe35d5be794ad19ab!8m2!3d34.7207169!4d-86.5815174!16s%2Fg%2F11c38jmk4d!19sChIJy6xWnqxsYogRqxmtlOdbXeM","Valley Vascular Consultants, P.C.",2.8,29,Medical clinic,"201 Sivley Rd SW #530, Huntsville, AL 35801, United States","PCC9+79 Huntsville, Alabama, USA",https://valleyvascular.net/,+1 256-265-7480,"Closed · Opens 7 am Wed

Updated by others 5 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZGFmHM5B2LVHeaDcpTzpjQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=114.532875&pitch=0&thumbfov=100,true,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,Closed,Closed,7 am–4 pm,"https://www.google.com/maps/search/vein+clinics+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-12-16T22:15:01.051Z,,,
https://www.google.com/maps/place/Varicose+Veins+Etcetera/data=!4m7!3m6!1s0x8862132fe28bb70f:0xe3b60c471f833707!8m2!3d34.6932857!4d-86.5710006!16s%2Fg%2F1tf_j41h!19sChIJD7eL4i8TYogRBzeDH0cMtuM,Varicose Veins Etcetera,,,Doctor,"333 Whitesport Cir SW UNIT 204, Huntsville, AL 35801, United States","MCVH+8H Huntsville, Alabama, USA",,+1 256-880-8346,Temporarily closed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aF7k3Ia1xKo8mKDJPhV8xA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=274.81757&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-12-16T22:15:05.826Z,,,
https://www.google.com/maps/place/Varicose+Vein+Center/data=!4m7!3m6!1s0x88626cb1195cddf9:0x8bca4e77aa76474c!8m2!3d34.7120094!4d-86.5878401!16s%2Fg%2F1tqtyl_4!19sChIJ-d1cGbFsYogRTEd2qndOyos,Varicose Vein Center,,,Surgical center,"900 Bob Wallace Ave SW # 114, Huntsville, AL 35801, United States","PC66+RV Huntsville, Alabama, USA",,+1 256-883-8222,Temporarily closed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ko0jhCXSMi1dEQAlS6tYHQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=82.14953&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-12-16T22:15:10.841Z,,,
https://www.google.com/maps/place/Advanced+Life+Clinic/data=!4m7!3m6!1s0x8862132d64c1f997:0xf0abb77c3e44e56!8m2!3d34.6900904!4d-86.5744896!16s%2Fg%2F1tj_5zf8!19sChIJl_nBZC0TYogRVk7kw3e7Cg8,Advanced Life Clinic,4.9,827,Medical spa,"115 Queensbury Dr SW, Huntsville, AL 35802, United States","MCRG+26 Huntsville, Alabama, USA",https://advancedlifeclinic.com/?utm_source=gmb&utm_medium=organic,+1 256-882-6555,"Closes soon · 5 pm · Opens 8:30 am Wed

Updated by others 11 weeks ago",https://lh3.googleusercontent.com/p/AF1QipN4Vj8gJRuTbsKSbh3nauAORNrIHWrpvQ4bOm1P=w408-h611-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/vein+clinics+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-12-16T22:15:16.267Z,,,
https://www.google.com/maps/place/Vibrant+Hydration+%26+Wellness/data=!4m7!3m6!1s0x88626d61c9f4ee8f:0x7ee1d20340da9403!8m2!3d34.7097009!4d-86.5878427!16s%2Fg%2F11h7nz41kt!19sChIJj-70yWFtYogRA5TaQAPS4X4,Vibrant Hydration & Wellness,4.8,218,Health spa,"812 Regal Dr SW, Huntsville, AL 35801, United States","PC56+VV Huntsville, Alabama, USA",http://vibranthuntsville.com/,+1 256-964-8177,Closes soon · 5 pm · Opens 10 am Wed,https://lh3.googleusercontent.com/p/AF1QipNuTPMXG590UyGqSuemZ0C231xoHHyfZxNtTTLu=w408-h294-k-no,true,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,9 am–5 pm,Closed,10 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-12-16T22:15:21.276Z,,,
https://www.google.com/maps/place/Crestwood+Medical+Center/data=!4m7!3m6!1s0x886213304bd2bae9:0xac6f6b327b0df94f!8m2!3d34.693382!4d-86.572518!16s%2Fm%2F04g39xq!19sChIJ6brSSzATYogRT_kNezJrb6w,Crestwood Medical Center,4.6,10979,Hospital,"1 Hospital Drive Southwest, Huntsville, AL 35801, United States","MCVG+9X Huntsville, Alabama, USA",https://www.crestwoodmedcenter.com/?utm_source=gmb&utm_medium=homepage&utm_campaign=biz-listings,+1 256-429-4000,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzFMwIBTuz0utE2FpVspW018TI63auREBNkKgVHPZGxDkxNQP7xUT_fxlKyTqp6bk-lXQNhoNrs0b8qBfiTCwJJavuxo0b_zkmi06gtforSHl-zlgD6ZRqTMmyPSgluoDkflVQ=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/vein+clinics+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-12-16T22:15:26.474Z,,,
https://www.google.com/maps/place/Huntsville+Hospital+Spine+%26+Neuro+Center/data=!4m7!3m6!1s0x88626cacb071fcd3:0x878ea76c7c3ef289!8m2!3d34.7192175!4d-86.581551!16s%2Fg%2F1wfvncqx!19sChIJ0_xxsKxsYogRifI-fGynjoc,Huntsville Hospital Spine & Neuro Center,4.7,2366,Neurosurgeon,"201 Governors Dr SW First Floor, Huntsville, AL 35801, United States","PC99+M9 Huntsville, Alabama, USA",https://spineandneuro.org/,+1 256-533-1600,Closed · Opens 7 am Wed,https://lh3.googleusercontent.com/p/AF1QipPjQrnc_KBZ5kz1MOSCZ93xcUxx2r1dR4JRwk82=w408-h614-k-no,true,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,Closed,Closed,7 am–3:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-12-16T22:15:31.607Z,,,
