placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,info,attributes,isBlackOwned
https://www.google.com/maps/place/Inrush+Electric+LLC/data=!4m7!3m6!1s0x53545fc1c7564733:0x5a9382d32a5a7c2d!8m2!3d43.4905349!4d-111.9954!16s%2Fg%2F11mn374lsq!19sChIJM0dWx8FfVFMRLXxaKtOCk1o,Inrush Electric LLC,4.9,154,Electrician,"777 Hoopes Ave, Idaho Falls, ID 83401, United States","F2R3+6R Idaho Falls, Idaho, USA",https://www.facebook.com/inrushelectricllc/,+1 208-270-1055,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNuHAdyoCPagj0xnMWAr8xB18_Qv8F17iUG84Gb=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Idaho+Falls+ID+ID/@43.4926602,-112.0407506,14z",2026-01-10T22:54:17.533Z,,,
"https://www.google.com/maps/place/Wheeler+Electric,+Inc./data=!4m7!3m6!1s0x5354593f5713427f:0x499320e1350b0e50!8m2!3d43.483478!4d-112.0427526!16s%2Fg%2F1tvtb04r!19sChIJf0ITVz9ZVFMRUA4LNeEgk0k","Wheeler Electric, Inc.",4.7,89,Electrician,"469 W 16th St, Idaho Falls, ID 83402, United States","FXM4+9V Idaho Falls, Idaho, USA",https://www.wheelerelectric.com/,+1 208-522-1906,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMDh8mGn9moVjnr6uIsJLTVE8fCfJKD78Z8MriE=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Idaho+Falls+ID+ID/@43.4926602,-112.0407506,14z",2026-01-10T22:54:23.549Z,,,
https://www.google.com/maps/place/Sermon+Service+%26+Electric/data=!4m7!3m6!1s0x53545c20ef5aa703:0xadec991f8fba4e53!8m2!3d43.5012063!4d-112.02735!16s%2Fg%2F1tf47tsd!19sChIJA6da7yBcVFMRU066jx-Z7K0,Sermon Service & Electric,4.4,106,HVAC contractor,"340 May St, Idaho Falls, ID 83401, United States","GX2F+F3 Idaho Falls, Idaho, USA",https://sermonserviceandelectric.com/,+1 855-652-4545,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipN6y7chbd07LnQP4I3bKtnQOPW5xFVi0DNgfOTU=w408-h407-k-no,true,Closed,Closed,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Idaho+Falls+ID+ID/@43.4926602,-112.0407506,14z",2026-01-10T22:54:28.476Z,,,
https://www.google.com/maps/place/Hale+Electric/data=!4m7!3m6!1s0x53545b55cdadb80f:0xb97644c246250331!8m2!3d43.7220886!4d-111.9776915!16s%2Fg%2F11vyx2r485!19sChIJD7itzVVbVFMRMQMlRsJEdrk,Hale Electric,4.9,55,Solar energy company,,,https://haleelectricllc.com/residential-solar/,+1 208-227-3895,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNYEfd3K0WDM6QBnmJ0HitTsZmZpD0VVPNA9FUr=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Idaho+Falls+ID+ID/@43.4926602,-112.0407506,14z",2026-01-10T22:54:33.369Z,,,
https://www.google.com/maps/place/Arco+Electric+-+Idaho+Falls+Electricians/data=!4m7!3m6!1s0x535459170f175641:0xc56326a0e0fd2ab5!8m2!3d43.4751472!4d-112.0463579!16s%2Fg%2F1tt0qsyc!19sChIJQVYXDxdZVFMRtSr94KAmY8U,Arco Electric - Idaho Falls Electricians,4.7,31,Electrician,"625 W 25th St, Idaho Falls, ID 83402, United States","FXG3+3F Idaho Falls, Idaho, USA",https://arcoelectricidaho.com/,+1 208-522-2185,Closed · Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AnU_Bw5ok5GrUsBz0FseFw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=263.06564&pitch=0&thumbfov=100,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Idaho+Falls+ID+ID/@43.4926602,-112.0407506,14z",2026-01-10T22:54:38.232Z,,,
https://www.google.com/maps/place/First+Call+Jewel+Heating+Cooling+Plumbing+%26+Electrical/data=!4m7!3m6!1s0x53545e9ddec20e1d:0x13cfc804b67d0247!8m2!3d43.5065777!4d-112.0026!16s%2Fg%2F1tvw4lnd!19sChIJHQ7C3p1eVFMRRwJ9tgTIzxM,First Call Jewel Heating Cooling Plumbing & Electrical,4.8,2473,HVAC contractor,"1255 Chaffin Ln, Idaho Falls, ID 83401, United States","GX4W+JX Idaho Falls, Idaho, USA",https://firstcalljewel.com/,+1 208-522-7777,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOi7s-FVcNZrcuBqFGBI7wKyEa5niNvJnHOcqpa=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Idaho+Falls+ID+ID/@43.4926602,-112.0407506,14z",2026-01-10T22:54:43.371Z,,,
"https://www.google.com/maps/place/Young+Electric,+Heating+%26+Air/data=!4m7!3m6!1s0x53545e9c4860758b:0x4996e6f9a20f7e9!8m2!3d43.467655!4d-112.061005!16s%2Fg%2F1tvq3st3!19sChIJi3VgSJxeVFMR6fcgmm9umQQ","Young Electric, Heating & Air",3.9,22,Electrician,"1573 W Sunnyside Rd, Idaho Falls, ID 83402, United States","FW9Q+3H Idaho Falls, Idaho, USA",,+1 208-357-1899,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPbd8d_jmcpvg8n1WqA7HIARhIDgnI51Knzh2_p=w503-h240-k-no,true,9 am–5 pm,9 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Idaho+Falls+ID+ID/@43.4926602,-112.0407506,14z",2026-01-10T22:54:48.215Z,,,
https://www.google.com/maps/place/Sunlight+Electric/data=!4m7!3m6!1s0x6bdd80d31d2f391b:0x2058d0af992b5016!8m2!3d43.5223155!4d-111.999586!16s%2Fg%2F11rws8mbwd!19sChIJGzkvHdOA3WsRFlArma_QWCA,Sunlight Electric,5.0,152,Electrician,"1710 Piper St Suite P, Idaho Falls, ID 83401, United States","G2C2+W5 Idaho Falls, Idaho, USA",http://www.sunlight-electric.com/,+1 208-206-7819,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipPSCJW4ITXHjESloCMaFM0tLKjt2IkenyQCEGXI=w546-h240-k-no,true,Closed,Closed,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,"https://www.google.com/maps/search/generator+installation+services+in+Idaho+Falls+ID+ID/@43.4926602,-112.0407506,14z",2026-01-10T22:54:53.234Z,,,
https://www.google.com/maps/place/Orange+Electric+LLC/data=!4m7!3m6!1s0x53545e894be40001:0xf0f151e1a94732ed!8m2!3d43.5009615!4d-111.9851751!16s%2Fg%2F11g0k1ptwh!19sChIJAQDkS4leVFMR7TJHqeFR8fA,Orange Electric LLC,4.9,35,Contractor,"587 Reagan Ave, Idaho Falls, ID 83401, United States","G227+9W Idaho Falls, Idaho, USA",http://orangeelectricllc.com/contact/,+1 208-740-9501,Closed · Opens 7:30 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=egZhISsPrERQ4rOmCD47Yg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=276.95255&pitch=0&thumbfov=100,true,Closed,Closed,7:30 am–5:30 am,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,"https://www.google.com/maps/search/generator+installation+services+in+Idaho+Falls+ID+ID/@43.4926602,-112.0407506,14z",2026-01-10T22:54:58.223Z,,,
https://www.google.com/maps/place/AdvantaServ/data=!4m7!3m6!1s0x53545d5bc97d2d87:0x3ee30335a38308f7!8m2!3d43.5206765!4d-111.9845674!16s%2Fg%2F11xctnsmpv!19sChIJhy19yVtdVFMR9wiDozUD4z4,AdvantaServ,4.9,72,HVAC contractor,"2695 25th E Suite 2, Idaho Falls, ID 83401, United States","G2C8+75 Idaho Falls, Idaho, USA",https://www.advantaserv.com/,+1 208-932-9000,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPeH7bS9EYPDMOFpfd-E1l24r2oJVAG5n4YT80N=w596-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Idaho+Falls+ID+ID/@43.4926602,-112.0407506,14z",2026-01-10T22:55:03.259Z,,,
