placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,attributes
https://www.google.com/maps/place/Greenspan+Wellness+Center/data=!4m7!3m6!1s0x8859fed15ccbdfe3:0x258321447aa19cbc!8m2!3d35.6106491!4d-82.3379431!16s%2Fg%2F113j359cm!19sChIJ49_LXNH-WYgRvJyhekQhgyU,Greenspan Wellness Center,4.8,154,Wellness center,"3174 US-70 W, Black Mountain, NC 28711, United States","JM66+7R Black Mountain, North Carolina, USA",https://greenspanwellnesscenter.com/,+1 828-691-3551,"Closed ⋅ Opens 1 pm Sat

Confirmed by this business 3 weeks ago",https://lh3.googleusercontent.com/p/AF1QipM1ws2qB1gjO_jvCKXojZ8Akhej9xIbO2DTi2rx=w426-h240-k-no,true,Closed,Closed,Closed,Closed,Closed,Closed,1–3 pm,"https://www.google.com/maps/search/Infusion+centers+in+Black+Mountain+Asheville+NC/@35.6178951,-82.3212302,14z",2025-09-28T23:01:16.860Z,,
https://www.google.com/maps/place/Black+Mountain+Neuro+Medical+Treatment+Center/data=!4m7!3m6!1s0x8859f9bcab6abc5f:0x125a5389f04303bd!8m2!3d35.6132522!4d-82.3559428!16s%2Fg%2F1tfpkjm_!19sChIJX7xqq7z5WYgRvQND8IlTWhI,Black Mountain Neuro Medical Treatment Center,4.3,16,Medical clinic,"932 Old US Hwy 70, Black Mountain, NC 28711, United States","JJ7V+8J Black Mountain, North Carolina, USA",https://www.ncdhhs.gov/divisions/state-operated-healthcare-facilities/facilities/neuro-medical-treatment-centers,+1 828-259-6700,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrtQxffXhxAhnWL6kTa66YPICEdQj03wn3PilQYmvZ0Qdwa_ZdPlIrEczgNgTs5uL9pK5t2MXiVcu_Dj3InJmP5q2VbDiLjC_TnbMjhvONFlwe2JrgiCn-n_5jzgcBEkf6ZTOzMUw=w408-h306-k-no,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Infusion+centers+in+Black+Mountain+Asheville+NC/@35.6178951,-82.3212302,14z",2025-09-28T23:01:22.281Z,,
https://www.google.com/maps/place/Sacred+Being+Wellness+Studio/data=!4m7!3m6!1s0x8859f8dadfdb162b:0x426554979c80e771!8m2!3d35.6033583!4d-82.3180055!16s%2Fg%2F11c1rsjrpg!19sChIJKxbb39r4WYgRceeAnJdUZUI,Sacred Being Wellness Studio,5.0,31,Skin care clinic,"10 E Market St Suite D, Black Mountain, NC 28711, United States","JM3J+8Q Black Mountain, North Carolina, USA",http://www.sacredbeingwellnessstudio.com/,+1 347-731-8284,,https://lh3.googleusercontent.com/p/AF1QipM7kTqAlMxbK5zyhWtBiFXnmitpn9d6f4D74K2d=w408-h408-k-no,true,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Black+Mountain+Asheville+NC/@35.6178951,-82.3212302,14z",2025-09-28T23:01:25.505Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Wellspring+Direct+Primary+Care/data=!4m7!3m6!1s0x8859f99ddca51d9f:0xedef7c9da2409ced!8m2!3d35.6191555!4d-82.3210719!16s%2Fg%2F11n6q0f477!19sChIJnx2l3J35WYgR7ZxAop187-0,Wellspring Direct Primary Care,5.0,50,Medical clinic,"101 West St, Black Mountain, NC 28711, United States","JM9H+MH Black Mountain, North Carolina, USA",http://wellspringdpc.com/,+1 828-547-3266,Closed ⋅ Opens 8:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipOg77tj_3naLy--3tlxobhFmudMAW7PcL0vZSvb=w456-h240-k-no,true,Closed,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Black+Mountain+Asheville+NC/@35.6178951,-82.3212302,14z",2025-09-28T23:01:30.264Z,,
https://www.google.com/maps/place/Novant+Health-GoHealth+Urgent+Care/data=!4m7!3m6!1s0x8859f93e2fcd344b:0x8ecd51024395627f!8m2!3d35.6147864!4d-82.3184565!16s%2Fg%2F11jgj3xxfv!19sChIJSzTNLz75WYgRf2KVQwJRzY4,Novant Health-GoHealth Urgent Care,4.8,1030,Urgent care center,"201 NC-9, Black Mountain, NC 28711, United States","JM7J+WJ Black Mountain, North Carolina, USA",https://www.gohealthuc.com/novant/locations/black-mountain?utm_source=gmb&utm_medium=organic&utm_content=novant-blackmountain,+1 828-419-1035,Closes soon ⋅ 8 pm ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOYQFICbmIGf5V6Mr72dqQ-JHCdKX-yffonfnji=w408-h295-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/Infusion+centers+in+Black+Mountain+Asheville+NC/@35.6178951,-82.3212302,14z",2025-09-28T23:01:35.322Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Mountain+Ridge+Wellness+Center/data=!4m7!3m6!1s0x8859fed9a49e6bd5:0x729964abdbe8f7f2!8m2!3d35.621121!4d-82.2887631!16s%2Fg%2F1t_kh7hx!19sChIJ1WuepNn-WYgR8vfo26tkmXI,Mountain Ridge Wellness Center,4.1,25,Nursing home,"611 Old US Hwy 70 E, Black Mountain, NC 28711, United States","JPC6+CF Black Mountain, North Carolina, USA",https://mtnrhr.com/,+1 828-669-9991,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npSuA6g1vlHHS38aSTseJTSTTEi7LH_NY5e2JBvsQcBoThtuzFRQ8vsboQcHTfGxhck-HJSfa16ebfoxGLjw3oGthPRIy64wBJSLeKc1h9AzKW5bbNaiyKGJno80jDSONjYa7Ps=w408-h725-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Infusion+centers+in+Black+Mountain+Asheville+NC/@35.6178951,-82.3212302,14z",2025-09-28T23:01:40.306Z,,
https://www.google.com/maps/place/Rachman+Clinic:+Dr+Brad+Rachman/data=!4m7!3m6!1s0x8859f92259d3b8d3:0x4a932d0be331ec53!8m2!3d35.6189238!4d-82.3214387!16s%2Fg%2F12hv487m7!19sChIJ07jTWSL5WYgRU-wx4wstk0o,Rachman Clinic: Dr Brad Rachman,4.9,47,Medical clinic,"114 Montreat Rd, Black Mountain, NC 28711, United States","JM9H+HC Black Mountain, North Carolina, USA",https://rachmanclinic.com/,+1 828-333-5123,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMwJLvQolOUJZ0TKkw4TemswYwhkiIWznj0D3pc=w426-h240-k-no,true,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Black+Mountain+Asheville+NC/@35.6178951,-82.3212302,14z",2025-09-28T23:01:45.242Z,,
"https://www.google.com/maps/place/The+Center+Within,+Black+Mountain/data=!4m7!3m6!1s0x8859f923817c0001:0xaf94174d72f9839d!8m2!3d35.6186051!4d-82.3160005!16s%2Fg%2F11f54lnhr0!19sChIJAQB8gSP5WYgRnYP5ck0XlK8","The Center Within, Black Mountain",5.0,3,,"130 Center Ave, Black Mountain, NC 28711, United States","JM9M+CH Black Mountain, North Carolina, USA",http://thecenterwithin.net/,+1 828-357-7055,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tfbP2p8UCZvvLTJ5fCvijA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=256.71555&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Black+Mountain+Asheville+NC/@35.6178951,-82.3212302,14z",2025-09-28T23:01:48.022Z,,
https://www.google.com/maps/place/Fountains+Infusion+Center/data=!4m7!3m6!1s0x8859f31af3ca154d:0x49e81b353896e7a9!8m2!3d35.5148254!4d-82.5227146!16s%2Fg%2F11sdm7nrpv!19sChIJTRXK8xrzWYgRqeeWODUb6Ek,Fountains Infusion Center,5.0,5,Medical clinic,"70 Peachtree Rd #120, Asheville, NC 28803, United States","GF7G+WW Asheville, North Carolina, USA",http://www.vcasheville.com/,+1 828-579-3640,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNcvWaMLjgKATGvrF5VOP_-uFQi5nBJodfCDnvl=w426-h240-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Black+Mountain+Asheville+NC/@35.6178951,-82.3212302,14z",2025-09-28T23:01:52.954Z,,
https://www.google.com/maps/place/Rehilibitation+Center/data=!4m7!3m6!1s0x8859f922e4586e93:0xf1a12f4a8f9cc78b!8m2!3d35.6178951!4d-82.3212302!16s%2Fg%2F11dxl47164!19sChIJk25Y5CL5WYgRi8ecj0ovofE,Rehilibitation Center,2.0,1,Hospital,"Black Mountain, NC 28711, United States","JM9H+5G Black Mountain, North Carolina, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bs4oCuuer76DLJOCz8rmlg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=240.26054&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Black+Mountain+Asheville+NC/@35.6178951,-82.3212302,14z",2025-09-28T23:01:55.875Z,,
