placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,info,isBlackOwned,error
https://www.google.com/maps/place/Delcollo+Electric+Inc/data=!4m7!3m6!1s0x89c7027be3f8bcb3:0x315222a735e93387!8m2!3d39.7254607!4d-75.58117!16s%2Fg%2F1tfv_337!19sChIJs7z443sCx4kRhzPpNaciUjE,Delcollo Electric Inc,4.9,367,Electrician,"226 Brookside Dr, Wilmington, DE 19804, United States","PCG9+5G Wilmington, Delaware, USA",https://www.delcollo.com/,+1 302-291-1209,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOJehhWYt1GOANkQMwFUnHJ6fRJSeX67cNeiCqS=w408-h306-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-01-10T21:24:32.786Z,,,,
https://www.google.com/maps/place/Independent+Electrical+Services+LLC/data=!4m7!3m6!1s0x89c6e3854576d2d3:0xfcd85f526fb8d12c!8m2!3d39.7851349!4d-75.4723866!16s%2Fg%2F1hc4qbyvj!19sChIJ09J2RYXjxokRLNG4b1Jf2Pw,Independent Electrical Services LLC,5.0,11,Electrician,"7101 Governor Printz Blvd, Wilmington, DE 19809, United States","QGPH+32 Wilmington, Delaware, USA",http://www.i-e-s.com/,+1 302-383-2761,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMBrkQWirrs7YdJ5DfZQOI7Dmp4x22DJ9JJSY5B=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-01-10T21:24:37.780Z,,,,
"https://www.google.com/maps/place/Joe's+Generators/@39.750487,-75.631606,17z/data=!3m1!4b1!4m6!3m5!1s0x89c6fe0e3ae95555:0x8dd11eb34fc7c356!8m2!3d39.750487!4d-75.631606!16s%2Fg%2F11ggs3btpj",Joe's Generators,,,Electrician,"2733 Skylark Rd, Wilmington, DE 19808, United States","Q929+59 Wilmington, Delaware, USA",http://joesgenerators.com/,+1 610-721-9626,Closed · Opens 8 am Sun,,false,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-01-10T21:24:44.180Z,,,,
https://www.google.com/maps/place/K%26H+Electrical+Services+LLC/data=!4m7!3m6!1s0x89c7035168f6469b:0xa12ce8d69e97f767!8m2!3d38.8586225!4d-77.0269204!16s%2Fg%2F11hy_5hw2t!19sChIJm0b2aFEDx4kRZ_eXntboLKE,K&H Electrical Services LLC,5.0,49,Electrician,,,https://kandhelectricllc.com/,+1 240-440-4718,Open · Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipNeXZ1yOLTRYBwvK4PNmIzrEnE1bk656C6hOyhU=w408-h271-k-no,true,8 am–8 pm,Closed,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/generator+installation+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-01-10T21:24:48.563Z,,,,
https://www.google.com/maps/place/Pace+Electrical+%26+Generator+Services/data=!4m7!3m6!1s0x89c7095e39a93dab:0x681b4a249f3e8082!8m2!3d39.6087919!4d-75.6907261!16s%2Fg%2F1tn4z3j9!19sChIJqz2pOV4Jx4kRgoA-nyRKG2g,Pace Electrical & Generator Services,4.9,529,Electrician,"105 Carson Dr, Bear, DE 19701, United States","J855+GP Bear, Delaware, USA",https://www.pacede.com/,+1 302-328-2600,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyzYX252LZZIaOWSnUem1CUWBAoaUE_KonHkuZEtbdzT7svqsP6YvXE8KdUV8Ls9sWlSC-rieV_4FfKRPTuEaL30XB2cBYsz0PYjsnVrEoqS3Ik4ohG15MbyUjb9XRgljc_UDBugg=w408-h306-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-01-10T21:24:52.936Z,,,,
https://www.google.com/maps/place/Day-Light+Electric/data=!4m7!3m6!1s0x89c6e333be995555:0xdcf3d37de0c0cd22!8m2!3d39.7775117!4d-75.5236661!16s%2Fg%2F11fx7wml_6!19sChIJVVWZvjPjxokRIs3A4H3T89w,Day-Light Electric,4.5,17,Contractor,"4627 Talley Hill Ln, Wilmington, DE 19803, United States","QFHG+2G Wilmington, Delaware, USA",,+1 302-762-2180,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kxVbaaqAw7Etpv3jQ0iRyA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=50.922215&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-01-10T21:24:55.288Z,,,,
https://www.google.com/maps/place/LIAM+Services/data=!4m7!3m6!1s0x89c703d2cf63d6c3:0xc9a70a0498cb79ba!8m2!3d39.6736564!4d-75.6199932!16s%2Fg%2F11ny23ghhg!19sChIJw9Zjz9IDx4kRunnLmAQKp8k,LIAM Services,5.0,969,HVAC contractor,"292 Churchmans Rd, New Castle, DE 19720, United States","M9FJ+F2 New Castle, Delaware, USA",https://liamsvcs.com/?utm_source=google&utm_medium=organic&utm_term=gbp,+1 302-202-9742,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOa_8PtGPrxFUJfZ9lsg83qNJ9W37EoLmU_10Lb=w408-h342-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-01-10T21:25:00.063Z,,,,
"https://www.google.com/maps/place/AEZI+Electrical+Services,+LLC/data=!4m7!3m6!1s0x89c70965fbeb25f3:0x15ef5477ad961c46!8m2!3d39.7273564!4d-75.5753879!16s%2Fg%2F11c5qpmpjg!19sChIJ8yXr-2UJx4kRRhyWrXdU7xU","AEZI Electrical Services, LLC",4.9,27,Electrical installation service,"302 Robinson Ln, Wilmington, DE 19805, United States","PCGF+WR Wilmington, Delaware, USA",http://www.aezielectrical.com/,+1 302-279-8344,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipME6cNUDSUwq_SnD7O3bu0v6V_ZLzSZZeDPhj91=w408-h544-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-01-10T21:25:04.431Z,,,,
https://www.google.com/maps/place/Suburban+Lawn+Equipment/data=!4m7!3m6!1s0x89c70192e9af7105:0x22a3cf2a77ac1093!8m2!3d39.7155976!4d-75.6345103!16s%2Fg%2F1thq67dt!19sChIJBXGv6ZIBx4kRkxCsdyrPoyI,Suburban Lawn Equipment,4.7,513,Lawn mower store,"1950 W Newport Pike, Wilmington, DE 19804, United States","P988+65 Wilmington, Delaware, USA",https://www.sublawneq.com/,+1 302-998-7700,"Closed · Opens 8 am Mon

Confirmed by this business 3 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMYXb_K_slxvj3SmBfQOoPGewi45ZT86fP9DGmJ=w408-h306-k-no,true,8 am–1 pm,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-01-10T21:25:08.877Z,· In-store shopping · Kerbside pickup · Delivery,,,
https://www.google.com/maps/place/Aaron+and+Sons+Electric/data=!4m7!3m6!1s0x89c6e32c0aabbcd1:0x3d96432af2c51a!8m2!3d39.761779!4d-75.5266009!16s%2Fg%2F11jfs3hw2c!19sChIJ0byrCizjxokRGsXyKkOWPQA,Aaron and Sons Electric,3.8,6,Electrician,"200 W 38th St, Wilmington, DE 19802, United States","QF6F+P9 Wilmington, Delaware, USA",,+1 302-764-5610,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipMvC8TiQiKMB_FNAxSLeauvgv4fNhakwOIAs09T=w408-h306-k-no,true,Closed,Closed,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-01-10T21:25:13.390Z,,,,
https://www.google.com/maps/place/Superior+Electric+Services+Co/data=!4m7!3m6!1s0x89c7027ea65960c3:0x58d90d034fa23e6f!8m2!3d39.7258255!4d-75.5788431!16s%2Fg%2F1tf08mhl!19sChIJw2BZpn4Cx4kRbz6iTwMN2Vg,Superior Electric Services Co,4.8,5,Electrician,"36 Germay Dr, Wilmington, DE 19804, United States","PCGC+8F Wilmington, Delaware, USA",https://www.superiorelectric.biz/,+1 302-658-5949,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxc1T5OIN7Hb9iS_k7ikMBKdK777k1UPlusmur5RRC-HsZHs94QN6rz1sggBUDqR77ay6rGySWMqq0Sr9dEpKHyKmdlCu-j_O1SXsbP4rgS7j3sTHG8I9Y_wFPxqnxkdiiF5K8f=w408-h400-k-no,false,Closed,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-01-10T21:25:17.760Z,,,,
"https://www.google.com/maps/place/VRC+Services,+LLC/data=!4m7!3m6!1s0x89c7aa606635c3d5:0x35a127032dafa1d8!8m2!3d39.712778!4d-75.607601!16s%2Fg%2F11f_mn4tw6!19sChIJ1cM1ZmCqx4kR2KGvLQMnoTU","VRC Services, LLC",4.9,13,Electrician,"116 E Ayre St, Wilmington, DE 19804, United States","P97R+4X Wilmington, Delaware, USA",,+1 302-294-1780,Closed · Opens 7 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qMO_aoI_snFlO_28Fl_s1Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=171.23886&pitch=0&thumbfov=100,false,Closed,Closed,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-01-10T21:25:22.196Z,,,,
https://www.google.com/maps/place/Generators+Direct+USA/data=!4m7!3m6!1s0x89c6fc364b6cfaeb:0x3028c2edfda51d9f!8m2!3d39.7809041!4d-75.5992664!16s%2Fg%2F11y4954lnd!19sChIJ6_psSzb8xokRnx2l_e3CKDA,Generators Direct USA,,,Electric generator shop,"4023 Kennett Pike #50459, Wilmington, DE 19807, United States","QCJ2+97 Wilmington, Delaware, USA",http://generatorsdirectusa.com/,+1 302-691-9161,Closed · Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eAaWfqyR9OxTfiNzn6Teeg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=101.30421&pitch=0&thumbfov=100,false,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-01-10T21:25:26.592Z,,,,
https://www.google.com/maps/place/Action+Rental-+Wilmington/data=!4m7!3m6!1s0x89c70346325432e9:0xf71858ea635259a6!8m2!3d39.7315285!4d-75.6200039!16s%2Fg%2F11vb870y54!19sChIJ6TJUMkYDx4kRpllSY-pYGPc,Action Rental- Wilmington,4.8,38,Equipment rental agency,"1206 Centerville Rd, Wilmington, DE 19808, United States","P9JH+JX Wilmington, Delaware, USA",https://actionrental.com/,+1 302-384-7355,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxu5eUeVWL_PiFRDqJ28DJ_DYtEtoId9JoJFJlgEc_oFzdbTgCC5SlSgRUkq-YjHEoXirXbsb5DFaSFH17UwLGezbir3vewOAPYLH-jMQvPxaorzI1x5P6YEoHWSwkqrrUAt9_nA8DRXtE2=w408-h873-k-no,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-01-10T21:25:31.068Z,,,,
https://www.google.com/maps/place/Kendall+Electric/data=!4m7!3m6!1s0x89c6fd980797a6c1:0x2c6cec8dfef9d5c1!8m2!3d39.751417!4d-75.58529!16s%2Fg%2F11f_h_z6ly!19sChIJwaaXB5j9xokRwdX5_o3sbCw,Kendall Electric,4.8,16,Electrical supply store,"3015 Lancaster Ave, Wilmington, DE 19805, United States","QC27+HV Wilmington, Delaware, USA",https://www.kendallelectric.com/,+1 302-651-9076,Closed · Opens 7 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=w-jZ1L6YeyBSI5B2z3u3AA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=49.25821&pitch=0&thumbfov=100,true,Closed,Closed,7 am–4:45 pm,7 am–4:45 pm,7 am–4:45 pm,7 am–4:45 pm,7 am–4:45 pm,"https://www.google.com/maps/search/generator+installation+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-01-10T21:25:35.501Z,· In-store shopping · Delivery,,,
https://www.google.com/maps/place/FTG+Equipment+Solutions/data=!4m7!3m6!1s0x89c6e239ebb75839:0x2a217b1b826d7213!8m2!3d39.7048036!4d-75.5518916!16s%2Fg%2F11bztdt17k!19sChIJOVi36znixokRE3Jtght7ISo,FTG Equipment Solutions,5.0,4,Industrial equipment supplier,"100 Paper Pl, New Castle, DE 19720, United States","PC3X+W6 New Castle, Delaware, USA",https://ftgequipment.com/,+1 855-303-7900,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipMrD6yee2tes5-LtX5UP8VLtuC4wNWF9CSDK2sB=w443-h240-k-no,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-01-10T21:25:40.187Z,,,,
"https://www.google.com/maps/place/Badger+Electric,+Inc/@39.711162,-75.600171,17z/data=!3m1!4b1!4m6!3m5!1s0x89c7023fabc5fbef:0x94fb491af7ece2ce!8m2!3d39.711162!4d-75.600171!16s%2Fg%2F11cmzk6ptd","Badger Electric, Inc",3.8,10,Electrician,"101 Cassidy Dr, Newport, DE 19804, United States","P96X+FW Newport, Delaware, USA",http://badgerde.com/,+1 302-992-9922,,,false,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Wilmington+DE/@39.744655,-75.5483909,14z",2026-01-10T21:25:44.671Z,,,,
