placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,isBlackOwned,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,info,attributes
https://www.google.com/maps/place/Creative+construction+and+property+management/data=!4m7!3m6!1s0x89e3a588b1d5bc53:0x8c676899a8e24075!8m2!3d42.6278542!4d-71.3160609!16s%2Fg%2F11hsn0lb2h!19sChIJU7zVsYil44kRdUDiqJloZ4w,Creative construction and property management,4.6,12,Property management company,"17 Canada St, Lowell, MA 01852, United States","JMHM+4H Lowell, Massachusetts, USA",,+1 978-235-5164,"Open ⋅ Closes 8 pm

Confirmed by this business 12 weeks ago",true,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iGHDkDAUWJ15ZCMDcGBrFQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=185.34692&pitch=0&thumbfov=100,true,7 am–8 pm,7 am–8 pm,Closed,Closed,7 am–8 pm,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lowell+MA/@42.6458914,-71.3127093,14z",2025-09-25T18:31:38.493Z,,
https://www.google.com/maps/place/TMI+Property+Management+%26+Development/data=!4m7!3m6!1s0x89e3a43ea7c875c7:0xde5bbb6f0dc98d53!8m2!3d42.6487287!4d-71.3287206!16s%2Fg%2F1hm3k_vvy!19sChIJx3XIpz6k44kRU43JDW-7W94,TMI Property Management & Development,3.6,30,Real estate rental agency,"353 Pawtucket St Ste 102, Lowell, MA 01854, United States","JMXC+FG Lowell, Massachusetts, USA",https://tmi.rentals/,+1 978-937-3033,Open ⋅ Closes 7 pm,,https://lh3.googleusercontent.com/p/AF1QipMh3NQd3wDw7PJhnFsjC0PYCLAVml8bs7fY80WY=w408-h271-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lowell+MA/@42.6458914,-71.3127093,14z",2025-09-25T18:31:44.732Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Universal+Property+Management/data=!4m7!3m6!1s0x89e3bb3f991c3a39:0x564536f1d2d80c6b!8m2!3d42.6496197!4d-71.3260873!16s%2Fg%2F11byxhjkjg!19sChIJOTocmT-744kRawzY0vE2RVY,Universal Property Management,2.0,20,Property management company,"277 Pawtucket St, Lowell, MA 01854, United States","JMXF+RH Lowell, Massachusetts, USA",http://www.propertymanagementlowell.com/,+1 978-937-9327,Open ⋅ Closes 4:30 pm,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrSo2ghIXjd8VXJPMT-WjnHJBNiYUo-etbz1SzWqOnMAehhaIIO54xgCjcVbwpoEqz8V1LCOZo2bZ6akuUbLUjFpOtsn9L-45hDrPdY8jabRAK_dja6O8x0QIw4GehFdAvT2DBKbg=w426-h240-k-no,true,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lowell+MA/@42.6458914,-71.3127093,14z",2025-09-25T18:31:49.759Z,,
https://www.google.com/maps/place/Property+Management+Of+Lowell/data=!4m7!3m6!1s0x89e3a68397db2129:0x2fc00ec4d4775203!8m2!3d42.6235623!4d-71.3151395!16s%2Fg%2F11gcbf68v9!19sChIJKSHbl4Om44kRA1J31MQOwC8,Property Management Of Lowell,3.7,3,Property maintenance,"3 Foundry St, Lowell, MA 01852, United States","JMFM+CW Lowell, Massachusetts, USA",http://www.propertymanagementoflowell.com/,+1 888-756-9355,Open ⋅ Closes 9 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZzmzcoWF9BdqPvooJUdAeg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=271.9654&pitch=0&thumbfov=100,true,9 am–9 pm,9 am–9 pm,10 am–6 pm,10 am–6 pm,9 am–9 pm,9 am–9 pm,9 am–9 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lowell+MA/@42.6458914,-71.3127093,14z",2025-09-25T18:31:54.855Z,,
https://www.google.com/maps/place/New+England%27s+Heritage+Properties/data=!4m7!3m6!1s0x89e3a360f6776a13:0xf51ef69177f040f2!8m2!3d42.6450018!4d-71.3113165!16s%2Fg%2F1pp2txh0w!19sChIJE2p39mCj44kR8kDwd5H2HvU,New England's Heritage Properties,1.9,9,Property management company,"142 Middle St, Lowell, MA 01852, United States","JMWQ+2F Lowell, Massachusetts, USA",https://www.ne-hp.com/,+1 978-458-0001,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipP4TF7YX8XdTfQKNV3UrS--23JiKFW6Z0WVk9Tc=w952-h240-k-no,true,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lowell+MA/@42.6458914,-71.3127093,14z",2025-09-25T18:32:00.123Z,,
https://www.google.com/maps/place/O%27Connell+%26+Company/data=!4m7!3m6!1s0x89e3a5166905f3c7:0x98002fdccb751484!8m2!3d42.6686107!4d-71.303696!16s%2Fg%2F11f0kxnh43!19sChIJx_MFaRal44kRhBR1y9wvAJg,O'Connell & Company,4.9,76,Real estate agent,"482 Aiken Ave, Dracut, MA 01826, United States","MM9W+CG Dracut, Massachusetts, USA",http://www.teamdano.com/,+1 978-423-2578,,,https://lh3.googleusercontent.com/p/AF1QipO3jnibczARjOToR1ZtIeqWXX9Fjj1Mb-RL5096=w408-h272-k-no,true,7 am–8 pm,7 am–5 pm,9 am–5 pm,9 am–5 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lowell+MA/@42.6458914,-71.3127093,14z",2025-09-25T18:32:05.385Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Vista+Properties+LLC/data=!4m7!3m6!1s0x89e3a4f76cdaf683:0x3909235171bf59a8!8m2!3d42.6543019!4d-71.3386878!16s%2Fg%2F1thvz8y4!19sChIJg_babPek44kRqFm_cVEjCTk,Vista Properties LLC,5.0,19,Apartment rental agency,"256 Mammoth Rd, Lowell, MA 01854, United States","MM36+PG Lowell, Massachusetts, USA",http://www.vistapropertiesllc.net/,+1 978-970-0088,,,https://lh3.googleusercontent.com/p/AF1QipNeLHu27X29y6K8E3uxPcq25Wv8rL3tS8nWhIxZ=w408-h544-k-no,true,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Lowell+MA/@42.6458914,-71.3127093,14z",2025-09-25T18:32:08.204Z,,
https://www.google.com/maps/place/Princeton+Properties/data=!4m7!3m6!1s0x89e3a361d012240f:0xb541016fc3a71c1f!8m2!3d42.6285287!4d-71.356826!16s%2Fg%2F1tdfzr8s!19sChIJDyQS0GGj44kRHxynw28BQbU,Princeton Properties,3.8,133,Apartment complex,"1115 Westford St, Lowell, MA 01851, United States","JJHV+C7 Lowell, Massachusetts, USA",https://princetoncorp.prospectportal.com/?utm_source=google%20-%20entrataseo&utm_medium=organic&utm_campaign=gmb&utm_content=website%20click,+1 978-677-3145,,,https://lh3.googleusercontent.com/p/AF1QipOXThI0h82iAheQM-Ko_-eOSOj8vU3okcU3jhk8=w408-h247-k-no,true,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Lowell+MA/@42.6458914,-71.3127093,14z",2025-09-25T18:32:11.254Z,,
https://www.google.com/maps/place/Westford+Arms+Realty/data=!4m7!3m6!1s0x89e3a46ee6270397:0xecd7129f6055b383!8m2!3d42.6368697!4d-71.3190966!16s%2Fg%2F1tj2c_xn!19sChIJlwMn5m6k44kRg7NVYJ8S1-w,Westford Arms Realty,3.7,14,Property management company,"90 Westford St, Lowell, MA 01851, United States","JMPJ+P9 Lowell, Massachusetts, USA",http://westfordarms.com/,+1 978-452-1960,Open ⋅ Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6BGieOfALh9LgXaaLY50pA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=166.0932&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/HOA+management+businesses+in+Lowell+MA/@42.6458914,-71.3127093,14z",2025-09-25T18:32:16.326Z,,
https://www.google.com/maps/place/J.i+property+management/data=!4m7!3m6!1s0x89e3a5a8c480b453:0xbae12a20b0ca7a41!8m2!3d42.6454883!4d-71.3093893!16s%2Fg%2F11xw20hlzt!19sChIJU7SAxKil44kRQXrKsCAq4bo,J.i property management,,,Real estate rental agency,"100 Merrimack St suite 3f, Lowell, MA 01852, United States","JMWR+56 Lowell, Massachusetts, USA",,+1 978-902-2437,"Open 24 hours

Updated by this business 2 weeks ago",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rXQQ3JNY6CxQ3OR9sAZ6tA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=202.25073&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/HOA+management+businesses+in+Lowell+MA/@42.6458914,-71.3127093,14z",2025-09-25T18:32:21.192Z,,
