placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/Vivo+Infusion+Orlando/data=!4m7!3m6!1s0x88e771daa16e74df:0xfeaa1bf3e737728f!8m2!3d28.5946731!4d-81.3704888!16s%2Fg%2F11fnpbxs5y!19sChIJ33Ruodpx54gRj3I35_Mbqv4,Vivo Infusion Orlando,4.8,20,Medical clinic,"1573 W Fairbanks Ave Suite 200, Winter Park, FL 32789, United States","HJVH+VR Winter Park, Florida, USA",https://vivoinfusion.com/locations/orlando/,+1 407-794-5859,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPDr2NymB3-bQ_hW_1vJJmcrgxMpMLvMmtONrUt=w419-h240-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2025-09-29T00:42:15.567Z,,,,
https://www.google.com/maps/place/Florida+Cancer+Specialists+%26+Research+Institute/data=!4m7!3m6!1s0x88e77a9ab9d2a6bf:0x33542862086dce3c!8m2!3d28.6014907!4d-81.3627106!16s%2Fg%2F1tw_p201!19sChIJv6bSuZp654gRPM5tCGIoVDM,Florida Cancer Specialists & Research Institute,4.9,1563,Cancer treatment center,"460 N Orlando Ave Suite 200, Winter Park, FL 32789, United States","JJ2P+HW Winter Park, Florida, USA",https://flcancer.com/location/winter-park-village/,+1 407-898-5452,Closed ⋅ Opens 8:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipOl1g1d7mI3p9jZHjxtGFqjJlnTKH1aPlOutD96=w408-h306-k-no,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2025-09-29T00:42:21.229Z,,,,
https://www.google.com/maps/place/Vitalounge+Winter+Park/data=!4m7!3m6!1s0x88e7701750bfb407:0xb8ffe619503cb7e!8m2!3d28.6015438!4d-81.3514676!16s%2Fg%2F11c6lkbvz4!19sChIJB7S_UBdw54gRfssDlWH-jws,Vitalounge Winter Park,4.9,1114,Medical spa,"515 N Park Ave #214, Winter Park, FL 32789, United States","JJ2X+JC Winter Park, Florida, USA",https://vitalounge.com/locations/winter-park/,+1 407-335-4839,"Closed ⋅ Opens 9:30 am Mon

Updated by this business 1 week ago",https://lh3.googleusercontent.com/p/AF1QipOg8HhYwyCVpuC9ECwFXDf4s6f60x0-Tnkx2eCS=w408-h544-k-no,true,9:30 am–4 pm,9:30 am–6:30 pm,9:30 am–6:30 pm,9:30 am–6:30 pm,9:30 am–6:30 pm,9:30 am–6:30 pm,9:30 am–6:30 pm,"https://www.google.com/maps/search/Infusion+centers+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2025-09-29T00:42:26.730Z,,,,
https://www.google.com/maps/place/Prime+IV+Hydration+%26+Wellness+-+Winter+Park/data=!4m7!3m6!1s0x88e77b76c7d68cb9:0xa0130e310212bf51!8m2!3d28.5686248!4d-81.3465159!16s%2Fg%2F11qjq5330v!19sChIJuYzWx3Z754gRUb8SAjEOE6A,Prime IV Hydration & Wellness - Winter Park,4.9,177,IV therapy service,"1844 Winter Park Rd Suite B, Orlando, FL 32803, United States","HM93+C9 Orlando, Florida, USA",https://primeivhydration.com/locations/florida/winter-park-fl/,+1 407-636-3240,"Closed ⋅ Opens 10 am Mon

Updated by this business 12 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr0NkA8WKUI8aMsi_kqoIHmO2k9RpX6a8Ops-j3qyrpPahywJYDS6NNP1O2kqMk03aBSVL95_X3kaXOqw7QZ4DgY5wRnG9ELfAF1fYUrgQKTCeDLAYXQ81f5gZGM21bKwckpnyD7A=w408-h306-k-no,true,Closed,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–4 pm,"https://www.google.com/maps/search/Infusion+centers+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2025-09-29T00:42:31.593Z,,,,
https://www.google.com/maps/place/AdventHealth+Cancer+Institute+Winter+Park/data=!4m7!3m6!1s0x88e76feecb734093:0x3dcac811a4f189d2!8m2!3d28.5991072!4d-81.3253!16s%2Fg%2F1v9t_qyk!19sChIJk0Bzy-5v54gR0onxpBHIyj0,AdventHealth Cancer Institute Winter Park,4.5,8,Medical Center,"2100 Glenwood Dr, Winter Park, FL 32792, United States","HMXF+JV Winter Park, Florida, USA",https://www.adventhealth.com/hospital/adventhealth-winter-park/our-services/cancer-care,+1 407-821-3567,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noIOilI5HhzOF43wdeB9Jj35GBgQduuswZ2WvuvS_jhcDkoSlkafIj5LJ6bI4GclAwwP1uUMLi83TSfE2MWaylTX0tKgfJ3w32cER36_kgXJLcV2erYGYyJA3n-xGXwK9hJvSWnbA=w441-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2025-09-29T00:42:34.390Z,,,,
https://www.google.com/maps/place/Hydralive+Therapy+Winter+Park/data=!4m7!3m6!1s0x88e7706c70d28285:0xbfbe171ff02f5ad4!8m2!3d28.6014168!4d-81.3655917!16s%2Fg%2F11r1z27d9p!19sChIJhYLScGxw54gR1Fov8B8Xvr8,Hydralive Therapy Winter Park,4.9,111,Health spa,"415 N Orlando Ave Suite 103, Winter Park, FL 32789, United States","JJ2M+HQ Winter Park, Florida, USA",https://hydralivetherapy.com/location/winter-park/,+1 321-300-7301,Closed ⋅ Opens 10 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4novZgksczqwdD54goLR76-pzADMlvUFXP9yuSUu3rmaSGPdMRjD1CC_r8bf7wj7wg3YrNKrHEHqmirC5PPwFzewy-ipQGNEyFL-QSURvRImppECI72-ae3lTgrhBaTbdA8lVpmz=w408-h306-k-no,true,Closed,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,"https://www.google.com/maps/search/Infusion+centers+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2025-09-29T00:42:39.421Z,,,,
https://www.google.com/maps/place/Restore+Hyper+Wellness/data=!4m7!3m6!1s0x88e7713ac13fe79b:0x2601550b9d77b502!8m2!3d28.5980081!4d-81.36611!16s%2Fg%2F11p07nqttk!19sChIJm-c_wTpx54gRArV3nQtVASY,Restore Hyper Wellness,4.9,634,Medical spa,"119 N Orlando Ave #101, Winter Park, FL 32789, United States","HJXM+6H Winter Park, Florida, USA",https://www.restore.com/locations/fl-winter-park-fl016?utm_source=gmb&utm_medium=Yext&y_source=1_MzE2Mjk4NTEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 321-972-3516,"Closed ⋅ Opens 9 am Mon

Confirmed by this business 11 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPPSostiQhAPQZKxIwZh57ooQkZGQJVeRO1pw9O=w408-h269-k-no,true,11 am–5 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–5 pm,"https://www.google.com/maps/search/Infusion+centers+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2025-09-29T00:42:44.539Z,,,,
https://www.google.com/maps/place/Relive+Health+Winter+Park/data=!4m7!3m6!1s0x88e7718aa3d997b7:0x3f66b8a0388ec156!8m2!3d28.5927465!4d-81.3536299!16s%2Fg%2F11r9mm7zc4!19sChIJt5fZo4px54gRVsGOOKC4Zj8,Relive Health Winter Park,4.7,132,Medical clinic,"354 W Fairbanks Ave, Winter Park, FL 32789, United States","HJVW+3G Winter Park, Florida, USA",https://relivehealth.com/winter-park,+1 407-807-0037,Closed ⋅ Opens 10 am Tue,https://lh3.googleusercontent.com/p/AF1QipNsHfoVj2zeVmOqcbyz9SqYKFp9qJVzAD8NKYQY=w408-h612-k-no,true,Closed,Closed,10 am–5 pm,11 am–7 pm,10 am–5 pm,10 am–5 pm,10 am–3 pm,"https://www.google.com/maps/search/Infusion+centers+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2025-09-29T00:42:49.901Z,,,,
https://www.google.com/maps/place/Metro+Infusion+Center/data=!4m7!3m6!1s0x88e7712420bbe82b:0x76148a4410549883!8m2!3d28.6286633!4d-81.3858707!16s%2Fg%2F11lmjvd7qj!19sChIJK-i7ICRx54gRg5hUEESKFHY,Metro Infusion Center,,,Medical Center,"543 Wymore Rd #104, Maitland, FL 32751, United States","JJH7+FM Maitland, Florida, USA",https://metroinfusioncenter.com/,+1 877-448-3627,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PWaMrCUNhd_LcLR2Za34MQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=287.6306&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2025-09-29T00:42:54.660Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/K%2B+Clinics+Orlando+-+Ketamine+Therapy/data=!4m7!3m6!1s0x88e771088f5185c3:0x1fcc3f7361f9de63!8m2!3d28.5854376!4d-81.3647398!16s%2Fg%2F11krtyrsrq!19sChIJw4VRjwhx54gRY975YXM_zB8,K+ Clinics Orlando - Ketamine Therapy,5.0,15,Mental health clinic,"1320 S Orlando Ave #4, Winter Park, FL 32789, United States","HJPP+54 Winter Park, Florida, USA",https://www.kplusclinics.com/,+1 850-495-7587,Closed ⋅ Opens 9:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipPzfiOWHlQ2_eTq5cljGElpVgNlrhoV1gmWmh2S=w408-h544-k-no,true,Closed,9:30 am–5 pm,9:30 am–5 pm,9:30 am–5 pm,9:30 am–5 pm,9:30 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2025-09-29T00:42:59.524Z,LGBTQ+ friendly,,,
