placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,info,wednesday,thursday,friday,saturday,sunday,monday,tuesday,isBlackOwned,error,attributes
https://www.google.com/maps/place/Texas+and+New+Mexico+Hospice+Organization/data=!4m7!3m6!1s0x8644b50aea654b6f:0xbc68ffe85ba0fe4b!8m2!3d30.2743198!4d-97.7434527!16s%2Fg%2F1ptwvf7c5!19sChIJb0tl6gq1RIYRS_6gW-j_aLw,Texas and New Mexico Hospice Organization,5.0,2,Hospice,"1108 Lavaca St, Austin, TX 78701, United States","77F4+PJ Austin, Texas, USA",http://www.txnmhospice.org/,+1 512-454-1247,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HLv6xdsCZK8enT0sbIo9vw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=292.99323&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-09-17T23:26:02.635Z,,,,,,,,,,,
"https://www.google.com/maps/place/Sarah+Eggers,+APN/data=!4m7!3m6!1s0x8644b5d8df835abf:0xea3ac623ec065341!8m2!3d30.276643!4d-97.7339685!16s%2Fg%2F11h5nf890s!19sChIJv1qD39i1RIYRQVMG7CPGOuo","Sarah Eggers, APN",,,Hospice,"1500 Red River St, Austin, TX 78701, United States","77G8+MC Austin, Texas, USA",https://healthcare.ascension.org/doctors/1033568365/sarah-eggers-austin-tx?utm_campaign=gmb-website&utm_medium=organic&utm_source=google,+1 512-324-8399,,https://lh3.googleusercontent.com/p/AF1QipN--cXaOvpKhfYvE95wdzBBnJtrLVDaRdLjOnkJ=w426-h240-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-09-17T23:26:06.024Z,,,,,,,,,,,
"https://www.google.com/maps/place/Melanie+Palmer,+CNS/data=!4m7!3m6!1s0x8644b5d81154f493:0x3db80ee42d909f7e!8m2!3d30.276643!4d-97.7339685!16s%2Fg%2F11j00b1xlw!19sChIJk_RUEdi1RIYRfp-QLeQOuD0","Melanie Palmer, CNS",,,Hospice,"1500 Red River St, Austin, TX 78701, United States","77G8+MC Austin, Texas, USA",https://healthcare.ascension.org/doctors/1396166294/melanie-palmer-austin-tx,+1 512-324-8399,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PmsFMIn8Sb6rHg01A5CpgQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=336.85394&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-09-17T23:26:09.657Z,,,,,,,,,,,
"https://www.google.com/maps/place/Elise+Carper,+NP/data=!4m7!3m6!1s0x8644b5cce2479993:0xd96d2a4243f51b09!8m2!3d30.276373!4d-97.734006!16s%2Fg%2F11jn1_g2fn!19sChIJk5lH4sy1RIYRCRv1Q0Iqbdk","Elise Carper, NP",,,Hospice,"1500 Red River St, Austin, TX 78701, United States","77G8+G9 Austin, Texas, USA",https://healthcare.ascension.org/doctors/1699835009/elise-carper-austin-tx,+1 512-324-8399,,https://lh3.googleusercontent.com/p/AF1QipOXsCdUUFuVKiOVrsvjAJIwYl8-MaFGblqF7dcM=w408-h510-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-09-17T23:26:12.428Z,,,,,,,,,,,
"https://www.google.com/maps/place/Sarah+E.+Stayer,+MD/data=!4m7!3m6!1s0x8644b5743f4fffff:0x14043e6778c4c6a6!8m2!3d30.276373!4d-97.734006!16s%2Fg%2F11gfny9h5c!19sChIJ__9PP3S1RIYRpsbEeGc-BBQ","Sarah E. Stayer, MD",5.0,3,Hospice,"1500 Red River St, Austin, TX 78701, United States","77G8+G9 Austin, Texas, USA",https://healthcare.ascension.org/find-care/provider/1245673755/sarah-stayer,+1 512-324-8399,,https://lh3.googleusercontent.com/p/AF1QipNvyYtb081B8e1UyegzCg8LCd8f9hG5QfKkIWNF=w426-h240-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-09-17T23:26:15.185Z,,,,,,,,,,,
"https://www.google.com/maps/place/Elizabeth+A.+Kvale,+MD/data=!4m7!3m6!1s0x8644b50ef235f257:0xac0199b91b5e86d3!8m2!3d30.276373!4d-97.734006!16s%2Fg%2F11h7rhhjwx!19sChIJV_I18g61RIYR04ZeG7mZAaw","Elizabeth A. Kvale, MD",,,Hospice,"1500 Red River St, Austin, TX 78701, United States","77G8+G9 Austin, Texas, USA",https://healthcare.ascension.org/doctors/1245267616/elizabeth-ann-kvale-austin-tx,+1 512-324-8933,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PmsFMIn8Sb6rHg01A5CpgQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=320.84048&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-09-17T23:26:17.999Z,,,,,,,,,,,
"https://www.google.com/maps/place/Tyler+S.+Jorgensen,+MD/data=!4m7!3m6!1s0x8644b5e71c1a7a01:0xc0827b629bd1ff37!8m2!3d30.2765845!4d-97.734059!16s%2Fg%2F11l30csgnt!19sChIJAXoaHOe1RIYRN__Rm2J7gsA","Tyler S. Jorgensen, MD",,,Hospice,"1500 Red River St, Austin, TX 78701, United States","77G8+J9 Austin, Texas, USA",https://healthcare.ascension.org/find-care/provider/1396906335/tyler-jorgensen,+1 512-324-7519,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5uwHyW5d_isX3CiyBti3_g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=315.80728&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-09-17T23:26:20.646Z,,,,,,,,,,,
"https://www.google.com/maps/place/Clarissa+M.+Johnston,+MD/data=!4m7!3m6!1s0x808580b5d66e43ab:0xd1408fa1a6afa04f!8m2!3d30.276373!4d-97.734006!16s%2Fg%2F1tffzqzm!19sChIJq0Nu1rWAhYART6CvpqGPQNE","Clarissa M. Johnston, MD",,,Hospice,"1500 Red River St, Austin, TX 78701, United States","77G8+G9 Austin, Texas, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PmsFMIn8Sb6rHg01A5CpgQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=320.84048&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-09-17T23:26:23.307Z,,,,,,,,,,,
https://www.google.com/maps/place/Sonder+Hospice/data=!4m7!3m6!1s0x865b4b10eb46c0ab:0xe0c9b90825e63ba8!8m2!3d30.3435982!4d-97.7076432!16s%2Fg%2F11j3x5cljk!19sChIJq8BG6xBLW4YRqDvmJQi5yeA,Sonder Hospice,5.0,19,Hospice,"223 W Anderson Ln. suite b700, Austin, TX 78752, United States","87VR+CW Austin, Texas, USA",https://sonderhospice.com/,+1 512-354-7222,"Open 24 hours

Confirmed by this business 2 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FB3_2ck8Bol2Yu_b1kwvEA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=130.32735&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-09-17T23:26:28.241Z,LGBTQ+ friendly,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Harden+Healthcare/data=!4m7!3m6!1s0x8644ce7f94c21381:0x1445ce95cc0f2fd2!8m2!3d30.2749501!4d-97.7657142!16s%2Fg%2F1hc1_cq3r!19sChIJgRPClH_ORIYR0i8PzJXORRQ,Harden Healthcare,,,Corporate campus,"1703 W 5th St, Austin, TX 78703, United States","76FM+XP Austin, Texas, USA",,+1 512-634-4965,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-eiCmygb4Qfopr8HXz7zbQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=207.86667&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-09-17T23:26:31.255Z,,,,,,,,,,,
