placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,isBlackOwned,attributes,error
https://www.google.com/maps/place/MyWellbrook+Health+Psychiatry/data=!4m7!3m6!1s0x89c3ad719dacec6b:0x5ea700e291706966!8m2!3d40.7425757!4d-74.1687227!16s%2Fg%2F11trvvtpwm!19sChIJa-ysnXGtw4kRZmlwkeIAp14,MyWellbrook Health Psychiatry,4.8,322,Psychiatrist,"550 Broad St Ste 606, Newark, NJ 07102, United States","PRVJ+2G Newark, New Jersey, USA",http://www.mywellbrook.com/,+1 201-822-1161,Closed · Opens 8 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNLzVcdRzJi6WD8WnQJ1KqWNqoc3Z4i8RBk5cy0=w408-h271-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,9 am–2 pm,9 am–2 pm,"https://www.google.com/maps/search/Psychiatry+clinics+in+Newark+NJ/@40.7483847,-74.189084,14z",2025-12-16T03:36:37.922Z,,,
https://www.google.com/maps/place/North+Ward+Behavioral+Health+Center/data=!4m7!3m6!1s0x89c255f3c822a145:0x4e55532f1fec21e6!8m2!3d40.7692231!4d-74.1693953!16s%2Fg%2F11mhfsjpzt!19sChIJRaEiyPNVwokR5iHsHy9TVU4,North Ward Behavioral Health Center,4.8,161,Psychiatric hospital,"508-510 Mt Prospect Ave, Newark, NJ 07104, United States","QR9J+M6 Newark, New Jersey, USA",https://www.nirvanahealthcare.com/north-ward-behavioral-health-center?utm_source=organic&utm_medium=social&utm_campaign=1seo_gmb_profile,+1 866-508-4803,Closed · Opens 9 am Tue,,https://lh3.googleusercontent.com/p/AF1QipPaCjnNPjduNw6DVyYWO6H2jucJHIrRvPQXvgJn=w408-h272-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Newark+NJ/@40.7483847,-74.189084,14z",2025-12-16T03:36:43.533Z,,,
https://www.google.com/maps/place/University+Behavioral+Health+Care+at+Newark+%28Rutgers+Health%29/data=!4m7!3m6!1s0x89c25366c0637415:0xc919f5f4ab496734!8m2!3d40.7392672!4d-74.1899555!16s%2Fg%2F1v42gqcr!19sChIJFXRjwGZTwokRNGdJq_T1Gck,University Behavioral Health Care at Newark (Rutgers Health),3.1,65,Mental health service,"183 S Orange Ave, Newark, NJ 07103, United States","PRQ6+P2 Newark, New Jersey, USA",http://ubhc.rutgers.edu/,+1 800-969-5300,Closed · Opens 8 am Tue,,https://lh3.googleusercontent.com/p/AF1QipNlea-csW5ikcV5zOagt4LOreTUKZK20h7LyME=w408-h254-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Newark+NJ/@40.7483847,-74.189084,14z",2025-12-16T03:36:48.250Z,,,
https://www.google.com/maps/place/Cedarview+Health+Psychiatry+and+Therapy/data=!4m7!3m6!1s0x89c255bfa3e416cb:0xb3ff5ddac837073a!8m2!3d40.7433135!4d-74.207779!16s%2Fg%2F11lzcwc8b4!19sChIJyxbko79VwokROgc3yNpd_7M,Cedarview Health Psychiatry and Therapy,4.6,37,Psychiatrist,"511 S Orange Ave, Newark, NJ 07103, United States","PQVR+8V Newark, New Jersey, USA",https://www.cedarview.health/,+1 973-755-2887,Closed · Opens 8 am Tue,Identifies as women-owned,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pUHv4O4-gcwv-DtwC0Z5-Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=12.317162&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Newark+NJ/@40.7483847,-74.189084,14z",2025-12-16T03:36:53.139Z,true,,
https://www.google.com/maps/place/Reservoir+Health+Psychiatry/data=!4m7!3m6!1s0x89c2552e830dcfa3:0xa1d8301fa53bcfea!8m2!3d40.7676512!4d-74.1689477!16s%2Fg%2F11tffcmj88!19sChIJo88Ngy5VwokR6s87pR8w2KE,Reservoir Health Psychiatry,3.1,20,Mental health clinic,"467 Mt Prospect Ave, Newark, NJ 07104, United States","QR9J+3C Newark, New Jersey, USA",https://www.myreservoirhealth.com/,+1 856-818-4020,Closed · Opens 8 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s3F2VWMtpPnpGZ8Oo7PlzA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=121.01109&pitch=0&thumbfov=100,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/Psychiatry+clinics+in+Newark+NJ/@40.7483847,-74.189084,14z",2025-12-16T03:36:57.910Z,,,
https://www.google.com/maps/place/True+Care+Mental+Health+Clinic/data=!4m7!3m6!1s0x89c253f5fc93e58b:0xaba71392c2d794fc!8m2!3d40.7271747!4d-74.1723921!16s%2Fg%2F11f6d79st3!19sChIJi-WT_PVTwokR_JTXwpITp6s,True Care Mental Health Clinic,3.5,6,Mental health clinic,"18B Oliver St, Newark, NJ 07102, United States","PRGH+V2 Newark, New Jersey, USA",http://truecareusa.com/,+1 973-877-1900,Closed · Opens 9 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1YGguZZKs_4h_H3ZuFpJBQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=10.685291&pitch=0&thumbfov=100,true,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Newark+NJ/@40.7483847,-74.189084,14z",2025-12-16T03:37:02.738Z,,,
https://www.google.com/maps/place/Thriveworks+Counseling+%26+Psychiatry+Newark/data=!4m7!3m6!1s0x89c253d16fa03229:0x1c480165ddf5a0c5!8m2!3d40.7228494!4d-74.1632497!16s%2Fg%2F11n00pg6bs!19sChIJKTKgb9FTwokRxaD13WUBSBw,Thriveworks Counseling & Psychiatry Newark,4.7,82,Counselor,"290 Chestnut St #217, Newark, NJ 07105, United States","PRFP+4P Newark, New Jersey, USA",https://thriveworks.com/newark-counseling/?utm_source=GMBlisting&utm_medium=organic&field:8499441=GMB,+1 862-500-4813,,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOdnjc4OpoybZB1TKDxsC7KI8HRCEJOW8A1Rpsc=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+Newark+NJ/@40.7483847,-74.189084,14z",2025-12-16T03:37:07.787Z,,,
https://www.google.com/maps/place/Hope+%26+Esperanza+Community+Health+Center/data=!4m7!3m6!1s0x89c2554fd69a335f:0x7cc9d0849788948d!8m2!3d40.7792093!4d-74.1641158!16s%2Fg%2F11ppj49l7y!19sChIJXzOa1k9VwokRjZSIl4TQyXw,Hope & Esperanza Community Health Center,4.8,87,Medical clinic,"788 Mt Prospect Ave 2nd Floor, Newark, NJ 07104, United States","QRHP+M9 Newark, New Jersey, USA",https://www.hechealth.com/?utm_source=gmb_auth,+1 973-433-9773,Closed · Opens 9 am Tue,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyJNrVF2qlJkAPj6xCS8wFKu7Pal9heTnbDFYD0yP498wMVhXSopx3zg4z-UUI9TerInuYvghw6AIudjIFzxsWAjvIns_5hrFQAlUmPwB_qTA1seqgaHQUwFWg6WvMbioU5BmMb=w408-h862-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–1 pm,9 am–1 pm,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Newark+NJ/@40.7483847,-74.189084,14z",2025-12-16T03:37:12.618Z,,,
"https://www.google.com/maps/place/Cathedral+Healthcare+Services/@40.7438855,-74.1747061,17z/data=!3m1!4b1!4m6!3m5!1s0x89c25481ef29bac3:0xe17c4b51c0040afd!8m2!3d40.7438855!4d-74.1747061!16s%2Fg%2F1tzgq3j6",Cathedral Healthcare Services,5.0,1,Mental health service,"268 Dr Martin Luther King Jr Blvd, Newark, NJ 07102, United States","PRVG+H4 Newark, New Jersey, USA",,+1 973-242-6274,,,,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Newark+NJ/@40.7483847,-74.189084,14z",2025-12-16T03:37:17.251Z,,,
https://www.google.com/maps/place/Eagle+Health+Services+llc/data=!4m7!3m6!1s0x89c253373b5625d9:0x11a3f6a4023ff18e!8m2!3d40.7331892!4d-74.1636087!16s%2Fg%2F11h_5_t2fs!19sChIJ2SVWOzdTwokRjvE_AqT2oxE,Eagle Health Services llc,5.0,2,Medical clinic,"18 Ferry St suite 2, Newark, NJ 07105, United States","PRMP+7H Newark, New Jersey, USA",,+1 973-589-3566,Closed · Opens 9 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2U4YxffGLh2gEmwFSsMWwQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=47.365566&pitch=0&thumbfov=100,true,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–1 pm,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Newark+NJ/@40.7483847,-74.189084,14z",2025-12-16T03:37:21.935Z,,,
