placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/Real+Property+Management+Hometown+-+Central+Arkansas/data=!4m7!3m6!1s0x87cd535af51a11a5:0x6a68fca1377adc1f!8m2!3d34.5747469!4d-92.5906981!16s%2Fg%2F11fkwh7flj!19sChIJpREa9VpTzYcRH9x6N6H8aGo,Real Property Management Hometown - Central Arkansas,4.4,195,Property management company,"1210 Hot Springs Hwy Suite C, Benton, AR 72019, United States","HCF5+VP Benton, Arkansas, USA",https://www.rpmhometown.com/?cid=LSTL_RPM000203&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 501-303-6870,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noHqWWMJhap77xRwgTxXas4Yc_tHTEoy711Tq-uS8erF4Bep9gAVzej9DvfLvXRZ-W7PG6rbpzAxG3Ye9fHb7DYsBVSN7rML2UZweMbz_qiX1v0hhL4NmSJcriBuRJH9GXQuItvAQ=w408-h306-k-no,true,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-09-25T17:01:04.527Z,,,,
https://www.google.com/maps/place/Titan+Property+Management/data=!4m7!3m6!1s0x87cd530e8dd71815:0x8058e270a5edc3d0!8m2!3d34.5661082!4d-92.604393!16s%2Fg%2F11qp52bv79!19sChIJFRjXjQ5TzYcR0MPtpXDiWIA,Titan Property Management,4.2,20,Property management company,"204 Woodland, Benton, AR 72019, United States","H98W+C6 Benton, Arkansas, USA",https://www.titanpropmgmt.com/,+1 501-315-2075,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SwrHZEw8tWcUqktzS62Lvw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=285.95615&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-09-25T17:01:10.287Z,,,,
"https://www.google.com/maps/place/Castle+Properties/@34.5948866,-92.5717981,17z/data=!3m1!4b1!4m6!3m5!1s0x87cd5149996a35c9:0x22068e8808b37282!8m2!3d34.5948866!4d-92.5717981!16s%2Fg%2F11h9nb1jmy",Castle Properties,3.0,9,Property management company,"151 Summerwood Dr, Benton, AR 72019, United States","HCVH+X7 Benton, Arkansas, USA",https://mycastlehome.com/,+1 501-315-4900,Open ⋅ Closes 5 pm,,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-09-25T17:01:17.729Z,,,,
https://www.google.com/maps/place/Prime+Realty+and+Property+Management/data=!4m7!3m6!1s0x87cd5183a4652665:0xdf2a3207e94bd35c!8m2!3d34.6014105!4d-92.5493572!16s%2Fg%2F11t5m0_y4s!19sChIJZSZlpINRzYcRXNNL6QcyKt8,Prime Realty and Property Management,4.3,53,Property management company,"410 AR-5, Benton, AR 72019, United States","JF22+H7 Benton, Arkansas, USA",https://primerealtyandpropertymanagement.com/,+1 501-304-8342,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipPiownFSb-s0ZLzTyS4b-bktn8DUnl6KZgckZ-o=w408-h272-k-no,true,9 am–4 pm,9 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-09-25T17:01:23.223Z,,,,
https://www.google.com/maps/place/Arvest+Asset+Management/data=!4m7!3m6!1s0x87cd51805860dc37:0xf3d83ec90a17ab1e!8m2!3d34.5718854!4d-92.5816108!16s%2Fg%2F11gbp3l_1s!19sChIJN9xgWIBRzYcRHqsXCsk-2PM,Arvest Asset Management,3.0,2,Property management company,"925 Military Rd, Benton, AR 72015, United States","HCC9+Q9 Benton, Arkansas, USA",http://arvest.com/,+1 501-303-2015,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3anBoa03CgME5YppRaYOKg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=98.88548&pitch=0&thumbfov=100,false,7 am–5 pm,7 am–5 pm,7 am–12 pm,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-09-25T17:01:28.306Z,,,,
https://www.google.com/maps/place/Arkansas+Property+Partners+LLC/data=!4m7!3m6!1s0x87cd53125d402ab9:0x892e8bb6c6a6d4db!8m2!3d34.5582677!4d-92.6084579!16s%2Fg%2F11m6r60_bt!19sChIJuSpAXRJTzYcR29SmxraLLok,Arkansas Property Partners LLC,,,Property management company,"1818 Jackman St, Benton, AR 72015, United States","H95R+8J Benton, Arkansas, USA",,+1 501-559-5199,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XNTeffBEFd_4xKwwpRHWwA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=177.79951&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-09-25T17:01:33.199Z,,,,
https://www.google.com/maps/place/Century+21+Parker+%26+Scroggins+Realty/data=!4m7!3m6!1s0x87cd522417b8b39b:0xb4eafdd92b61739e!8m2!3d34.5830571!4d-92.5696852!16s%2Fg%2F11g6nbsx80!19sChIJm7O4FyRSzYcRnnNhK9n96rQ,Century 21 Parker & Scroggins Realty,4.7,88,Real estate agency,"2023 Military, 2023 Military Rd, Benton, AR 72015, United States","HCMJ+64 Benton, Arkansas, USA",http://www.c21parkerscroggins.com/,+1 501-316-4088,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipN7XRMpf6lMrJp8LgixlavY0UN7y3Hnd2M2U6pz=w408-h306-k-no,true,9 am–4 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-09-25T17:01:38.220Z,Identifies as women-owned,,,
https://www.google.com/maps/place/McGraw+Realtors+-+Benton/data=!4m7!3m6!1s0x87cd53df770b2e91:0xf89428c0255e98b8!8m2!3d34.5652395!4d-92.589436!16s%2Fg%2F11s2rr5grl!19sChIJkS4Ld99TzYcRuJheJcAolPg,McGraw Realtors - Benton,5.0,62,Real estate agency,"310 W Conway St, Benton, AR 72015, United States","HC86+36 Benton, Arkansas, USA",http://www.mcgrawrealtors.com/,+1 501-443-8300,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNRWJP51S4XpOoQN67QoLq8MBJs4GTpyNM8JAcG=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-09-25T17:01:43.387Z,,,,
https://www.google.com/maps/place/Jabo+Properties/data=!4m7!3m6!1s0x87cd513a9c372dc7:0xa65fb2884135bdc7!8m2!3d34.575589!4d-92.577912!16s%2Fg%2F1tfrsg36!19sChIJxy03nDpRzYcRx701QYiyX6Y,Jabo Properties,2.7,7,Real estate rental agency,"1227 Military Rd, Benton, AR 72015, United States","HCGC+6R Benton, Arkansas, USA",https://jaboproperties.com/,+1 501-326-8000,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wAFRNOSlqdtWgfRFFSUG8Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=140.0595&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-09-25T17:01:46.663Z,,,,
"https://www.google.com/maps/place/search+rental+homes+in+haskell,+benton+%26+bryant+arkansas/data=!4m7!3m6!1s0x87cd517f79774c87:0xe054c206f8f3ac76!8m2!3d34.573335!4d-92.5795594!16s%2Fg%2F11d_78m0x1!19sChIJh0x3eX9RzYcRdqzz-AbCVOA","search rental homes in haskell, benton & bryant arkansas",3.7,6,Real estate agency,"1100 Ferguson Dr, Benton, AR 72015, United States","HCFC+85 Benton, Arkansas, USA",https://rentsalinecounty.com/,+1 501-315-9370,Open ⋅ Closes 4:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=F624O4vtO2RKpRnFq-qGIw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=281.5407&pitch=0&thumbfov=100,false,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,Closed,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-09-25T17:01:51.792Z,,,,
