placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,info
https://www.google.com/maps/place/Mid-Town+Mechanical+Services/data=!4m7!3m6!1s0x87cd502336235573:0xde88b32c971d62ac!8m2!3d34.5635478!4d-92.6011564!16s%2Fg%2F11bzt8pprp!19sChIJc1UjNiNQzYcRrGIdlyyziN4,Mid-Town Mechanical Services,4.9,279,Plumber,"1218 W South St, Benton, AR 72015, United States","H97X+CG Benton, Arkansas, USA",https://www.midtownmechanicalservices.com/,+1 501-765-5380,Closed ⋅ Opens 7:30 am Tue,https://lh3.googleusercontent.com/p/AF1QipME69eZU1HcGT6Xwp0KPT5yzqgB1eUEznjQwb_s=w426-h240-k-no,true,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-11T03:10:39.447Z,,
https://www.google.com/maps/place/LaRue+Plumbing+Inc/data=!4m7!3m6!1s0x87cd4e14bf60e8ad:0x3b91d4cdeb380f9!8m2!3d34.5564797!4d-92.574401!16s%2Fg%2F1tf1pc9r!19sChIJrehgvxROzYcR-YCz3kwduQM,LaRue Plumbing Inc,4.3,30,Plumber,"720 Normandy St, Benton, AR 72015, United States","HC4G+H6 Benton, Arkansas, USA",,+1 501-315-6300,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UyJh6GruVxA4kmlOxwasww&cb_client=search.gws-prod.gps&w=408&h=240&yaw=93.42825&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/plumbing++services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-11T03:10:42.912Z,,
https://www.google.com/maps/place/Arkansas+Leak+Detection/data=!4m7!3m6!1s0x4b87e9fe66c3294d:0x4e876a4cfc8563e5!8m2!3d34.5836155!4d-92.5697016!16s%2Fg%2F11tx6_3r17!19sChIJTSnDZv7ph0sR5WOF_Exqh04,Arkansas Leak Detection,4.9,322,Plumber,"2022 Military Rd, Benton, AR 72015, United States","HCMJ+C4 Benton, Arkansas, USA",https://arkansasleaks.com/,+1 501-850-6674,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipN-MiSqrCkr04WjQqQXx0YTKBUel2kOUVPFwnZe=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-11T03:10:48.385Z,,
https://www.google.com/maps/place/I+Rooter+Arkansas/data=!4m7!3m6!1s0x87cd53df5efa3f15:0x6f34a104c957eeb8!8m2!3d34.5701214!4d-92.5633943!16s%2Fg%2F12q4qxllz!19sChIJFT_6Xt9TzYcRuO5XyQShNG8,I Rooter Arkansas,4.9,9,Plumber,"811 Rosewood Dr, Benton, AR 72015, United States","HCCP+2J Benton, Arkansas, USA",,+1 501-580-3238,Closed ⋅ Opens 7 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ipLg1TlB81qFdOc-K1sRxg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=103.154564&pitch=0&thumbfov=100,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/plumbing++services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-11T03:10:53.346Z,,
https://www.google.com/maps/place/Mitchell+Plumbing+LLC/data=!4m7!3m6!1s0xa12dd04811fba97:0xa3b6a7af82a0e0f1!8m2!3d34.7864704!4d-92.639854!16s%2Fg%2F11t8c1m09t!19sChIJl7ofgQTdEgoR8eCggq-ntqM,Mitchell Plumbing LLC,5.0,27,Plumber,,,http://mitchellplumbingllc.com/,+1 501-249-6431,Closed ⋅ Opens 7:30 am Tue,https://lh3.googleusercontent.com/p/AF1QipMHG9qRrkbF5mbpmoZJrAkppxsqXVUTNKN9fCZG=w408-h544-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-11T03:10:58.076Z,,
https://www.google.com/maps/place/Arkansas+Plumbing+Solutions+LLC/data=!4m7!3m6!1s0x87cd552f553ca0b7:0x7a5bd3f0a89882f5!8m2!3d34.667064!4d-92.6136225!16s%2Fg%2F11fk94b40x!19sChIJt6A8VS9VzYcR9YKYqPDTW3o,Arkansas Plumbing Solutions LLC,5.0,18,Plumber,,,https://arplumbingsolution.wixsite.com/website,+1 501-326-3766,Closed ⋅ Opens 7 am Tue,https://lh3.googleusercontent.com/p/AF1QipNA8Jx2yDb8P0RMT-7e_-60kXKryJDqHJP-IVLq=w426-h240-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-11T03:11:02.855Z,,
https://www.google.com/maps/place/Wilson+Plumbing+Services/data=!4m7!3m6!1s0x87cd5141d746614d:0xbeffc3753a7bbbc5!8m2!3d34.617225!4d-92.5995501!16s%2Fg%2F11j5f9kx51!19sChIJTWFG10FRzYcRxbt7OnXD_74,Wilson Plumbing Services,5.0,14,Plumber,"2301 Mulberry Salem Rd, Benton, AR 72019, United States","JC82+V5 Benton, Arkansas, USA",https://wilsonplumbingservices.com/,+1 501-722-2718,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipMEuzj2xfgC2e4c0RJIlnlv4YWC87Ev3ZMoRlci=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-11T03:11:07.821Z,,
https://www.google.com/maps/place/Prestige+Plumbing/data=!4m7!3m6!1s0x87cd51129c70a0d3:0x7f464a8d6c74b31d!8m2!3d34.592167!4d-92.581392!16s%2Fg%2F1260hrzhb!19sChIJ06BwnBJRzYcRHbN0bI1KRn8,Prestige Plumbing,4.1,17,Plumber,,,,+1 501-804-2582,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyXqpTOIBlw8t47zNj-FQKcTafCW9IJlhUZjR4o_3wos9Tq7IvMKGBHkfLRgyvs7q5QrXPnrDhf2WWVEN2opjOHP-CwBzl1eeVsOsMl7exWvmjMaM-y7EdI_xJ4vAsSwyQq8dxkTg=w443-h240-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-11T03:11:12.662Z,,
https://www.google.com/maps/place/Grandon+Plumbing+%26+Rooter/data=!4m7!3m6!1s0x87cd5159a83d2c35:0x67aa3898f4a102be!8m2!3d34.5738854!4d-92.5519279!16s%2Fg%2F1tlbv7jm!19sChIJNSw9qFlRzYcRvgKh9Jg4qmc,Grandon Plumbing & Rooter,5.0,4,Plumber,"2611 Spring Creek Dr, Benton, AR 72015, United States","HCFX+H6 Benton, Arkansas, USA",,+1 501-840-1467,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AgTUhT2H3p05Nl3f0jW9Qg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=89.50236&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/plumbing++services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-11T03:11:15.475Z,,
https://www.google.com/maps/place/Arkansas+Power+Snake+Plumbing/data=!4m7!3m6!1s0x87cd523daa4027cf:0xbdb131edc6e04ff7!8m2!3d34.5557082!4d-92.5967724!16s%2Fg%2F1tfzsg0c!19sChIJzydAqj1SzYcR90_gxu0xsb0,Arkansas Power Snake Plumbing,1.0,1,Plumber,"1024 River St, Benton, AR 72015, United States","HC43+77 Benton, Arkansas, USA",,+1 501-778-6248,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BRdmfP49iHnK-LlzauUZqQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=131.61127&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/plumbing++services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-11T03:11:18.170Z,,
