placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,info,isBlackOwned
https://www.google.com/maps/place/Northside+Power/data=!4m7!3m6!1s0x87cd5219876d3ffb:0xb19605fe55e7d38a!8m2!3d34.6269591!4d-92.5734982!16s%2Fg%2F1v3knln9!19sChIJ-z9thxlSzYcRitPnVf4FlrE,Northside Power,4.8,422,Electric generator shop,· In-store pick-up · Delivery,"6834 Congo Rd, Benton, AR 72019, United States","JCGG+QJ Benton, Arkansas, USA",https://northsidepower.com/,+1 501-315-7213,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPdTJKuNQDKwtSyERBeYU1AFreTyzXCP4DJ5UzO=w408-h306-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2026-01-10T21:23:22.249Z,,
"https://www.google.com/maps/place/Tri-State+Water,+Power,+and+Air/data=!4m7!3m6!1s0x87d2a6c5e5304089:0x17166622c87ae8d7!8m2!3d34.6326378!4d-92.4602986!16s%2Fg%2F11g9qm_vkw!19sChIJiUAw5cWm0ocR1-h6yCJmFhc","Tri-State Water, Power, and Air",4.9,696,Electric generator shop,· In-store pick-up,"3009 Corporate Center Dr, Bryant, AR 72022, United States","JGMQ+3V Bryant, Arkansas, USA",http://www.tristatewhywait.com/,+1 877-301-7693,,https://lh3.googleusercontent.com/p/AF1QipOwz-TlV1bs3y34Qc3-sxYpKOA5aWqminBM8lk3=w408-h291-k-no,true,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2026-01-10T21:23:26.829Z,,
https://www.google.com/maps/place/Eagle+Electric/data=!4m7!3m6!1s0x87cd56cba3048759:0x251a685b552d3933!8m2!3d34.5962922!4d-92.5361195!16s%2Fg%2F1th0ywx_!19sChIJWYcEo8tWzYcRMzktVVtoGiU,Eagle Electric,3.5,17,Electrician,,"4355 Boone Rd, Benton, AR 72015, United States","HFW7+GH Benton, Arkansas, USA",http://www.eaglelectric.com/,+1 501-316-1236,Closed · Opens 7 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7qmKVTj-T3HE8OULQEoP6g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=205.1381&pitch=0&thumbfov=100,true,Closed,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2026-01-10T21:23:31.669Z,,
https://www.google.com/maps/place/Elite+Power+Services/data=!4m7!3m6!1s0xa0f7d39e200259f5:0x3d0e4b1031566d80!8m2!3d34.7520156!4d-92.129428!16s%2Fg%2F11vp_qstj0!19sChIJ9VkCIJ7T96ARgG1WMRBLDj0,Elite Power Services,5.0,71,Electrician,,,,https://www.elitepowergenerators.com/,+1 501-617-8971,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSylHCpeWfkhGYbiDssT3BRmf5REiAbAArIzhdEU8auNaI0R0oxBUdSuPzDO8KLcDVSZtpQiKxSJOCVEWsPxgHYrF9uP6SaWI3ty3tOUDuUv_xJOZAz7dzcuj7kwPm5vARcMIL7W=w408-h306-k-no,true,8 am–3 pm,Closed,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/generator+installation+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2026-01-10T21:23:36.101Z,Identifies as veteran-owned,
https://www.google.com/maps/place/Grounded+Electric+Etc./data=!4m7!3m6!1s0x87d2be697c1d5929:0xd1e8609f9bc88df8!8m2!3d34.5830517!4d-92.5563629!16s%2Fg%2F11g9dq4plx!19sChIJKVkdfGm-0ocR-I3Im59g6NE,Grounded Electric Etc.,5.0,49,Electrician,,"2215 Redwood Dr, Benton, AR 72015, United States","HCMV+6F Benton, Arkansas, USA",https://www.groundedelectricetc.com/,+1 501-779-8658,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPBo6El9czTRzOYxt3UfKHbUTb_EKVQsnlBdivH=w408-h543-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2026-01-10T21:23:40.468Z,,
https://www.google.com/maps/place/Genset+Service+Solutions+LLC/data=!4m7!3m6!1s0x87cd51a1dac6e8b1:0xd690c033e20558ae!8m2!3d34.6386012!4d-92.5586487!16s%2Fg%2F11m5kt4fz0!19sChIJsejG2qFRzYcRrlgF4jPAkNY,Genset Service Solutions LLC,5.0,4,Electric generator shop,,"7946 Renee Cir, Benton, AR 72019, United States","JCQR+CG Benton, Arkansas, USA",,+1 501-626-3170,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-H0VXkpLsp-93PT9FU7IBw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=13.399937&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2026-01-10T21:23:45.337Z,,
https://www.google.com/maps/place/B-Town+Electric+and+Services/data=!4m7!3m6!1s0xa3f8c699fa7dba31:0xa9b15ef5c472ad0a!8m2!3d34.5535536!4d-92.5472139!16s%2Fg%2F11vdnk5pms!19sChIJMbp9-pnG-KMRCq1yxPVesak,B-Town Electric and Services,5.0,12,Electrician,,"804 Coral Cove, Benton, AR 72015, United States","HF33+C4 Benton, Arkansas, USA",,+1 501-303-8326,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMfv11TPbdYajq88MGFxXjsZv9W7wT6MfBvLr_W=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2026-01-10T21:23:49.700Z,,
"https://www.google.com/maps/place/Benton+Electrical+Service/@34.707724,-92.3949665,9z/data=!3m1!4b1!4m6!3m5!1s0x87cd5160d8a36ee3:0xcff4b9d2821e7152!8m2!3d34.707724!4d-92.3949665!16s%2Fg%2F1tdbrdcy",Benton Electrical Service,4.6,12,Electrician,,,,,+1 501-680-0388,Closed · Opens 8 am Mon,,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2026-01-10T21:23:56.213Z,,
"https://www.google.com/maps/place/Middlebrooks+Electric+Service,+Inc./data=!4m7!3m6!1s0x87cd522ec1c87bcf:0x9d94aec711bb1c31!8m2!3d34.5562761!4d-92.5854556!16s%2Fg%2F11hy9npk9t!19sChIJz3vIwS5SzYcRMRy7EceulJ0","Middlebrooks Electric Service, Inc.",4.1,41,Electrician,,"718 S East St, Benton, AR 72015, United States","HC47+GR Benton, Arkansas, USA",http://www.middlebrooksinc.com/,+1 501-778-4646,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipNrGGrczknhF31pDLIRVoWIvCfjceVTxkOxDI_-=w408-h385-k-no,true,Closed,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2026-01-10T21:24:00.715Z,,
"https://www.google.com/maps/place/Riggs+Rents+Equipment+-+Aerial+Lifts,+Earthmoving,+Light+Towers,+Power+Generation/data=!4m7!3m6!1s0x87cd521b7e728b4d:0xf6736b54c2ffbbc2!8m2!3d34.6036359!4d-92.537049!16s%2Fg%2F1tffvghw!19sChIJTYtyfhtSzYcRwrv_wlRrc_Y","Riggs Rents Equipment - Aerial Lifts, Earthmoving, Light Towers, Power Generation",4.2,87,Equipment rental agency,,"20453 I-30, Benton, AR 72015, United States","JF37+F5 Benton, Arkansas, USA",https://riggsrents.com/,+1 501-570-4300,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipMHkuNt_Pu56zfC0ge64S5JYaLFDDdK2jSShfMS=w426-h240-k-no,true,Closed,Closed,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2026-01-10T21:24:05.341Z,,
