placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,info,attributes,error,isBlackOwned
https://www.google.com/maps/place/West+Side+Electric+Company/data=!4m7!3m6!1s0x54950a744e2c3473:0x404bef0ae543f969!8m2!3d45.5095394!4d-122.657595!16s%2Fg%2F1tflrqks!19sChIJczQsTnQKlVQRaflD5QrvS0A,West Side Electric Company,4.9,271,Electrician,"1834 SE 8th Ave, Portland, OR 97214, United States","G85R+RX Portland, Oregon, USA",http://www.westsideelectric.com/?utm_source=GMB&utm_medium=Website,+1 503-231-1548,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyVFRarmip2Hu96Rv5bStJnDmF30BwK-f9tzbZjdtblvDdHkbd8nLnpSg0JnDqbwX7pm-PuMkNCOdrtcaiI4rdNofPZ4-F9UyCSBtTE-7nrzhJ9JHvYhUvJ3v9uGo46mCjM4H4=w408-h544-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:13:11.372Z,,,,
https://www.google.com/maps/place/Young+Electric+LLC/data=!4m7!3m6!1s0x5495095c00000001:0x1d290798e54c913e!8m2!3d45.5060502!4d-122.778735!16s%2Fg%2F1thqgg8g!19sChIJAQAAAFwJlVQRPpFM5ZgHKR0,Young Electric LLC,4.8,1419,Electrician,"9999 SW Wilshire St # 221, Portland, OR 97225, United States","G64C+CG Portland, Oregon, USA",https://youngelectricco.com/?utm_source=google&utm_medium=organic&utm_campaign=portland-gbp-main,+1 503-706-9867,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipNuCWDPB06P-a2QPDktvX6jgGN1R5EytkVBAqY5=w408-h271-k-no,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:13:17.294Z,,,,
https://www.google.com/maps/place/Rose+City+Electric+Co/data=!4m7!3m6!1s0x54950af9b7ebefb3:0x320b50c3f9d9cb89!8m2!3d45.5380318!4d-122.7107685!16s%2Fg%2F1hf3ct2zz!19sChIJs-_rt_kKlVQRicvZ-cNQCzI,Rose City Electric Co,3.8,31,Electrician,"2150 NW 29th Ave, Portland, OR 97210, United States","G7QQ+6M Portland, Oregon, USA",http://www.rosecityelectricco.com/,+1 503-287-6164,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNfkGRZtJlfnhom5FOMKlRHGPujqZiSpGhXg4-u=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:13:22.175Z,,,,
https://www.google.com/maps/place/Mr.+Electric+of+Portland/data=!4m7!3m6!1s0x54950af78c47c155:0xd55d5dd554c3a933!8m2!3d45.565832!4d-122.5386202!16s%2Fg%2F11rvt7njq!19sChIJVcFHjPcKlVQRM6nDVNVdXdU,Mr. Electric of Portland,4.8,821,Electrician,"5933 NE Win Sivers Dr #205, Portland, OR 97220, United States","HF86+8H Portland, Oregon, USA",https://mrelectric.com/portland-or/?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 503-470-6202,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMTDFLusrUZTYF6WNkO48-WQ5gOLUKy2kQS1-k3=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:13:27.249Z,Identifies as veteran-owned,,,
https://www.google.com/maps/place/Portland+Metro+Electric/data=!4m7!3m6!1s0x54959e7bbe4dd283:0x92b338e1c01298c7!8m2!3d45.4577693!4d-122.5769917!16s%2Fg%2F11f4pkbqvx!19sChIJg9JNvnuelVQRx5gSwOE4s5I,Portland Metro Electric,5.0,293,Electrician,"8415 SE Hinkley Ave, Happy Valley, OR 97086, United States","FC5F+46 Happy Valley, Oregon, USA",https://www.portlandmetroelectric.com/,+1 503-863-7733,"Open 24 hours

Updated by this business 2 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPQcXeK05lFEsr8bXPvyodk9_2AiFv6f-Dz5cWv=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:13:32.145Z,Identifies as women-owned,,,
https://www.google.com/maps/place/Power+Systems+West/data=!4m7!3m6!1s0x5495a79c0c63a5a3:0x82bd9158647f56f5!8m2!3d45.5356693!4d-122.6949731!16s%2Fg%2F11gfh5c4jq!19sChIJo6VjDJynlVQR9VZ_ZFiRvYI,Power Systems West,4.1,11,Electric generator shop,"1805 NW 21st Ave, Portland, OR 97209, United States","G8P4+72 Portland, Oregon, USA",https://powersystemswest.com/,+1 503-224-3623,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipPENhNQCeKfING6RxGkUlTGm8Ef6DOvQtFJUKKh=w408-h408-k-no,true,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:13:37.314Z,,· In-store pick-up · Delivery,,
https://www.google.com/maps/place/Portland+Power+Systems/data=!4m7!3m6!1s0x54950b0f85a28d39:0x1e5e5ed01aedf4a6!8m2!3d45.5138375!4d-122.683514!16s%2Fg%2F11v_134kbq!19sChIJOY2ihQ8LlVQRpvTtGtBeXh4,Portland Power Systems,,,Electric generator shop,"1500 SW Park Ave, Portland, OR 97201, United States","G878+GH Portland, Oregon, USA",,+1 971-257-5818,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9_iwDIS9mijBdRcHJuB_zQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=114.52822&pitch=0&thumbfov=100,true,8 am–5 pm,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:13:42.009Z,,,,
"https://www.google.com/maps/place/Smiley+Electric,+Inc.+%F0%9F%99%82+Portland+Electricians/data=!4m7!3m6!1s0x876c78420c0a05ef:0xeacbacd9ae4aed8!8m2!3d45.5369509!4d-122.6761208!16s%2Fg%2F1264g7tk2!19sChIJ7wUKDEJ4bIcR2K7kms26rA4","Smiley Electric, Inc. 🙂 Portland Electricians",4.7,44,Electrician,"820 N River St #205, Portland, OR 97227, United States","G8PF+QH Portland, Oregon, USA",http://smileyelectric.net/,+1 503-484-7556,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNzjYZNfgkzi8vp75av1W1AqBOg1XIRZ-6uDEC2=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:13:46.982Z,,,,
https://www.google.com/maps/place/Shift+Electric+Co./data=!4m7!3m6!1s0x5495a1a0f47f7197:0x7ba89435a3383544!8m2!3d45.5220034!4d-122.6554327!16s%2Fg%2F11wwfpm4k5!19sChIJl3F_9KChlVQRRDU4ozWUqHs,Shift Electric Co.,4.9,16,Electrician,"1001 SE Sandy Blvd Suite 110, Portland, OR 97214, United States","G8CV+RR Portland, Oregon, USA",https://www.shiftelectricco.com/,+1 503-914-4040,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNkIucO4lK1DiXouYawYrsOn4OGiRHG5snG7o_h=w408-h408-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:13:51.888Z,,,,
https://www.google.com/maps/place/Jarmer+Electric+Inc/data=!4m7!3m6!1s0x54950bbea85be955:0x1bacf60cd3bae5e4!8m2!3d45.4864784!4d-122.723616!16s%2Fg%2F1td2b0y5!19sChIJVelbqL4LlVQR5OW60wz2rBs,Jarmer Electric Inc,4.9,14,Electrician,"5105 SW 45th Ave #100, Portland, OR 97221, United States","F7PG+HH Portland, Oregon, USA",,+1 503-246-5381,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNS6KJPN6_cvWh6RRBxl9vjuiskmE0OyweH82Gz=w414-h240-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:13:56.821Z,,,,
"https://www.google.com/maps/place/Squires+Electric,+Inc./data=!4m7!3m6!1s0x5495a0a090e92f63:0x6358a5e3944a04ce!8m2!3d45.5184009!4d-122.6573459!16s%2Fg%2F11c5xx25rq!19sChIJYy_pkKCglVQRzgRKlOOlWGM","Squires Electric, Inc.",4.3,58,Electrician,"820 SE Washington St, Portland, OR 97214, United States","G89V+93 Portland, Oregon, USA",http://www.squireselectric.com/,+1 503-252-1609,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipNXu93e-9AKZPaEmk3VqpBQO688Dl_X6RQ514Yk=w408-h557-k-no,true,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:14:01.934Z,Identifies as veteran-owned,,,
https://www.google.com/maps/place/Callahan+Electric/data=!4m7!3m6!1s0x5495a073aea46725:0x8d106fd160390b4f!8m2!3d45.496902!4d-122.648604!16s%2Fg%2F1hc3mdq5s!19sChIJJWekrnOglVQRTws5YNFvEI0,Callahan Electric,4.9,81,Electrician,"1623 SE Lafayette St, Portland, OR 97202, United States","F9W2+QH Portland, Oregon, USA",http://callahanelectricpdx.com/,+1 503-421-4553,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzAPHudRnOpi3lHUskwEnWBzIHxkIpkIZPLaAL3iSxYfcD-OTkjn163uxQbALqzmK4Kdp7rvgM216LIvISSkCpGf7G767pPE1QOFrUcjMUawrCoSNOcdDfUmvl3LbD3naFQoYXw1Q=w408-h306-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:14:07.046Z,,,,
https://www.google.com/maps/place/Conrey+Electric/data=!4m7!3m6!1s0x54950a7463f1a9d3:0xb598e6a251c31758!8m2!3d45.5092561!4d-122.6591151!16s%2Fg%2F1thvx_03!19sChIJ06nxY3QKlVQRWBfDUaLmmLU,Conrey Electric,4.8,269,Electric motor store,"1903 SE 7th Ave, Portland, OR 97214, United States","G85R+P9 Portland, Oregon, USA",http://www.conreyelectric.com/,+1 503-232-9392,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPsxvLiwjNQE6khOuxuyMK8OlHWzw4xsYRiL_PG=w408-h306-k-no,true,8:30 am–12 pm,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:14:11.914Z,,· In-store pick-up,,
https://www.google.com/maps/place/SW+Salmon+Electrical+Contractors/data=!4m7!3m6!1s0x549509e3863995b7:0xfc81cc0045879d7f!8m2!3d45.518025!4d-122.683881!16s%2Fg%2F1td3r65n!19sChIJt5U5huMJlVQRf52HRQDMgfw,SW Salmon Electrical Contractors,4.2,28,Electrical installation service,"1020 SW Salmon St, Portland, OR 97205, United States","G898+6C Portland, Oregon, USA",,+1 971-316-8427,Closed · Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rsbBYwIVqUS9--peEzBPJg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=193.7347&pitch=0&thumbfov=100,false,Closed,Closed,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:14:16.768Z,,,,
https://www.google.com/maps/place/i-generator+llc/data=!4m7!3m6!1s0x549509c59480cbcd:0x1bc8aa6abe43277!8m2!3d45.5391617!4d-122.6997956!16s%2Fg%2F11rq0cf8gk!19sChIJzcuAlMUJlVQRdzLkq6aKvAE,i-generator llc,,,Design agency,"2337 NW York St, Portland, OR 97210, United States","G8Q2+M3 Portland, Oregon, USA",http://www.i-generator.com/,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hWL3Vr0cUbuiJGMvVIvAiQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=344.2577&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:14:19.502Z,,,,
https://www.google.com/maps/place/Falcon+Electric/data=!4m7!3m6!1s0x54950eb732eb02ed:0x82852bc15a2fc27f!8m2!3d45.5074203!4d-122.7822751!16s%2Fg%2F1tvq3v6g!19sChIJ7QLrMrcOlVQRf8IvWsErhYI,Falcon Electric,4.8,492,Electrician,"10180 SW Park Way # C, Portland, OR 97225, United States","G649+X3 Portland, Oregon, USA",https://callfalcon.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_id=GBP,+1 503-208-4709,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNhvwGf8fCGLQko5Q5n4ok-T7Vp9ZM48skAZhHX=w493-h240-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:14:24.457Z,Identifies as women-owned,,,
https://www.google.com/maps/place/Electric+XYZ/data=!4m7!3m6!1s0x549509a3de5c56b3:0x4d6e1ad9eb1a3cc!8m2!3d45.5287765!4d-122.6857348!16s%2Fg%2F11wfg2t2nb!19sChIJs1Zc3qMJlVQRzKOxnq3h1gQ,Electric XYZ,5.0,16,Electrical installation service,"1410 NW Kearney St APT 1010, Portland, OR 97209, United States","G8H7+GP Portland, Oregon, USA",https://www.electricxyz.com/,+1 503-869-9929,"Open · Closes 6 pm

Updated by this business 3 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPy11f5YcfkG7Em69XOf7un3vLvWASF8yr8kSLp=w408-h544-k-no,true,5 am–6 pm,5 am–5 pm,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:14:29.376Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Advance+Electric+Motors/data=!4m7!3m6!1s0x54950a796923242d:0xdaee7c3025c3417!8m2!3d45.5011385!4d-122.6493328!16s%2Fg%2F1tdz93x7!19sChIJLSQjaXkKlVQRFzRcAsPnrg0,Advance Electric Motors,4.7,29,Electric motor repair shop,"1612 SE Brooklyn St, Portland, OR 97202, United States","G922+F7 Portland, Oregon, USA",http://advanceelectricmotors.com/,+1 503-238-3944,Closed · Opens 7:30 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZmDpazI-71APsZFljHxHtg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=180.8241&pitch=0&thumbfov=100,true,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:14:34.378Z,,,,
https://www.google.com/maps/place/Gerryn+Energy/data=!4m7!3m6!1s0x5495a1897d3de959:0x547933015082942d!8m2!3d45.5609183!4d-122.5392273!16s%2Fg%2F11mvskxjsw!19sChIJWek9fYmhlVQRLZSCUAEzeVQ,Gerryn Energy,5.0,261,Electrician,"12023 NE Sumner St, Portland, OR 97220, United States","HF66+98 Portland, Oregon, USA",https://www.gerrynenergy.com/,+1 971-336-4516,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipNU23IAnE01a8lkZdqHaFqXBZuxKkK35fGTJOgK=w408-h271-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:14:39.377Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Alameda+Electric+LLC/data=!4m7!3m6!1s0x5495a6d36a008c39:0xaabc512029913a90!8m2!3d45.5478344!4d-122.6180082!16s%2Fg%2F11bwncpqjj!19sChIJOYwAatOmlVQRkDqRKSBRvKo,Alameda Electric LLC,4.2,55,Electrician,"3415 NE 44th Ave, Portland, OR 97213, United States","G9XJ+4Q Portland, Oregon, USA",https://www.alamedaelectricpdx.com/,+1 503-863-6887,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipO35wsEnBlrAlX03By2uKSe16qYOtq1fX5Sr_n5=w408-h408-k-no,true,Closed,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:14:44.304Z,,,,
https://www.google.com/maps/place/Sunset+Heating+%26+Cooling/data=!4m7!3m6!1s0x54950afb525614ad:0xb51d7309f48f03f3!8m2!3d45.4767964!4d-122.6727717!16s%2Fg%2F1tflxlsf!19sChIJrRRWUvsKlVQR8wOP9AlzHbU,Sunset Heating & Cooling,4.8,4640,HVAC contractor,"607 S Idaho St #100, Portland, OR 97239, United States","F8GG+PV Portland, Oregon, USA",https://www.sunsethc.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*197*sunset-heating-portland,+1 503-500-5855,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOobcp7Qy_FN5DVrxzN7FffQPus5kvp9If17PIL=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:14:49.380Z,,,,
https://www.google.com/maps/place/White+Lightning+Electric/data=!4m7!3m6!1s0x54950aac722e32ef:0x940e9c4b1fc43a6d!8m2!3d45.4681086!4d-122.6097703!16s%2Fg%2F1w4vjm_4!19sChIJ7zIucqwKlVQRbTrEH0ucDpQ,White Lightning Electric,4.9,244,Electrical installation service,"7524 SE 52nd Ave, Portland, OR 97206, United States","F99R+63 Portland, Oregon, USA",https://www.whitelightningpdx.com/,+1 503-772-3009,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwcATO44A6g5Wdk3uG7T40iIqteMEPSoheFiRnJDtMocEUybScsGFagFj7fYt9IipI_tWd6kcghHRSa6bOiJFyof8U61_CMNfHvnFGwDGPMMvlm7W7VwofMyL44Wf5xSYuVWAxz=w408-h544-k-no,true,Closed,Closed,7:30 am–3:30 pm,7:30 am–3:30 pm,7:30 am–3:30 pm,7:30 am–3:30 pm,7:30 am–3:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:14:54.251Z,,,,
https://www.google.com/maps/place/Standard+Hoist+%26+Winch+Standard+Electric+Motor+Service/data=!4m7!3m6!1s0x54950a712ea3af8b:0xc873d00e826fb6fc!8m2!3d45.5056352!4d-122.657003!16s%2Fg%2F1tj2bqc4!19sChIJi6-jLnEKlVQR_LZvgg7Qc8g,Standard Hoist & Winch Standard Electric Motor Service,4.6,7,Electric motor repair shop,"835 SE Division St, Portland, OR 97214, United States","G84V+75 Portland, Oregon, USA",,+1 503-232-3938,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy7l8f2UEoQ43EEMCcT98N-do2IoBfGX-TQBp0Cy3N7znocQFXTyKbqidZK1i4HXygUhOcUH3YhPCci2I1C3CfiQjcvbWddkZQ-Ne7VbxZlUt0zAzRLoOI7hQuRyLlneEqPz8Uo=w426-h240-k-no,false,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2026-01-10T22:14:59.147Z,,,,
