placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/Mississippi+Infusion+Services/data=!4m7!3m6!1s0x8628334f4f19e33f:0x352190f7ae6e013f!8m2!3d32.3135789!4d-90.1773097!16s%2Fg%2F11m7755dm7!19sChIJP-MZT08zKIYRPwFurveQITU,Mississippi Infusion Services,5.0,2,Medical office,"1190 N State St Suite 101, Jackson, MS 39202, United States","8R7F+C3 Jackson, Mississippi, USA",https://www.msinfusion.com/,+1 601-345-4525,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOvUm0nZeYQV32w-FoWj5CpnnW2nAH2or_-pyc3=w408-h336-k-no,true,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–12 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-09-29T00:16:46.643Z,,,,
https://www.google.com/maps/place/Infusia+IV+Hydration+and+MedSpa/data=!4m7!3m6!1s0x86282de14eb61a1f:0x28956a7ede3c32f!8m2!3d32.333632!4d-90.149357!16s%2Fg%2F11vyr_4g_z!19sChIJHxq2TuEtKIYRL8Pj7adWiQI,Infusia IV Hydration and MedSpa,5.0,60,Medical spa,"1425 Lakeland Dr Suite 100A, Jackson, MS 39216, United States","8VM2+F7 Jackson, Mississippi, USA",http://www.infusiaivhydrationmedspa.com/,+1 601-321-9637,Closed ⋅ Opens 10 am Tue,https://lh3.googleusercontent.com/p/AF1QipNxflGF2RXT68UQGEoDZhez9CyTkBVnG-N-5mrv=w408-h408-k-no,true,Closed,Closed,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,"https://www.google.com/maps/search/Infusion+centers+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-09-29T00:16:52.834Z,,,,
https://www.google.com/maps/place/Baptist+Cancer+Center+-+Jackson/data=!4m7!3m6!1s0x862832f9cfe80939:0x97fff045fcab6341!8m2!3d32.3150071!4d-90.1793597!16s%2Fg%2F1td1vthm!19sChIJOQnoz_kyKIYRQWOr_EXw_5c,Baptist Cancer Center - Jackson,4.8,16,Cancer treatment center,"1227 N State St, Jackson, MS 39202, United States","8R8C+27 Jackson, Mississippi, USA",http://www.baptistcancercenter.com/jackson,+1 601-948-1416,"Closed ⋅ Opens 8 am Mon

Confirmed by this business 11 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMnaqifA5IflxzD6_3JJU0hVHWS-KjW2yIrPoQ7=w408-h272-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-09-29T00:16:57.697Z,,,,
https://www.google.com/maps/place/UMMC+-+Cancer+Center+and+Research+Institute/data=!4m7!3m6!1s0x862832a300000001:0x392a2062596b3dac!8m2!3d32.3303037!4d-90.1939386!16s%2Fg%2F1thz20g5!19sChIJAQAAAKMyKIYRrD1rWWIgKjk,UMMC - Cancer Center and Research Institute,4.1,19,Cancer treatment center,"350 W. Woodrow Wilson Dr Suite 600, Jackson, MS 39216, United States","8RJ4+4C Jackson, Mississippi, USA",https://www.umc.edu/cancerinstitute/Home-Page.html,+1 601-815-6700,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMUv3yxuyTBZreM4RHFtgi32Dag5hFTfDungUw3=w408-h299-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-09-29T00:17:02.721Z,,,,
https://www.google.com/maps/place/Suboxonet/data=!4m7!3m6!1s0x862833bcff42a6dd:0xd3c760d2ece8eb8e!8m2!3d32.2993022!4d-90.1834687!16s%2Fg%2F11xs_v9nyj!19sChIJ3aZC_7wzKIYRjuvo7NJgx9M,Suboxonet,5.0,5,Addiction treatment center,"317 E Capitol St Ste 200, Jackson, MS 39201, United States","7RX8+PJ Jackson, Mississippi, USA",https://suboxonet.com/suboxone-in-jackson,+1 800-825-3905,"Open 24 hours

Updated by this business 4 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNhZM2x3adycu1AJSYk5O5g8--xFPMvsyQfePOt=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Infusion+centers+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-09-29T00:17:07.483Z,,,,
https://www.google.com/maps/place/Vital+Care+of+Central+Mississippi/data=!4m7!3m6!1s0x8629dbd162ae823b:0xa6c4c2a658d337e4!8m2!3d32.4710998!4d-90.1450958!16s%2Fg%2F11b7tql_y7!19sChIJO4KuYtHbKYYR5DfTWKbCxKY,Vital Care of Central Mississippi,4.6,14,Pharmacy,"159 Fountains Blvd Suite B, Madison, MS 39110, United States","FVC3+CX Madison, Mississippi, USA",http://vitalcarems.com/,+1 601-859-8200,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npjqe7cpSOuICzc1vZtSZSDlXWSp3EAWL0u3Tb-QAl_BRhIQlJeanl0xbr-PBss4TUu9LKmzyFn_5mHdJ5qrsfZXr0goJLhnltYZRc2FuwJV8slZma6Fl3mGCDkY8ANMxGKMeVjug=w408-h240-k-no-pi0.15818766-ya293.23102-ro0.1987025-fo100,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-09-29T00:17:13.066Z,,,,
https://www.google.com/maps/place/Baptist+Cancer+Center/data=!4m7!3m6!1s0x862832fa27a8ef71:0xeed9ab578b16ac50!8m2!3d32.3157707!4d-90.1788806!16s%2Fg%2F12629mftl!19sChIJce-oJ_oyKIYRUKwWi1er2e4,Baptist Cancer Center,5.0,1,Cancer treatment center,"1225 N State St, Jackson, MS 39202, United States","8R8C+8C Jackson, Mississippi, USA",,+1 601-968-1048,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dDGQq8HrdlZxIPjW5CJZ-g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=3.199975&pitch=0&thumbfov=100,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-09-29T00:17:17.897Z,,,,
https://www.google.com/maps/place/Pathway+Healthcare/data=!4m7!3m6!1s0x862833e5fb71d059:0x86501aa0e33a5c47!8m2!3d32.3144359!4d-90.1778142!16s%2Fg%2F11r985898t!19sChIJWdBx--UzKIYRR1w646AaUIY,Pathway Healthcare,4.5,37,Addiction treatment center,"1200 N State St #450, Jackson, MS 39202, United States","8R7C+QV Jackson, Mississippi, USA",https://pathwayhealthcare.com/,+1 601-957-7343,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npOshDUSOj5zzfqQtYT15CVIuQsTRjJpcEQ4Z0WggezD90wH7-BfCVHbd29Kjt1e_64Bc0o-WEUE0e06jP6mibMb-QeCvs2OTEDgJbZCOkTQyzObQu-th_p8E60wBVNItsSO1j8HA=w408-h306-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-09-29T00:17:22.697Z,,,,
https://www.google.com/maps/place/Open+Arms+Healthcare+Center/data=!4m7!3m6!1s0x862832e5fb36c2ad:0x72a2153cbe1fa9a8!8m2!3d32.3062891!4d-90.1640696!16s%2Fg%2F1q4kn_8zj!19sChIJrcI2--UyKIYRqKkfvjwVonI,Open Arms Healthcare Center,4.8,259,Medical clinic,"805 E River Pl, Jackson, MS 39202, United States","8R4P+G9 Jackson, Mississippi, USA",http://oahcc.org/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=14934377689886392238,+1 601-500-7660,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPcTMVKJx6cXxFZxL2Zn5MPH03vp3tbNI71MjGR=w408-h300-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–7 pm,8 am–1 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-09-29T00:17:27.612Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/St.+Dominic%27s+Oncology/data=!4m7!3m6!1s0x862832a300000001:0xa48e591698ba4d91!8m2!3d32.3364065!4d-90.1649833!16s%2Fg%2F113jjrjkz!19sChIJAQAAAKMyKIYRkU26mBZZjqQ,St. Dominic's Oncology,4.1,14,Cancer treatment center,"2969 N Curran Dr Suite 200, Jackson, MS 39216, United States","8RPP+H2 Jackson, Mississippi, USA",https://www.fmolhs.org/locations/greater-jackson/st-dominic-comprehensive-cancer-program?utm_source=Google&utm_medium=listing&utm_campaign=GMB,+1 601-200-3070,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqilTUjBlrv0DO4nHJz_Z3mSQuidD0xSMRr9Fv26la8Om4ZKpiw8RrrIuPlJ6qL9ZmKpLxUq8Ii9v7jR3i2z8dE2IdRB_igWSjc-d19nWQJ6OzMarthbESzbGlkBYdTIvzQdVxN=w408-h272-k-no,true,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-09-29T00:17:30.757Z,,,,
