placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,info,attributes,isBlackOwned
"https://www.google.com/maps/place/Advanced+Electric+Service,+Inc./data=!4m7!3m6!1s0x8629cd429a0f60ed:0xb511885842839482!8m2!3d32.3781468!4d-90.1606172!16s%2Fg%2F1tj4bvvd!19sChIJ7WAPmkLNKYYRgpSDQliIEbU","Advanced Electric Service, Inc.",4.9,181,Electrician,"212 Culley Dr, Jackson, MS 39206, United States","9RHQ+7Q Jackson, Mississippi, USA",http://www.msaes.com/,+1 601-321-8586,"Open 24 hours

Updated by this business 7 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMw5XDSckQsDBlJM3f7Wj3GfQ7X4LPLfkXOmwk=w408-h436-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2026-01-10T23:29:20.650Z,,,
https://www.google.com/maps/place/H+%26+H+Electric+Co./data=!4m7!3m6!1s0xa8e22500f3720d2f:0x630a340173086a6c!8m2!3d32.4877524!4d-90.2003209!16s%2Fg%2F11rg6_btwf!19sChIJLw1y8wAl4qgRbGoIcwE0CmM,H & H Electric Co.,4.9,41,Electrician,,,https://www.hhelectricco.com/,+1 601-941-1981,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMji2jjvTiXENfLjxjDFXnCF7Dzbo7WG8btfrFE=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2026-01-10T23:29:26.330Z,,,
https://www.google.com/maps/place/Mississippi+Energy+Services/data=!4m7!3m6!1s0x86283ff9a4bf464d:0x64cfadad00295b25!8m2!3d32.0743495!4d-90.3146375!16s%2Fg%2F12hn_zpm5!19sChIJTUa_pPk_KIYRJVspAK2tz2Q,Mississippi Energy Services,4.9,137,Electric generator shop,"13390 I-55 E Frontage Rd, Terry, MS 39170, United States","3MFP+P4 Terry, Mississippi, USA",http://msenergy.us/,+1 601-878-8020,"Closed · Opens 7 am Mon

Updated by this business 3 weeks ago",https://lh3.googleusercontent.com/p/AF1QipO4C26iUxMgfgpZ9CNk45XNAX-78K_-FRxSeV2e=w408-h306-k-no,true,Closed,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2026-01-10T23:29:31.244Z,Identifies as veteran-owned,,
"https://www.google.com/maps/place/Mississippi+Energy+Services/@32.4662954,-90.2291745,10z/data=!3m1!4b1!4m6!3m5!1s0x862831460d8affe7:0x3403d921fd0bd07a!8m2!3d32.4662954!4d-90.2291746!16s%2Fg%2F1tf2y4rz",Mississippi Energy Services,4.5,15,Electrician,,,http://www.airconditioningservice.net/,+1 601-502-0232,Open · Closes 12 am,,true,Open 24 hours,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2026-01-10T23:29:38.067Z,,,
https://www.google.com/maps/place/2S+Electric/data=!4m7!3m6!1s0x8629d79ee3b83bb5:0x19b1831db1ae04b8!8m2!3d32.4721305!4d-90.0566719!16s%2Fg%2F11vxx7t_sz!19sChIJtTu4457XKYYRuASusR2DsRk,2S Electric,4.9,16,Electrician,"122 Hidden Crest, Madison, MS 39110, United States","FWCV+V8 Madison, Mississippi, USA",https://www.2s-electric.com/,+1 601-383-1304,Closes soon · 6 pm · Opens 6 am Sun,https://lh3.googleusercontent.com/p/AF1QipM2ucYBUdAxP16WzphPt-9imJvd9Jp-D_OHSso1=w408-h544-k-no,true,6 am–6 pm,6 am–6 pm,6 am–6 pm,6 am–6 pm,6 am–6 pm,6 am–6 pm,6 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2026-01-10T23:29:42.830Z,,,
https://www.google.com/maps/place/Beacon+Power/data=!4m7!3m6!1s0x86282f4a6934aaf1:0xb23808e74f89a08c!8m2!3d32.189282!4d-90.1385795!16s%2Fg%2F11s87w62xl!19sChIJ8ao0aUovKIYRjKCJT-cIOLI,Beacon Power,4.7,13,Electric generator shop,"1972 US 49, Florence, MS 39073, United States","5VQ6+PH Florence, Mississippi, USA",https://beaconpowers.com/,+1 601-397-6117,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipP0iIbApMeIy01Ho1YZqek3aX11a0MXFhOKTqn6=w408-h306-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2026-01-10T23:29:47.965Z,,· In-store shopping · Delivery,
https://www.google.com/maps/place/Environment+Masters+Plumbing+and+Air/data=!4m7!3m6!1s0x862833b6102c8db3:0xdbb015ce59517ec3!8m2!3d32.2885024!4d-90.1923453!16s%2Fg%2F1tx4pqvf!19sChIJs40sELYzKIYRw35RWc4VsNs,Environment Masters Plumbing and Air,4.9,2339,HVAC contractor,"168 E Porter St, Jackson, MS 39201, United States","7RQ5+C3 Jackson, Mississippi, USA",http://environmentmasters.com/?utm_source=google_gbp&utm_medium=organic_search&utm_campaign=1seo_jackson_ms,+1 601-921-7636,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPOMM1eZjwEVOxBWCb1yqD4snXasQbbP4KgugHX=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2026-01-10T23:29:52.978Z,,,
"https://www.google.com/maps/place/Electrical+Solutions+and+Services,+LLC/data=!4m7!3m6!1s0x86282ddcc683e419:0x5f3fc5dd2b4fffab!8m2!3d32.2771477!4d-90.1224116!16s%2Fg%2F11vjpfxn0y!19sChIJGeSDxtwtKIYRq_9PK93FP18","Electrical Solutions and Services, LLC",4.9,38,Electrician,"218 St Paul St, Pearl, MS 39208, United States","7VGH+V2 Pearl, Mississippi, USA",https://www.electrical-solutions-and-services.com/,+1 769-572-7597,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipO7KaeAxpN0t3WXlzDPJ9fjcsYjk9SrR8Pxj3kS=w408-h306-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2026-01-10T23:29:57.893Z,Identifies as veteran-owned,,
https://www.google.com/maps/place/Lavallee+Electrical+%26+Generators/data=!4m7!3m6!1s0x86284ab79179cd15:0xca6a63cde2547bde!8m2!3d32.3403936!4d-90.3289953!16s%2Fg%2F11g6q5n5pj!19sChIJFc15kbdKKIYR3ntU4s1jaso,Lavallee Electrical & Generators,4.9,200,Electrical installation service,"103 E Leake St, Clinton, MS 39056, United States","8MRC+5C Clinton, Mississippi, USA",http://lavalleeservices.com/,+1 601-761-9292,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPFDlYASv5t-Uf9IrkYJWvRjH27wJL8CYU1hLPO=w408-h611-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2026-01-10T23:30:02.870Z,,,
https://www.google.com/maps/place/Hester%27s+Electrical+Service/data=!4m7!3m6!1s0x8628324a1f4432db:0xb9816beb49754cd2!8m2!3d32.2901025!4d-90.1826938!16s%2Fg%2F11g0k23kg9!19sChIJ2zJEH0oyKIYR0kx1Setrgbk,Hester's Electrical Service,4.7,3,Electrician,"839 State St, Jackson, MS 39201, United States","7RR8+2W Jackson, Mississippi, USA",http://hesterselectricalservice.com/?utm_source=GBP&utm_medium=Local+SEO,+1 601-906-7062,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wmnvff_kkFDliaPDMHvcgQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=8.313822&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2026-01-10T23:30:05.606Z,,,
