placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/Voda+Cleaning+%26+Restoration+of+Raleigh/data=!4m7!3m6!1s0x85c9c13da06d3ecb:0x12918aa63dc999e7!8m2!3d35.8027977!4d-78.5959451!16s%2Fg%2F11vl0r8mnr!19sChIJyz5toD3ByYUR55nJPaaKkRI,Voda Cleaning & Restoration of Raleigh,4.9,119,Water damage restoration service,"2810 Yonkers Rd # 3B, Raleigh, NC 27604, United States","RC33+4J Raleigh, North Carolina, USA",https://myvoda.com/raleigh-nc/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1 919-391-5384,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDL81trZgiHOAOYi61t6CbZymvA85J4TznEQp5F_z6Z3RXnEG20Qe03SfaFw8Dr1SMpp5r6rGIhsYK1YBkt00I5XV0_UtM1xfjdjorMuhqafEtJ1vMLw4QRL9YG0Fb4IxXkVrzsUo7rClh=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-03-23T04:21:36.875Z,,,,
https://www.google.com/maps/place/SERVPRO+of+Southwest+Raleigh%2FHolly+Springs/data=!4m7!3m6!1s0x89acf51364a6ad0f:0x26645e09f5b4e0a1!8m2!3d35.7625455!4d-78.6574521!16s%2Fg%2F11fty5r07m!19sChIJD62mZBP1rIkRoeC09QleZCY,SERVPRO of Southwest Raleigh/Holly Springs,4.9,487,Water damage restoration service,"613 Mercury St, Raleigh, NC 27603, United States","Q87V+22 Raleigh, North Carolina, USA",https://www.servpro.com/locations/nc/servpro-of-southwest-raleigh-holly-springs?utm_medium=organic&utm_source=gbp,+1 919-944-4002,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq5ASWUam38vl1P9im64lLZxFSwfxvVH6L9c9t5bP_kcfscRx-D__Ilmacy6keo6p8O_YHApGQH-eFyb8V8_XzCZSX2mBbKfK5TEDdpXoHC4bxVsq4Zpo5kjS9aZ9XYMdfHV_GcLA=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-03-23T04:21:43.265Z,,,,
https://www.google.com/maps/place/Water+Damage+Pros+NC/data=!4m7!3m6!1s0x89ac5f1bf0b8910d:0x35c26db0009e8acf!8m2!3d35.7988108!4d-78.5836896!16s%2Fg%2F11q46p8pf0!19sChIJDZG48BtfrIkRz4qeALBtwjU,Water Damage Pros NC,4.9,162,Water damage restoration service,"3621 Bastion Ln Suite 102, Raleigh, NC 27604, United States","QCX8+GG Raleigh, North Carolina, USA",https://waterdamageprosraleigh.com/,+1 919-348-4570,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq7sqyPahK2aHRh55okoGWPCtebjHW7GoLce2M9LJGmSgZR6IFqNMst2nOGGvmeKPKwfw0eap6YOLv7-Vqj4-oq7eJFmX47XncTxFk-msXDrOZY9BjfKzE0cScSpqcxV8dk4Let=w481-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-03-23T04:21:48.400Z,,,,
https://www.google.com/maps/place/1-800+Water+Damage+of+Raleigh/data=!4m7!3m6!1s0x89acf5e438533db7:0x6a30617eaa974660!8m2!3d35.7950525!4d-78.5695693!16s%2Fg%2F1yg6nq5g_!19sChIJtz1TOOT1rIkRYEaXqn5hMGo,1-800 Water Damage of Raleigh,5.0,152,Water damage restoration service,"1129 Corporation Pkwy STE 101, Raleigh, NC 27610, United States","QCWJ+25 Raleigh, North Carolina, USA",https://www.1800waterdamage.com/south-raleigh-nc/,+1 919-805-3171,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepuQ6koGe_zPfpeGNHzVsweOWnxdPdaAM965QPIk5gbCQRatMlO5NeWUUTMOqkWougEZr6yOxnd8raH206X1mxZWcMM3SSeed7PktruUqM86BGUOtC3DoY5ZMLssfuTfk8ITHSvpQ=w408-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-03-23T04:21:53.174Z,,,,
https://www.google.com/maps/place/Rapid+Restore+Water+Damage+Restoration+Raleigh/data=!4m7!3m6!1s0x89ac5f721fc939b3:0x611729e3f4f6d32!8m2!3d35.7764733!4d-78.6364604!16s%2Fg%2F1hhk2zn0r!19sChIJsznJH3JfrIkRMm1PP55yEQY,Rapid Restore Water Damage Restoration Raleigh,5.0,2,Building restoration service,"306 Parham St, Raleigh, NC 27601, United States","Q9G7+HC Raleigh, North Carolina, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=T4h17Ft2OlhSTf8tkvDerg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=137.62808&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/water+damage+restoration+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-03-23T04:21:55.810Z,,,,
https://www.google.com/maps/place/Franco+Water+%26+Fire+Damage+Restorations/data=!4m7!3m6!1s0x2c078ca8f56f901:0x8b177f152739c568!8m2!3d35.830711!4d-78.6094824!16s%2Fg%2F11sxx5w1pt!19sChIJAflWj8p4wAIRaMU5JxV_F4s,Franco Water & Fire Damage Restorations,4.9,133,Water damage restoration service,"1631 Midtown Pl Suite 125, Raleigh, NC 27609, United States","R9JR+76 Raleigh, North Carolina, USA",https://francorestorations.com/,+1 984-206-3324,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo20xgGW-_XqIvxOvMLEBxtxnYTSJQXkM8lwU4xTyD0pySkP7t_YCVNFAfMeN5zqCuI7RoMyt7Fw3XrhXYDQk6rSdmAItjci73dsMwoYSQsxeTG52F2Vs0eICWcIOxae5mejoc=w408-h809-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-03-23T04:22:00.514Z,,,,
https://www.google.com/maps/place/Eastern+Restoration+%26+Disaster/data=!4m7!3m6!1s0xa41c0a53f661bd7:0x373dd5740625c106!8m2!3d35.8186303!4d-78.6161156!16s%2Fg%2F11vpy4qqzc!19sChIJ1xtmP6XAQQoRBsElBnTVPTc,Eastern Restoration & Disaster,5.0,41,Water damage restoration service,"2609 Atlantic Ave #201, Raleigh, NC 27604, United States","R99M+FH Raleigh, North Carolina, USA",https://www.restorationdisaster.com/,+1 919-946-2412,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqk73N5ntR1_9k8UHpkxRT_vR4gzxkzFEQLhbXM7CyNBGnl6CVSDxyeARTM4Ee77CJHC6MiRMMj2FtS9PpsvRbFue_e5YaCTyYQBQNOeFyTGlQqw7rDRMSM02c8pAww4jg3ht3xAbFyUx0W=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-03-23T04:22:05.464Z,,,,
https://www.google.com/maps/place/Jenkins+Restorations/data=!4m7!3m6!1s0x89ac5933b1c2c59d:0xb8b52c198aa30abb!8m2!3d35.809478!4d-78.5967074!16s%2Fg%2F11f3trvw1g!19sChIJncXCsTNZrIkRuwqjihkstbg,Jenkins Restorations,4.6,214,Water damage restoration service,"2205 Westinghouse Blvd Suites 102 & 103, Raleigh, NC 27604, United States","RC53+Q8 Raleigh, North Carolina, USA",https://jenkinsrestorations.com/raleigh-nc/?utm_source=Google%20my%20Business&utm_medium=organic%20search&utm_campaign=GMB%20Raleigh,+1 919-313-3631,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerZy1Sg779RFkzZiX17POsqjNvrtQX4mKmtJywX5rkMW5pATATExqiIqTgdTr3OntXiz5PkiOEPy6sjlbrGoY91MFzN6cK6I9RLMqhaQx76rxFUAJ0tWgVKMSHVoE5IPJlSFvfR=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-03-23T04:22:10.292Z,,,,
https://www.google.com/maps/place/Restoration+1+Raleigh+North/data=!4m7!3m6!1s0x89acf649bb508ebf:0x322c6e6476ed75a5!8m2!3d35.83353!4d-78.60722!16s%2Fg%2F11ddxnlhkt!19sChIJv45Qu0n2rIkRpXXtdmRuLDI,Restoration 1 Raleigh North,4.9,182,Water damage restoration service,"3900 Tarheel Dr Suite 105, Raleigh, NC 27609, United States","R9MV+C4 Raleigh, North Carolina, USA",https://restoration1raleighnorth.com/,+1 919-395-1671,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq5Gx2vJK-K4ftX0SYPw8ftDiDc3ymv59vIVCS81NKsOmVL859sKxCMrKHNwZCxQ7yWc4wrTtSDj_kQnPpTJPwDDk1Tq_jESNxbYE7h-hKw7CIYPRGr78bHb2K6W-WexgIdg-Qc=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-03-23T04:22:15.108Z,,,,
https://www.google.com/maps/place/RestoPros+of+Raleigh/data=!4m7!3m6!1s0x888f7e6b6723ebcd:0x811438f7fbf1827a!8m2!3d35.7935402!4d-78.7017924!16s%2Fg%2F11stnm0hq6!19sChIJzesjZ2t-j4gReoLx-_c4FIE,RestoPros of Raleigh,5.0,199,Water damage restoration service,"510 Pylon Dr, Raleigh, NC 27606, United States","Q7VX+C7 Raleigh, North Carolina, USA",https://www.restopros.co/nc-raleigh,+1 919-213-0028,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqsR2mkq0U6QivQ3f9Ghlfooi4QBgmCJa3UffP5s1NpJQ_yq9Dh3LrEDtZQ1QASBdSqSgmTgu1yTHVFfWX4IafvSNgCjtjVlKT6d4pbIfBvGaXDdQVNKMKDVwZCa2V0AeTetJtm=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2026-03-23T04:22:20.075Z,,,,
