placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,error
https://www.google.com/maps/place/Kinder+Hearts+Home+Health+and+Hospice/data=!4m7!3m6!1s0x86568e5b6b86cf15:0xda30baa65f26b03f!8m2!3d32.4585499!4d-99.7582808!16s%2Fg%2F1wd3wgg3!19sChIJFc-Ga1uOVoYRP7AmX6a6MNo,Kinder Hearts Home Health and Hospice,4.8,117,Home health care service,"842 N Mockingbird Ln, Abilene, TX 79603, United States","F65R+CM Abilene, Texas, USA",https://kinderhearts.com/,+1 325-672-6135,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOzDmoxnWTDLj24NDRWyLRDK7m48drbt_xSF2tt=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.google.com/maps/search/Hospice+businesses in+Sweetwater+Abilene/,2025-09-17T23:25:35.013Z,,
https://www.google.com/maps/place/West+Texas+Rehab%27s+Hospice+of+the+Big+Country/data=!4m7!3m6!1s0x86568e9bf6058fcf:0xc0f4bef08522ff74!8m2!3d32.4330389!4d-99.7839984!16s%2Fg%2F11f4mbbvdh!19sChIJz48F9puOVoYRdP8ihfC-9MA,West Texas Rehab's Hospice of the Big Country,4.6,10,Hospice,"4601 Hartford St, Abilene, TX 79605, United States","C6M8+6C Abilene, Texas, USA",https://westtexasrehab.org/services/hospice/,+1 325-793-5450,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipP4NhWUxm3FseQ9V85Cw18Bn7Rq8Tw2ZBIcqW0R=w408-h407-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.google.com/maps/search/Hospice+businesses in+Sweetwater+Abilene/,2025-09-17T23:25:40.688Z,,
https://www.google.com/maps/place/Hendrick+Hospice+Care/data=!4m7!3m6!1s0x86568e31c2e49dd9:0x6ee7448638b65ad6!8m2!3d32.4677734!4d-99.729866!16s%2Fg%2F1tmg6zlz!19sChIJ2Z3kwjGOVoYR1lq2OIZE524,Hendrick Hospice Care,4.6,52,Hospice,"1651 Pine St, Abilene, TX 79601, United States","F79C+43 Abilene, Texas, USA",https://www.hendrickhealth.org/services/hospice-care/,+1 325-670-2273,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqbW08jqOwLZA2EfMwb85Yn21snBj9wCk1v3VRTGcaDgK59qUKrIdBd0H8dFJFFa6X1ieFw-AqAvykHPey06HV7SDQFpUUrPJkUe53nsED1PYF0uaCJjSu5BQWdCg9i8irWg37M=w426-h240-k-no,true,,,,,,,,https://www.google.com/maps/search/Hospice+businesses in+Sweetwater+Abilene/,2025-09-17T23:25:43.831Z,,
https://www.google.com/maps/place/Gentiva+Hospice/data=!4m7!3m6!1s0x86568d6d19b9da61:0xaf80c5b9f50ef81f!8m2!3d32.3977341!4d-99.7612678!16s%2Fg%2F11c5h3chyg!19sChIJYdq5GW2NVoYRH_gO9bnFgK8,Gentiva Hospice,4.5,8,Hospice,"4400 Buffalo Gap Rd #1200, Abilene, TX 79606, United States","96XQ+3F Abilene, Texas, USA",https://www.gentivahs.com/,+1 325-691-9948,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOyIQai5IX1CXf4UUw3gLMH-vbXD-c5Bhx-QjyT=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.google.com/maps/search/Hospice+businesses in+Sweetwater+Abilene/,2025-09-17T23:25:48.704Z,,
https://www.google.com/maps/place/Alpha+Omega+Hospice/data=!4m7!3m6!1s0x86568dcbe7552deb:0xf1734525cdd43c2e!8m2!3d32.3941481!4d-99.7435179!16s%2Fg%2F11y422s01p!19sChIJ6y1V58uNVoYRLjzUzSVFc_E,Alpha Omega Hospice,4.4,10,Hospice,"4640 S Treadaway Blvd Floor 2, Abilene, TX 79602, United States","97V4+MH Abilene, Texas, USA",https://www.alphaomegahospice.com/,+1 817-238-0770,Closed ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipPhQYDNg7-PTQPY_NAJvS9OdUK_pP5AM6mtrdFe=w507-h240-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,https://www.google.com/maps/search/Hospice+businesses in+Sweetwater+Abilene/,2025-09-17T23:25:53.590Z,,
https://www.google.com/maps/place/Enhabit+Hospice/data=!4m7!3m6!1s0x888bb183cd100001:0xe8b06f66bec34878!8m2!3d32.4073176!4d-99.7696985!16s%2Fg%2F11fll6dqhn!19sChIJAQAQzYOxi4gReEjDvmZvsOg,Enhabit Hospice,3.8,5,Hospice,"1 Village Dr Suite 354, Abilene, TX 79606, United States","C64J+W4 Abilene, Texas, USA",https://www.ehab.com/?utm_source=gmb&utm_medium=chatmeter,+1 325-266-0260,"Open 24 hours

Confirmed by this business 5 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPHvrVF26rc6lphU01u3G_upIlZ93x6gRXhoVvt=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.google.com/maps/search/Hospice+businesses in+Sweetwater+Abilene/,2025-09-17T23:25:58.613Z,Identifies as women-owned,
https://www.google.com/maps/place/Interim+HealthCare+of+Abilene/data=!4m7!3m6!1s0x86568db1bd8dd6a5:0x178343160d183745!8m2!3d32.4488871!4d-99.7409217!16s%2Fg%2F1tk23bwf!19sChIJpdaNvbGNVoYRRTcYDRZDgxc,Interim HealthCare of Abilene,5.0,8,Home health care service,"1583 S 1st St, Abilene, TX 79602, United States","C7X5+HJ Abilene, Texas, USA",https://www.interimhealthcare.com/location/abilene-tx,+1 325-437-2982,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNL4H06tiHcxvTkpTe8R6d2NPWMZue98jiExAR2=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.google.com/maps/search/Hospice+businesses in+Sweetwater+Abilene/,2025-09-17T23:26:03.553Z,,
https://www.google.com/maps/place/Chaplain+Care+Notes+%7C+Hospice/data=!4m7!3m6!1s0x86568e2f201f7049:0x3514f7189b787c78!8m2!3d32.4679439!4d-99.7309658!16s%2Fg%2F11h4cgjpgp!19sChIJSXAfIC-OVoYReHx4mxj3FDU,Chaplain Care Notes | Hospice,,,Hospice,"1651 Pine St, Abilene, TX 79601, United States","F799+5J Abilene, Texas, USA",http://www.hendrickhospice.org/hospice/hendrick-hospice-about-us.aspx,+1 325-670-2273,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fdK2no2qO0a7ycxxXNPXLg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=95.958435&pitch=0&thumbfov=100,false,,,,,,,,https://www.google.com/maps/search/Hospice+businesses in+Sweetwater+Abilene/,2025-09-17T23:26:06.516Z,,
https://www.google.com/maps/place/Home+Health+and+Hospice+of+Abilene/data=!4m7!3m6!1s0x86568d6d135fe9ed:0xcaa8f9d7df0e01e!8m2!3d32.3721926!4d-99.7439576!16s%2Fg%2F1td05gq8!19sChIJ7elfE22NVoYRHuDwfZ2Pqgw,Home Health and Hospice of Abilene,,,Home health care service,"1665 Antilley Rd #100, Abilene, TX 79606, United States","97C4+VC Abilene, Texas, USA",http://www.integracarehh.com/location/abilenetx,+1 325-691-9947,Closed ⋅ Opens 8 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=077TrNo8xXzslqTJlYzZXg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=181.08403&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,https://www.google.com/maps/search/Hospice+businesses in+Sweetwater+Abilene/,2025-09-17T23:26:11.359Z,,
https://www.google.com/maps/place/Big+Country+Healthcare+Services/data=!4m7!3m6!1s0x86569279c031ffbf:0x6f6ce391405c5ce9!8m2!3d32.44393!4d-99.7520749!16s%2Fg%2F11bwkj8lq5!19sChIJv_8xwHmSVoYR6VxcQJHjbG8,Big Country Healthcare Services,4.7,13,Home health care service,"2434 S 7th St, Abilene, TX 79605, United States","C6VX+H5 Abilene, Texas, USA",http://bchshealth.com/,+1 325-675-0559,Closed ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipMezaKXrESAuyZLU6RIf13wWS1tG-knUlalNMVb=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,https://www.google.com/maps/search/Hospice+businesses in+Sweetwater+Abilene/,2025-09-17T23:26:16.245Z,,
